side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,range,sl,2026-06-24T13:00:00.000Z,2026-06-24T13:15:00.000Z,2026-06-24T13:30:00.000Z,61.0863204,60.3466250972907,122.77707923622128,7500,3.0000,-93.8176,-1.0590,-1.1410,0.4749,1,0.5000
long,range,sl,2026-06-24T13:30:00.000Z,2026-06-24T13:45:00.000Z,2026-06-24T15:45:00.000Z,60.5811689,59.756032556913716,122.63937644832154,7429.63677840645,2.9719,-104.1661,-1.0522,-1.0024,0.6985,8,0.5000
short,trend,sl,2026-06-24T18:00:00.000Z,2026-06-24T18:15:00.000Z,2026-06-24T20:00:00.000Z,60.161946,61.046675017856835,122.19538630652363,7351.512232422214,2.9406,-111.0504,-1.0489,-1.7590,0.2966,7,0.5000
short,range,sl,2026-06-24T20:15:00.000Z,2026-06-24T20:30:00.000Z,2026-06-24T21:30:00.000Z,62.2453208,63.260286452227646,116.76740246902676,7268.224425667283,2.9073,-121.4222,-1.0440,-1.0147,0.1057,4,0.5000
long,trend,trail,2026-06-25T00:15:00.000Z,2026-06-25T00:30:00.000Z,2026-06-25T07:15:00.000Z,63.4330242,64.09845401812773,113.14544547972467,7177.157781235155,2.8709,72.4195,0.7568,-0.9648,1.4022,27,0.5000
long,trend,sl,2026-06-25T07:15:00.000Z,2026-06-25T07:30:00.000Z,2026-06-25T08:30:00.000Z,64.2852798,63.5902604350508,112.49033093275034,7231.472398806451,2.8926,-81.0755,-1.0663,-1.2609,0.3162,4,0.5000
long,range,sl,2026-06-25T13:30:00.000Z,2026-06-25T13:45:00.000Z,2026-06-25T13:45:00.000Z,61.4264224,60.64817689861053,116.73585174172467,7170.665738310955,2.8683,-93.7174,-1.0563,-3.8148,0.3902,0,0.5000
long,range,tp,2026-06-25T13:45:00.000Z,2026-06-25T14:00:00.000Z,2026-06-25T14:00:00.000Z,58.9026655,60.64964081529734,120.54425066702309,7100.3776749878125,2.8402,207.7477,1.6442,-0.0169,2.1040,0,0.5000
short,trend,sl,2026-06-25T14:30:00.000Z,2026-06-25T14:45:00.000Z,2026-06-25T16:15:00.000Z,60.641802,61.95842672333802,119.65654375545346,7256.188434422545,2.9025,-160.4452,-1.0330,-1.0841,0.4328,6,0.5000
long,trend,sl,2026-06-25T18:15:00.000Z,2026-06-25T18:30:00.000Z,2026-06-25T20:45:00.000Z,63.21896,63.19999431200001,112.87522770113605,7135.854505029012,2.8543,-4.9951,-0.0358,-0.6986,0.7957,9,0.5000
long,trend,sl,2026-06-25T21:45:00.000Z,2026-06-25T22:00:00.000Z,2026-06-26T01:00:00.000Z,64.4923419,63.38968800241502,110.58845083456137,7132.108181413872,2.8528,-124.7936,-1.0414,-1.3523,0.8561,12,0.5000
