side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,trend,sl,2026-06-24T18:00:00.000Z,2026-06-24T18:15:00.000Z,2026-06-24T20:00:00.000Z,60.161946,61.046675017856835,124.66352069130211,7500,3.0000,-113.2934,-1.0489,-1.7590,0.2966,7,0.5000
long,trend,trail,2026-06-25T00:15:00.000Z,2026-06-25T00:30:00.000Z,2026-06-25T07:15:00.000Z,63.4330242,64.09845401812773,116.89541871680393,7415.029924332157,2.9660,74.8197,0.7568,-0.9648,1.4022,27,0.5000
long,trend,sl,2026-06-25T07:15:00.000Z,2026-06-25T07:30:00.000Z,2026-06-25T08:30:00.000Z,64.2852798,63.5902604350508,116.21859174465897,7471.144688267372,2.9885,-83.7626,-1.0663,-1.2609,0.3162,4,0.5000
long,range,tp,2026-06-25T13:45:00.000Z,2026-06-25T14:00:00.000Z,2026-06-25T14:00:00.000Z,58.9026655,60.64964081529734,125.77228302153227,7408.322715988645,2.9633,216.7577,1.6442,-0.0169,2.1040,0,0.5000
short,trend,sl,2026-06-25T14:30:00.000Z,2026-06-25T14:45:00.000Z,2026-06-25T16:15:00.000Z,60.641802,61.95842672333802,124.8460760535159,7570.891024514252,3.0284,-167.4038,-1.0330,-1.0841,0.4328,6,0.5000
long,trend,sl,2026-06-25T20:15:00.000Z,2026-06-25T20:30:00.000Z,2026-06-25T20:45:00.000Z,64.10022430000001,62.97138028743687,116.15151531457353,7445.33818444905,2.9781,-134.0951,-1.0401,-1.0138,0.0000,1,0.5000
long,trend,sl,2026-06-25T21:45:00.000Z,2026-06-25T22:00:00.000Z,2026-06-26T01:00:00.000Z,64.4923419,63.38968800241502,113.8858763637791,7344.766876033971,2.9379,-128.5146,-1.0414,-1.3523,0.8561,12,0.5000
long,range,tp,2026-06-26T02:45:00.000Z,2026-06-26T03:00:00.000Z,2026-06-26T03:45:00.000Z,61.6354851,63.312416613295625,117.60077664874028,7248.380916881859,2.8994,194.3091,1.6422,-0.1863,2.2238,3,0.5000
short,range,tp,2026-06-26T07:45:00.000Z,2026-06-26T08:00:00.000Z,2026-06-26T09:00:00.000Z,65.01149070000001,63.34938622903174,113.7354744408211,7394.1127388695295,2.9576,186.0826,1.6406,-0.4598,2.0280,4,0.5000
long,trend,sl,2026-06-26T16:00:00.000Z,2026-06-26T16:15:00.000Z,2026-06-26T17:45:00.000Z,64.4923419,64.47299419743,116.81502738978234,7533.6746854797075,3.0135,-5.2736,-0.0410,-0.2345,0.8974,6,0.5000
long,trend,signal,2026-06-26T17:45:00.000Z,2026-06-26T18:00:00.000Z,2026-06-26T20:45:00.000Z,64.5663641,63.72687620000001,116.61984705547067,7529.719506269832,3.0119,-100.9128,-0.8564,-0.9010,0.8449,11,0.5000
long,range,sl,2026-06-27T09:00:00.000Z,2026-06-27T09:15:00.000Z,2026-06-27T11:15:00.000Z,62.8568514,62.83799434458,118.58746837485982,7454.034877540763,2.9816,-5.2178,-0.0757,-0.2820,0.8435,8,0.5000
short,trend,trail,2026-06-27T19:00:00.000Z,2026-06-27T19:15:00.000Z,2026-06-27T20:15:00.000Z,63.071073000000005,62.349244128973545,118.12263776184771,7450.1215092300545,2.9800,82.2843,1.3361,-0.0574,2.1503,4,0.5000
short,trend,tp,2026-06-27T20:45:00.000Z,2026-06-27T21:00:00.000Z,2026-06-27T23:45:00.000Z,62.4192686,61.5698199093334,120.34480520124217,7511.834720471013,3.0047,99.2220,1.6177,-0.7666,1.7625,11,0.5000
short,trend,sl,2026-06-28T00:00:00.000Z,2026-06-28T00:15:00.000Z,2026-06-28T07:00:00.000Z,61.895425800000005,62.47363360428834,122.56561975149889,7586.251222959914,3.0345,-73.9029,-1.0777,-1.0145,0.7979,27,0.5000
long,range,tp,2026-06-28T21:45:00.000Z,2026-06-28T22:00:00.000Z,2026-06-28T23:45:00.000Z,60.7952331,61.722377281108606,123.87194957863744,7530.82404918471,3.0123,111.8348,1.6230,-0.4175,1.7109,7,0.5000
short,range,sl,2026-06-29T10:45:00.000Z,2026-06-29T11:00:00.000Z,2026-06-29T12:00:00.000Z,63.6269062,63.64599427186,119.6773601717376,7614.700169910764,3.0459,-5.3303,-0.0810,-1.4208,1.3659,4,0.5000
short,range,sl,2026-06-29T12:00:00.000Z,2026-06-29T12:15:00.000Z,2026-06-29T13:00:00.000Z,64.2677139,64.28699421417001,118.4218636462431,7610.702452321562,3.0443,-5.3275,-0.0641,-0.8691,1.2870,3,0.5000
