side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,trend,sl,2026-06-24T18:00:00.000Z,2026-06-24T18:15:00.000Z,2026-06-24T20:00:00.000Z,60.161946,61.046675017856835,124.66352069130211,7500,3.0000,-113.2934,-1.0489,-1.7590,0.2966,7,0.5000
long,trend,sl,2026-06-25T00:15:00.000Z,2026-06-25T00:30:00.000Z,2026-06-25T11:00:00.000Z,63.4330242,62.568471338059275,116.89541871680393,7415.029924332157,2.9660,-104.0283,-1.0522,-1.1528,1.4022,42,0.5000
long,range,tp,2026-06-25T13:45:00.000Z,2026-06-25T14:00:00.000Z,2026-06-25T14:00:00.000Z,58.9026655,60.64964081529734,124.56157376707048,7337.008713755327,2.9348,214.6712,1.6442,-0.0169,2.1040,0,0.5000
short,trend,sl,2026-06-25T14:30:00.000Z,2026-06-25T14:45:00.000Z,2026-06-25T16:15:00.000Z,60.641802,61.95842672333802,123.64428265333287,7498.0121070954465,2.9992,-165.7923,-1.0330,-1.0841,0.4328,6,0.5000
long,trend,sl,2026-06-25T20:15:00.000Z,2026-06-25T20:30:00.000Z,2026-06-25T20:45:00.000Z,64.10022430000001,62.97138028743687,115.03341750214027,7373.667863882738,2.9495,-132.8043,-1.0401,-1.0138,0.0000,1,0.5000
long,trend,sl,2026-06-25T21:45:00.000Z,2026-06-25T22:00:00.000Z,2026-06-26T01:00:00.000Z,64.4923419,63.38968800241502,112.78958804688092,7274.064675079598,2.9096,-127.2775,-1.0414,-1.3523,0.8561,12,0.5000
long,range,tp,2026-06-26T02:45:00.000Z,2026-06-26T03:00:00.000Z,2026-06-26T03:45:00.000Z,61.6354851,63.312416613295625,116.46872795565783,7178.606546526901,2.8714,192.4386,1.6422,-0.1863,2.2238,3,0.5000
short,range,tp,2026-06-26T07:45:00.000Z,2026-06-26T08:00:00.000Z,2026-06-26T09:00:00.000Z,65.01149070000001,63.34938622903174,112.64063392303763,7322.935524729666,2.9292,184.2913,1.6406,-0.4598,2.0280,4,0.5000
long,trend,sl,2026-06-26T16:00:00.000Z,2026-06-26T16:15:00.000Z,2026-06-26T21:00:00.000Z,64.4923419,63.371627779931025,115.69054247686398,7461.1540200143845,2.9845,-132.6405,-1.0407,-1.1004,0.8974,19,0.5000
long,range,tp,2026-06-27T09:00:00.000Z,2026-06-27T09:15:00.000Z,2026-06-27T13:45:00.000Z,62.8568514,63.82530225514657,117.11807848243868,7361.673655424185,2.9447,110.4784,1.6234,-0.2820,1.7797,18,0.5000
short,trend,tp,2026-06-27T19:00:00.000Z,2026-06-27T19:15:00.000Z,2026-06-27T19:45:00.000Z,63.071073000000005,62.20213564381709,118.03402299453724,7444.532480772137,2.9778,99.5864,1.6183,-0.0574,1.7130,2,0.5000
short,trend,tp,2026-06-27T20:45:00.000Z,2026-06-27T21:00:00.000Z,2026-06-27T23:45:00.000Z,62.4192686,61.5698199093334,120.46315855002322,7519.222249938286,3.0077,99.3196,1.6177,-0.7666,1.7625,11,0.5000
