side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,range,tp,2026-06-24T11:15:00.000Z,2026-06-24T11:30:00.000Z,2026-06-24T11:45:00.000Z,7.5372604999999995,7.597544297288195,995.0564930056485,7500,3.0000,56.9858,1.5833,-0.0625,4.3887,1,0.5000
long,range,sl,2026-06-24T13:30:00.000Z,2026-06-24T13:45:00.000Z,2026-06-24T15:30:00.000Z,7.4912467,7.4254439949513715,1006.8737074078726,7542.739337935991,3.0171,-69.2721,-1.0822,-1.5768,0.5938,7,0.5000
long,range,sl,2026-06-24T15:30:00.000Z,2026-06-24T15:45:00.000Z,2026-06-24T16:45:00.000Z,7.3992191,7.3261961639095565,1012.3751107657127,7490.785255942277,2.9963,-76.9229,-1.0728,-2.3893,0.7029,4,0.5000
long,range,sl,2026-06-24T16:45:00.000Z,2026-06-24T17:00:00.000Z,2026-06-24T17:15:00.000Z,7.2691801,7.184697627602951,1022.549031094407,7433.093068105744,2.9732,-89.3607,-1.0615,-1.6420,0.2650,1,0.5000
short,trend,sl,2026-06-24T19:15:00.000Z,2026-06-24T19:30:00.000Z,2026-06-24T20:00:00.000Z,7.2128355,7.301189324144277,1021.245048145735,7366.072537464766,2.9464,-93.1773,-1.0589,-1.7428,0.2070,2,0.5000
long,trend,tp,2026-06-24T20:45:00.000Z,2026-06-24T21:00:00.000Z,2026-06-25T05:15:00.000Z,7.3932173,7.532818062017033,986.8761109807317,7296.189536659465,2.9185,134.8502,1.6314,-0.4085,1.7524,33,0.5000
short,range,tp,2026-06-25T05:15:00.000Z,2026-06-25T05:30:00.000Z,2026-06-25T11:00:00.000Z,7.513745200000001,7.43378229423579,984.5059921156834,7397.327172630455,2.9589,75.7650,1.6040,-0.6931,1.9748,22,0.5000
short,trend,tp,2026-06-25T11:00:00.000Z,2026-06-25T11:15:00.000Z,2026-06-25T12:15:00.000Z,7.453763200000001,7.395105110695249,1000.0520199491378,7454.150944382551,2.9817,55.6795,1.5820,-0.2056,1.9538,4,0.5000
short,trend,tp,2026-06-25T12:30:00.000Z,2026-06-25T12:45:00.000Z,2026-06-25T13:30:00.000Z,7.4547629,7.379736933475771,1005.5196463218053,7495.910554620917,2.9984,72.4417,1.6004,-0.6717,3.8156,3,0.5000
short,trend,sl,2026-06-25T16:15:00.000Z,2026-06-25T16:30:00.000Z,2026-06-25T20:00:00.000Z,7.224831900000001,7.226999349570001,1045.0404865402925,7550.241843947826,3.0201,-5.2852,-0.0527,-0.6061,0.9464,14,0.5000
long,range,sl,2026-06-26T02:00:00.000Z,2026-06-26T02:15:00.000Z,2026-06-26T02:45:00.000Z,7.0451129,7.042999366130001,1071.1365558073248,7546.277966979755,3.0185,-5.2824,-0.0787,-0.3209,1.0989,2,0.5000
long,range,tp,2026-06-26T02:45:00.000Z,2026-06-26T03:00:00.000Z,2026-06-26T03:45:00.000Z,7.0561162,7.1671126673204455,1068.904756847271,7542.31617104709,3.0169,115.6277,1.6243,-0.6925,2.4758,3,0.5000
short,range,signal,2026-06-26T15:30:00.000Z,2026-06-26T15:45:00.000Z,2026-06-26T22:45:00.000Z,7.3487947,7.352205,1038.1344528688257,7629.036965129826,3.0516,-6.5920,-0.0711,-0.5173,0.7366,28,0.5000
short,range,sl,2026-06-27T14:00:00.000Z,2026-06-27T14:15:00.000Z,2026-06-27T15:00:00.000Z,7.4117758,7.442843637249825,1028.645927416858,7624.092991596825,3.0496,-35.0074,-1.1802,-1.6377,0.4777,3,0.5000
short,range,tp,2026-06-27T15:00:00.000Z,2026-06-27T15:15:00.000Z,2026-06-27T17:00:00.000Z,7.4527635000000005,7.401268480191737,1019.4657874899469,7597.837410503834,3.0391,49.4583,1.5702,-0.6550,2.9376,7,0.5000
short,trend,tp,2026-06-27T18:00:00.000Z,2026-06-27T18:15:00.000Z,2026-06-27T19:30:00.000Z,7.3687887000000005,7.309169252178493,1036.1175260014122,7634.931117471163,3.0540,58.7188,1.5843,-0.7607,1.9230,5,0.5000
short,trend,tp,2026-06-27T20:00:00.000Z,2026-06-27T20:15:00.000Z,2026-06-27T22:15:00.000Z,7.3347989,7.2728810790397125,1046.9230729992769,7678.970204219716,3.0716,61.7516,1.5877,-0.2208,2.5517,8,0.5000
