side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,range,tp,2026-06-24T11:15:00.000Z,2026-06-24T11:30:00.000Z,2026-06-24T11:45:00.000Z,7.5372604999999995,7.597544297288195,995.0564930056485,7500,3.0000,56.9858,1.5833,-0.0625,4.3887,1,0.5000
long,range,sl,2026-06-24T13:45:00.000Z,2026-06-24T14:00:00.000Z,2026-06-24T15:30:00.000Z,7.4702404,7.401593024058417,1009.7050341159022,7542.739337935991,3.0171,-72.3307,-1.0784,-1.1929,0.8846,6,0.5000
long,range,sl,2026-06-24T15:30:00.000Z,2026-06-24T15:45:00.000Z,2026-06-24T16:45:00.000Z,7.3992191,7.3261961639095565,1012.0650860756797,7488.491315334313,2.9954,-76.8994,-1.0728,-2.3893,0.7029,4,0.5000
long,range,sl,2026-06-24T16:45:00.000Z,2026-06-24T17:00:00.000Z,2026-06-24T17:15:00.000Z,7.2691801,7.184697627602951,1022.2358907939025,7430.816794864809,2.9723,-89.3333,-1.0615,-1.6420,0.2650,1,0.5000
short,trend,sl,2026-06-24T19:15:00.000Z,2026-06-24T19:30:00.000Z,2026-06-24T20:00:00.000Z,7.2128355,7.301189324144277,1020.932307170446,7363.816788255897,2.9455,-93.1488,-1.0589,-1.7428,0.2070,2,0.5000
long,trend,sl,2026-06-25T08:00:00.000Z,2026-06-25T08:15:00.000Z,2026-06-25T09:15:00.000Z,7.5212557,7.477878421673395,969.7789144532354,7293.95518807121,2.9176,-44.9840,-1.1277,-1.0516,0.0000,4,0.5000
short,trend,sl,2026-06-25T16:15:00.000Z,2026-06-25T16:30:00.000Z,2026-06-25T20:00:00.000Z,7.224831900000001,7.226999349570001,1004.8977366655624,7260.217224099156,2.9041,-5.0822,-0.0527,-0.6061,0.9464,14,0.5000
long,range,sl,2026-06-26T02:00:00.000Z,2026-06-26T02:15:00.000Z,2026-06-26T02:45:00.000Z,7.0451129,7.042999366130001,1029.9913873710245,7256.405610056502,2.9026,-5.0795,-0.0787,-0.3209,1.0989,2,0.5000
long,range,tp,2026-06-26T02:45:00.000Z,2026-06-26T03:00:00.000Z,2026-06-26T03:45:00.000Z,7.0561162,7.1671126673204455,1027.8453176708208,7252.595997111225,2.9010,111.1862,1.6243,-0.6925,2.4758,3,0.5000
short,range,sl,2026-06-27T14:00:00.000Z,2026-06-27T14:15:00.000Z,2026-06-27T15:00:00.000Z,7.4117758,7.442843637249825,989.7743557923167,7335.985617722083,2.9344,-33.6845,-1.1802,-1.6377,0.4777,3,0.5000
short,range,tp,2026-06-27T15:00:00.000Z,2026-06-27T15:15:00.000Z,2026-06-27T17:00:00.000Z,7.4527635000000005,7.401268480191737,980.9411248038276,7310.722210586911,2.9243,47.5893,1.5702,-0.6550,2.9376,7,0.5000
short,trend,tp,2026-06-27T22:45:00.000Z,2026-06-27T23:00:00.000Z,2026-06-28T05:15:00.000Z,7.3198034000000005,7.258168843378376,1003.6354502244035,7346.41418091312,2.9386,58.9201,1.5875,-0.2757,2.3473,25,0.5000
long,range,tp,2026-06-28T05:15:00.000Z,2026-06-28T05:30:00.000Z,2026-06-28T08:00:00.000Z,7.2471735,7.302538251696717,1019.7912642973279,7390.60422614709,2.9562,53.5042,1.5794,-0.9384,2.0117,10,0.5000
long,range,tp,2026-06-28T21:45:00.000Z,2026-06-28T22:00:00.000Z,2026-06-28T22:00:00.000Z,7.1941576,7.263716827830747,1032.884296623829,7430.732412476973,2.9723,68.8743,1.5977,-0.0517,1.8891,0,0.5000
