side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,range,tp,2026-06-24T11:15:00.000Z,2026-06-24T11:30:00.000Z,2026-06-24T11:45:00.000Z,7.5372604999999995,7.597544297288195,995.0564930056485,7500,3.0000,56.9858,1.5833,-0.0625,4.3887,1,0.5000
long,range,sl,2026-06-24T13:45:00.000Z,2026-06-24T14:00:00.000Z,2026-06-24T15:30:00.000Z,7.4702404,7.401593024058417,1009.7050341159022,7542.739337935991,3.0171,-72.3307,-1.0784,-1.1929,0.8846,6,0.5000
long,range,sl,2026-06-24T15:30:00.000Z,2026-06-24T15:45:00.000Z,2026-06-24T16:45:00.000Z,7.3992191,7.3261961639095565,1012.0650860756797,7488.491315334313,2.9954,-76.8994,-1.0728,-2.3893,0.7029,4,0.5000
long,range,sl,2026-06-24T16:45:00.000Z,2026-06-24T17:00:00.000Z,2026-06-24T17:15:00.000Z,7.2691801,7.184697627602951,1022.2358907939025,7430.816794864809,2.9723,-89.3333,-1.0615,-1.6420,0.2650,1,0.5000
short,trend,sl,2026-06-24T19:15:00.000Z,2026-06-24T19:30:00.000Z,2026-06-24T20:00:00.000Z,7.2128355,7.301189324144277,1020.932307170446,7363.816788255897,2.9455,-93.1488,-1.0589,-1.7428,0.2070,2,0.5000
long,trend,sl,2026-06-25T08:00:00.000Z,2026-06-25T08:15:00.000Z,2026-06-25T09:15:00.000Z,7.5212557,7.477878421673395,969.7789144532354,7293.95518807121,2.9176,-44.9840,-1.1277,-1.0516,0.0000,4,0.5000
short,trend,tp,2026-06-25T16:15:00.000Z,2026-06-25T16:30:00.000Z,2026-06-26T02:00:00.000Z,7.224831900000001,7.064871125716979,1004.8977366655624,7260.217224099156,2.9041,157.8401,1.6366,-0.7103,1.9362,38,0.5000
long,range,tp,2026-06-26T02:00:00.000Z,2026-06-26T02:15:00.000Z,2026-06-26T03:45:00.000Z,7.0451129,7.1495891432076935,1047.335568455707,7378.597323956135,2.9514,106.4702,1.6217,-0.5601,2.8059,6,0.5000
short,range,sl,2026-06-27T14:00:00.000Z,2026-06-27T14:15:00.000Z,2026-06-27T15:00:00.000Z,7.4117758,7.442843637249825,1006.2973044781634,7458.450008936483,2.9834,-34.2469,-1.1802,-1.6377,0.4777,3,0.5000
short,range,tp,2026-06-27T15:00:00.000Z,2026-06-27T15:15:00.000Z,2026-06-27T17:00:00.000Z,7.4527635000000005,7.401268480191737,997.3166146052337,7432.764863273453,2.9731,48.3837,1.5702,-0.6550,2.9376,7,0.5000
short,trend,tp,2026-06-27T22:45:00.000Z,2026-06-27T23:00:00.000Z,2026-06-28T05:15:00.000Z,7.3198034000000005,7.258168843378376,1020.3897911974827,7469.052662932625,2.9876,59.9037,1.5875,-0.2757,2.3473,25,0.5000
long,range,tp,2026-06-28T05:15:00.000Z,2026-06-28T05:30:00.000Z,2026-06-28T08:00:00.000Z,7.2471735,7.302538251696717,1036.8153048088352,7513.980401405012,3.0056,54.3974,1.5794,-0.9384,2.0117,10,0.5000
long,range,tp,2026-06-28T21:45:00.000Z,2026-06-28T22:00:00.000Z,2026-06-28T22:00:00.000Z,7.1941576,7.263716827830747,1050.1269076610392,7554.778473714163,3.0219,70.0241,1.5977,-0.0517,1.8891,0,0.5000
short,range,tp,2026-06-29T17:00:00.000Z,2026-06-29T17:15:00.000Z,2026-06-30T00:30:00.000Z,7.447765,7.316276303492376,1021.420057263883,7607.296552787944,3.0429,131.2623,1.6289,-0.6748,1.9744,29,0.5000
