side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,range,tp,2026-06-24T05:30:00.000Z,2026-06-24T05:45:00.000Z,2026-06-24T07:00:00.000Z,225.33238,221.65711338349226,33.284164486258035,7500,3.0000,119.3282,1.6258,-0.0488,1.7288,5,0.5000
long,range,sl,2026-06-24T13:15:00.000Z,2026-06-24T13:30:00.000Z,2026-06-24T15:45:00.000Z,217.155127,214.88734196483037,34.94965207036545,7589.496133946022,3.0358,-82.2941,-1.0687,-1.0871,0.8146,9,0.5000
short,trend,tp,2026-06-24T16:00:00.000Z,2026-06-24T16:15:00.000Z,2026-06-24T16:45:00.000Z,216.01517600000003,211.88273846159478,34.84836436512066,7527.775561643668,3.0111,140.9976,1.6318,-0.2641,3.0431,2,0.5000
short,trend,sl,2026-06-24T18:00:00.000Z,2026-06-24T18:15:00.000Z,2026-06-24T19:00:00.000Z,210.076958,213.3696379467039,36.33679685025719,7633.523745766011,3.0534,-122.6989,-1.0458,-1.1067,0.0176,3,0.5000
long,trend,tp,2026-06-24T20:15:00.000Z,2026-06-24T20:30:00.000Z,2026-06-25T07:30:00.000Z,216.97507299999998,221.96748270065547,34.75744703127746,7541.499606905059,3.0166,170.5068,1.6377,-0.4323,2.1649,44,0.5000
short,range,tp,2026-06-25T07:30:00.000Z,2026-06-25T07:45:00.000Z,2026-06-25T09:00:00.000Z,223.043067,220.37905081005755,34.385196643748245,7669.379718819715,3.0678,88.5350,1.6109,-0.3422,1.7411,5,0.5000
short,trend,tp,2026-06-25T12:30:00.000Z,2026-06-25T12:45:00.000Z,2026-06-25T13:30:00.000Z,217.084855,214.00328674868032,35.63482558614715,7735.780945319045,3.0943,106.7168,1.6197,-0.5382,1.9551,3,0.5000
long,range,sl,2026-06-25T13:30:00.000Z,2026-06-25T13:45:00.000Z,2026-06-25T13:45:00.000Z,213.54404399999999,211.37073121575364,36.600499011862574,7815.818571411138,3.1263,-82.6707,-1.0705,-4.3813,0.4531,0,0.5000
short,trend,sl,2026-06-25T14:00:00.000Z,2026-06-25T14:15:00.000Z,2026-06-25T14:30:00.000Z,210.826733,214.46115484947123,36.77814225072921,7753.815576530506,3.1015,-136.7688,-1.0416,-1.3958,0.3716,1,0.5000
short,trend,sl,2026-06-25T14:30:00.000Z,2026-06-25T14:45:00.000Z,2026-06-25T20:15:00.000Z,212.056364,212.1199809092,36.08115703154888,7651.2389690232885,3.0605,-5.3559,-0.0380,-0.3316,0.9551,22,0.5000
long,range,tp,2026-06-26T02:00:00.000Z,2026-06-26T02:15:00.000Z,2026-06-26T03:45:00.000Z,206.91205499999998,210.69802302621952,36.95880391582091,7647.222068564551,3.0589,136.8660,1.6302,-0.9738,1.9889,6,0.5000
short,range,tp,2026-06-26T06:45:00.000Z,2026-06-26T07:00:00.000Z,2026-06-26T09:30:00.000Z,215.945197,211.86814722267798,35.88814035710386,7749.871539378443,3.0999,143.2178,1.6314,-0.5906,1.8458,10,0.5000
short,trend,sl,2026-06-26T12:45:00.000Z,2026-06-26T13:00:00.000Z,2026-06-26T13:30:00.000Z,208.347477,210.5331020935316,37.712407138509306,7857.284878905203,3.1429,-85.5681,-1.0690,-1.2309,0.7668,2,0.5000
short,range,tp,2026-06-27T15:00:00.000Z,2026-06-27T15:15:00.000Z,2026-06-27T17:00:00.000Z,214.845527,212.6458686612498,36.27307915005825,7793.108805906977,3.1172,76.6711,1.6016,-0.0489,2.6485,7,0.5000
long,range,sl,2026-06-27T17:45:00.000Z,2026-06-27T18:00:00.000Z,2026-06-27T19:15:00.000Z,211.26335999999998,209.8195412308882,37.160310993035594,7850.612159033635,3.1402,-56.7930,-1.1068,-1.5522,0.6349,5,0.5000
short,trend,sl,2026-06-27T20:00:00.000Z,2026-06-27T20:15:00.000Z,2026-06-27T22:45:00.000Z,209.817036,209.8799811108,37.21345777436105,7808.017409527593,3.1232,-5.4656,-0.0955,-0.6978,1.6435,10,0.5000
short,trend,sl,2026-06-28T02:45:00.000Z,2026-06-28T03:00:00.000Z,2026-06-28T05:45:00.000Z,208.39746200000002,208.45998123860002,37.44728042987198,7803.91820038759,3.1216,-5.4627,-0.1155,-0.6985,1.2327,11,0.5000
short,trend,sl,2026-06-28T05:45:00.000Z,2026-06-28T06:00:00.000Z,2026-06-28T07:00:00.000Z,208.21751600000002,208.27998125480002,37.45996635236195,7799.821143332387,3.1199,-5.4599,-0.1153,-0.1602,1.0345,4,0.5000
long,range,sl,2026-06-28T19:45:00.000Z,2026-06-28T20:00:00.000Z,2026-06-28T21:15:00.000Z,204.331281,204.2699816157,38.152387627972324,7795.726237232136,3.1183,-5.4570,-0.0839,-0.1942,1.2304,5,0.5000
short,trend,sl,2026-06-28T21:15:00.000Z,2026-06-28T21:30:00.000Z,2026-06-28T22:00:00.000Z,203.958794,205.66819665487566,38.20199819850665,7791.633480957589,3.1167,-68.4193,-1.0869,-1.0992,1.1827,2,0.5000
short,trend,sl,2026-06-28T22:00:00.000Z,2026-06-28T22:15:00.000Z,2026-06-28T23:15:00.000Z,204.528623,204.5899815869,37.84467391176217,7740.319043056741,3.0961,-5.4182,-0.0744,-0.0891,1.2889,4,0.5000
short,trend,signal,2026-06-28T23:15:00.000Z,2026-06-28T23:30:00.000Z,2026-06-29T00:45:00.000Z,204.29869200000002,206.181836,37.8673759475618,7736.255375559136,3.0945,-74.4042,-0.9767,-0.9749,0.3374,5,0.5000
long,trend,sl,2026-06-29T00:45:00.000Z,2026-06-29T01:00:00.000Z,2026-06-29T04:30:00.000Z,206.181836,206.1199814492,37.25086727614513,7680.452207587922,3.0722,-5.3763,-0.0669,-0.9366,1.3195,14,0.5000
short,range,tp,2026-06-29T12:00:00.000Z,2026-06-29T12:15:00.000Z,2026-06-29T13:30:00.000Z,208.257504,205.0443590149079,36.860232273690066,7676.4199701789385,3.0706,115.3667,1.6235,-0.1621,2.3225,5,0.5000
long,range,sl,2026-06-29T14:00:00.000Z,2026-06-29T14:15:00.000Z,2026-06-29T15:00:00.000Z,202.580756,202.51998177320002,38.32024892358253,7762.944997047536,3.1052,-5.4341,-0.0597,-0.6103,0.7948,3,0.5000
short,range,tp,2026-06-29T17:15:00.000Z,2026-06-29T17:30:00.000Z,2026-06-30T01:00:00.000Z,209.177228,205.13440907252405,37.09232369655499,7758.869450924087,3.1035,146.8540,1.6322,-0.5783,1.6809,30,0.5000
long,range,sl,2026-06-30T08:30:00.000Z,2026-06-30T08:45:00.000Z,2026-06-30T11:15:00.000Z,204.29126899999997,202.91213480721578,38.518581777066466,7869.009951317183,3.1476,-56.2699,-1.1082,-1.4650,0.4921,10,0.5000
short,trend,tp,2026-06-30T11:30:00.000Z,2026-06-30T11:45:00.000Z,2026-06-30T12:15:00.000Z,203.798842,201.60367245640109,38.40457311549424,7826.807528442058,3.1307,81.1738,1.6048,-0.1451,1.7454,2,0.5000
short,trend,sl,2026-06-30T13:00:00.000Z,2026-06-30T13:15:00.000Z,2026-06-30T13:45:00.000Z,201.929403,203.64580718689933,39.06161153812782,7887.687898112063,3.1551,-70.2006,-1.0857,-1.4865,0.5313,2,0.5000
long,trend,sl,2026-06-30T14:30:00.000Z,2026-06-30T14:45:00.000Z,2026-06-30T14:45:00.000Z,205.321578,203.3193132805932,38.15983460125813,7835.03745654932,3.1340,-79.5401,-1.0737,-1.1290,0.0095,0,0.5000
short,trend,sl,2026-06-30T15:45:00.000Z,2026-06-30T16:00:00.000Z,2026-06-30T16:45:00.000Z,202.459244,204.48270561392715,38.4046794989612,7775.382377421984,3.1102,-80.8205,-1.0725,-1.0350,0.3054,3,0.5000
long,range,sl,2026-06-30T20:30:00.000Z,2026-06-30T20:45:00.000Z,2026-06-30T21:00:00.000Z,201.20034199999998,199.5706909609922,38.34370702330995,7714.766966637763,3.0859,-65.5728,-1.0894,-1.1533,0.4712,1,0.5000
long,range,sl,2026-06-30T21:00:00.000Z,2026-06-30T21:15:00.000Z,2026-07-01T01:00:00.000Z,200.320078,200.2599819766,38.26669531376338,7665.587390055314,3.0662,-5.3659,-0.0836,-2.3077,1.3357,15,0.5000
long,range,tp,2026-07-01T01:00:00.000Z,2026-07-01T01:15:00.000Z,2026-07-01T01:30:00.000Z,197.969373,200.89478182715712,38.7007487096276,7661.562956675534,3.0646,110.1509,1.6216,-0.7118,1.9203,1,0.5000
long,range,sl,2026-07-01T06:45:00.000Z,2026-07-01T07:00:00.000Z,2026-07-01T07:15:00.000Z,199.179736,197.27615637437958,38.880341330044146,7744.176121708081,3.0977,-77.1095,-1.0753,-1.2198,0.0381,1,0.5000
long,range,sl,2026-07-01T07:15:00.000Z,2026-07-01T07:30:00.000Z,2026-07-01T10:15:00.000Z,197.0591,196.99998227,39.00527303573796,7686.34399967679,3.0745,-5.3804,-0.0722,-0.6541,1.0845,11,0.5000
short,trend,sl,2026-07-01T10:30:00.000Z,2026-07-01T10:45:00.000Z,2026-07-01T13:15:00.000Z,196.700972,198.5151175698946,39.05577380205808,7682.30866907696,3.0729,-73.9258,-1.0788,-1.1393,0.3368,10,0.5000
short,range,sl,2026-07-01T13:45:00.000Z,2026-07-01T14:00:00.000Z,2026-07-01T14:15:00.000Z,200.429853,202.58147008759136,38.05253667581086,7626.864332209881,3.0507,-84.9252,-1.0674,-1.0523,0.4830,1,0.5000
short,range,sl,2026-07-01T14:15:00.000Z,2026-07-01T14:30:00.000Z,2026-07-01T15:15:00.000Z,201.919406,204.20524352463593,37.45638201217179,7563.170406806812,3.0253,-88.6445,-1.0638,-1.8972,0.6425,3,0.5000
short,range,sl,2026-07-01T15:15:00.000Z,2026-07-01T15:30:00.000Z,2026-07-01T21:30:00.000Z,204.9385,207.56935254409615,36.58017919048583,7496.68705302938,2.9987,-99.2357,-1.0562,-1.1607,0.9416,24,0.5000
short,range,sl,2026-07-01T21:30:00.000Z,2026-07-01T21:45:00.000Z,2026-07-01T22:15:00.000Z,207.287795,209.37006841464137,35.80654738402898,7422.260253798386,2.9689,-77.5279,-1.0722,-1.1301,0.2069,2,0.5000
long,trend,sl,2026-07-02T04:00:00.000Z,2026-07-02T04:15:00.000Z,2026-07-02T05:30:00.000Z,207.22214799999998,205.18010950475212,35.53729357856261,7364.11430945635,2.9456,-75.5142,-1.0729,-1.1978,0.1050,5,0.5000
short,range,sl,2026-07-02T09:30:00.000Z,2026-07-02T09:45:00.000Z,2026-07-02T10:45:00.000Z,207.84762700000002,209.64984430300174,35.15786439089464,7307.478684035252,2.9230,-66.2851,-1.0839,-1.1282,0.3321,4,0.5000
long,trend,tp,2026-07-02T12:30:00.000Z,2026-07-02T12:45:00.000Z,2026-07-02T13:15:00.000Z,211.743504,215.76822140045226,34.27621022448768,7257.764856773648,2.9031,135.0490,1.6316,-0.0511,1.9697,2,0.5000
long,trend,sl,2026-07-02T14:15:00.000Z,2026-07-02T14:30:00.000Z,2026-07-02T15:30:00.000Z,214.594359,211.35448049393898,34.29284724162138,7359.051572100659,2.9436,-114.0483,-1.0470,-1.2669,0.2568,4,0.5000
short,trend,sl,2026-07-02T16:15:00.000Z,2026-07-02T16:30:00.000Z,2026-07-02T17:15:00.000Z,209.64708700000003,212.57524944853458,34.69409218460404,7273.5153626117035,2.9094,-104.4993,-1.0515,-1.3870,0.0339,3,0.5000
short,range,sl,2026-07-03T01:30:00.000Z,2026-07-03T01:45:00.000Z,2026-07-03T03:15:00.000Z,213.04606700000002,213.10998082010002,33.77269975400299,7195.140854562206,2.8781,-5.0366,-0.0783,-0.7949,0.8013,6,0.5000
