side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,range,tp,2026-06-24T05:30:00.000Z,2026-06-24T05:45:00.000Z,2026-06-24T07:00:00.000Z,225.33238,221.65711338349226,33.284164486258035,7500,3.0000,119.3282,1.6258,-0.0488,1.7288,5,0.5000
long,range,sl,2026-06-24T13:15:00.000Z,2026-06-24T13:30:00.000Z,2026-06-24T15:45:00.000Z,217.155127,214.88734196483037,34.94965207036545,7589.496133946022,3.0358,-82.2941,-1.0687,-1.0871,0.8146,9,0.5000
short,trend,tp,2026-06-24T16:00:00.000Z,2026-06-24T16:15:00.000Z,2026-06-24T16:45:00.000Z,216.01517600000003,211.88273846159478,34.84836436512066,7527.775561643668,3.0111,140.9976,1.6318,-0.2641,3.0431,2,0.5000
short,trend,sl,2026-06-24T18:00:00.000Z,2026-06-24T18:15:00.000Z,2026-06-24T19:00:00.000Z,210.076958,213.3696379467039,36.33679685025719,7633.523745766011,3.0534,-122.6989,-1.0458,-1.1067,0.0176,3,0.5000
long,trend,tp,2026-06-24T20:15:00.000Z,2026-06-24T20:30:00.000Z,2026-06-25T07:30:00.000Z,216.97507299999998,221.96748270065547,34.75744703127746,7541.499606905059,3.0166,170.5068,1.6377,-0.4323,2.1649,44,0.5000
short,range,tp,2026-06-25T07:30:00.000Z,2026-06-25T07:45:00.000Z,2026-06-25T09:00:00.000Z,223.043067,220.37905081005755,34.385196643748245,7669.379718819715,3.0678,88.5350,1.6109,-0.3422,1.7411,5,0.5000
short,trend,tp,2026-06-25T12:30:00.000Z,2026-06-25T12:45:00.000Z,2026-06-25T13:30:00.000Z,217.084855,214.00328674868032,35.63482558614715,7735.780945319045,3.0943,106.7168,1.6197,-0.5382,1.9551,3,0.5000
long,range,sl,2026-06-25T13:30:00.000Z,2026-06-25T13:45:00.000Z,2026-06-25T13:45:00.000Z,213.54404399999999,211.37073121575364,36.600499011862574,7815.818571411138,3.1263,-82.6707,-1.0705,-4.3813,0.4531,0,0.5000
short,trend,sl,2026-06-25T14:00:00.000Z,2026-06-25T14:15:00.000Z,2026-06-25T14:30:00.000Z,210.826733,214.46115484947123,36.77814225072921,7753.815576530506,3.1015,-136.7688,-1.0416,-1.3958,0.3716,1,0.5000
short,trend,tp,2026-06-25T14:30:00.000Z,2026-06-25T14:45:00.000Z,2026-06-26T02:45:00.000Z,212.056364,205.5540479031833,36.08115703154888,7651.2389690232885,3.0605,231.5506,1.6449,-0.4854,1.6677,48,0.5000
long,range,tp,2026-06-26T02:45:00.000Z,2026-06-26T03:00:00.000Z,2026-06-26T03:45:00.000Z,206.28186599999998,210.21793442332515,37.93305764187284,7824.901913451089,3.1300,146.1771,1.6317,-0.6698,2.1799,3,0.5000
short,range,tp,2026-06-26T06:45:00.000Z,2026-06-26T07:00:00.000Z,2026-06-26T09:30:00.000Z,215.945197,211.86814722267798,36.74327971121912,7934.5347756653155,3.1738,146.6304,1.6314,-0.5906,1.8458,10,0.5000
short,trend,sl,2026-06-26T12:45:00.000Z,2026-06-26T13:00:00.000Z,2026-06-26T13:30:00.000Z,208.347477,210.5331020935316,38.611014956068544,8044.507550506147,3.2178,-87.6070,-1.0690,-1.2309,0.7668,2,0.5000
short,range,tp,2026-06-27T15:00:00.000Z,2026-06-27T15:15:00.000Z,2026-06-27T17:00:00.000Z,214.845527,212.6458686612498,37.137390790826025,7978.802295859964,3.1915,78.4981,1.6016,-0.0489,2.6485,7,0.5000
long,range,sl,2026-06-27T17:45:00.000Z,2026-06-27T18:00:00.000Z,2026-06-27T19:15:00.000Z,211.26335999999998,209.8195412308882,38.0457635137042,8037.675833670555,3.2151,-58.1463,-1.1068,-1.5522,0.6349,5,0.5000
short,trend,tp,2026-06-27T20:00:00.000Z,2026-06-27T20:15:00.000Z,2026-06-28T05:15:00.000Z,209.817036,207.25445667184707,38.100176671715765,7994.066140335747,3.1976,94.4371,1.6121,-0.6978,1.9362,36,0.5000
short,trend,sl,2026-06-28T05:30:00.000Z,2026-06-28T05:45:00.000Z,2026-06-28T08:30:00.000Z,208.01757600000002,209.37579672299574,38.77025258840187,8064.893964347083,3.2260,-55.8845,-1.1127,-2.1479,0.8550,11,0.5000
long,range,sl,2026-06-28T19:45:00.000Z,2026-06-28T20:00:00.000Z,2026-06-28T21:45:00.000Z,204.331281,202.564726303425,39.26457337573178,8022.9805757817685,3.2092,-72.5722,-1.0836,-1.3608,1.2304,7,0.5000
short,trend,sl,2026-06-28T22:00:00.000Z,2026-06-28T22:15:00.000Z,2026-06-29T01:00:00.000Z,204.528623,206.51359872452264,38.96056846395333,7968.5514192296,3.1874,-80.5232,-1.0747,-1.0199,1.2889,11,0.5000
short,range,tp,2026-06-29T12:00:00.000Z,2026-06-29T12:15:00.000Z,2026-06-29T13:30:00.000Z,208.257504,205.0443590149079,37.97298471820213,7908.159016842919,3.1633,118.8494,1.6235,-0.1621,2.3225,5,0.5000
long,range,tp,2026-06-29T14:00:00.000Z,2026-06-29T14:15:00.000Z,2026-06-29T17:00:00.000Z,202.580756,206.54250819633944,39.47707697467605,7997.296098200068,3.1989,153.1995,1.6326,-0.6271,2.5238,11,0.5000
short,range,tp,2026-06-29T17:15:00.000Z,2026-06-29T17:30:00.000Z,2026-06-30T01:00:00.000Z,209.177228,205.13440907252405,38.78144759943812,8112.19570667772,3.2449,153.5415,1.6322,-0.5783,1.6809,30,0.5000
long,range,sl,2026-06-30T08:30:00.000Z,2026-06-30T08:45:00.000Z,2026-06-30T11:15:00.000Z,204.29126899999997,202.91213480721578,40.27265514591406,8227.351825758162,3.2909,-58.8323,-1.1082,-1.4650,0.4921,10,0.5000
short,trend,tp,2026-06-30T11:30:00.000Z,2026-06-30T11:45:00.000Z,2026-06-30T12:15:00.000Z,203.798842,201.60367245640109,40.15345471590551,8183.227573400983,3.2733,84.8703,1.6048,-0.1451,1.7454,2,0.5000
short,trend,sl,2026-06-30T13:00:00.000Z,2026-06-30T13:15:00.000Z,2026-06-30T13:45:00.000Z,201.929403,203.64580718689933,40.84041359630988,8246.880335775937,3.2988,-73.3974,-1.0857,-1.4865,0.5313,2,0.5000
long,trend,sl,2026-06-30T14:30:00.000Z,2026-06-30T14:45:00.000Z,2026-06-30T14:45:00.000Z,205.321578,203.3193132805932,39.89757120903606,8191.832279006651,3.2767,-83.1622,-1.0737,-1.1290,0.0095,0,0.5000
short,trend,sl,2026-06-30T15:45:00.000Z,2026-06-30T16:00:00.000Z,2026-06-30T16:45:00.000Z,202.459244,204.48270561392715,40.15356594390199,8129.460604906543,3.2518,-84.5010,-1.0725,-1.0350,0.3054,3,0.5000
long,range,sl,2026-06-30T20:30:00.000Z,2026-06-30T20:45:00.000Z,2026-06-30T21:00:00.000Z,201.20034199999998,199.5706909609922,40.08981688118969,8066.084867212739,3.2264,-68.5588,-1.0894,-1.1533,0.4712,1,0.5000
long,range,sl,2026-06-30T21:00:00.000Z,2026-06-30T21:15:00.000Z,2026-07-01T01:00:00.000Z,200.320078,198.583471023779,40.00929818403939,8014.6657329520285,3.2059,-72.6863,-1.0833,-2.3077,1.3357,15,0.5000
long,range,tp,2026-07-01T01:00:00.000Z,2026-07-01T01:15:00.000Z,2026-07-01T01:30:00.000Z,197.969373,200.89478182715712,40.20900249796245,7960.15101347706,3.1841,114.4437,1.6216,-0.7118,1.9203,1,0.5000
long,range,sl,2026-07-01T06:45:00.000Z,2026-07-01T07:00:00.000Z,2026-07-01T07:15:00.000Z,199.179736,197.27615637437958,40.395594240079014,8045.983796302058,3.2184,-80.1146,-1.0753,-1.2198,0.0381,1,0.5000
long,range,tp,2026-07-01T07:15:00.000Z,2026-07-01T07:30:00.000Z,2026-07-01T13:45:00.000Z,197.0591,200.2417535215212,40.525394810708995,7985.897828542985,3.1944,125.7839,1.6254,-0.9945,1.8700,25,0.5000
short,range,sl,2026-07-01T13:45:00.000Z,2026-07-01T14:00:00.000Z,2026-07-01T14:15:00.000Z,200.429853,202.58147008759136,40.314532272163206,8080.235777073428,3.2321,-89.9735,-1.0674,-1.0523,0.4830,1,0.5000
short,range,sl,2026-07-01T14:15:00.000Z,2026-07-01T14:30:00.000Z,2026-07-01T15:15:00.000Z,201.919406,204.20524352463593,39.68293978120174,8012.755628954025,3.2051,-93.9139,-1.0638,-1.8972,0.6425,3,0.5000
short,range,sl,2026-07-01T15:15:00.000Z,2026-07-01T15:30:00.000Z,2026-07-01T21:30:00.000Z,204.9385,207.56935254409615,38.754651945025145,7942.320237635536,3.1769,-105.1347,-1.0562,-1.1607,0.9416,24,0.5000
short,range,sl,2026-07-01T21:30:00.000Z,2026-07-01T21:45:00.000Z,2026-07-01T22:15:00.000Z,207.287795,209.37006841464137,37.93503235714094,7863.469210565398,3.1454,-82.1365,-1.0722,-1.1301,0.2069,2,0.5000
long,trend,sl,2026-07-02T04:00:00.000Z,2026-07-02T04:15:00.000Z,2026-07-02T05:30:00.000Z,207.22214799999998,205.18010950475212,37.649773024173086,7801.866837781602,3.1207,-80.0030,-1.0729,-1.1978,0.1050,5,0.5000
short,range,sl,2026-07-02T09:30:00.000Z,2026-07-02T09:45:00.000Z,2026-07-02T10:45:00.000Z,207.84762700000002,209.64984430300174,37.24778904182889,7741.864563340739,3.0967,-70.2254,-1.0839,-1.1282,0.3321,4,0.5000
long,trend,tp,2026-07-02T12:30:00.000Z,2026-07-02T12:45:00.000Z,2026-07-02T13:15:00.000Z,211.743504,215.76822140045226,36.31372581110885,7689.19554653943,3.0757,143.0768,1.6316,-0.0511,1.9697,2,0.5000
long,trend,sl,2026-07-02T14:15:00.000Z,2026-07-02T14:30:00.000Z,2026-07-02T15:30:00.000Z,214.594359,211.35448049393898,36.331351799354074,7796.503150985884,3.1186,-120.8278,-1.0470,-1.2669,0.2568,4,0.5000
short,trend,sl,2026-07-02T16:15:00.000Z,2026-07-02T16:30:00.000Z,2026-07-02T17:15:00.000Z,209.64708700000003,212.57524944853458,36.75644835311943,7705.882325697437,3.0824,-110.7112,-1.0515,-1.3870,0.0339,3,0.5000
short,range,sl,2026-07-03T01:30:00.000Z,2026-07-03T01:45:00.000Z,2026-07-03T06:00:00.000Z,213.04606700000002,215.01506798459388,35.780284656195505,7622.8489221429,3.0491,-73.5006,-1.0786,-1.0680,1.2161,17,0.5000
long,trend,sl,2026-07-03T10:45:00.000Z,2026-07-03T11:00:00.000Z,2026-07-04T01:00:00.000Z,215.47462299999998,213.57555377623714,35.12118225485158,7567.723505678434,3.0271,-69.7246,-1.0819,-1.4303,1.3599,56,0.5000
long,range,sl,2026-07-04T07:30:00.000Z,2026-07-04T07:45:00.000Z,2026-07-04T09:30:00.000Z,212.81382499999998,211.3970823950193,35.31457611546133,7515.4300213849665,3.0062,-53.0378,-1.1098,-1.1038,1.0243,7,0.5000
long,range,tp,2026-07-04T09:30:00.000Z,2026-07-04T09:45:00.000Z,2026-07-04T13:15:00.000Z,211.56345,213.8191864211188,35.335270075993016,7475.651643958844,2.9903,76.7168,1.6041,-0.1503,2.2805,14,0.5000
short,range,sl,2026-07-04T15:00:00.000Z,2026-07-04T15:15:00.000Z,2026-07-04T16:30:00.000Z,214.975488,216.4772465252732,35.04208461297235,7533.189240211023,3.0133,-55.6380,-1.1050,-1.0123,0.3588,5,0.5000
long,trend,sl,2026-07-04T16:45:00.000Z,2026-07-04T17:00:00.000Z,2026-07-04T17:00:00.000Z,215.844734,214.29848604235426,34.70763721043944,7491.460721455802,2.9966,-56.6632,-1.1017,-1.0019,1.3126,0,0.5000
