side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,range,tp,2026-06-24T05:45:00.000Z,2026-06-24T06:00:00.000Z,2026-06-24T08:00:00.000Z,224.26270100000002,220.56602485609997,33.442921923962736,7500.000000000001,3.0000,120.6277,1.6262,-0.1431,1.8001,8,0.5000
short,trend,tp,2026-06-24T16:00:00.000Z,2026-06-24T16:15:00.000Z,2026-06-24T16:45:00.000Z,216.01517600000003,211.88273846159478,35.13859942295891,7590.4707387439685,3.0362,142.1719,1.6318,-0.2641,3.0431,2,0.5000
short,trend,sl,2026-06-24T18:00:00.000Z,2026-06-24T18:15:00.000Z,2026-06-24T19:00:00.000Z,210.076958,213.3696379467039,36.63942833749126,7697.099647999161,3.0788,-123.7208,-1.0458,-1.1067,0.0176,3,0.5000
short,range,sl,2026-06-25T07:15:00.000Z,2026-06-25T07:30:00.000Z,2026-06-25T07:30:00.000Z,221.543517,223.10679327173966,34.32422301436876,7604.309084895597,3.0417,-56.7000,-1.1039,-1.2808,0.0224,0,0.5000
short,range,tp,2026-06-25T07:30:00.000Z,2026-06-25T07:45:00.000Z,2026-06-25T09:00:00.000Z,223.043067,220.37905081005755,33.90279828618,7561.784109631932,3.0247,87.2929,1.6109,-0.3422,1.7411,5,0.5000
short,trend,sl,2026-06-25T14:00:00.000Z,2026-06-25T14:15:00.000Z,2026-06-25T14:30:00.000Z,210.826733,214.46115484947123,36.17783033728505,7627.253777038095,3.0509,-134.5364,-1.0416,-1.3958,0.3716,1,0.5000
short,trend,sl,2026-06-25T14:30:00.000Z,2026-06-25T14:45:00.000Z,2026-06-25T20:15:00.000Z,212.056364,212.1199809092,35.492221672355775,7526.3514781217655,3.0105,-5.2684,-0.0380,-0.3316,0.9551,22,0.5000
long,range,tp,2026-06-26T02:00:00.000Z,2026-06-26T02:15:00.000Z,2026-06-26T03:45:00.000Z,206.91205499999998,210.69802302621952,36.35554314897579,7522.400143595752,3.0090,134.6320,1.6302,-0.9738,1.9889,6,0.5000
short,range,tp,2026-06-26T06:45:00.000Z,2026-06-26T07:00:00.000Z,2026-06-26T09:30:00.000Z,215.945197,211.86814722267798,35.30235551618253,7623.374116506074,3.0493,140.8801,1.6314,-0.5906,1.8458,10,0.5000
short,trend,sl,2026-06-26T12:45:00.000Z,2026-06-26T13:00:00.000Z,2026-06-26T13:30:00.000Z,208.347477,210.5331020935316,37.09684566899396,7729.034199793268,3.0916,-84.1714,-1.0690,-1.2309,0.7668,2,0.5000
short,range,tp,2026-06-27T15:00:00.000Z,2026-06-27T15:15:00.000Z,2026-06-27T17:00:00.000Z,214.845527,212.6458686612498,35.681011138503074,7665.905641944563,3.0664,75.4197,1.6016,-0.0489,2.6485,7,0.5000
long,range,sl,2026-06-27T17:45:00.000Z,2026-06-27T18:00:00.000Z,2026-06-27T19:15:00.000Z,211.26335999999998,209.8195412308882,36.55376112316099,7722.470395516363,3.0890,-55.8660,-1.1068,-1.5522,0.6349,5,0.5000
short,trend,sl,2026-06-27T20:00:00.000Z,2026-06-27T20:15:00.000Z,2026-06-27T22:45:00.000Z,209.817036,209.8799811108,36.60604041515616,7680.570899604275,3.0722,-5.3764,-0.0955,-0.6978,1.6435,10,0.5000
short,trend,sl,2026-06-28T02:45:00.000Z,2026-06-28T03:00:00.000Z,2026-06-28T05:45:00.000Z,208.39746200000002,208.45998123860002,36.83604649600761,7676.53859988198,3.0706,-5.3736,-0.1155,-0.6985,1.2327,11,0.5000
short,trend,sl,2026-06-28T05:45:00.000Z,2026-06-28T06:00:00.000Z,2026-06-28T07:00:00.000Z,208.21751600000002,208.27998125480002,36.84852535229093,7672.508417117043,3.0690,-5.3708,-0.1153,-0.1602,1.0345,4,0.5000
long,range,sl,2026-06-28T19:45:00.000Z,2026-06-28T20:00:00.000Z,2026-06-28T21:15:00.000Z,204.331281,204.2699816157,37.52964456870437,7668.480350198056,3.0674,-5.3679,-0.0839,-0.1942,1.2304,5,0.5000
short,trend,sl,2026-06-28T21:15:00.000Z,2026-06-28T21:30:00.000Z,2026-06-28T22:00:00.000Z,203.958794,205.66819665487566,37.57844536977505,7664.4543980142025,3.0658,-67.3025,-1.0869,-1.0992,1.1827,2,0.5000
short,trend,sl,2026-06-28T22:00:00.000Z,2026-06-28T22:15:00.000Z,2026-06-28T23:15:00.000Z,204.528623,204.5899815869,37.22695351537131,7613.977540983903,3.0456,-5.3298,-0.0744,-0.0891,1.2889,4,0.5000
short,trend,signal,2026-06-28T23:15:00.000Z,2026-06-28T23:30:00.000Z,2026-06-29T00:45:00.000Z,204.29869200000002,206.181836,37.2492849967678,7609.9802027748865,3.0440,-73.1898,-0.9767,-0.9749,0.3374,5,0.5000
long,range,sl,2026-06-29T14:00:00.000Z,2026-06-29T14:15:00.000Z,2026-06-29T15:00:00.000Z,202.580756,202.51998177320002,37.2942032216258,7555.087883054591,3.0220,-5.2886,-0.0597,-0.6103,0.7948,3,0.5000
long,trend,sl,2026-06-29T19:30:00.000Z,2026-06-29T19:45:00.000Z,2026-06-30T00:30:00.000Z,208.902652,206.62428712497479,36.14660412217259,7551.1214619159855,3.0204,-85.3756,-1.0657,-1.1653,0.1161,19,0.5000
long,range,sl,2026-06-30T08:45:00.000Z,2026-06-30T09:00:00.000Z,2026-06-30T11:15:00.000Z,204.281266,202.89344043755034,36.6508878038276,7487.089760589862,2.9948,-53.8599,-1.1075,-1.4479,0.4964,9,0.5000
short,trend,tp,2026-06-30T11:30:00.000Z,2026-06-30T11:45:00.000Z,2026-06-30T12:15:00.000Z,203.798842,201.60367245640109,36.539436541186106,7446.694854426214,2.9787,77.2316,1.6048,-0.1451,1.7454,2,0.5000
short,trend,sl,2026-06-30T13:00:00.000Z,2026-06-30T13:15:00.000Z,2026-06-30T13:45:00.000Z,201.929403,203.64580718689933,37.16456557664608,7504.618539646494,3.0018,-66.7913,-1.0857,-1.4865,0.5313,2,0.5000
short,trend,sl,2026-06-30T15:45:00.000Z,2026-06-30T16:00:00.000Z,2026-06-30T16:45:00.000Z,202.459244,204.48270561392715,36.81988011431359,7454.525092114563,2.9818,-77.4854,-1.0725,-1.0350,0.3054,3,0.5000
long,range,sl,2026-06-30T20:30:00.000Z,2026-06-30T20:45:00.000Z,2026-06-30T21:00:00.000Z,201.20034199999998,199.5706909609922,36.761423715951715,7396.411024056395,2.9586,-62.8669,-1.0894,-1.1533,0.4712,1,0.5000
long,range,sl,2026-06-30T21:00:00.000Z,2026-06-30T21:15:00.000Z,2026-07-01T01:00:00.000Z,200.320078,200.2599819766,36.687589955329386,7349.260881483599,2.9397,-5.1445,-0.0836,-2.3077,1.3357,15,0.5000
long,range,tp,2026-07-01T01:00:00.000Z,2026-07-01T01:15:00.000Z,2026-07-01T01:30:00.000Z,197.969373,200.89478182715712,37.103731795527885,7345.40251952082,2.9382,105.6054,1.6216,-0.7118,1.9203,1,0.5000
long,range,sl,2026-07-01T06:45:00.000Z,2026-07-01T07:00:00.000Z,2026-07-01T07:15:00.000Z,199.179736,197.27615637437958,37.27591338483998,7424.606587151294,2.9698,-73.9275,-1.0753,-1.2198,0.0381,1,0.5000
long,range,sl,2026-07-01T07:15:00.000Z,2026-07-01T07:30:00.000Z,2026-07-01T10:15:00.000Z,197.0591,196.99998227,37.39568968517982,7369.160953240818,2.9477,-5.1584,-0.0722,-0.6541,1.0845,11,0.5000
short,trend,sl,2026-07-01T10:30:00.000Z,2026-07-01T10:45:00.000Z,2026-07-01T13:15:00.000Z,196.700972,198.5151175698946,37.444106497553896,7365.2921437403675,2.9461,-70.8752,-1.0788,-1.1393,0.3368,10,0.5000
long,trend,sl,2026-07-01T17:45:00.000Z,2026-07-01T18:00:00.000Z,2026-07-01T20:15:00.000Z,205.141524,202.79602101975377,35.64434746597839,7312.135761156345,2.9249,-86.5288,-1.0626,-1.1475,0.2795,9,0.5000
