side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,range,tp,2026-06-24T05:45:00.000Z,2026-06-24T06:00:00.000Z,2026-06-24T08:00:00.000Z,224.26270100000002,220.56602485609997,33.442921923962736,7500.000000000001,3.0000,120.6277,1.6262,-0.1431,1.8001,8,0.5000
short,trend,tp,2026-06-24T16:00:00.000Z,2026-06-24T16:15:00.000Z,2026-06-24T16:45:00.000Z,216.01517600000003,211.88273846159478,35.13859942295891,7590.4707387439685,3.0362,142.1719,1.6318,-0.2641,3.0431,2,0.5000
short,trend,sl,2026-06-24T18:00:00.000Z,2026-06-24T18:15:00.000Z,2026-06-24T19:00:00.000Z,210.076958,213.3696379467039,36.63942833749126,7697.099647999161,3.0788,-123.7208,-1.0458,-1.1067,0.0176,3,0.5000
short,range,sl,2026-06-25T07:15:00.000Z,2026-06-25T07:30:00.000Z,2026-06-25T07:30:00.000Z,221.543517,223.10679327173966,34.32422301436876,7604.309084895597,3.0417,-56.7000,-1.1039,-1.2808,0.0224,0,0.5000
short,range,tp,2026-06-25T07:30:00.000Z,2026-06-25T07:45:00.000Z,2026-06-25T09:00:00.000Z,223.043067,220.37905081005755,33.90279828618,7561.784109631932,3.0247,87.2929,1.6109,-0.3422,1.7411,5,0.5000
short,trend,sl,2026-06-25T14:00:00.000Z,2026-06-25T14:15:00.000Z,2026-06-25T14:30:00.000Z,210.826733,214.46115484947123,36.17783033728505,7627.253777038095,3.0509,-134.5364,-1.0416,-1.3958,0.3716,1,0.5000
short,trend,tp,2026-06-25T14:30:00.000Z,2026-06-25T14:45:00.000Z,2026-06-26T02:45:00.000Z,212.056364,205.5540479031833,35.492221672355775,7526.3514781217655,3.0105,227.7711,1.6449,-0.4854,1.6677,48,0.5000
long,range,tp,2026-06-26T02:45:00.000Z,2026-06-26T03:00:00.000Z,2026-06-26T03:45:00.000Z,206.28186599999998,210.21793442332515,37.31389460039735,7697.179805897288,3.0789,143.7912,1.6317,-0.6698,2.1799,3,0.5000
short,range,tp,2026-06-26T06:45:00.000Z,2026-06-26T07:00:00.000Z,2026-06-26T09:30:00.000Z,215.945197,211.86814722267798,36.143536842226915,7805.023183671449,3.1220,144.2370,1.6314,-0.5906,1.8458,10,0.5000
short,trend,sl,2026-06-26T12:45:00.000Z,2026-06-26T13:00:00.000Z,2026-06-26T13:30:00.000Z,208.347477,210.5331020935316,37.9807859436763,7913.200925842021,3.1653,-86.1770,-1.0690,-1.2309,0.7668,2,0.5000
short,range,tp,2026-06-27T15:00:00.000Z,2026-06-27T15:15:00.000Z,2026-06-27T17:00:00.000Z,214.845527,212.6458686612498,36.53121503637986,7848.568146441356,3.1394,77.2168,1.6016,-0.0489,2.6485,7,0.5000
long,range,sl,2026-06-27T17:45:00.000Z,2026-06-27T18:00:00.000Z,2026-06-27T19:15:00.000Z,211.26335999999998,209.8195412308882,37.424760828531795,7906.48071983201,3.1626,-57.1972,-1.1068,-1.5522,0.6349,5,0.5000
short,trend,tp,2026-06-27T20:00:00.000Z,2026-06-27T20:15:00.000Z,2026-06-28T05:15:00.000Z,209.817036,207.25445667184707,37.478285826755965,7863.582846530746,3.1454,92.8956,1.6121,-0.6978,1.9362,36,0.5000
short,trend,sl,2026-06-28T05:30:00.000Z,2026-06-28T05:45:00.000Z,2026-06-28T08:30:00.000Z,208.01757600000002,209.37579672299574,38.13742441678329,7933.254582062475,3.1733,-54.9723,-1.1127,-2.1479,0.8550,11,0.5000
long,range,sl,2026-06-28T19:45:00.000Z,2026-06-28T20:00:00.000Z,2026-06-28T21:45:00.000Z,204.331281,202.564726303425,38.62367664383427,7892.0253255644375,3.1568,-71.3876,-1.0836,-1.3608,1.2304,7,0.5000
short,trend,sl,2026-06-28T22:00:00.000Z,2026-06-28T22:15:00.000Z,2026-06-29T01:00:00.000Z,204.528623,206.51359872452264,38.324633857903336,7838.484589936147,3.1354,-79.2089,-1.0747,-1.0199,1.2889,11,0.5000
long,range,tp,2026-06-29T14:00:00.000Z,2026-06-29T14:15:00.000Z,2026-06-29T17:00:00.000Z,202.580756,206.54250819633944,38.39988603687904,7779.0779436648,3.1116,149.0192,1.6326,-0.6271,2.5238,11,0.5000
long,trend,sl,2026-06-29T19:30:00.000Z,2026-06-29T19:45:00.000Z,2026-06-30T00:30:00.000Z,208.902652,206.62428712497479,37.77282035134739,7890.842344916042,3.1563,-89.2166,-1.0657,-1.1653,0.1161,19,0.5000
long,range,sl,2026-06-30T08:45:00.000Z,2026-06-30T09:00:00.000Z,2026-06-30T11:15:00.000Z,204.281266,202.89344043755034,38.299791483929845,7823.9298918732065,3.1296,-56.2830,-1.1075,-1.4479,0.4964,9,0.5000
short,trend,tp,2026-06-30T11:30:00.000Z,2026-06-30T11:45:00.000Z,2026-06-30T12:15:00.000Z,203.798842,201.60367245640109,38.183326089076736,7781.717640662228,3.1127,80.7062,1.6048,-0.1451,1.7454,2,0.5000
short,trend,sl,2026-06-30T13:00:00.000Z,2026-06-30T13:15:00.000Z,2026-06-30T13:45:00.000Z,201.929403,203.64580718689933,38.83657934277191,7842.247281248065,3.1369,-69.7962,-1.0857,-1.4865,0.5313,2,0.5000
short,trend,sl,2026-06-30T15:45:00.000Z,2026-06-30T16:00:00.000Z,2026-06-30T16:45:00.000Z,202.459244,204.48270561392715,38.476386667343796,7789.900156522105,3.1160,-80.9715,-1.0725,-1.0350,0.3054,3,0.5000
long,range,sl,2026-06-30T20:30:00.000Z,2026-06-30T20:45:00.000Z,2026-06-30T21:00:00.000Z,201.20034199999998,199.5706909609922,38.41530034713936,7729.171567877157,3.0917,-65.6952,-1.0894,-1.1533,0.4712,1,0.5000
long,range,sl,2026-06-30T21:00:00.000Z,2026-06-30T21:15:00.000Z,2026-07-01T01:00:00.000Z,200.320078,198.583471023779,38.33814484543786,7679.90016581341,3.0720,-69.6502,-1.0833,-2.3077,1.3357,15,0.5000
long,range,tp,2026-07-01T01:00:00.000Z,2026-07-01T01:15:00.000Z,2026-07-01T01:30:00.000Z,197.969373,200.89478182715712,38.52950768510136,7627.662478418197,3.0511,109.6635,1.6216,-0.7118,1.9203,1,0.5000
long,range,sl,2026-07-01T06:45:00.000Z,2026-07-01T07:00:00.000Z,2026-07-01T07:15:00.000Z,199.179736,197.27615637437958,38.70830565359662,7709.910101090682,3.0840,-76.7683,-1.0753,-1.2198,0.0381,1,0.5000
long,range,tp,2026-07-01T07:15:00.000Z,2026-07-01T07:30:00.000Z,2026-07-01T13:45:00.000Z,197.0591,200.2417535215212,38.832684568091494,7652.333871571998,3.0609,120.5300,1.6254,-0.9945,1.8700,25,0.5000
long,trend,sl,2026-07-01T17:45:00.000Z,2026-07-01T18:00:00.000Z,2026-07-01T20:15:00.000Z,205.141524,202.79602101975377,37.74336494949992,7742.731406628597,3.0971,-91.6243,-1.0626,-1.1475,0.2795,9,0.5000
short,range,sl,2026-07-01T21:30:00.000Z,2026-07-01T21:45:00.000Z,2026-07-01T22:15:00.000Z,207.287795,209.37006841464137,37.02105667136084,7674.013205976427,3.0696,-80.1576,-1.0722,-1.1301,0.2069,2,0.5000
long,trend,sl,2026-07-02T04:00:00.000Z,2026-07-02T04:15:00.000Z,2026-07-02T05:30:00.000Z,207.22214799999998,205.18010950475212,36.742670143772976,7613.895030448104,3.0456,-78.0755,-1.0729,-1.1978,0.1050,5,0.5000
short,range,sl,2026-07-02T09:45:00.000Z,2026-07-02T10:00:00.000Z,2026-07-02T11:00:00.000Z,208.257504,210.0931155864659,36.278829125888954,7555.338401800136,3.0221,-69.6160,-1.0825,-1.8744,0.1960,4,0.5000
long,trend,tp,2026-07-02T12:30:00.000Z,2026-07-02T12:45:00.000Z,2026-07-02T13:15:00.000Z,211.743504,215.76822140045226,35.43497807122538,7503.126420964423,3.0013,139.6145,1.6316,-0.0511,1.9697,2,0.5000
