side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,trend,sl,2026-06-24T05:45:00.000Z,2026-06-24T06:00:00.000Z,2026-06-24T06:00:00.000Z,0.53826143,0.5263455668983236,13933.74962794566,7500,3.0000,-169.0327,-1.0317,-1.0003,0.0118,0,0.5000
long,trend,sl,2026-06-24T12:30:00.000Z,2026-06-24T12:45:00.000Z,2026-06-24T13:15:00.000Z,0.54296284,0.5329927814441804,13579.613496579756,7373.225510205273,2.9493,-138.3388,-1.0384,-1.5252,0.4013,2,0.5000
long,trend,sl,2026-06-24T13:15:00.000Z,2026-06-24T13:30:00.000Z,2026-06-24T14:00:00.000Z,0.53185951,0.5213791543866897,13668.029337780363,7269.471386257488,2.9078,-146.1536,-1.0358,-1.0228,0.6335,2,0.5000
long,range,tp,2026-06-24T16:45:00.000Z,2026-06-24T17:00:00.000Z,2026-06-24T20:00:00.000Z,0.50855252,0.5277836348154183,14078.892360707974,7159.856188846788,2.8639,267.8889,1.6490,-0.6805,1.8067,12,0.5000
long,trend,sl,2026-06-24T20:15:00.000Z,2026-06-24T20:30:00.000Z,2026-06-25T00:45:00.000Z,0.5316594499999999,0.520342904633165,13844.90171027178,7360.7728285871535,2.9443,-159.6208,-1.0330,-1.1074,0.7115,17,0.5000
long,range,sl,2026-06-25T10:15:00.000Z,2026-06-25T10:30:00.000Z,2026-06-25T12:15:00.000Z,0.50725213,0.5003287778816963,14275.065248145595,7241.057253010832,2.8964,-101.7277,-1.0521,-2.4290,0.5829,7,0.5000
long,range,tp,2026-06-25T12:15:00.000Z,2026-06-25T12:30:00.000Z,2026-06-25T13:15:00.000Z,0.49294784,0.505008561188691,14534.52247283693,7164.761458416424,2.8659,172.4309,1.6394,-0.0204,2.8263,3,0.5000
short,trend,tp,2026-06-25T13:30:00.000Z,2026-06-25T13:45:00.000Z,2026-06-25T13:45:00.000Z,0.5002498799999999,0.4853888355834015,14580.882352926577,7294.084647345637,2.9176,213.7695,1.6442,-0.6112,2.2149,0,0.5000
short,trend,sl,2026-06-25T14:00:00.000Z,2026-06-25T14:15:00.000Z,2026-06-25T14:30:00.000Z,0.49525138,0.5071310752446848,15051.773863126766,7454.411777161462,2.9818,-181.7923,-1.0299,-1.0956,0.4563,1,0.5000
short,trend,sl,2026-06-25T14:30:00.000Z,2026-06-25T14:45:00.000Z,2026-06-25T16:15:00.000Z,0.49705084,0.497199955252,14722.976001486932,7318.0675888389205,2.9272,-5.1226,-0.0278,-3.7224,4.1534,6,0.5000
short,trend,signal,2026-06-25T16:30:00.000Z,2026-06-25T16:45:00.000Z,2026-06-25T20:15:00.000Z,0.48845341999999997,0.5011502999999999,13388.593784843026,6539.70442319732,2.6159,-172.6093,-0.5898,-0.5877,0.2907,14,0.5000
long,trend,sl,2026-06-25T20:15:00.000Z,2026-06-25T20:30:00.000Z,2026-06-25T20:30:00.000Z,0.5011502999999999,0.4883363868047831,14336.554653437597,7184.768665536647,2.8739,-186.5813,-1.0274,-1.1407,0.0000,0,0.5000
long,trend,signal,2026-06-25T21:30:00.000Z,2026-06-25T21:45:00.000Z,2026-06-26T00:45:00.000Z,0.49824943,0.49135255,14139.16862845435,7044.832709801261,2.8179,-100.3341,-0.5968,-0.7359,0.1472,12,0.5000
long,range,sl,2026-06-26T02:00:00.000Z,2026-06-26T02:15:00.000Z,2026-06-26T02:45:00.000Z,0.46533956,0.4555835420085581,14977.411651806824,6969.582147990661,2.7878,-148.9077,-1.0336,-1.0333,0.3286,2,0.5000
short,trend,signal,2026-06-26T03:45:00.000Z,2026-06-26T04:00:00.000Z,2026-06-26T06:45:00.000Z,0.47405774,0.48244469,14466.384095302548,6857.90135019107,2.7432,-124.0720,-0.7809,-0.9417,0.3604,11,0.5000
long,range,sl,2026-06-26T09:45:00.000Z,2026-06-26T10:00:00.000Z,2026-06-26T12:45:00.000Z,0.46463935,0.4572400062620808,14559.3509239369,6764.84734971994,2.7059,-110.4356,-1.0445,-1.4375,0.6142,11,0.5000
short,trend,sl,2026-06-26T13:00:00.000Z,2026-06-26T13:15:00.000Z,2026-06-26T13:30:00.000Z,0.45856239,0.46661266054337175,14571.671837172746,6682.020663949625,2.6728,-119.9787,-1.0409,-1.0540,0.2102,1,0.5000
long,range,sl,2026-06-27T19:15:00.000Z,2026-06-27T19:30:00.000Z,2026-06-27T19:30:00.000Z,0.45323593,0.44703791248729957,14544.382287458067,6592.036632331585,2.6368,-92.7832,-1.0520,-1.3087,0.0000,0,0.5000
long,range,tp,2026-06-27T19:30:00.000Z,2026-06-27T19:45:00.000Z,2026-06-27T21:00:00.000Z,0.44773428,0.45851169150179644,14567.67900203013,6522.4492692450785,2.6090,154.3929,1.6390,-0.1599,1.6803,5,0.5000
long,range,sl,2026-06-28T01:00:00.000Z,2026-06-28T01:15:00.000Z,2026-06-28T02:30:00.000Z,0.44033205999999997,0.4345394111031528,15075.540804109345,6638.243937887524,2.6553,-89.9826,-1.0541,-1.1889,0.4359,5,0.5000
short,trend,sl,2026-06-28T03:00:00.000Z,2026-06-28T03:15:00.000Z,2026-06-28T05:45:00.000Z,0.43976803000000003,0.43989996040900003,14941.415770036614,6570.756978599935,2.6283,-4.5995,-0.0551,-0.2920,1.0677,10,0.5000
long,trend,trail,2026-06-28T07:30:00.000Z,2026-06-28T07:45:00.000Z,2026-06-28T08:30:00.000Z,0.44683400999999995,0.4508683215442855,14697.420483248736,6567.30733118617,2.6269,56.6671,0.7725,-0.0669,2.5378,3,0.5000
long,trend,sl,2026-06-28T08:45:00.000Z,2026-06-28T09:00:00.000Z,2026-06-28T12:00:00.000Z,0.45433626,0.44837733450874545,14548.27228368677,6609.807618831906,2.6439,-89.3360,-1.0543,-1.2252,0.8351,12,0.5000
short,trend,sl,2026-06-28T14:45:00.000Z,2026-06-28T15:00:00.000Z,2026-06-28T20:15:00.000Z,0.44176743,0.441899960229,14810.520602712897,6542.8056236225275,2.6171,-4.5800,-0.0643,-0.7350,1.4080,21,0.5000
short,trend,trail,2026-06-29T04:45:00.000Z,2026-06-29T05:00:00.000Z,2026-06-29T05:30:00.000Z,0.4288713,0.4275562515711238,15247.862588776925,6539.3706506701255,2.6157,17.4359,0.1677,-0.5467,0.9635,2,0.5000
short,trend,sl,2026-06-29T05:30:00.000Z,2026-06-29T05:45:00.000Z,2026-06-29T10:00:00.000Z,0.43167046000000003,0.431799961138,15179.281894296735,6552.447597780743,2.6210,-4.5867,-0.0431,-0.9172,1.1798,17,0.5000
long,range,sl,2026-06-30T00:15:00.000Z,2026-06-30T00:30:00.000Z,2026-06-30T00:30:00.000Z,0.41682501,0.4117090604953729,15711.647347628945,6549.007562791909,2.6196,-82.9996,-1.0581,-1.5674,0.0000,0,0.5000
long,range,tp,2026-06-30T00:30:00.000Z,2026-06-30T00:45:00.000Z,2026-06-30T05:00:00.000Z,0.41112329999999997,0.42024249004524594,15778.132411065826,6486.757864674339,2.5947,141.2891,1.6366,-0.9181,2.1889,17,0.5000
