side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,trend,sl,2026-06-24T05:45:00.000Z,2026-06-24T06:00:00.000Z,2026-06-24T06:00:00.000Z,0.53826143,0.5263455668983236,13933.74962794566,7500,3.0000,-169.0327,-1.0317,-1.0003,0.0118,0,0.5000
long,trend,sl,2026-06-24T12:30:00.000Z,2026-06-24T12:45:00.000Z,2026-06-24T13:15:00.000Z,0.54296284,0.5329927814441804,13579.613496579756,7373.225510205273,2.9493,-138.3388,-1.0384,-1.5252,0.4013,2,0.5000
long,trend,sl,2026-06-24T13:15:00.000Z,2026-06-24T13:30:00.000Z,2026-06-24T14:00:00.000Z,0.53185951,0.5213791543866897,13668.029337780363,7269.471386257488,2.9078,-146.1536,-1.0358,-1.0228,0.6335,2,0.5000
long,range,tp,2026-06-24T16:45:00.000Z,2026-06-24T17:00:00.000Z,2026-06-24T20:00:00.000Z,0.50855252,0.5277836348154183,14078.892360707974,7159.856188846788,2.8639,267.8889,1.6490,-0.6805,1.8067,12,0.5000
long,trend,sl,2026-06-24T20:15:00.000Z,2026-06-24T20:30:00.000Z,2026-06-25T00:45:00.000Z,0.5316594499999999,0.520342904633165,13844.90171027178,7360.7728285871535,2.9443,-159.6208,-1.0330,-1.1074,0.7115,17,0.5000
long,range,sl,2026-06-25T10:15:00.000Z,2026-06-25T10:30:00.000Z,2026-06-25T12:15:00.000Z,0.50725213,0.5003287778816963,14275.065248145595,7241.057253010832,2.8964,-101.7277,-1.0521,-2.4290,0.5829,7,0.5000
long,range,tp,2026-06-25T12:15:00.000Z,2026-06-25T12:30:00.000Z,2026-06-25T13:15:00.000Z,0.49294784,0.505008561188691,14534.52247283693,7164.761458416424,2.8659,172.4309,1.6394,-0.0204,2.8263,3,0.5000
short,trend,tp,2026-06-25T13:30:00.000Z,2026-06-25T13:45:00.000Z,2026-06-25T13:45:00.000Z,0.5002498799999999,0.4853888355834015,14580.882352926577,7294.084647345637,2.9176,213.7695,1.6442,-0.6112,2.2149,0,0.5000
short,trend,sl,2026-06-25T14:00:00.000Z,2026-06-25T14:15:00.000Z,2026-06-25T14:30:00.000Z,0.49525138,0.5071310752446848,15051.773863126766,7454.411777161462,2.9818,-181.7923,-1.0299,-1.0956,0.4563,1,0.5000
short,trend,sl,2026-06-25T14:30:00.000Z,2026-06-25T14:45:00.000Z,2026-06-25T16:15:00.000Z,0.49705084,0.5097356774019272,14722.976001486932,7318.0675888389205,2.9272,-189.6858,-1.0281,-3.7224,4.1534,6,0.5000
short,trend,tp,2026-06-25T16:30:00.000Z,2026-06-25T16:45:00.000Z,2026-06-27T19:15:00.000Z,0.48845341999999997,0.45202230733255705,13135.213489247151,6415.9399512529035,2.5664,475.9641,1.6577,-0.5877,1.7272,202,0.5000
long,range,sl,2026-06-27T19:15:00.000Z,2026-06-27T19:30:00.000Z,2026-06-27T19:30:00.000Z,0.45323593,0.44703791248729957,16619.989286797387,7532.776300991651,3.0131,-106.0241,-1.0520,-1.3087,0.0000,0,0.5000
long,range,tp,2026-06-27T19:30:00.000Z,2026-06-27T19:45:00.000Z,2026-06-27T21:00:00.000Z,0.44773428,0.45851169150179644,16646.610640592462,7453.2582296060045,2.9813,176.4261,1.6390,-0.1599,1.6803,5,0.5000
long,range,sl,2026-06-28T01:00:00.000Z,2026-06-28T01:15:00.000Z,2026-06-28T02:30:00.000Z,0.44033205999999997,0.4345394111031528,17226.94863934052,7585.5777818750075,3.0342,-102.8239,-1.0541,-1.1889,0.4359,5,0.5000
short,trend,sl,2026-06-28T03:00:00.000Z,2026-06-28T03:15:00.000Z,2026-06-28T07:00:00.000Z,0.43976803000000003,0.4454912241921468,17073.68282266143,7508.459859766657,3.0034,-100.7194,-1.0554,-1.0791,1.0677,15,0.5000
long,trend,tp,2026-06-28T07:30:00.000Z,2026-06-28T07:45:00.000Z,2026-06-28T08:30:00.000Z,0.44683400999999995,0.4551522490371882,16634.63423482876,7432.920320031816,2.9732,135.3977,1.6309,-0.0669,2.5378,3,0.5000
long,trend,sl,2026-06-28T08:45:00.000Z,2026-06-28T09:00:00.000Z,2026-06-28T12:00:00.000Z,0.45433626,0.44837733450874545,16583.46307607483,7534.468591831934,3.0138,-101.8334,-1.0543,-1.2252,0.8351,12,0.5000
short,trend,tp,2026-06-28T14:45:00.000Z,2026-06-28T15:00:00.000Z,2026-06-29T02:00:00.000Z,0.44176743,0.4337566406566974,16882.39790699692,7458.093535611409,2.9832,132.2581,1.6299,-0.7350,2.6563,44,0.5000
short,trend,sl,2026-06-29T04:45:00.000Z,2026-06-29T05:00:00.000Z,2026-06-29T06:00:00.000Z,0.4288713,0.4358220653178094,17621.34026567597,7557.2871074828,3.0229,-125.5047,-1.0443,-1.0159,0.9635,4,0.5000
short,trend,sl,2026-06-29T07:15:00.000Z,2026-06-29T07:30:00.000Z,2026-06-29T12:00:00.000Z,0.42727178,0.43365107367644784,17467.00559248629,7463.158570771571,2.9853,-114.4124,-1.0482,-1.1407,0.7476,18,0.5000
long,range,sl,2026-06-30T00:15:00.000Z,2026-06-30T00:30:00.000Z,2026-06-30T00:30:00.000Z,0.41682501,0.4117090604953729,17698.912199290466,7377.3492544583705,2.9509,-93.4977,-1.0581,-1.5674,0.0000,0,0.5000
long,range,tp,2026-06-30T00:30:00.000Z,2026-06-30T00:45:00.000Z,2026-06-30T05:00:00.000Z,0.41112329999999997,0.42024249004524594,17773.80652922915,7307.225993858234,2.9229,159.1598,1.6366,-0.9181,2.1889,17,0.5000
long,trend,tp,2026-06-30T05:00:00.000Z,2026-06-30T05:15:00.000Z,2026-06-30T05:45:00.000Z,0.42262675,0.4316668276125673,17572.469953063028,7426.59586573568,2.9706,155.8859,1.6355,-0.3552,1.6728,2,0.5000
long,trend,sl,2026-06-30T06:15:00.000Z,2026-06-30T06:30:00.000Z,2026-06-30T07:00:00.000Z,0.42682801000000004,0.4205192715647402,17673.41898705548,7543.510256141107,3.0174,-114.5144,-1.0480,-1.0397,0.2057,2,0.5000
long,trend,sl,2026-06-30T07:15:00.000Z,2026-06-30T07:30:00.000Z,2026-06-30T08:00:00.000Z,0.42102627,0.4147247649969317,17712.96710257462,7457.6244698297,2.9830,-114.6014,-1.0474,-1.3965,0.2224,2,0.5000
short,trend,tp,2026-06-30T08:00:00.000Z,2026-06-30T08:15:00.000Z,2026-06-30T12:15:00.000Z,0.41397577,0.4037236566794247,17807.016626544853,7371.673419376709,2.9487,179.6109,1.6397,-0.9143,1.7518,16,0.5000
long,range,tp,2026-06-30T12:15:00.000Z,2026-06-30T12:30:00.000Z,2026-06-30T15:45:00.000Z,0.40662194999999995,0.41612436000006275,18460.34524604101,7506.381581618425,3.0026,172.4152,1.6381,-0.1792,1.8553,13,0.5000
long,range,sl,2026-06-30T20:30:00.000Z,2026-06-30T20:45:00.000Z,2026-07-01T01:00:00.000Z,0.40342099,0.39794584604696237,18927.356739908064,7635.692994096883,3.0543,-106.6843,-1.0524,-1.8337,1.1537,17,0.5000
