side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,range,tp,2026-06-24T16:45:00.000Z,2026-06-24T17:00:00.000Z,2026-06-24T20:00:00.000Z,0.50855252,0.5277836348154183,14747.739328870106,7500,3.0000,280.6155,1.6490,-0.6805,1.8067,12,0.5000
long,range,tp,2026-06-25T12:15:00.000Z,2026-06-25T12:30:00.000Z,2026-06-25T13:15:00.000Z,0.49294784,0.505008561188691,15641.536437660467,7710.461601226022,3.0842,185.5640,1.6394,-0.0204,2.8263,3,0.5000
short,trend,tp,2026-06-25T13:30:00.000Z,2026-06-25T13:45:00.000Z,2026-06-25T13:45:00.000Z,0.5002498799999999,0.4853888355834015,15691.427292693574,7849.6346201986835,3.1399,230.0511,1.6442,-0.6112,2.2149,0,0.5000
short,trend,sl,2026-06-25T14:00:00.000Z,2026-06-25T14:15:00.000Z,2026-06-25T14:30:00.000Z,0.49525138,0.5071310752446848,16198.183997548946,8022.172978280032,3.2089,-195.6384,-1.0299,-1.0956,0.4563,1,0.5000
short,trend,sl,2026-06-25T14:30:00.000Z,2026-06-25T14:45:00.000Z,2026-06-25T16:15:00.000Z,0.49705084,0.497199955252,15844.343426379462,7875.44420933039,3.1502,-5.5128,-0.0278,-3.7224,4.1534,6,0.5000
short,trend,signal,2026-06-25T16:30:00.000Z,2026-06-25T16:45:00.000Z,2026-06-25T20:15:00.000Z,0.48845341999999997,0.5011502999999999,14408.328717096212,7037.797438349857,2.8151,-185.7559,-0.5898,-0.5877,0.2907,14,0.5000
long,range,sl,2026-06-26T02:00:00.000Z,2026-06-26T02:15:00.000Z,2026-06-26T02:45:00.000Z,0.46533956,0.4555835420085581,16615.80770469599,7731.992646347842,3.0928,-165.1969,-1.0336,-1.0333,0.3286,2,0.5000
short,trend,signal,2026-06-26T03:45:00.000Z,2026-06-26T04:00:00.000Z,2026-06-26T06:45:00.000Z,0.47405774,0.48244469,16048.878264010462,7608.094959371923,3.0432,-137.6444,-0.7809,-0.9417,0.3604,11,0.5000
long,range,sl,2026-06-26T09:45:00.000Z,2026-06-26T10:00:00.000Z,2026-06-26T12:45:00.000Z,0.46463935,0.4572400062620808,16152.014839502626,7504.861676216855,3.0019,-122.5163,-1.0445,-1.4375,0.6142,11,0.5000
short,trend,sl,2026-06-26T13:00:00.000Z,2026-06-26T13:15:00.000Z,2026-06-26T13:30:00.000Z,0.45856239,0.46661266054337175,16165.683551415766,7412.974485320901,2.9652,-133.1033,-1.0409,-1.0540,0.2102,1,0.5000
