side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,range,tp,2025-09-01T02:00:00.000Z,2025-09-01T03:00:00.000Z,2025-09-01T07:00:00.000Z,23.100732425,23.640125216435035,324.6650306153659,7500,2.2500,172.8720,1.6453,-0.7747,2.0989,4,0.5000
short,range,sl,2025-09-03T08:00:00.000Z,2025-09-03T09:00:00.000Z,2025-09-03T16:00:00.000Z,25.045121475,25.548639837184275,304.63633368576916,7629.653982858723,2.2889,-155.6789,-1.0306,-1.0968,0.3350,7,0.5000
long,range,tp,2025-09-05T00:00:00.000Z,2025-09-05T01:00:00.000Z,2025-09-05T05:00:00.000Z,23.9177937,24.477441698440217,314.1132043405458,7512.894819863119,2.2539,173.5390,1.6453,-0.2138,1.7606,4,0.5000
short,range,sl,2025-09-08T08:00:00.000Z,2025-09-08T09:00:00.000Z,2025-09-08T10:00:00.000Z,25.0941178,25.385158476635187,304.5753231499643,7643.04903809827,2.2929,-90.9367,-1.0534,-1.1639,0.1486,1,0.5000
short,range,sl,2025-09-08T10:00:00.000Z,2025-09-08T11:00:00.000Z,2025-09-08T15:00:00.000Z,25.327100325,25.624322218255084,299.08068427737544,7574.846495962738,2.2725,-91.1658,-1.0528,-1.6402,0.9501,4,0.5000
short,range,tp,2025-09-08T15:00:00.000Z,2025-09-08T16:00:00.000Z,2025-09-09T01:00:00.000Z,25.715071225,25.138623579839212,291.9094446369139,7506.472160088435,2.2519,166.0186,1.6444,-0.1646,1.7668,9,0.5000
short,range,sl,2025-09-09T06:00:00.000Z,2025-09-09T07:00:00.000Z,2025-09-09T13:00:00.000Z,25.95205345,26.357428413507492,294.0417066620704,7630.986087823272,2.2893,-121.4864,-1.0395,-1.0188,0.3624,6,0.5000
short,range,sl,2025-09-10T04:00:00.000Z,2025-09-10T05:00:00.000Z,2025-09-10T06:00:00.000Z,26.431017524999998,26.842148842856734,285.2660231200331,7539.871256372649,2.2620,-119.5438,-1.0396,-1.5555,0.6054,1,0.5000
short,range,sl,2025-09-10T06:00:00.000Z,2025-09-10T07:00:00.000Z,2025-09-10T12:00:00.000Z,26.97197695,27.43912052308128,276.22051776672413,7450.213438321148,2.2351,-131.2697,-1.0356,-2.7304,1.2943,5,0.5000
short,range,sl,2025-09-10T12:00:00.000Z,2025-09-10T13:00:00.000Z,2025-09-10T13:00:00.000Z,28.101892199999998,28.6827186129376,261.61089467764003,7351.761160576593,2.2055,-154.1560,-1.0298,-1.1798,0.4402,0,0.5000
short,range,sl,2025-09-10T13:00:00.000Z,2025-09-10T14:00:00.000Z,2025-09-10T16:00:00.000Z,28.37187195,29.01124516434277,255.04641142156666,7236.1441261597065,2.1708,-165.2407,-1.0273,-1.2306,0.2709,2,0.5000
short,range,sl,2025-09-10T16:00:00.000Z,2025-09-10T17:00:00.000Z,2025-09-11T04:00:00.000Z,29.07181945,29.75292354474492,244.64287909656178,7112.213610823424,2.1337,-168.7609,-1.0262,-1.3808,0.9771,11,0.5000
short,range,sl,2025-09-13T02:00:00.000Z,2025-09-13T03:00:00.000Z,2025-09-13T03:00:00.000Z,29.833762299999997,30.306038076224436,234.15226153805776,6985.642912733847,2.0957,-112.6801,-1.0389,-1.0066,0.5954,0,0.5000
short,range,sl,2025-09-13T03:00:00.000Z,2025-09-13T04:00:00.000Z,2025-09-13T04:00:00.000Z,30.227732749999998,30.746555878249833,228.3046786654562,6901.132812274036,2.0703,-120.5201,-1.0359,-1.1308,0.2605,0,0.5000
short,range,tp,2025-09-13T04:00:00.000Z,2025-09-13T05:00:00.000Z,2025-09-13T13:00:00.000Z,30.710696525,29.795419731904254,221.77102825273062,6810.742746706811,2.0432,200.9387,1.6499,-0.9493,1.8987,8,0.5000
long,range,tp,2025-09-15T08:00:00.000Z,2025-09-15T09:00:00.000Z,2025-09-15T20:00:00.000Z,28.341125425,29.559944727407995,245.63056801207924,6961.446736244331,2.0884,297.2908,1.6550,-0.1205,2.2985,11,0.5000
short,range,sl,2025-09-15T21:00:00.000Z,2025-09-15T22:00:00.000Z,2025-09-17T22:00:00.000Z,30.286728325,31.00773436351996,237.21330319340782,7184.414868894597,2.1553,-173.1875,-1.0258,-2.2049,1.5747,48,0.5000
short,range,sl,2025-09-17T22:00:00.000Z,2025-09-17T23:00:00.000Z,2025-09-18T01:00:00.000Z,31.543634049999998,32.234333732483044,223.64335689261875,7054.52420753431,2.1164,-156.5868,-1.0281,-1.5732,0.0097,2,0.5000
short,range,sl,2025-09-18T01:00:00.000Z,2025-09-18T02:00:00.000Z,2025-09-18T04:00:00.000Z,32.505561900000004,33.22030431170517,213.41222047575909,6937.084142891235,2.0811,-154.6159,-1.0280,-1.1003,0.3768,2,0.5000
short,range,sl,2025-09-18T17:00:00.000Z,2025-09-18T18:00:00.000Z,2025-09-18T20:00:00.000Z,34.3054269,35.03562126032998,198.83507775547997,6821.122225096435,2.0463,-147.2346,-1.0289,-1.2805,0.0854,2,0.5000
short,range,sl,2025-09-18T20:00:00.000Z,2025-09-18T21:00:00.000Z,2025-09-19T00:00:00.000Z,34.808389174999995,35.5691060714264,192.78962463755465,6710.69628328617,2.0132,-148.6715,-1.0281,-1.0087,0.2765,3,0.5000
long,range,tp,2025-09-20T12:00:00.000Z,2025-09-20T13:00:00.000Z,2025-09-20T15:00:00.000Z,32.963472075,33.82088342559788,200.19713390384143,6599.192632934312,1.9798,169.6715,1.6474,-0.1331,2.0284,2,0.5000
long,range,tp,2025-09-21T08:00:00.000Z,2025-09-21T09:00:00.000Z,2025-09-21T10:00:00.000Z,32.679450775,33.35922277365567,205.83106895304425,6726.446285816641,2.0179,137.9003,1.6426,-0.2561,2.2325,1,0.5000
