side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,range,sl,2025-03-06T03:00:00.000Z,2025-03-06T04:00:00.000Z,2025-03-06T04:00:00.000Z,0.20821438274999998,0.2130354318514924,36020.5664034513,7500,2.2500,-175.9069,-1.0266,-1.3507,0.0325,0,0.5000
short,range,sl,2025-03-06T04:00:00.000Z,2025-03-06T05:00:00.000Z,2025-03-06T05:00:00.000Z,0.214103941,0.21929206955563404,34413.51792085436,7368.069810529045,2.2104,-180.7522,-1.0254,-1.1179,0.0144,0,0.5000
short,range,tp,2025-03-06T05:00:00.000Z,2025-03-06T06:00:00.000Z,2025-03-06T07:00:00.000Z,0.217143713,0.20818053578014895,33307.46066110107,7232.5056785529205,2.1698,296.3709,1.6546,-0.1406,1.7709,1,0.5000
long,range,tp,2025-03-07T00:00:00.000Z,2025-03-07T01:00:00.000Z,2025-03-07T09:00:00.000Z,0.19170437675000002,0.2018183467048785,38886.873610525145,7454.783869261746,2.2364,391.0642,1.6572,-0.1095,1.9718,8,0.5000
long,range,sl,2025-03-09T02:00:00.000Z,2025-03-09T03:00:00.000Z,2025-03-09T10:00:00.000Z,0.18990424175,0.186055106616498,40799.941986515245,7748.082046393167,2.3244,-159.3689,-1.0297,-1.6329,0.5419,7,0.5000
long,range,sl,2025-03-09T10:00:00.000Z,2025-03-09T11:00:00.000Z,2025-03-09T13:00:00.000Z,0.18457384200000002,0.1808736083802253,41330.64185944546,7628.555360323873,2.2886,-155.2216,-1.0301,-1.2490,0.3528,2,0.5000
long,range,sl,2025-03-09T13:00:00.000Z,2025-03-09T14:00:00.000Z,2025-03-09T15:00:00.000Z,0.18022351575,0.17641139871809466,41682.34722979768,7512.139162466411,2.2536,-161.1516,-1.0285,-1.1288,0.4540,1,0.5000
long,range,sl,2025-03-09T15:00:00.000Z,2025-03-09T16:00:00.000Z,2025-03-09T16:00:00.000Z,0.177293296,0.17317820941352918,41689.53710354325,7391.275441801475,2.2174,-173.7734,-1.0259,-1.7089,0.1493,0,0.5000
long,range,sl,2025-03-09T16:00:00.000Z,2025-03-09T17:00:00.000Z,2025-03-09T18:00:00.000Z,0.17052278825,0.1658911825371164,42580.49870134495,7260.945363628845,2.1783,-199.3944,-1.0220,-1.1530,0.4817,1,0.5000
long,range,tp,2025-03-09T18:00:00.000Z,2025-03-09T19:00:00.000Z,2025-03-10T09:00:00.000Z,0.16900267425,0.1776821228772162,42078.62166500653,7111.399590140092,2.1334,363.0858,1.6569,-0.8723,2.2750,14,0.5000
long,range,sl,2025-03-10T14:00:00.000Z,2025-03-10T15:00:00.000Z,2025-03-10T17:00:00.000Z,0.16574242975,0.15948210441500024,44549.32851324648,7383.713951516427,2.2151,-281.1084,-1.0157,-1.3928,0.6998,2,0.5000
long,range,sl,2025-03-10T17:00:00.000Z,2025-03-10T18:00:00.000Z,2025-03-10T19:00:00.000Z,0.15796184625,0.15121328222271163,42799.613575810996,6760.70597922167,2.0282,-290.8641,-1.0138,-1.1206,0.3772,1,0.5000
short,range,tp,2025-03-15T13:00:00.000Z,2025-03-15T14:00:00.000Z,2025-03-16T09:00:00.000Z,0.1772867025,0.17251457154086514,39228.743284628545,6954.734540150814,2.0864,185.1183,1.6481,-0.1583,2.0280,19,0.5000
long,range,tp,2025-03-16T11:00:00.000Z,2025-03-16T12:00:00.000Z,2025-03-17T03:00:00.000Z,0.16748256025000002,0.17227202602299788,42354.10086595375,7093.573250116677,2.1281,200.7254,1.6492,-0.6412,1.9513,15,0.5000
short,range,sl,2025-03-19T14:00:00.000Z,2025-03-19T15:00:00.000Z,2025-03-19T19:00:00.000Z,0.17269704675,0.17578700957553314,41946.96707208219,7244.117333468088,2.1732,-131.7878,-1.0344,-1.0579,1.4444,4,0.5000
short,range,tp,2025-03-19T23:00:00.000Z,2025-03-20T00:00:00.000Z,2025-03-20T10:00:00.000Z,0.17787665824999999,0.17181276707951607,40169.837631833354,7145.276480395611,2.1436,241.4419,1.6520,-0.3252,1.9340,10,0.5000
long,range,tp,2025-03-20T16:00:00.000Z,2025-03-20T17:00:00.000Z,2025-03-24T00:00:00.000Z,0.16704252725000002,0.1728520084531135,43859.23786356691,7326.357935989108,2.1979,252.6015,1.6523,-0.7036,2.1767,79,0.5000
short,range,sl,2025-03-24T03:00:00.000Z,2025-03-24T04:00:00.000Z,2025-03-24T06:00:00.000Z,0.173666974,0.1759529379385935,43277.13494286464,7515.809068916966,2.2547,-101.1847,-1.0470,-1.0044,0.0000,2,0.5000
short,range,sl,2025-03-24T06:00:00.000Z,2025-03-24T07:00:00.000Z,2025-03-24T14:00:00.000Z,0.17553683375,0.17776087377808655,42383.81412922507,7439.920534492683,2.2320,-96.4953,-1.0488,-4.2397,0.5145,7,0.5000
short,range,sl,2025-03-24T14:00:00.000Z,2025-03-24T15:00:00.000Z,2025-03-24T18:00:00.000Z,0.18189635675,0.18476843239989157,40504.10469805982,7367.549077997639,2.2103,-118.5411,-1.0390,-2.1315,0.5313,3,0.5000
short,range,tp,2025-03-24T18:00:00.000Z,2025-03-24T19:00:00.000Z,2025-03-25T04:00:00.000Z,0.18695597725,0.1811330247440915,38932.391180539926,7278.643239837123,2.1836,224.5179,1.6506,-0.5850,1.7849,9,0.5000
short,range,sl,2025-03-25T14:00:00.000Z,2025-03-25T15:00:00.000Z,2025-03-26T07:00:00.000Z,0.19151563525,0.1960208981081908,38884.718910684656,7447.03164369746,2.2341,-177.4200,-1.0261,-2.3444,0.6467,16,0.5000
short,range,tp,2025-03-26T07:00:00.000Z,2025-03-26T08:00:00.000Z,2025-03-26T19:00:00.000Z,0.2011649115,0.19271920445542268,36358.063626235366,7313.966651683006,2.1942,304.8754,1.6548,-0.8969,1.8777,11,0.5000
long,range,sl,2025-03-28T04:00:00.000Z,2025-03-28T05:00:00.000Z,2025-03-28T09:00:00.000Z,0.1852338915,0.18063510255762727,40719.455352790246,7542.623174757842,2.2628,-189.5230,-1.0242,-1.0461,0.0000,4,0.5000
