side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,range,sl,2025-03-06T16:00:00.000Z,2025-03-06T17:00:00.000Z,2025-03-06T19:00:00.000Z,15.95119625,15.32246708195078,470.1841719237828,7500,2.2500,-297.8685,-1.0150,-1.4920,0.1102,2,0.5000
long,range,sl,2025-03-06T19:00:00.000Z,2025-03-06T20:00:00.000Z,2025-03-07T00:00:00.000Z,15.361152,14.695575490677054,440.19488392616836,6761.90052161223,2.0286,-295.0119,-1.0136,-1.0756,0.5125,4,0.5000
long,range,sl,2025-03-09T12:00:00.000Z,2025-03-09T13:00:00.000Z,2025-03-09T22:00:00.000Z,14.7811085,14.366077427539652,477.3214176900822,7055.339664250925,2.1166,-200.2198,-1.0213,-1.3418,1.1416,9,0.5000
long,range,sl,2025-03-10T17:00:00.000Z,2025-03-10T18:00:00.000Z,2025-03-11T00:00:00.000Z,13.65102375,13.02665941528674,445.1349491616769,6076.547762961094,1.8230,-279.7494,-1.0129,-1.0976,1.0299,6,0.5000
short,range,sl,2025-03-14T11:00:00.000Z,2025-03-14T12:00:00.000Z,2025-03-15T06:00:00.000Z,14.078944,14.665527771350858,460.0503276589864,6477.0228002925205,1.9431,-271.8012,-1.0148,-1.1870,0.7883,18,0.5000
long,range,tp,2025-03-16T22:00:00.000Z,2025-03-16T23:00:00.000Z,2025-03-17T03:00:00.000Z,12.910968250000002,13.508508247019606,502.79047914011494,6491.511912580312,1.9475,298.4900,1.6559,-0.2258,1.8940,4,0.5000
short,range,sl,2025-03-18T23:00:00.000Z,2025-03-19T00:00:00.000Z,2025-03-19T09:00:00.000Z,14.158938,14.581962465099567,474.2855282264202,6715.379388455133,2.0146,-202.6490,-1.0206,-1.0058,0.8813,9,0.5000
short,range,sl,2025-03-19T10:00:00.000Z,2025-03-19T11:00:00.000Z,2025-03-19T20:00:00.000Z,14.918880999999999,15.356577629376245,439.9386684350452,6563.392641680895,1.9690,-194.5287,-1.0210,-1.0416,1.1750,9,0.5000
short,range,sl,2025-03-21T17:00:00.000Z,2025-03-21T18:00:00.000Z,2025-03-21T20:00:00.000Z,15.118865999999999,15.564644587598195,424.469409551404,6417.496124106797,1.9252,-191.1446,-1.0209,-1.0001,0.1108,2,0.5000
short,range,sl,2025-03-21T20:00:00.000Z,2025-03-21T21:00:00.000Z,2025-03-22T00:00:00.000Z,15.508836749999999,15.95904211435322,404.55243408745827,6274.137657077525,1.8822,-184.0139,-1.0212,-1.1251,0.2668,3,0.5000
