side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,range,sl,2025-03-05T08:00:00.000Z,2025-03-05T09:00:00.000Z,2025-03-05T09:00:00.000Z,15.867809824999998,16.44610681051189,472.6550218785472,7500,2.2500,-275.5850,-1.0169,-1.0834,0.0625,0,0.5000
short,range,sl,2025-03-05T09:00:00.000Z,2025-03-05T10:00:00.000Z,2025-03-06T00:00:00.000Z,16.02879775,16.636590103849077,455.0129949231804,7293.311269245434,2.1880,-278.7414,-1.0163,-1.1201,0.7794,14,0.5000
short,range,sl,2025-03-06T01:00:00.000Z,2025-03-06T02:00:00.000Z,2025-03-06T10:00:00.000Z,16.86873475,17.396065335931162,419.963637746906,7084.255209797645,2.1253,-223.5849,-1.0197,-1.5040,0.0416,8,0.5000
long,range,sl,2025-03-09T02:00:00.000Z,2025-03-09T03:00:00.000Z,2025-03-09T10:00:00.000Z,15.055129050000001,14.702694977674149,459.41595558779335,6916.566499003298,2.0750,-163.9888,-1.0257,-1.1756,0.8674,7,0.5000
long,range,sl,2025-03-09T10:00:00.000Z,2025-03-09T11:00:00.000Z,2025-03-09T14:00:00.000Z,14.68310115,14.355447001061417,462.6798402496575,6793.574894451563,2.0381,-153.6370,-1.0269,-1.3085,0.1852,3,0.5000
long,range,sl,2025-03-09T14:00:00.000Z,2025-03-09T15:00:00.000Z,2025-03-09T16:00:00.000Z,14.334074975,14.007503843580196,465.90708676925146,6678.347113134281,2.0035,-154.1553,-1.0264,-1.1604,0.4092,1,0.5000
long,range,sl,2025-03-09T16:00:00.000Z,2025-03-09T17:00:00.000Z,2025-03-09T18:00:00.000Z,13.98304865,13.636052894034009,469.33474923487245,6562.730631686772,1.9688,-164.8260,-1.0242,-1.0325,0.1865,1,0.5000
long,range,sl,2025-03-10T14:00:00.000Z,2025-03-10T15:00:00.000Z,2025-03-10T17:00:00.000Z,13.382003575,12.918099892287868,481.17691096273256,6439.111142710744,1.9317,-225.1515,-1.0172,-1.2347,0.5782,2,0.5000
long,range,sl,2025-03-10T17:00:00.000Z,2025-03-10T18:00:00.000Z,2025-03-11T00:00:00.000Z,12.8889666,12.39883511304031,486.48178954315006,6270.24753692989,1.8811,-240.3211,-1.0156,-2.1422,0.3763,6,0.5000
short,range,sl,2025-03-14T08:00:00.000Z,2025-03-14T09:00:00.000Z,2025-03-14T13:00:00.000Z,13.836962149999998,14.238419389856773,440.1259924721544,6090.0066990683845,1.8270,-178.5188,-1.0212,-1.0978,0.3020,4,0.5000
