side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,range,tp,2026-02-28T06:00:00.000Z,2026-02-28T07:00:00.000Z,2026-02-28T14:00:00.000Z,1.0340775500000001,1.0749324068861141,7252.840949888138,7500,2.2500,294.0638,1.6540,-0.2479,1.7102,7,0.5000
short,range,sl,2026-02-28T20:00:00.000Z,2026-02-28T21:00:00.000Z,2026-03-01T02:00:00.000Z,1.1459140499999998,1.1814943704677425,6737.458044317611,7720.547834269072,2.3162,-242.0371,-1.0198,-1.3651,0.5085,5,0.5000
short,range,sl,2026-03-02T06:00:00.000Z,2026-03-02T07:00:00.000Z,2026-03-02T14:00:00.000Z,1.216908725,1.2598880514133035,6195.222261834195,7539.020023740266,2.2617,-268.5282,-1.0174,-1.9739,1.1011,7,0.5000
short,range,sl,2026-03-02T14:00:00.000Z,2026-03-02T15:00:00.000Z,2026-03-02T21:00:00.000Z,1.2989025749999998,1.346108019952124,5649.094878720348,7337.6238843891715,2.2013,-268.8693,-1.0170,-1.8824,0.6176,6,0.5000
long,range,sl,2026-03-05T00:00:00.000Z,2026-03-05T01:00:00.000Z,2026-03-06T13:00:00.000Z,1.277095775,1.2352865858359767,5587.656016652404,7135.971891020115,2.1408,-235.7562,-1.0182,-1.0159,1.2043,36,0.5000
long,range,sl,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-07T06:00:00.000Z,1.2400930000000001,1.210813788034546,5611.800705113931,6959.1547718068505,2.0877,-166.3968,-1.0254,-1.0753,0.4809,16,0.5000
long,range,tp,2026-03-07T06:00:00.000Z,2026-03-07T07:00:00.000Z,2026-03-08T10:00:00.000Z,1.211090825,1.2504145804401325,5643.141698491942,6834.357135218508,2.0503,219.8592,1.6513,-0.7667,1.7762,27,0.5000
short,range,sl,2026-03-10T08:00:00.000Z,2026-03-10T09:00:00.000Z,2026-03-10T14:00:00.000Z,1.2919031,1.3219002266514308,5417.783692842147,6999.251547912218,2.0998,-164.6177,-1.0265,-1.3546,0.4021,5,0.5000
short,range,sl,2026-03-12T07:00:00.000Z,2026-03-12T08:00:00.000Z,2026-03-12T18:00:00.000Z,1.32190085,1.3456912755776023,5201.440227994978,6875.788258610755,2.0627,-125.8072,-1.0342,-1.2015,0.8082,10,0.5000
short,range,sl,2026-03-12T22:00:00.000Z,2026-03-12T23:00:00.000Z,2026-03-13T00:00:00.000Z,1.360897925,1.388428445177393,4983.057674051654,6781.432848772222,2.0344,-139.2206,-1.0304,-1.5897,0.5126,1,0.5000
short,range,sl,2026-03-13T00:00:00.000Z,2026-03-13T01:00:00.000Z,2026-03-13T01:00:00.000Z,1.3818963499999999,1.4124872430640913,4831.778735793611,6677.017399000805,2.0031,-149.8115,-1.0278,-1.3294,0.0000,0,0.5000
short,range,tp,2026-03-13T01:00:00.000Z,2026-03-13T02:00:00.000Z,2026-03-13T06:00:00.000Z,1.412894025,1.3590637200357525,4646.249919645615,6564.658750124019,1.9694,248.1397,1.6535,-0.2200,1.7615,4,0.5000
short,range,sl,2026-03-15T01:00:00.000Z,2026-03-15T02:00:00.000Z,2026-03-15T02:00:00.000Z,1.3438992,1.3620335602166977,5023.266246077992,6750.763489491217,2.0252,-93.1189,-1.0458,-1.0212,0.2200,0,0.5000
short,range,tp,2026-03-15T02:00:00.000Z,2026-03-15T03:00:00.000Z,2026-03-15T14:00:00.000Z,1.359898,1.3285365303531478,4912.81278303815,6680.924278028015,2.0043,152.0688,1.6450,-0.8557,1.9078,11,0.5000
short,range,sl,2026-03-16T02:00:00.000Z,2026-03-16T03:00:00.000Z,2026-03-16T03:00:00.000Z,1.3708971749999999,1.394982399866062,4956.590447272165,6794.975841797397,2.0385,-121.4191,-1.0351,-1.4832,0.2492,0,0.5000
