side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,range,sl,2025-03-09T13:00:00.000Z,2025-03-09T14:00:00.000Z,2025-03-09T16:00:00.000Z,260.11950750000005,252.1304246763146,28.83290096956684,7500,2.2500,-232.5984,-1.0194,-1.2788,0.4651,2,0.5000
long,range,sl,2025-03-09T16:00:00.000Z,2025-03-09T17:00:00.000Z,2025-03-09T18:00:00.000Z,250.5187875,241.98509659543961,29.241524149482235,7325.551174580258,2.1977,-251.7358,-1.0175,-1.3141,0.1987,1,0.5000
long,range,tp,2025-03-09T18:00:00.000Z,2025-03-09T19:00:00.000Z,2025-03-10T01:00:00.000Z,242.41818,257.1653860950297,29.439827198865768,7136.7493290635375,2.1410,432.0142,1.6584,-0.4767,1.6706,6,0.5000
long,range,sl,2025-03-10T14:00:00.000Z,2025-03-10T15:00:00.000Z,2025-03-10T17:00:00.000Z,230.5172875,220.17750716287662,29.045797213196185,6695.558386861044,2.0087,-302.3358,-1.0132,-1.6759,0.5239,2,0.5000
long,range,tp,2025-03-10T17:00:00.000Z,2025-03-10T18:00:00.000Z,2025-03-11T06:00:00.000Z,216.1162075,234.74790991552834,25.88228534977218,5593.5813512255745,1.6781,480.5530,1.6609,-0.3324,1.7697,12,0.5000
short,range,tp,2025-03-11T18:00:00.000Z,2025-03-11T19:00:00.000Z,2025-03-13T16:00:00.000Z,267.4799375,243.6659756952949,21.26201566612199,5687.162621498331,1.7061,504.6267,1.6611,-0.4983,1.8463,45,0.5000
long,range,tp,2025-03-13T17:00:00.000Z,2025-03-13T18:00:00.000Z,2025-03-14T15:00:00.000Z,237.21779,252.83110701111661,33.61001221772488,7972.8928201616945,2.3919,522.3719,1.6591,-0.2261,1.9836,21,0.5000
short,range,sl,2025-03-14T16:00:00.000Z,2025-03-14T17:00:00.000Z,2025-03-14T23:00:00.000Z,254.78089,262.0671292111957,32.83084438124181,8364.671750904288,2.5094,-241.7228,-1.0215,-1.0016,0.7327,6,0.5000
long,range,tp,2025-03-16T13:00:00.000Z,2025-03-16T14:00:00.000Z,2025-03-17T17:00:00.000Z,243.1182325,254.43496711630198,33.66008207759524,8183.379660509883,2.4550,378.4672,1.6559,-0.6507,1.9708,27,0.5000
short,range,tp,2025-03-17T18:00:00.000Z,2025-03-17T19:00:00.000Z,2025-03-18T01:00:00.000Z,258.980575,248.6632462364021,32.694460046328125,8467.230062112583,2.5402,334.7793,1.6541,-0.1970,2.1454,6,0.5000
short,range,sl,2025-03-19T11:00:00.000Z,2025-03-19T12:00:00.000Z,2025-03-19T19:00:00.000Z,257.0807175,262.46153956612255,33.912751761062445,8718.314555133322,2.6155,-185.0940,-1.0294,-1.1353,1.4675,7,0.5000
long,range,tp,2025-03-21T11:00:00.000Z,2025-03-21T12:00:00.000Z,2025-03-22T09:00:00.000Z,245.418405,254.3125483523499,34.95864163940464,8579.494072109272,2.5738,308.3533,1.6529,-0.6218,1.7018,21,0.5000
short,range,sl,2025-03-24T03:00:00.000Z,2025-03-24T04:00:00.000Z,2025-03-24T06:00:00.000Z,260.68044749999996,265.7425130772737,33.79907909491856,8810.759063551264,2.6432,-173.7364,-1.0317,-1.5293,0.0362,2,0.5000
short,range,sl,2025-03-24T06:00:00.000Z,2025-03-24T07:00:00.000Z,2025-03-24T10:00:00.000Z,266.77999,271.9256867212431,32.5378855312181,8680.45677663951,2.6041,-170.0342,-1.0319,-1.5442,0.3515,3,0.5000
short,range,tp,2025-03-24T10:00:00.000Z,2025-03-24T11:00:00.000Z,2025-03-25T01:00:00.000Z,274.0794425,265.4134981032852,31.206029272677522,8552.931105694137,2.5659,267.8638,1.6509,-0.2732,1.7077,14,0.5000
