side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,range,tp,2026-02-28T06:00:00.000Z,2026-02-28T07:00:00.000Z,2026-02-28T13:00:00.000Z,0.3655274125,0.3792419261351587,20518.29696904059,7500,2.2500,279.1485,1.6533,-0.4044,2.1477,6,0.5000
short,range,sl,2026-03-02T15:00:00.000Z,2026-03-02T16:00:00.000Z,2026-03-02T16:00:00.000Z,0.40156988,0.41027175816676137,19198.05675581074,7709.361347664108,2.3128,-169.3720,-1.0284,-1.4140,0.0081,0,0.5000
short,range,sl,2026-03-02T16:00:00.000Z,2026-03-02T17:00:00.000Z,2026-03-02T18:00:00.000Z,0.40876934,0.41816795534742124,18549.170977855523,7582.332378165156,2.2747,-176.6112,-1.0267,-1.0062,0.6222,1,0.5000
short,range,tp,2026-03-02T18:00:00.000Z,2026-03-02T19:00:00.000Z,2026-03-03T02:00:00.000Z,0.41476889,0.39797576723805145,17961.50613201549,7449.873961104258,2.2350,299.3948,1.6543,-0.1718,1.7834,7,0.5000
short,range,sl,2026-03-04T08:00:00.000Z,2026-03-04T09:00:00.000Z,2026-03-04T14:00:00.000Z,0.4052696025,0.4143094456420434,18936.57956387521,7674.420072561329,2.3023,-173.4860,-1.0276,-1.5849,0.4901,5,0.5000
short,range,sl,2026-03-04T14:00:00.000Z,2026-03-04T15:00:00.000Z,2026-03-04T15:00:00.000Z,0.41396894999999995,0.423825736681863,18224.327081455776,7544.3055463668115,2.2633,-181.8966,-1.0258,-2.9015,0.0000,0,0.5000
short,range,tp,2026-03-04T15:00:00.000Z,2026-03-04T16:00:00.000Z,2026-03-04T18:00:00.000Z,0.4398670075,0.41977345961683876,16841.188297742632,7407.8830992720705,2.2224,336.1769,1.6557,-0.3345,1.6811,2,0.5000
long,range,sl,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,0.39442958,0.38708866350299864,19420.49007373447,7660.015743177256,2.2980,-144.8622,-1.0325,-1.2498,0.1066,0,0.5000
long,range,sl,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-07T19:00:00.000Z,0.387429055,0.3795564527764273,19490.972592810424,7551.369092663443,2.2654,-155.7101,-1.0297,-1.3957,0.3314,28,0.5000
long,range,sl,2026-03-07T19:00:00.000Z,2026-03-07T20:00:00.000Z,2026-03-08T02:00:00.000Z,0.377828335,0.3731474416818288,19677.154517771352,7434.586528987278,2.2304,-94.3370,-1.0493,-1.3413,0.4097,6,0.5000
long,range,sl,2026-03-08T02:00:00.000Z,2026-03-08T03:00:00.000Z,2026-03-08T15:00:00.000Z,0.372627945,0.36780116953948294,19761.89346505161,7363.83375119111,2.2092,-97.5954,-1.0471,-1.4689,1.3722,12,0.5000
long,range,sl,2026-03-08T15:00:00.000Z,2026-03-08T16:00:00.000Z,2026-03-08T17:00:00.000Z,0.3671275325,0.3617288755097853,19858.595655105888,7290.637221774246,2.1872,-109.3969,-1.0413,-1.1772,0.2405,1,0.5000
long,range,tp,2026-03-08T17:00:00.000Z,2026-03-08T18:00:00.000Z,2026-03-09T13:00:00.000Z,0.36202715,0.371532489063016,19911.737334375008,7208.5895187123815,2.1626,187.1052,1.6476,-0.9691,1.7837,19,0.5000
