side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,trend,tp,2025-08-31T22:00:00.000Z,2025-08-31T23:00:00.000Z,2025-09-01T00:00:00.000Z,23.682893000000004,23.227426070418815,316.68428346148414,7500,3.0000,141.2392,1.6320,-0.0260,1.8073,1,0.5000
short,trend,tp,2025-09-01T00:00:00.000Z,2025-09-01T01:00:00.000Z,2025-09-01T05:00:00.000Z,23.3559911,22.860142063779485,325.65217982447837,7605.929413676116,3.0424,158.4319,1.6353,-0.4538,1.7008,4,0.5000
long,trend,sl,2025-09-01T09:00:00.000Z,2025-09-01T10:00:00.000Z,2025-09-01T11:00:00.000Z,24.1322375,23.72674321958995,320.101000766457,7724.753374483822,3.0899,-132.8890,-1.0421,-1.1101,0.1826,1,0.5000
long,trend,sl,2025-09-01T11:00:00.000Z,2025-09-01T12:00:00.000Z,2025-09-01T20:00:00.000Z,23.7641271,23.347027897339142,320.86541923722615,7625.086604748227,3.0500,-136.8827,-1.0403,-1.8682,0.4947,8,0.5000
short,trend,sl,2025-09-01T20:00:00.000Z,2025-09-01T21:00:00.000Z,2025-09-02T02:00:00.000Z,23.1400559,23.568279432146348,325.08238434604806,7522.424545872837,3.0090,-142.2169,-1.0388,-1.0731,1.1541,5,0.5000
short,trend,sl,2025-09-02T02:00:00.000Z,2025-09-02T03:00:00.000Z,2025-09-02T06:00:00.000Z,23.5819233,24.05544280493138,314.46806857189887,7415.761873361659,2.9663,-151.8731,-1.0357,-1.1389,0.1414,3,0.5000
long,trend,sl,2025-09-02T06:00:00.000Z,2025-09-02T07:00:00.000Z,2025-09-02T12:00:00.000Z,24.062216499999998,23.627785081862616,303.4573756615265,7301.857071689481,2.9207,-134.7522,-1.0391,-1.1471,0.5237,5,0.5000
long,trend,sl,2025-09-02T13:00:00.000Z,2025-09-02T14:00:00.000Z,2025-09-02T15:00:00.000Z,24.0632168,23.59953252806974,299.2448187986367,7200.79295102831,2.8803,-141.6354,-1.0366,-1.0517,0.3609,1,0.5000
long,trend,tp,2025-09-02T20:00:00.000Z,2025-09-02T21:00:00.000Z,2025-09-03T08:00:00.000Z,24.10723,24.8861527540878,294.29205994188635,7094.566376192841,2.8378,226.3930,1.6460,-0.0155,3.5771,11,0.5000
long,trend,sl,2025-09-03T12:00:00.000Z,2025-09-03T13:00:00.000Z,2025-09-04T17:00:00.000Z,24.924475100000002,24.45946063548306,291.45492787758093,7264.361092657063,2.9057,-138.4365,-1.0378,-1.2399,1.4520,28,0.5000
short,trend,tp,2025-09-04T20:00:00.000Z,2025-09-04T21:00:00.000Z,2025-09-05T00:00:00.000Z,24.445664100000002,23.91365016463082,292.916309703196,7160.533716415901,2.8642,152.9713,1.6360,-0.4114,1.7439,3,0.5000
short,trend,sl,2025-09-05T01:00:00.000Z,2025-09-05T02:00:00.000Z,2025-09-05T04:00:00.000Z,24.0767748,24.428154933450713,302.16930156672146,7275.26222529524,2.9101,-109.0864,-1.0493,-1.0964,0.2871,2,0.5000
long,trend,sl,2025-09-05T12:00:00.000Z,2025-09-05T13:00:00.000Z,2025-09-05T14:00:00.000Z,25.0315072,24.676647886056585,287.37572100715255,7193.44742949573,2.8774,-104.8553,-1.0501,-2.5687,0.1396,1,0.5000
short,trend,sl,2025-09-05T16:00:00.000Z,2025-09-05T17:00:00.000Z,2025-09-07T23:00:00.000Z,24.4246704,24.849844991207256,291.2958830292522,7114.805931866438,2.8459,-126.6975,-1.0412,-1.2289,0.8347,54,0.5000
long,trend,tp,2025-09-07T23:00:00.000Z,2025-09-08T00:00:00.000Z,2025-09-08T08:00:00.000Z,24.6924055,25.093593591989876,284.2891424286868,7019.782784096388,2.8079,111.2455,1.6256,-0.6705,1.8885,8,0.5000
long,trend,tp,2025-09-08T11:00:00.000Z,2025-09-08T12:00:00.000Z,2025-09-08T15:00:00.000Z,25.1755504,25.667214653229816,282.1474327421045,7103.216913229462,2.8413,135.8805,1.6325,-0.4188,2.1236,3,0.5000
long,trend,sl,2025-09-08T17:00:00.000Z,2025-09-08T18:00:00.000Z,2025-09-09T00:00:00.000Z,25.5286563,25.174671574885828,282.23684077216336,7205.127303270386,2.8821,-102.7896,-1.0513,-1.0959,0.2925,6,0.5000
long,trend,tp,2025-09-09T14:00:00.000Z,2025-09-09T15:00:00.000Z,2025-09-10T06:00:00.000Z,25.8257454,26.572077745469592,276.0050099930914,7128.035117206034,2.8512,203.1403,1.6436,-0.3791,2.7518,15,0.5000
long,trend,tp,2025-09-10T08:00:00.000Z,2025-09-10T09:00:00.000Z,2025-09-10T12:00:00.000Z,26.713011499999997,27.49149804476252,272.5409790102849,7280.390306522998,2.9122,209.2573,1.6438,-0.7172,3.2370,3,0.5000
