side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,trend,sl,2026-02-28T13:00:00.000Z,2026-02-28T14:00:00.000Z,2026-02-28T19:00:00.000Z,0.09134258900000002,0.09331344281537633,82108.46749701827,7500,3.0000,-164.8238,-1.0332,-1.0332,0.8403,5,0.5000
long,trend,sl,2026-02-28T20:00:00.000Z,2026-02-28T21:00:00.000Z,2026-03-01T16:00:00.000Z,0.094268272,0.09209533565305504,78248.8318038661,7376.3821601691,2.9506,-172.9803,-1.0305,-1.0620,1.6602,19,0.5000
short,trend,sl,2026-03-01T19:00:00.000Z,2026-03-01T20:00:00.000Z,2026-03-02T01:00:00.000Z,0.091702481,0.09376915277449241,79023.45572822174,7246.646947471596,2.8987,-166.2142,-1.0318,-1.3282,0.5948,5,0.5000
short,trend,sl,2026-03-02T07:00:00.000Z,2026-03-02T08:00:00.000Z,2026-03-02T14:00:00.000Z,0.09160251100000001,0.09351888299732637,77748.81077528627,7121.98629428008,2.8488,-151.8444,-1.0343,-1.1902,0.4515,6,0.5000
long,trend,sl,2026-03-02T17:00:00.000Z,2026-03-02T18:00:00.000Z,2026-03-03T00:00:00.000Z,0.095398611,0.09311165651061439,73461.26837785309,7008.102965545408,2.8032,-170.8058,-1.0293,-1.1725,0.2795,6,0.5000
short,trend,tp,2026-03-03T03:00:00.000Z,2026-03-03T04:00:00.000Z,2026-03-03T10:00:00.000Z,0.092542229,0.08941256808657487,74344.42282043178,6879.9986015212235,2.7520,229.9208,1.6470,-0.0148,1.8012,6,0.5000
short,trend,sl,2026-03-03T12:00:00.000Z,2026-03-03T13:00:00.000Z,2026-03-03T16:00:00.000Z,0.090312898,0.0920436234195381,78088.94835392128,7052.439227614961,2.8210,-137.9715,-1.0374,-1.2724,1.0057,3,0.5000
short,trend,sl,2026-03-03T16:00:00.000Z,2026-03-03T17:00:00.000Z,2026-03-04T09:00:00.000Z,0.09077276000000001,0.092836801220857,76553.36909355657,6948.960599920829,2.7796,-160.7889,-1.0315,-1.2854,1.1653,16,0.5000
long,trend,tp,2026-03-04T11:00:00.000Z,2026-03-04T12:00:00.000Z,2026-03-04T14:00:00.000Z,0.092267672,0.09547170894898117,74006.08232195798,6828.368929687416,2.7313,234.3869,1.6475,-0.4201,1.9623,2,0.5000
long,trend,sl,2026-03-04T22:00:00.000Z,2026-03-04T23:00:00.000Z,2026-03-05T02:00:00.000Z,0.09921975699999999,0.09632932554313232,70592.3829834131,7004.159085665183,2.8017,-206.8441,-1.0240,-1.0833,0.2272,3,0.5000
short,trend,tp,2026-03-05T13:00:00.000Z,2026-03-05T14:00:00.000Z,2026-03-06T14:00:00.000Z,0.095051476,0.09124776196342689,72055.96685996334,6849.026004646601,2.7396,271.3407,1.6500,-0.2885,2.2353,24,0.5000
short,trend,tp,2026-03-06T19:00:00.000Z,2026-03-06T20:00:00.000Z,2026-03-08T12:00:00.000Z,0.09077276000000001,0.08826426482803743,77694.36024935536,7052.5315162682755,2.8210,192.0749,1.6425,-0.8619,1.8422,40,0.5000
short,trend,sl,2026-03-08T15:00:00.000Z,2026-03-08T16:00:00.000Z,2026-03-08T20:00:00.000Z,0.08862340500000002,0.08984602045827267,81204.14356110629,7196.587702494066,2.8786,-102.1601,-1.0522,-1.1764,0.4043,4,0.5000
long,trend,tp,2026-03-09T02:00:00.000Z,2026-03-09T03:00:00.000Z,2026-03-09T13:00:00.000Z,0.089716907,0.0921559297721139,79360.37791949423,7119.967645288118,2.8480,190.7138,1.6421,-0.3054,1.8403,10,0.5000
