side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,trend,sl,2025-03-05T01:00:00.000Z,2025-03-05T02:00:00.000Z,2025-03-05T06:00:00.000Z,17.775330999999998,16.773247056442464,300.79724066701533,5346.770516742858,2.1387,-303.5628,-1.0122,-1.1587,0.0749,4,0.5000
long,trend,sl,2025-03-05T09:00:00.000Z,2025-03-05T10:00:00.000Z,2025-03-05T16:00:00.000Z,17.575271,16.717677280462464,341.0904876489761,5994.757755952908,2.3979,-294.9150,-1.0141,-1.4020,0.4395,6,0.5000
short,trend,sl,2025-03-05T16:00:00.000Z,2025-03-05T17:00:00.000Z,2025-03-06T05:00:00.000Z,16.724981,17.511219648959695,361.24846825644863,6041.873767868206,2.4167,-286.4443,-1.0153,-1.1332,0.1472,12,0.5000
long,trend,sl,2025-03-06T05:00:00.000Z,2025-03-06T06:00:00.000Z,2025-03-06T12:00:00.000Z,17.315192999999997,16.66352304740041,394.815610187935,6836.30848981686,2.7345,-260.0240,-1.0184,-1.0905,0.0538,6,0.5000
short,trend,tp,2025-03-06T12:00:00.000Z,2025-03-06T13:00:00.000Z,2025-03-06T17:00:00.000Z,16.764969,15.736711740173403,396.14093499292204,6641.290494787353,2.6565,404.6783,1.6558,-0.0568,1.8072,4,0.5000
short,trend,tp,2025-03-07T01:00:00.000Z,2025-03-07T02:00:00.000Z,2025-03-09T13:00:00.000Z,15.885233000000001,14.521007398157913,339.4787126840535,5392.698449526246,2.1571,460.9685,1.6589,-0.7022,1.6801,59,0.5000
short,trend,tp,2025-03-09T14:00:00.000Z,2025-03-09T15:00:00.000Z,2025-03-09T22:00:00.000Z,15.055482000000001,14.294328321882546,484.2439156506428,7290.525555687772,2.9162,365.6678,1.6535,-0.4259,1.8075,7,0.5000
short,trend,sl,2025-03-09T22:00:00.000Z,2025-03-09T23:00:00.000Z,2025-03-10T01:00:00.000Z,14.295710000000001,14.839250174236318,529.1640937140359,7564.77642614868,3.0259,-290.6479,-1.0189,-1.3435,0.2703,2,0.5000
short,trend,tp,2025-03-10T15:00:00.000Z,2025-03-10T16:00:00.000Z,2025-03-10T18:00:00.000Z,14.295710000000001,13.266082661035995,475.8352823985665,6802.403204938012,2.7210,487.2121,1.6574,-0.0717,1.6765,2,0.5000
short,trend,sl,2025-03-10T19:00:00.000Z,2025-03-10T20:00:00.000Z,2025-03-11T18:00:00.000Z,14.045785,14.729600119765609,454.1973258565236,6379.557986555672,2.5518,-313.1388,-1.0148,-1.0071,1.5834,22,0.5000
long,trend,sl,2025-03-11T18:00:00.000Z,2025-03-11T19:00:00.000Z,2025-03-11T20:00:00.000Z,14.724416,14.040156789966666,439.68225908211855,6474.064490544892,2.5896,-303.4463,-1.0149,-1.0505,0.0523,1,0.5000
short,trend,tp,2025-03-11T22:00:00.000Z,2025-03-11T23:00:00.000Z,2025-03-12T09:00:00.000Z,13.905827,12.819924818555391,445.21728683199086,6191.114568095043,2.4764,480.9860,1.6581,-0.4362,2.2651,10,0.5000
short,trend,sl,2025-03-12T09:00:00.000Z,2025-03-12T10:00:00.000Z,2025-03-12T11:00:00.000Z,13.106067,13.789874108510544,448.02733954544755,5871.876329914385,2.3488,-308.7130,-1.0138,-1.3888,0.3768,1,0.5000
short,trend,tp,2025-03-12T13:00:00.000Z,2025-03-12T14:00:00.000Z,2025-03-13T13:00:00.000Z,13.415974,12.164580288874932,393.2244910892066,5275.489548616028,2.1102,489.9685,1.6595,-0.3516,1.7127,23,0.5000
short,trend,sl,2025-03-13T13:00:00.000Z,2025-03-13T14:00:00.000Z,2025-03-13T18:00:00.000Z,12.216334000000002,12.89036443668585,462.49937723447755,5650.046867088375,2.2600,-313.9987,-1.0131,-1.1694,0.1288,4,0.5000
long,trend,tp,2025-03-14T04:00:00.000Z,2025-03-14T05:00:00.000Z,2025-03-14T15:00:00.000Z,13.143942000000001,14.11952929342307,513.1056445233894,6744.230831488048,2.6977,497.8817,1.6577,-0.2630,2.1116,10,0.5000
long,trend,sl,2025-03-14T20:00:00.000Z,2025-03-14T21:00:00.000Z,2025-03-16T09:00:00.000Z,14.174251,13.608556938326798,556.2448451602531,7884.354052757563,3.1537,-317.8181,-1.0174,-1.0759,1.1676,36,0.5000
short,trend,tp,2025-03-16T09:00:00.000Z,2025-03-16T10:00:00.000Z,2025-03-16T22:00:00.000Z,13.59592,12.96049016293434,562.3738917435614,7645.9904422341215,3.0584,354.2908,1.6524,-0.2205,1.7991,12,0.5000
short,trend,sl,2025-03-17T00:00:00.000Z,2025-03-17T01:00:00.000Z,2025-03-17T03:00:00.000Z,13.206037000000002,13.574422165000497,599.0978601606141,7911.708507901897,3.1647,-223.8634,-1.0257,-1.0539,0.2636,2,0.5000
long,trend,sl,2025-03-17T10:00:00.000Z,2025-03-17T11:00:00.000Z,2025-03-17T12:00:00.000Z,13.924176,13.558359564689885,556.1414134882735,7743.810922299494,3.0975,-206.5432,-1.0266,-1.0344,0.3755,1,0.5000
short,trend,tp,2025-03-17T21:00:00.000Z,2025-03-17T22:00:00.000Z,2025-03-18T02:00:00.000Z,13.49595,12.874010079373264,562.3096949058679,7588.903526964848,3.0356,346.6873,1.6522,-0.0912,1.6774,4,0.5000
short,trend,sl,2025-03-18T02:00:00.000Z,2025-03-18T03:00:00.000Z,2025-03-18T08:00:00.000Z,13.056082000000002,13.43363888355343,601.1695538653792,7848.918991169809,3.1396,-230.1153,-1.0248,-1.1081,0.4714,5,0.5000
long,trend,tp,2025-03-18T21:00:00.000Z,2025-03-18T22:00:00.000Z,2025-03-19T00:00:00.000Z,13.874160999999999,14.521553829538862,553.2826480850983,7676.332538038996,3.0705,355.1207,1.6524,-0.4741,1.7142,2,0.5000
long,trend,tp,2025-03-19T01:00:00.000Z,2025-03-19T02:00:00.000Z,2025-03-19T10:00:00.000Z,14.10423,14.841577371003213,563.1412032125475,7942.673052586508,3.1771,412.0536,1.6539,-0.7103,2.2734,8,0.5000
long,trend,tp,2025-03-19T16:00:00.000Z,2025-03-19T17:00:00.000Z,2025-03-19T23:00:00.000Z,14.794436999999999,15.589348616267596,557.7578426904655,8251.713264940001,3.3007,440.0675,1.6543,-0.8060,2.1083,6,0.5000
long,trend,sl,2025-03-20T00:00:00.000Z,2025-03-20T01:00:00.000Z,2025-03-20T06:00:00.000Z,15.284583999999999,14.71249660561442,561.4653229767177,8581.763892124773,3.4327,-324.6399,-1.0185,-1.0650,0.2385,5,0.5000
short,trend,sl,2025-03-20T15:00:00.000Z,2025-03-20T16:00:00.000Z,2025-03-21T17:00:00.000Z,14.615613999999999,15.104854942221484,570.50521023013,8338.283937712431,3.3353,-282.4498,-1.0214,-1.0406,1.5176,25,0.5000
long,trend,tp,2025-03-22T01:00:00.000Z,2025-03-22T02:00:00.000Z,2025-03-22T04:00:00.000Z,15.494647,16.28139909205052,524.4680032132823,8126.446572584675,3.2506,409.3757,1.6535,-0.1581,1.9815,2,0.5000
long,trend,sl,2025-03-22T10:00:00.000Z,2025-03-22T11:00:00.000Z,2025-03-22T16:00:00.000Z,16.214863,15.703008709680125,520.1079011687675,8433.478362669106,3.3734,-269.5929,-1.0221,-1.1138,0.1876,5,0.5000
long,trend,sl,2025-03-23T08:00:00.000Z,2025-03-23T09:00:00.000Z,2025-03-23T15:00:00.000Z,16.044812,15.650520844562639,513.0183964560277,8231.28372367843,3.2925,-205.5711,-1.0285,-1.0134,0.7833,6,0.5000
short,trend,sl,2025-03-23T17:00:00.000Z,2025-03-23T18:00:00.000Z,2025-03-23T22:00:00.000Z,15.585323,16.0039809575409,518.250752732996,8077.105376336876,3.2308,-220.2006,-1.0267,-1.5094,0.2787,4,0.5000
long,trend,sl,2025-03-23T23:00:00.000Z,2025-03-24T00:00:00.000Z,2025-03-24T01:00:00.000Z,16.344901999999998,15.940903939085754,484.06254705589873,7911.954893499053,3.1648,-198.7251,-1.0284,-1.4651,0.2633,1,0.5000
long,trend,tp,2025-03-24T02:00:00.000Z,2025-03-24T03:00:00.000Z,2025-03-24T04:00:00.000Z,16.074821,16.8067141833707,482.9236393520125,7762.911059252157,3.1052,350.3434,1.6520,-0.0565,2.1979,1,0.5000
long,trend,sl,2025-03-24T05:00:00.000Z,2025-03-24T06:00:00.000Z,2025-03-25T03:00:00.000Z,16.755025,16.254022477798486,479.0006923733097,8025.668575732113,3.2103,-243.1908,-1.0233,-1.2598,1.4210,21,0.5000
short,trend,sl,2025-03-25T03:00:00.000Z,2025-03-25T04:00:00.000Z,2025-03-25T13:00:00.000Z,16.135158,16.73797216463034,486.0984602008805,7843.275458897919,3.1373,-296.1643,-1.0192,-1.1791,0.3766,9,0.5000
long,trend,sl,2025-03-25T14:00:00.000Z,2025-03-25T15:00:00.000Z,2025-03-25T16:00:00.000Z,16.835048999999998,16.338422362334864,452.6955756618043,7621.152198349682,3.0485,-227.8691,-1.0237,-1.3932,0.0914,1,0.5000
short,trend,tp,2025-03-25T16:00:00.000Z,2025-03-25T17:00:00.000Z,2025-03-26T13:00:00.000Z,16.19514,15.347935109101538,460.0300053886583,7450.250341470075,2.9801,386.7596,1.6539,-0.4817,5.6955,20,0.5000
short,trend,sl,2025-03-26T19:00:00.000Z,2025-03-26T20:00:00.000Z,2025-03-27T02:00:00.000Z,13.915824,14.949173286315894,301.0166035239138,4188.894075716564,1.6756,-312.7309,-1.0098,-1.0246,0.2778,6,0.5000
long,trend,sl,2025-03-27T21:00:00.000Z,2025-03-27T22:00:00.000Z,2025-03-28T00:00:00.000Z,15.134539,14.543858910744879,495.936604459733,7505.771881723404,3.0023,-295.9422,-1.0178,-1.0993,0.0605,2,0.5000
long,trend,sl,2025-03-28T00:00:00.000Z,2025-03-28T01:00:00.000Z,2025-03-28T04:00:00.000Z,14.854455,14.270946694316835,490.3455052251004,7283.815241818518,2.9135,-289.0342,-1.0177,-1.2853,0.1477,3,0.5000
short,trend,tp,2025-03-28T05:00:00.000Z,2025-03-28T06:00:00.000Z,2025-03-28T19:00:00.000Z,14.025791,13.134029780925902,503.86032353048984,7067.039591031033,2.8268,446.4963,1.6562,-0.1200,1.7303,13,0.5000
short,trend,tp,2025-03-28T22:00:00.000Z,2025-03-28T23:00:00.000Z,2025-03-29T11:00:00.000Z,13.345995,12.55133734168109,554.6167072158868,7401.911801419689,2.9608,437.7696,1.6555,-0.5537,2.0260,12,0.5000
short,trend,sl,2025-03-29T12:00:00.000Z,2025-03-29T13:00:00.000Z,2025-03-31T15:00:00.000Z,12.756172,13.180190529422283,605.9999064174427,7730.239038244803,3.0921,-260.0473,-1.0216,-1.5327,1.3954,50,0.5000
long,trend,tp,2025-03-31T15:00:00.000Z,2025-03-31T16:00:00.000Z,2025-04-01T08:00:00.000Z,13.123935999999999,13.848845250816472,574.1572935643283,7535.2035746714555,3.0141,413.1979,1.6546,-0.4459,1.8073,16,0.5000
long,trend,sl,2025-04-01T10:00:00.000Z,2025-04-01T11:00:00.000Z,2025-04-01T14:00:00.000Z,13.584074,13.192855470674976,577.5220279089656,7845.101963745454,3.1380,-229.0754,-1.0243,-1.2242,0.1444,3,0.5000
short,trend,sl,2025-04-02T00:00:00.000Z,2025-04-02T01:00:00.000Z,2025-04-02T09:00:00.000Z,13.09607,13.512111627322263,585.9235208996148,7673.295444347818,3.0693,-246.8379,-1.0226,-1.3203,0.3545,8,0.5000
long,trend,tp,2025-04-02T10:00:00.000Z,2025-04-02T11:00:00.000Z,2025-04-02T15:00:00.000Z,13.534059,14.146286081210906,553.2831668883233,7488.167024373413,2.9953,335.7397,1.6519,-0.8822,2.5751,4,0.5000
long,trend,sl,2025-04-02T17:00:00.000Z,2025-04-02T18:00:00.000Z,2025-04-02T20:00:00.000Z,13.824146,13.334056303776505,559.887878645558,7739.971778026476,3.0960,-277.4913,-1.0196,-1.1812,0.7938,2,0.5000
short,trend,tp,2025-04-02T21:00:00.000Z,2025-04-02T22:00:00.000Z,2025-04-02T23:00:00.000Z,12.826151000000001,11.877939649960625,529.7070503655694,6794.1026137534,2.7176,499.5566,1.6576,-0.0068,1.9970,1,0.5000
short,trend,tp,2025-04-03T00:00:00.000Z,2025-04-03T01:00:00.000Z,2025-04-03T12:00:00.000Z,12.226331,11.154220819228676,491.7960599778594,6012.861413785162,2.4051,524.8544,1.6591,-0.6275,1.7043,11,0.5000
short,trend,sl,2025-04-03T15:00:00.000Z,2025-04-03T16:00:00.000Z,2025-04-04T10:00:00.000Z,11.496550000000001,12.060233543660328,592.9761207092486,6817.179620539912,2.7269,-336.9778,-1.0147,-1.0239,0.4224,18,0.5000
long,trend,sl,2025-04-04T17:00:00.000Z,2025-04-04T18:00:00.000Z,2025-04-05T12:00:00.000Z,12.223666,11.68735323677217,603.9738472157546,7382.774581100414,2.9531,-326.8720,-1.0158,-1.0392,0.3310,18,0.5000
short,trend,sl,2025-04-05T13:00:00.000Z,2025-04-05T14:00:00.000Z,2025-04-05T22:00:00.000Z,11.506547,11.916239777831741,678.0726031780537,7802.274277880623,3.1209,-280.9224,-1.0201,-1.0181,0.1639,8,0.5000
long,trend,sl,2025-04-05T23:00:00.000Z,2025-04-06T00:00:00.000Z,2025-04-06T03:00:00.000Z,12.063618,11.750820802674177,629.2956648098065,7591.582509321548,3.0366,-199.8786,-1.0270,-1.1434,0.1500,3,0.5000
short,trend,tp,2025-04-06T04:00:00.000Z,2025-04-06T05:00:00.000Z,2025-04-06T13:00:00.000Z,11.706487000000001,11.225963762699948,635.6880244592081,7441.673594387403,2.9767,302.4862,1.6504,-0.4284,2.1036,8,0.5000
short,trend,tp,2025-04-06T14:00:00.000Z,2025-04-06T15:00:00.000Z,2025-04-06T17:00:00.000Z,11.306607000000001,10.857733308993256,678.2351454223708,7668.538242878597,3.0674,301.3745,1.6499,-0.9780,2.6608,2,0.5000
