side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,trend,tp,2025-03-05T01:00:00.000Z,2025-03-05T02:00:00.000Z,2025-03-05T08:00:00.000Z,14.906470599999999,15.932502997163855,487.1678968112339,7261.953931080491,2.9048,496.9453,1.6570,-0.1648,1.7536,6,0.5000
long,trend,tp,2025-03-05T13:00:00.000Z,2025-03-05T14:00:00.000Z,2025-03-06T01:00:00.000Z,15.7917361,16.746489886385003,498.533466979641,7872.708947560554,3.1491,472.8276,1.6556,-0.4063,2.2174,11,0.5000
short,trend,sl,2025-03-07T00:00:00.000Z,2025-03-07T01:00:00.000Z,2025-03-07T01:00:00.000Z,15.9222219,16.566174938704407,515.1797162327264,8202.805760236502,3.2811,-335.0327,-1.0177,-1.1405,0.0927,0,0.5000
short,trend,sl,2025-03-07T02:00:00.000Z,2025-03-07T03:00:00.000Z,2025-03-07T07:00:00.000Z,16.365089,17.02934122104038,484.16960160451174,7923.478621352378,3.1694,-324.7801,-1.0177,-1.2287,0.3248,4,0.5000
long,trend,sl,2025-03-07T08:00:00.000Z,2025-03-07T09:00:00.000Z,2025-03-07T16:00:00.000Z,16.8880649,16.23730788681584,457.8659617929893,7732.470078260923,3.0930,-301.0525,-1.0180,-1.1876,0.9614,7,0.5000
short,trend,tp,2025-03-07T17:00:00.000Z,2025-03-07T18:00:00.000Z,2025-03-08T09:00:00.000Z,16.4500635,15.243851934529445,415.0147242219878,6827.018566886687,2.7308,497.8648,1.6576,-0.7336,1.6720,15,0.5000
short,trend,tp,2025-03-08T10:00:00.000Z,2025-03-08T11:00:00.000Z,2025-03-09T12:00:00.000Z,15.4673584,14.620923318937534,509.46509958118685,7880.079287513907,3.1520,428.0771,1.6545,-0.2139,1.8221,25,0.5000
short,trend,sl,2025-03-11T01:00:00.000Z,2025-03-11T02:00:00.000Z,2025-03-11T11:00:00.000Z,12.5522332,13.167460433745656,536.8160328171851,6738.240029420161,2.6953,-332.9591,-1.0147,-1.0253,0.2507,9,0.5000
long,trend,sl,2025-03-11T18:00:00.000Z,2025-03-11T19:00:00.000Z,2025-03-12T03:00:00.000Z,13.512052399999998,12.909573520417101,531.170645307611,7177.2055927382535,2.8709,-322.8900,-1.0155,-1.1595,0.2204,8,0.5000
short,trend,sl,2025-03-12T04:00:00.000Z,2025-03-12T05:00:00.000Z,2025-03-12T08:00:00.000Z,12.8001588,13.29511277592476,602.2777058104438,7709.250276073363,3.0837,-301.1834,-1.0185,-1.1260,0.1185,3,0.5000
long,trend,tp,2025-03-12T09:00:00.000Z,2025-03-12T10:00:00.000Z,2025-03-14T08:00:00.000Z,13.129937799999999,13.922425246425545,569.9465455323216,7483.36269216425,2.9933,448.6821,1.6556,-0.8769,2.7404,46,0.5000
long,trend,sl,2025-03-14T19:00:00.000Z,2025-03-14T20:00:00.000Z,2025-03-16T11:00:00.000Z,13.9211751,13.471173833666084,561.7251589061314,7819.874295207579,3.1279,-255.9050,-1.0216,-1.0027,0.7216,39,0.5000
short,trend,sl,2025-03-16T14:00:00.000Z,2025-03-16T15:00:00.000Z,2025-03-17T05:00:00.000Z,13.5409365,13.823783994155217,563.3248157015936,7627.9455582894825,3.0512,-162.3862,-1.0343,-1.0228,1.2125,14,0.5000
long,trend,sl,2025-03-17T09:00:00.000Z,2025-03-17T10:00:00.000Z,2025-03-17T14:00:00.000Z,13.8331487,13.570430138404534,542.6209229742836,7506.155915234513,3.0025,-145.5591,-1.0371,-1.1450,0.3706,4,0.5000
long,trend,sl,2025-03-17T17:00:00.000Z,2025-03-17T18:00:00.000Z,2025-03-18T13:00:00.000Z,13.9421814,13.646157529033381,530.5472949289259,7396.986627178386,2.9588,-160.0135,-1.0331,-1.4256,1.1229,19,0.5000
short,trend,sl,2025-03-18T13:00:00.000Z,2025-03-18T14:00:00.000Z,2025-03-18T23:00:00.000Z,13.575926,13.884977268096659,536.0206392704582,7276.976533208435,2.9108,-168.5686,-1.0315,-1.2105,0.4229,9,0.5000
long,trend,tp,2025-03-19T02:00:00.000Z,2025-03-19T03:00:00.000Z,2025-03-19T11:00:00.000Z,13.9051703,14.386579404906183,514.2367833157057,7150.550046529086,2.8602,244.6980,1.6474,-0.2429,2.0386,8,0.5000
long,trend,tp,2025-03-19T12:00:00.000Z,2025-03-19T13:00:00.000Z,2025-03-19T22:00:00.000Z,14.3713101,14.851625757019992,510.3274184925919,7334.073583689513,2.9336,242.1846,1.6467,-0.6118,1.9907,9,0.5000
