side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,trend,tp,2025-03-05T18:00:00.000Z,2025-03-05T19:00:00.000Z,2025-03-06T04:00:00.000Z,2.9118733,3.0650856693481616,2575.6615165913986,7500,3.0000,391.6232,1.6540,-0.0965,2.1009,9,0.5000
long,trend,tp,2025-03-06T06:00:00.000Z,2025-03-06T07:00:00.000Z,2025-03-06T11:00:00.000Z,3.0449132,3.18458706230566,2559.586067247134,7793.717402696886,3.1175,354.3898,1.6521,-0.5479,1.7790,4,0.5000
long,trend,sl,2025-03-06T12:00:00.000Z,2025-03-06T13:00:00.000Z,2025-03-07T00:00:00.000Z,3.1069318,3.0133331927638625,2594.041408122701,8059.509741413198,3.2238,-246.0225,-1.0232,-2.3942,1.5111,11,0.5000
short,trend,tp,2025-03-07T01:00:00.000Z,2025-03-07T02:00:00.000Z,2025-03-09T10:00:00.000Z,3.0040985,2.795082384706891,2512.519536938962,7547.856172139031,3.0191,522.1379,1.6571,-0.7169,2.0022,56,0.5000
short,trend,tp,2025-03-10T00:00:00.000Z,2025-03-10T01:00:00.000Z,2025-03-10T14:00:00.000Z,2.6032188,2.475185660133887,3175.5288258370883,8266.596339361035,3.3066,403.2663,1.6531,-0.9344,2.4111,13,0.5000
short,trend,sl,2025-03-11T01:00:00.000Z,2025-03-11T02:00:00.000Z,2025-03-11T05:00:00.000Z,2.2933118,2.412700508900217,2889.34704384692,6626.173669949259,2.6505,-347.6059,-1.0138,-1.0339,0.1459,3,0.5000
long,trend,sl,2025-03-11T15:00:00.000Z,2025-03-11T16:00:00.000Z,2025-03-12T04:00:00.000Z,2.4837449,2.3783119649299485,3172.6169480094322,7879.971164271992,3.1520,-337.6503,-1.0163,-1.3154,0.7568,12,0.5000
short,trend,sl,2025-03-12T04:00:00.000Z,2025-03-12T05:00:00.000Z,2025-03-12T08:00:00.000Z,2.3812854000000003,2.4702144589758053,3382.6705166802108,8055.103914381043,3.2220,-304.0397,-1.0192,-1.1874,0.0599,3,0.5000
long,trend,sl,2025-03-12T11:00:00.000Z,2025-03-12T12:00:00.000Z,2025-03-12T15:00:00.000Z,2.4797437,2.39874620625516,3156.404471882134,7827.07410380155,3.1308,-258.7917,-1.0213,-1.1802,1.0371,3,0.5000
long,trend,tp,2025-03-12T15:00:00.000Z,2025-03-12T16:00:00.000Z,2025-03-13T02:00:00.000Z,2.4587374,2.6109676588298214,3104.4308932583917,7632.980342969816,3.0532,469.5351,1.6559,-0.0847,1.7108,10,0.5000
long,trend,sl,2025-03-13T02:00:00.000Z,2025-03-13T03:00:00.000Z,2025-03-13T17:00:00.000Z,2.5677701,2.4883229629872985,3109.75335668366,7985.131687666938,3.1941,-250.2551,-1.0225,-1.1534,1.1084,14,0.5000
short,trend,sl,2025-03-13T20:00:00.000Z,2025-03-13T21:00:00.000Z,2025-03-13T23:00:00.000Z,2.519244,2.5950962487501226,3095.1509252011797,7797.440397407521,3.1190,-237.8931,-1.0238,-1.0091,0.2031,2,0.5000
long,trend,sl,2025-03-14T01:00:00.000Z,2025-03-14T02:00:00.000Z,2025-03-16T12:00:00.000Z,2.6017802999999997,2.5308249569395707,2928.3873610946903,7619.020546865151,3.0476,-210.8323,-1.0256,-1.0796,1.5844,58,0.5000
short,trend,sl,2025-03-16T14:00:00.000Z,2025-03-16T15:00:00.000Z,2025-03-16T16:00:00.000Z,2.5362389,2.5897899911664384,2941.716686600725,7460.896293335867,2.9844,-160.5165,-1.0339,-1.4735,0.4782,1,0.5000
short,trend,sl,2025-03-16T16:00:00.000Z,2025-03-16T17:00:00.000Z,2025-03-17T17:00:00.000Z,2.5722281000000002,2.632113780138664,2853.755046294445,7340.508920595373,2.9362,-173.8353,-1.0308,-1.0114,1.4930,24,0.5000
long,trend,sl,2025-03-17T17:00:00.000Z,2025-03-17T18:00:00.000Z,2025-03-18T03:00:00.000Z,2.6267878,2.5664738029411063,2744.847707719988,7210.1324714968305,2.8841,-168.4368,-1.0306,-1.3232,0.9776,9,0.5000
short,trend,sl,2025-03-18T04:00:00.000Z,2025-03-18T05:00:00.000Z,2025-03-19T09:00:00.000Z,2.5552332,2.6131201634357333,2772.273340581001,7083.804879327481,2.8335,-163.3120,-1.0316,-1.2043,0.9497,28,0.5000
long,trend,tp,2025-03-19T09:00:00.000Z,2025-03-19T10:00:00.000Z,2025-03-19T11:00:00.000Z,2.6077821,2.6893110699589053,2669.4411598801257,6961.32087373863,2.7845,214.8523,1.6453,-0.0773,2.3349,1,0.5000
long,trend,sl,2025-03-21T01:00:00.000Z,2025-03-21T02:00:00.000Z,2025-03-21T10:00:00.000Z,2.7518252999999997,2.7032798747632527,2588.267528674407,7122.460068574708,2.8490,-128.4975,-1.0401,-1.3580,0.3388,8,0.5000
short,trend,sl,2025-03-21T10:00:00.000Z,2025-03-21T11:00:00.000Z,2025-03-21T17:00:00.000Z,2.7021891,2.748236144315617,2600.146273885741,7026.086919699664,2.8104,-122.5395,-1.0421,-1.0572,0.4464,6,0.5000
long,trend,sl,2025-03-21T18:00:00.000Z,2025-03-21T19:00:00.000Z,2025-03-21T23:00:00.000Z,2.7558265,2.7078468160523848,2516.1897186191604,6934.182305598226,2.7737,-123.4997,-1.0406,-1.1836,0.2581,4,0.5000
long,trend,tp,2025-03-22T00:00:00.000Z,2025-03-22T01:00:00.000Z,2025-03-24T03:00:00.000Z,2.7438228999999996,2.8253340386687604,2493.4399229330206,6841.557560317856,2.7366,200.5065,1.6442,-0.6711,2.5595,50,0.5000
long,trend,tp,2025-03-24T16:00:00.000Z,2025-03-24T17:00:00.000Z,2025-03-25T17:00:00.000Z,2.9388814,3.032685849425124,2379.1152098005978,6991.937438540074,2.7968,220.3748,1.6458,-0.8152,1.8499,24,0.5000
long,trend,sl,2025-03-25T23:00:00.000Z,2025-03-26T00:00:00.000Z,2025-03-26T14:00:00.000Z,3.0259074999999998,2.976270030702599,2365.3130677620597,7157.218551589224,2.8629,-120.2710,-1.0432,-1.0239,0.9456,14,0.5000
short,trend,sl,2025-03-26T15:00:00.000Z,2025-03-26T16:00:00.000Z,2025-03-27T00:00:00.000Z,2.9771066000000004,3.0315820755771345,2373.786437455384,7067.015269938913,2.8268,-132.1400,-1.0392,-1.3795,0.8047,8,0.5000
long,trend,sl,2025-03-27T01:00:00.000Z,2025-03-27T02:00:00.000Z,2025-03-27T07:00:00.000Z,3.0549161999999996,2.997214281754727,2280.8842699298043,6967.910306533731,2.7872,-134.3986,-1.0373,-1.1252,0.6000,5,0.5000
short,trend,tp,2025-03-27T09:00:00.000Z,2025-03-27T10:00:00.000Z,2025-03-28T04:00:00.000Z,3.0020991,2.9216944986717404,2287.436609001001,6867.111385188958,2.7468,181.1736,1.6418,-0.7856,2.0956,18,0.5000
long,trend,tp,2025-03-30T09:00:00.000Z,2025-03-30T10:00:00.000Z,2025-03-30T12:00:00.000Z,2.6678000999999996,2.74580486434113,2625.0061139255513,7002.991573231196,2.8012,201.9618,1.6439,-0.7863,2.2691,2,0.5000
long,trend,sl,2025-03-30T12:00:00.000Z,2025-03-30T13:00:00.000Z,2025-03-30T14:00:00.000Z,2.6778030999999998,2.615390011260098,2671.76586405562,7154.462913242318,2.8618,-169.6149,-1.0301,-1.0028,0.1330,1,0.5000
short,trend,tp,2025-03-30T17:00:00.000Z,2025-03-30T18:00:00.000Z,2025-03-31T09:00:00.000Z,2.6062179000000003,2.501528595712718,2696.3408180084202,7027.251704394188,2.8109,279.4671,1.6501,-0.9677,2.0572,15,0.5000
short,trend,sl,2025-03-31T10:00:00.000Z,2025-03-31T11:00:00.000Z,2025-03-31T12:00:00.000Z,2.5242425,2.595205505921648,2866.940106646606,7236.8520621518965,2.8947,-206.3414,-1.0255,-1.0652,0.2884,1,0.5000
short,trend,sl,2025-03-31T12:00:00.000Z,2025-03-31T13:00:00.000Z,2025-04-01T15:00:00.000Z,2.5882233,2.661828805796166,2736.277040203417,7082.095990709521,2.8328,-204.2379,-1.0252,-1.4940,1.4864,26,0.5000
long,trend,sl,2025-04-01T16:00:00.000Z,2025-04-01T17:00:00.000Z,2025-04-02T02:00:00.000Z,2.6728016,2.6046709012689857,2592.3800592813736,6928.91757025535,2.7716,-179.3922,-1.0275,-1.4522,0.2999,9,0.5000
short,trend,sl,2025-04-02T04:00:00.000Z,2025-04-02T05:00:00.000Z,2025-04-02T13:00:00.000Z,2.5712284000000003,2.627530754573088,2642.4620217997294,6794.373396372885,2.7177,-151.4946,-1.0327,-1.0587,0.9588,8,0.5000
short,trend,sl,2025-04-02T13:00:00.000Z,2025-04-02T14:00:00.000Z,2025-04-02T14:00:00.000Z,2.5922221,2.6537947189398263,2577.2299599949433,6680.752459081008,2.6723,-161.3591,-1.0302,-1.0987,0.0037,0,0.5000
long,trend,sl,2025-04-02T16:00:00.000Z,2025-04-02T17:00:00.000Z,2025-04-02T21:00:00.000Z,2.6537959,2.582022171578646,2471.8303071679243,6559.733134657978,2.6239,-180.0364,-1.0259,-1.4479,1.1297,4,0.5000
short,trend,tp,2025-04-03T00:00:00.000Z,2025-04-03T01:00:00.000Z,2025-04-06T13:00:00.000Z,2.5072476,2.3473385984204485,2562.4536869991716,6424.705856839824,2.5699,407.1895,1.6562,-0.6645,2.1601,84,0.5000
short,trend,tp,2025-04-06T14:00:00.000Z,2025-04-06T15:00:00.000Z,2025-04-06T17:00:00.000Z,2.349295,2.2762078319886965,2864.73090995136,6730.098003094181,2.6920,206.6830,1.6452,-0.1985,2.8572,2,0.5000
short,trend,tp,2025-04-07T01:00:00.000Z,2025-04-07T02:00:00.000Z,2025-04-07T03:00:00.000Z,2.2073376000000002,2.0974239682552334,3119.1922231041344,6885.110275685345,2.7540,340.0877,1.6533,-0.1162,1.8096,1,0.5000
short,trend,tp,2025-04-08T15:00:00.000Z,2025-04-08T16:00:00.000Z,2025-04-08T18:00:00.000Z,2.0663799000000003,1.936240376263239,3455.403361025819,7140.176051616197,2.8561,446.8285,1.6561,-0.0079,2.0924,2,0.5000
short,trend,sl,2025-04-09T04:00:00.000Z,2025-04-09T05:00:00.000Z,2025-04-09T17:00:00.000Z,1.9034288,1.9802986085440468,3921.3124736212385,7463.939096089905,2.9856,-304.4161,-1.0178,-3.0229,1.0151,12,0.5000
long,trend,sl,2025-04-09T18:00:00.000Z,2025-04-09T19:00:00.000Z,2025-04-10T15:00:00.000Z,2.0876261,2.0010351473968386,3370.0537101054633,7035.412083617999,2.8142,-294.6303,-1.0167,-1.8098,0.5160,20,0.5000
short,trend,sl,2025-04-10T15:00:00.000Z,2025-04-10T16:00:00.000Z,2025-04-10T22:00:00.000Z,1.9484153000000002,2.0161912764282195,3606.0138611674083,7026.012579110655,2.8104,-247.2115,-1.0206,-1.0210,0.1253,6,0.5000
short,trend,sl,2025-04-10T22:00:00.000Z,2025-04-10T23:00:00.000Z,2025-04-11T10:00:00.000Z,2.0043984999999997,2.0597957215843885,3412.796378811991,6840.6039424961855,2.7362,-191.7957,-1.0259,-1.3619,0.1168,11,0.5000
long,trend,tp,2025-04-11T10:00:00.000Z,2025-04-11T11:00:00.000Z,2025-04-12T08:00:00.000Z,2.0646192,2.1386918720481463,3243.5798249860554,6696.75718339885,2.6787,237.5819,1.6481,-0.5539,1.8761,21,0.5000
