side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,trend,tp,2026-02-28T00:00:00.000Z,2026-02-28T01:00:00.000Z,2026-02-28T06:00:00.000Z,82.01538800000002,79.5170513378107,91.44625396395124,7500,3.0000,225.4635,1.6448,-0.1298,3.3125,5,0.5000
short,trend,sl,2026-02-28T10:00:00.000Z,2026-02-28T11:00:00.000Z,2026-02-28T13:00:00.000Z,79.026285,80.83178064131162,97.04489647556521,7669.097646673512,3.0676,-178.2818,-1.0314,-1.0688,0.2618,2,0.5000
long,trend,tp,2026-02-28T21:00:00.000Z,2026-02-28T22:00:00.000Z,2026-03-01T02:00:00.000Z,84.46533199999999,87.9600054622699,89.21277091743252,7535.3863141808815,3.0142,308.7553,1.6506,-0.2839,2.1054,4,0.5000
long,trend,sl,2026-03-01T06:00:00.000Z,2026-03-01T07:00:00.000Z,2026-03-01T13:00:00.000Z,86.64598600000001,84.53774401822193,89.64007663958216,7766.952825552164,3.1068,-192.0898,-1.0288,-1.0495,0.1460,6,0.5000
short,trend,sl,2026-03-01T20:00:00.000Z,2026-03-01T21:00:00.000Z,2026-03-01T22:00:00.000Z,81.915418,83.95535819026765,93.05800661468236,7622.88551008847,3.0492,-192.8819,-1.0288,-1.1736,0.0176,1,0.5000
short,trend,sl,2026-03-01T22:00:00.000Z,2026-03-01T23:00:00.000Z,2026-03-02T00:00:00.000Z,82.63520199999999,84.7172658435726,90.49683291929065,7478.224068645833,2.9913,-191.4115,-1.0284,-1.2422,0.0901,1,0.5000
short,trend,sl,2026-03-02T06:00:00.000Z,2026-03-02T07:00:00.000Z,2026-03-02T14:00:00.000Z,83.15504600000001,85.19386240500513,88.2046949212309,7334.665463590923,2.9339,-182.7670,-1.0292,-1.3634,0.4247,7,0.5000
long,trend,tp,2026-03-02T14:00:00.000Z,2026-03-02T15:00:00.000Z,2026-03-02T15:00:00.000Z,85.62567999999999,88.8715189692866,84.05877979245173,7197.590179698937,2.8790,269.9622,1.6491,-0.1107,1.7018,0,0.5000
long,trend,sl,2026-03-02T17:00:00.000Z,2026-03-02T18:00:00.000Z,2026-03-03T02:00:00.000Z,87.606274,85.22770241541852,84.46954210169689,7400.061850015793,2.9600,-203.8769,-1.0258,-1.0396,0.2608,8,0.5000
short,trend,sl,2026-03-03T08:00:00.000Z,2026-03-03T09:00:00.000Z,2026-03-03T16:00:00.000Z,84.164743,86.08340672624463,86.10677028986483,7247.154192006508,2.8989,-168.1088,-1.0314,-1.6564,0.9218,7,0.5000
short,trend,sl,2026-03-03T17:00:00.000Z,2026-03-03T18:00:00.000Z,2026-03-03T23:00:00.000Z,85.114458,87.27712259875105,83.66466474114743,7121.072593194474,2.8484,-183.7870,-1.0282,-1.0744,0.4608,5,0.5000
long,trend,sl,2026-03-03T23:00:00.000Z,2026-03-04T00:00:00.000Z,2026-03-04T04:00:00.000Z,86.946076,84.89846798967385,80.31681976038774,6983.232314964975,2.7933,-167.2507,-1.0298,-1.0761,0.5410,4,0.5000
long,trend,tp,2026-03-04T07:00:00.000Z,2026-03-04T08:00:00.000Z,2026-03-04T09:00:00.000Z,87.39621100000001,90.81684875655758,78.4678677047168,6857.7943226415155,2.7431,265.6670,1.6496,-0.2272,1.9703,1,0.5000
long,trend,tp,2026-03-04T12:00:00.000Z,2026-03-04T13:00:00.000Z,2026-03-04T19:00:00.000Z,89.416817,93.10371193132609,78.92301285512336,7057.044597555213,2.8228,288.1580,1.6505,-0.0709,2.0899,6,0.5000
