side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,trend,tp,2026-02-27T20:00:00.000Z,2026-02-27T21:00:00.000Z,2026-02-28T06:00:00.000Z,0.8970308100000001,0.8651791393443251,8360.916834060581,7499.999999999999,3.0000,263.3092,1.6479,-0.4170,3.0784,9,0.5000
short,trend,sl,2026-02-28T13:00:00.000Z,2026-02-28T14:00:00.000Z,2026-02-28T19:00:00.000Z,0.8643406200000001,0.8868138092859813,8905.611629167086,7697.4818770334905,3.0790,-203.2165,-1.0275,-1.3041,0.9295,5,0.5000
long,trend,sl,2026-02-28T20:00:00.000Z,2026-02-28T21:00:00.000Z,2026-03-01T19:00:00.000Z,0.9072721,0.8816197012053855,8316.214629087677,7545.069510583098,3.0180,-216.3489,-1.0247,-1.1727,1.6436,22,0.5000
short,trend,sl,2026-03-01T19:00:00.000Z,2026-03-01T20:00:00.000Z,2026-03-02T00:00:00.000Z,0.87933612,0.9044829644480942,8395.888308482881,7382.8078491347005,2.9531,-214.0832,-1.0250,-1.0116,0.5401,4,0.5000
long,trend,sl,2026-03-02T03:00:00.000Z,2026-03-02T04:00:00.000Z,2026-03-02T07:00:00.000Z,0.9092727,0.8840194244412517,7942.881639146557,7222.245433807216,2.8889,-203.4727,-1.0252,-1.1595,0.1452,3,0.5000
short,trend,sl,2026-03-02T12:00:00.000Z,2026-03-02T13:00:00.000Z,2026-03-02T14:00:00.000Z,0.89013288,0.910990231146677,7942.230969048302,7069.640926104155,2.8279,-168.4818,-1.0306,-1.3781,0.3757,1,0.5000
long,trend,tp,2026-03-02T14:00:00.000Z,2026-03-02T15:00:00.000Z,2026-03-02T15:00:00.000Z,0.91737513,0.9550606656383938,7568.637280006963,6943.279608669234,2.7773,282.4508,1.6504,-0.1581,1.7922,0,0.5000
long,trend,sl,2026-03-02T17:00:00.000Z,2026-03-02T18:00:00.000Z,2026-03-03T08:00:00.000Z,0.9355805899999999,0.9079757820396155,7647.783433866415,7155.1177372489665,2.8620,-213.9776,-1.0237,-1.3274,0.3519,14,0.5000
short,trend,sl,2026-03-03T08:00:00.000Z,2026-03-03T09:00:00.000Z,2026-03-03T16:00:00.000Z,0.90082967,0.9223500914023376,7764.658225751959,6994.634507166923,2.7979,-169.8966,-1.0300,-1.1707,0.7875,7,0.5000
short,trend,sl,2026-03-03T21:00:00.000Z,2026-03-03T22:00:00.000Z,2026-03-04T08:00:00.000Z,0.8985303600000001,0.9203700866975103,7642.71568855758,6867.21207901729,2.7469,-169.6617,-1.0295,-2.0715,0.3214,10,0.5000
long,trend,tp,2026-03-04T10:00:00.000Z,2026-03-04T11:00:00.000Z,2026-03-04T15:00:00.000Z,0.93808134,0.9770979026802553,7184.841560748808,6739.965798994933,2.6960,277.6318,1.6506,-0.7083,1.7052,4,0.5000
long,trend,sl,2026-03-04T22:00:00.000Z,2026-03-04T23:00:00.000Z,2026-03-05T16:00:00.000Z,0.9610882399999999,0.9351746801652369,7229.502334855569,6948.189675082229,2.7793,-190.1214,-1.0259,-1.4703,0.9680,17,0.5000
short,trend,sl,2026-03-05T17:00:00.000Z,2026-03-05T18:00:00.000Z,2026-03-05T19:00:00.000Z,0.93691884,0.9638964575478953,7263.808049993236,6805.598612182324,2.7222,-198.6825,-1.0249,-1.0822,0.0344,1,0.5000
