side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,trend,sl,2026-02-27T22:00:00.000Z,2026-02-27T23:00:00.000Z,2026-02-28T01:00:00.000Z,174.64759,179.04522024699315,42.94362149514917,7500,3.0000,-191.8502,-1.0284,-1.1171,0.0340,2,0.5000
short,trend,tp,2026-02-28T01:00:00.000Z,2026-02-28T02:00:00.000Z,2026-02-28T06:00:00.000Z,178.84633000000002,171.78272435132837,41.13091039328639,7356.1123733981285,2.9424,287.5901,1.6498,-0.6025,2.4648,4,0.5000
short,trend,sl,2026-02-28T13:00:00.000Z,2026-02-28T14:00:00.000Z,2026-02-28T20:00:00.000Z,174.23771299999999,179.85557183935236,43.45675116803146,7571.80493792788,3.0287,-247.1626,-1.0222,-1.2873,1.0852,6,0.5000
long,trend,sl,2026-02-28T20:00:00.000Z,2026-02-28T21:00:00.000Z,2026-03-01T20:00:00.000Z,180.834234,174.7476763318474,40.84643052812309,7386.432976187355,2.9546,-251.5687,-1.0207,-1.4210,1.1710,23,0.5000
short,trend,sl,2026-03-01T20:00:00.000Z,2026-03-01T21:00:00.000Z,2026-03-01T23:00:00.000Z,173.62789600000002,178.79772166286452,41.455069121403106,7197.756430083791,2.8791,-217.1946,-1.0241,-1.1790,0.0035,2,0.5000
long,trend,sl,2026-03-02T04:00:00.000Z,2026-03-02T05:00:00.000Z,2026-03-02T07:00:00.000Z,179.75391,174.75738882591594,39.13606381638668,7034.860493005028,2.8139,-198.3581,-1.0252,-1.2670,0.0073,2,0.5000
short,trend,sl,2026-03-02T07:00:00.000Z,2026-03-02T08:00:00.000Z,2026-03-02T14:00:00.000Z,175.597305,180.39300100629492,39.21524824205284,6886.091906210466,2.7544,-190.8188,-1.0262,-1.6793,0.3411,6,0.5000
long,trend,tp,2026-03-02T14:00:00.000Z,2026-03-02T15:00:00.000Z,2026-03-02T16:00:00.000Z,183.324981,191.63292272499314,36.78155445494574,6742.977771603394,2.6972,302.8818,1.6520,-0.0973,2.3542,1,0.5000
long,trend,sl,2026-03-02T17:00:00.000Z,2026-03-02T18:00:00.000Z,2026-03-03T03:00:00.000Z,187.376196,181.30953689566377,37.19863720841401,6970.139136496677,2.7881,-228.4595,-1.0215,-1.0056,0.6127,9,0.5000
short,trend,sl,2026-03-03T08:00:00.000Z,2026-03-03T09:00:00.000Z,2026-03-03T16:00:00.000Z,179.03627300000002,184.02056685780497,37.974396989590666,6798.794506438733,2.7195,-191.9951,-1.0257,-1.2708,0.6140,7,0.5000
long,trend,sl,2026-03-03T19:00:00.000Z,2026-03-03T20:00:00.000Z,2026-03-04T03:00:00.000Z,183.014888,177.60016382263296,36.36205925954508,6654.798202835006,2.6619,-199.5524,-1.0236,-1.0585,0.4523,7,0.5000
short,trend,sl,2026-03-04T03:00:00.000Z,2026-03-04T04:00:00.000Z,2026-03-04T07:00:00.000Z,178.426456,183.5463039401293,36.45834826375479,6505.133872315521,2.6021,-189.2633,-1.0250,-1.6019,0.2185,3,0.5000
long,trend,tp,2026-03-04T07:00:00.000Z,2026-03-04T08:00:00.000Z,2026-03-04T10:00:00.000Z,186.475926,194.89598269878968,34.123366855997276,6363.1864327098,2.5453,284.7754,1.6519,-0.1437,1.9347,2,0.5000
long,trend,sl,2026-03-04T10:00:00.000Z,2026-03-04T11:00:00.000Z,2026-03-05T07:00:00.000Z,190.35709,184.39048484759095,34.54963505452206,6576.76798954081,2.6307,-208.7747,-1.0222,-1.0653,0.8294,20,0.5000
short,trend,sl,2026-03-05T07:00:00.000Z,2026-03-05T08:00:00.000Z,2026-03-05T10:00:00.000Z,184.784548,189.3241500731607,34.74417642456947,6420.186936246325,2.5681,-160.2928,-1.0292,-1.4021,0.2553,2,0.5000
long,trend,sl,2026-03-05T11:00:00.000Z,2026-03-05T12:00:00.000Z,2026-03-05T16:00:00.000Z,189.336784,184.70246579993926,33.27386889950567,6299.967328670023,2.5200,-156.7217,-1.0286,-1.2703,1.1669,4,0.5000
short,trend,sl,2026-03-05T17:00:00.000Z,2026-03-05T18:00:00.000Z,2026-03-05T20:00:00.000Z,182.11534899999998,187.6891446155406,33.947858323028356,6182.426066300864,2.4730,-191.6914,-1.0234,-1.3148,0.0318,2,0.5000
short,trend,tp,2026-03-05T21:00:00.000Z,2026-03-05T22:00:00.000Z,2026-03-06T14:00:00.000Z,187.80364200000002,178.81152231089376,32.1541023180613,6038.657520572555,2.4155,286.7181,1.6527,-0.3960,2.1896,16,0.5000
short,trend,sl,2026-03-07T00:00:00.000Z,2026-03-07T01:00:00.000Z,2026-03-07T09:00:00.000Z,177.276801,180.88914682692885,35.27644926152078,6253.696075721216,2.5015,-129.9322,-1.0352,-1.0576,0.7945,8,0.5000
long,trend,sl,2026-03-07T18:00:00.000Z,2026-03-07T19:00:00.000Z,2026-03-07T20:00:00.000Z,183.695092,179.2346450936773,33.51339901987941,6156.246916189457,2.4625,-151.9472,-1.0289,-1.5715,0.2031,1,0.5000
short,trend,sl,2026-03-07T21:00:00.000Z,2026-03-07T22:00:00.000Z,2026-03-08T19:00:00.000Z,175.12744600000002,179.99083407044813,34.502224679166886,6042.286489380667,2.4169,-170.2146,-1.0258,-2.0777,0.7043,21,0.5000
long,trend,tp,2026-03-08T21:00:00.000Z,2026-03-08T22:00:00.000Z,2026-03-09T03:00:00.000Z,182.72480099999999,191.22763452412724,32.36903523842074,5914.625522502417,2.3659,272.8627,1.6523,-0.9477,2.5041,5,0.5000
long,trend,tp,2026-03-09T11:00:00.000Z,2026-03-09T12:00:00.000Z,2026-03-10T16:00:00.000Z,194.548347,204.28427088069589,31.45373691261608,6119.272523322342,2.4477,303.7835,1.6533,-0.7701,2.5972,28,0.5000
long,trend,sl,2026-03-10T18:00:00.000Z,2026-03-10T19:00:00.000Z,2026-03-11T05:00:00.000Z,201.970573,195.1811623929877,31.425915362550583,6347.110132823844,2.5388,-215.9023,-1.0207,-1.1827,0.2302,10,0.5000
short,trend,sl,2026-03-11T05:00:00.000Z,2026-03-11T06:00:00.000Z,2026-03-11T13:00:00.000Z,194.84153,200.46166185185868,31.74468716941823,6185.1834174608175,2.4741,-180.8834,-1.0248,-1.2353,0.1981,7,0.5000
short,trend,sl,2026-03-11T13:00:00.000Z,2026-03-11T14:00:00.000Z,2026-03-11T21:00:00.000Z,198.470441,203.49888613340082,30.480714590740877,6049.520866819476,2.4198,-155.6904,-1.0283,-1.4876,0.4108,7,0.5000
long,trend,tp,2026-03-11T22:00:00.000Z,2026-03-11T23:00:00.000Z,2026-03-12T10:00:00.000Z,202.930861,212.0542085368102,29.235341685410965,5932.753059849638,2.3731,264.3511,1.6518,-0.9373,2.0221,11,0.5000
