side,strategy,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,trend,tp,2025-08-31T19:00:00.000Z,2025-08-31T20:00:00.000Z,2025-09-01T00:00:00.000Z,0.89783057,0.8788199954631996,8353.469185171542,7500.000000000001,3.0000,155.8042,1.6352,-0.4357,2.3786,4,0.5000
short,trend,tp,2025-09-01T07:00:00.000Z,2025-09-01T08:00:00.000Z,2025-09-01T15:00:00.000Z,0.8928320700000001,0.8657797417633226,8531.115136174685,7616.853186439177,3.0467,227.7398,1.6447,-0.8544,1.7578,7,0.5000
short,trend,tp,2025-09-01T15:00:00.000Z,2025-09-01T16:00:00.000Z,2025-09-01T21:00:00.000Z,0.86624005,0.8377754150625435,8990.184678773232,7787.658025649759,3.1151,252.7873,1.6464,-0.1909,2.0751,5,0.5000
short,trend,sl,2025-09-01T23:00:00.000Z,2025-09-02T00:00:00.000Z,2025-09-02T03:00:00.000Z,0.85424365,0.8729039964298949,9338.376084994323,7977.24847191826,3.1909,-177.4482,-1.0328,-1.2695,0.1926,3,0.5000
long,trend,sl,2025-09-02T06:00:00.000Z,2025-09-02T07:00:00.000Z,2025-09-02T12:00:00.000Z,0.88036403,0.8640012738204799,8910.13493332719,7844.162297747706,3.1377,-148.9320,-1.0380,-1.8048,0.0000,5,0.5000
long,trend,sl,2025-09-02T13:00:00.000Z,2025-09-02T14:00:00.000Z,2025-09-02T15:00:00.000Z,0.88296481,0.8647093261057053,8757.38555761683,7732.463274977888,3.0930,-162.9633,-1.0340,-1.2650,0.3076,1,0.5000
long,trend,tp,2025-09-02T17:00:00.000Z,2025-09-02T18:00:00.000Z,2025-09-05T12:00:00.000Z,0.87766322,0.9087956784024187,8671.026231158454,7610.240802742993,3.0441,266.9063,1.6479,-0.8974,2.2665,66,0.5000
long,trend,sl,2025-09-05T13:00:00.000Z,2025-09-05T14:00:00.000Z,2025-09-05T14:00:00.000Z,0.90777225,0.8911477965390482,8603.942787508691,7810.420503088036,3.1242,-146.1600,-1.0385,-2.0158,0.0139,0,0.5000
long,trend,tp,2025-09-05T16:00:00.000Z,2025-09-05T17:00:00.000Z,2025-09-06T17:00:00.000Z,0.8898668799999999,0.9204998929260693,8653.879209549172,7700.800492098387,3.0803,262.0141,1.6473,-0.3682,1.8245,24,0.5000
long,trend,tp,2025-09-06T17:00:00.000Z,2025-09-06T18:00:00.000Z,2025-09-06T18:00:00.000Z,0.9188755799999999,0.9392097205800549,8594.537953893421,7897.31104721583,3.1589,171.6036,1.6365,-0.0636,2.1167,0,0.5000
