side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,tp,2026-06-23T17:55:00.000Z,2026-06-23T18:00:00.000Z,2026-06-23T19:50:00.000Z,0.63098924,0.6384770000000003,36386.923994992256,22959.757517537928,9.1839,263.2727,2.6327,-0.5055,2.8421,22,0.7222
short,sweep,sl,2026-06-23T20:10:00.000Z,2026-06-23T20:15:00.000Z,2026-06-23T20:25:00.000Z,0.64340692,0.64678457718,32237.13643018666,20741.596660166193,8.2966,-117.1826,-1.1418,-1.0658,0.0000,2,0.7691
long,sweep,tp,2026-06-23T23:40:00.000Z,2026-06-23T23:45:00.000Z,2026-06-24T00:45:00.000Z,0.6445933199999999,0.6515598,39327.14974501448,25350.018020276035,10.1400,263.8318,2.6003,-0.3075,2.7934,12,0.8139
long,sweep,sl,2026-06-24T02:25:00.000Z,2026-06-24T02:30:00.000Z,2026-06-24T02:50:00.000Z,0.64649389,0.64361665706,38783.80312121816,25073.49174883047,10.0294,-121.6194,-1.1683,-1.0037,0.1886,4,0.8500
long,sweep,tp,2026-06-24T04:25:00.000Z,2026-06-24T04:30:00.000Z,2026-06-24T05:30:00.000Z,0.6369910400000001,0.6475070000000002,27362.215240754278,17429.48594291192,6.9718,280.7682,2.7290,-0.1040,2.8747,12,0.7008
short,sweep,sl,2026-06-24T05:30:00.000Z,2026-06-24T05:35:00.000Z,2026-06-24T06:45:00.000Z,0.64660596,0.64929032868,42452.20411782808,27449.84819772418,10.9799,-124.9373,-1.1821,-1.2026,0.7254,14,0.7131
short,sweep,tp,2026-06-24T06:50:00.000Z,2026-06-24T06:55:00.000Z,2026-06-24T10:10:00.000Z,0.64800554,0.6398018,34885.17579172297,22605.78717691037,9.0423,277.1466,2.6536,-0.2320,2.8410,39,0.7258
long,sweep,sl,2026-06-24T10:20:00.000Z,2026-06-24T10:25:00.000Z,2026-06-24T11:00:00.000Z,0.63809137,0.63483689178,34991.464788361365,22327.751705112267,8.9311,-122.8101,-1.1455,-1.0089,0.1334,7,0.7389
long,sweep,sl,2026-06-24T13:30:00.000Z,2026-06-24T13:35:00.000Z,2026-06-24T15:40:00.000Z,0.62928873,0.61917299236,10673.257289868117,6716.560524904349,2.6866,-110.6545,-1.0441,-1.3181,0.1925,25,0.7381
short,sweep,sl,2026-06-24T20:50:00.000Z,2026-06-24T20:55:00.000Z,2026-06-24T21:35:00.000Z,0.6268119,0.631449378,23578.19132060733,14779.090900233388,5.9116,-115.2550,-1.0989,-1.4811,0.6996,8,0.8166
long,sweep,sl,2026-06-25T03:15:00.000Z,2026-06-25T03:20:00.000Z,2026-06-25T04:25:00.000Z,0.62478738,0.62047000314,25107.984405013267,15687.151793489098,6.2749,-114.6755,-1.1056,-1.1588,0.0000,13,0.8500
short,sweep,sl,2026-06-25T05:10:00.000Z,2026-06-25T05:15:00.000Z,2026-06-25T06:45:00.000Z,0.63111061,0.63365443932,43580.2888526222,27503.982681754598,11.0016,-121.8624,-1.1880,-1.3550,0.8542,18,0.8500
short,sweep,sl,2026-06-25T07:00:00.000Z,2026-06-25T07:05:00.000Z,2026-06-25T08:00:00.000Z,0.63500944,0.6379643318999999,36677.410297629875,23290.501773748183,9.3162,-117.6940,-1.1611,-1.1907,0.7995,11,0.8500
long,sigma,sl,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-26T02:10:00.000Z,0.5850754699999999,0.57058497314,6996.396057131721,4093.419711432488,1.6374,-103.0186,-1.0283,-1.1506,1.5241,145,0.6201
short,sweep,tp,2026-06-26T08:00:00.000Z,2026-06-26T08:05:00.000Z,2026-06-26T10:50:00.000Z,0.60301904,0.5857531999999999,16534.996387793388,9970.917648170636,3.9884,281.5022,2.8391,-0.0302,2.9382,33,0.8500
long,sweep,sl,2026-06-26T18:30:00.000Z,2026-06-26T18:35:00.000Z,2026-06-26T18:50:00.000Z,0.6062818299999999,0.60350909294,39345.168982037634,23854.261052089012,9.5417,-118.6355,-1.1635,-1.2663,0.0842,3,0.8500
long,sweep,sl,2026-06-26T20:00:00.000Z,2026-06-26T20:05:00.000Z,2026-06-26T20:30:00.000Z,0.60498144,0.6003164510200001,22471.6523138005,13594.932575982357,5.4380,-110.2680,-1.0941,-1.0661,0.2048,5,0.7044
long,sweep,sl,2026-06-27T18:05:00.000Z,2026-06-27T18:10:00.000Z,2026-06-27T19:20:00.000Z,0.59357802,0.58904243424,22868.364678664704,13574.158626599732,5.4297,-109.1511,-1.0950,-1.0273,0.0739,14,0.7584
long,sweep,sl,2026-06-28T05:30:00.000Z,2026-06-28T05:35:00.000Z,2026-06-28T06:15:00.000Z,0.58177448,0.5769702569800002,21288.246888898986,12384.958763900824,4.9540,-107.2275,-1.0876,-1.0310,0.3294,8,0.8500
short,sigma,tp,2026-06-28T08:40:00.000Z,2026-06-28T08:45:00.000Z,2026-06-28T09:50:00.000Z,0.58902324,0.5826588,41369.826278061286,24367.7891125408,9.7471,253.5487,2.6001,-0.4144,2.8098,13,0.6018
