side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-24T04:10:00.000Z,2026-06-24T04:15:00.000Z,2026-06-24T04:20:00.000Z,6.4069215,6.3792976364000005,3889.6127890469097,24920.44380481961,9.9682,-117.4143,-1.1741,-1.6695,0.1975,1,0.7115
short,sweep,sl,2026-06-24T10:10:00.000Z,2026-06-24T10:15:00.000Z,2026-06-24T11:45:00.000Z,6.4160746,6.4427882568,3987.904512794497,25586.692851766147,10.2347,-116.7662,-1.1815,-3.0235,1.9803,18,0.7032
long,sweep,sl,2026-06-24T13:15:00.000Z,2026-06-24T13:20:00.000Z,2026-06-24T13:20:00.000Z,6.3639086,6.292497684200001,1404.697105644777,8939.363991007905,3.5757,-103.8865,-1.0638,-1.0487,0.0000,0,0.7774
long,sigma,sl,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-26T03:00:00.000Z,6.053815599999999,5.9572702826,1019.6472945028056,6172.756697958878,2.4691,-100.9113,-1.0444,-1.0745,2.2181,155,0.5023
long,sweep,tp,2026-06-26T03:00:00.000Z,2026-06-26T03:05:00.000Z,2026-06-26T03:55:00.000Z,5.9947979,6.1517120000000025,1747.8408927285466,10477.952913263216,4.1912,270.0697,2.8247,-0.1243,2.9104,10,0.8414
short,sweep,tp,2026-06-27T00:00:00.000Z,2026-06-27T00:05:00.000Z,2026-06-27T19:35:00.000Z,6.6100164,6.410003999999999,1418.308645161433,9375.043404778853,3.7500,279.9293,2.8474,-0.9086,3.0587,234,0.7984
long,sweep,sl,2026-06-28T06:15:00.000Z,2026-06-28T06:20:00.000Z,2026-06-28T13:00:00.000Z,6.3178947999999995,6.281522977600001,2931.852410531892,18523.135098866904,7.4093,-114.0461,-1.1279,-1.1858,2.1778,80,0.7692
short,sigma,tp,2026-06-28T20:25:00.000Z,2026-06-28T20:30:00.000Z,2026-06-28T21:10:00.000Z,6.4550629,6.388197999999999,4019.5144975229255,25946.218908972376,10.3785,258.3859,2.5846,-0.4398,3.4202,8,0.6945
short,sweep,sl,2026-06-28T23:50:00.000Z,2026-06-28T23:55:00.000Z,2026-06-29T01:40:00.000Z,6.4490647,6.499919391000001,2096.983486308467,13523.582178034869,5.4094,-112.0509,-1.0926,-1.4300,1.8212,21,0.7021
short,sweep,tp,2026-06-29T06:20:00.000Z,2026-06-29T06:25:00.000Z,2026-06-29T07:00:00.000Z,6.619013700000001,6.512136000000001,2650.162058926445,17541.458975254347,7.0166,276.2266,2.7232,-0.2609,3.1879,7,0.7072
short,sweep,sl,2026-06-29T10:00:00.000Z,2026-06-29T10:05:00.000Z,2026-06-29T12:05:00.000Z,6.5970203000000005,6.632223070199999,3137.120047176964,20695.64463476339,8.2783,-118.7136,-1.1393,-2.0467,2.1985,24,0.7432
long,sweep,sl,2026-07-01T08:30:00.000Z,2026-07-01T08:35:00.000Z,2026-07-01T12:50:00.000Z,6.6329893,6.5957986666,2925.4309943476514,19404.352483396335,7.7617,-116.5604,-1.1316,-1.1641,1.7327,51,0.7004
short,sweep,sl,2026-07-04T15:10:00.000Z,2026-07-04T15:15:00.000Z,2026-07-04T17:25:00.000Z,6.960911100000001,7.020113402399999,1783.6804562921182,12416.04108705687,4.9664,-110.5644,-1.0856,-1.0174,0.4363,26,0.7031
long,sweep,sl,2026-07-04T23:15:00.000Z,2026-07-04T23:20:00.000Z,2026-07-05T00:25:00.000Z,6.9570865,6.909076655000001,2192.96160096941,15256.623549122669,6.1026,-111.3864,-1.1057,-1.0033,0.4553,13,0.7201
long,sweep,sl,2026-07-06T05:30:00.000Z,2026-07-06T05:35:00.000Z,2026-07-06T12:00:00.000Z,6.8540556,6.810304295599999,2388.6082302313794,16371.653616623475,6.5487,-111.0534,-1.1147,-3.3101,2.3484,77,0.7219
