side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-23T14:55:00.000Z,0.079633883,0.078808370394,124709.58255961431,9931.108306531167,3.9724,-106.9218,-1.0692,-1.0275,0.2072,16,0.8500
long,sweep,tp,2026-06-23T15:25:00.000Z,2026-06-23T15:30:00.000Z,2026-06-24T01:30:00.000Z,0.07856356199999999,0.07972980000000003,235458.66175868805,18498.471171515714,7.3994,267.2015,2.7009,-0.7463,2.8714,120,0.8500
long,sweep,sl,2026-06-24T04:25:00.000Z,2026-06-24T04:30:00.000Z,2026-06-24T11:05:00.000Z,0.078653589,0.078259635064,274254.517233264,21571.102079858563,8.6284,-116.6721,-1.1483,-1.4673,2.1497,79,0.7091
short,sweep,sl,2026-06-24T20:50:00.000Z,2026-06-24T20:55:00.000Z,2026-06-24T21:55:00.000Z,0.07561730800000001,0.075994431492,283451.8922120389,21433.86903658055,8.5735,-115.4699,-1.1497,-1.3905,1.5728,12,0.7574
short,sweep,sl,2026-06-25T00:10:00.000Z,2026-06-25T00:15:00.000Z,2026-06-25T04:55:00.000Z,0.076247119,0.07658578884600001,314479.13285379205,23978.127865719893,9.5913,-116.0959,-1.1694,-1.5929,1.5430,56,0.7329
long,sweep,sl,2026-06-25T07:05:00.000Z,2026-06-25T07:10:00.000Z,2026-06-25T09:30:00.000Z,0.077193151,0.07680299218800002,267277.2491553709,20631.97305291517,8.2528,-112.5334,-1.1469,-1.0165,0.4000,28,0.7603
short,sweep,tp,2026-06-25T13:30:00.000Z,2026-06-25T13:35:00.000Z,2026-06-25T13:50:00.000Z,0.075727275,0.07328147999999998,114710.38250449265,8686.704681272904,3.4747,277.0834,2.8567,-0.1806,3.7221,3,0.7464
long,sigma,sl,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-30T11:55:00.000Z,0.07285184900000001,0.07153513302,77024.50923603245,5611.3779161625425,2.2446,-103.6640,-1.0391,-1.4374,2.7394,1414,0.5373
long,sweep,sl,2026-07-01T00:25:00.000Z,2026-07-01T00:30:00.000Z,2026-07-01T01:05:00.000Z,0.071851549,0.071505202002,303886.18583629484,21834.693172039646,8.7339,-113.9839,-1.1545,-1.5130,0.6108,7,0.7018
short,sweep,tp,2026-07-01T04:30:00.000Z,2026-07-01T04:35:00.000Z,2026-07-01T06:35:00.000Z,0.07237828,0.07148464000000003,298584.7496496858,21611.05061387486,8.6444,258.1829,2.6456,-0.8925,3.4827,24,0.7151
long,sweep,sl,2026-07-01T19:30:00.000Z,2026-07-01T19:35:00.000Z,2026-07-01T19:40:00.000Z,0.07306191199999999,0.07279223577600001,404190.21002057806,29530.90955578499,11.8124,-120.8129,-1.2061,-1.0568,0.0000,1,0.8387
long,sweep,tp,2026-07-01T20:20:00.000Z,2026-07-01T20:25:00.000Z,2026-07-01T21:50:00.000Z,0.072651789,0.07348494000000001,322598.2403548988,23437.33929003539,9.3749,259.3981,2.6212,-0.4296,2.9932,17,0.8001
short,sweep,sl,2026-07-02T01:40:00.000Z,2026-07-02T01:45:00.000Z,2026-07-02T03:25:00.000Z,0.07259821400000001,0.072987529692,276401.56304609176,20066.259823954664,8.0265,-115.6340,-1.1386,-1.4201,1.0021,20,0.7532
short,sweep,sl,2026-07-02T09:40:00.000Z,2026-07-02T09:45:00.000Z,2026-07-02T10:30:00.000Z,0.073457956,0.073949738268,213798.819870792,15705.224302920566,6.2821,-111.4246,-1.1098,-1.0904,0.3789,9,0.7529
short,sweep,sl,2026-07-02T12:30:00.000Z,2026-07-02T12:35:00.000Z,2026-07-02T13:25:00.000Z,0.074217728,0.07490192383800001,150040.4021931413,11135.657758981162,4.4543,-107.1113,-1.0788,-1.2426,0.0268,10,0.7002
short,sweep,sl,2026-07-02T13:25:00.000Z,2026-07-02T13:30:00.000Z,2026-07-02T13:30:00.000Z,0.074537632,0.075212637024,150533.71702559563,11220.426803245982,4.4882,-106.0992,-1.0803,-1.1838,0.3336,0,0.7085
long,sweep,sl,2026-07-02T20:30:00.000Z,2026-07-02T20:35:00.000Z,2026-07-02T22:05:00.000Z,0.074032203,0.07376998236400001,393697.98604789877,29146.329223789213,11.6585,-114.8943,-1.2156,-1.3004,0.7822,18,0.7040
short,sweep,sl,2026-07-03T08:00:00.000Z,2026-07-03T08:05:00.000Z,2026-07-03T08:40:00.000Z,0.075237422,0.075553419228,327286.2297627091,24624.172183445906,9.8497,-113.2712,-1.1798,-1.1679,0.9117,7,0.7095
long,sweep,sl,2026-07-04T01:10:00.000Z,2026-07-04T01:15:00.000Z,2026-07-04T01:45:00.000Z,0.07698308799999999,0.076703222128,369373.2322764004,28435.492045178566,11.3742,-114.7492,-1.2095,-1.2190,0.6498,6,0.7764
short,sweep,sl,2026-07-04T13:20:00.000Z,2026-07-04T13:25:00.000Z,2026-07-04T14:15:00.000Z,0.077146849,0.07761815846399998,209193.74859798135,16138.63853483243,6.4555,-105.0504,-1.1208,-1.0337,0.4394,10,0.8130
short,sweep,sl,2026-07-04T14:45:00.000Z,2026-07-04T14:50:00.000Z,2026-07-04T15:00:00.000Z,0.07742676500000001,0.077798572572,265943.8407022745,20591.17125725245,8.2365,-107.1164,-1.1558,-1.3867,0.0000,2,0.8111
short,sigma,sl,2026-07-04T15:10:00.000Z,2026-07-04T15:15:00.000Z,2026-07-04T15:30:00.000Z,0.078046579,0.07862045906399999,166460.92932176354,12991.706070724436,5.1967,-100.7253,-1.0996,-1.0420,0.0846,3,0.5567
short,sigma,sl,2026-07-04T15:35:00.000Z,2026-07-04T15:40:00.000Z,2026-07-04T16:25:00.000Z,0.07851643800000001,0.078770804154,346155.65324557025,27178.90888640532,10.8716,-98.9218,-1.2385,-1.4889,1.4581,9,0.5231
long,sweep,sl,2026-07-04T23:15:00.000Z,2026-07-04T23:20:00.000Z,2026-07-05T00:20:00.000Z,0.07764328599999999,0.07715218739799999,191490.35251316408,14867.940206420415,5.9472,-99.9878,-1.1158,-1.0328,0.2708,12,0.7462
long,sweep,sl,2026-07-05T02:15:00.000Z,2026-07-05T02:20:00.000Z,2026-07-05T02:40:00.000Z,0.076512947,0.07598487769600001,175367.2143483417,13417.862376972307,5.3671,-97.9732,-1.1057,-1.1142,0.0535,4,0.7224
short,sweep,tp,2026-07-05T22:30:00.000Z,2026-07-05T22:35:00.000Z,2026-07-06T05:25:00.000Z,0.078306501,0.07650731999999998,138857.91093127584,10873.477141197862,4.3494,245.4811,2.8014,-0.7820,2.8943,82,0.7277
short,sweep,tp,2026-07-06T21:10:00.000Z,2026-07-06T21:15:00.000Z,2026-07-07T02:20:00.000Z,0.077796654,0.07585008,132476.76519264953,10306.249064731799,4.1225,253.7533,2.8169,-0.1079,3.1275,61,0.7994
long,sweep,tp,2026-07-07T05:20:00.000Z,2026-07-07T05:25:00.000Z,2026-07-07T06:55:00.000Z,0.07442231999999999,0.07544519999999999,249837.82619581517,18593.510649249336,7.4374,248.1167,2.6789,-0.4379,2.8261,18,0.7064
