side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-24T13:30:00.000Z,2026-06-24T13:35:00.000Z,2026-06-24T13:40:00.000Z,61.2313639,60.524509198400004,145.20281130067121,8890.966178054432,3.5564,-106.1937,-1.0619,-1.4061,0.1969,1,0.7229
short,sweep,sl,2026-06-26T14:05:00.000Z,2026-06-26T14:10:00.000Z,2026-06-26T14:20:00.000Z,63.94581050000001,64.3436893176,261.33887481758813,16711.526165368716,6.6846,-110.6658,-1.1185,-1.6514,0.8712,2,0.7122
long,sweep,sl,2026-06-27T22:15:00.000Z,2026-06-27T22:20:00.000Z,2026-06-27T23:55:00.000Z,62.1026252,61.5820718344,194.85486400596125,12100.99858775918,4.8404,-106.2728,-1.0863,-1.1584,1.1042,19,0.7659
short,sweep,sl,2026-06-29T06:00:00.000Z,2026-06-29T06:05:00.000Z,2026-06-29T10:15:00.000Z,62.9341141,63.250179362999994,325.7152911234084,20498.603295675304,8.1994,-111.1467,-1.1486,-1.4739,2.1781,50,0.7122
long,sweep,sl,2026-06-30T06:25:00.000Z,2026-06-30T06:30:00.000Z,2026-06-30T07:05:00.000Z,65.86575380000001,65.25760084480001,162.5248360608479,10704.82083836917,4.2819,-103.1219,-1.0780,-1.0683,0.0327,7,0.7021
long,sweep,tp,2026-07-01T01:10:00.000Z,2026-07-01T01:15:00.000Z,2026-07-01T04:45:00.000Z,63.6320839,65.93778400000001,119.17452544297477,7583.323401730055,3.0333,271.7474,2.8718,-0.4447,2.9910,42,0.7993
long,sweep,sl,2026-07-01T07:45:00.000Z,2026-07-01T07:50:00.000Z,2026-07-01T08:05:00.000Z,64.4313236,63.91070503480001,194.12799714518556,12507.923803881327,5.0032,-106.0698,-1.0896,-1.0337,0.1609,3,0.7266
short,sweep,sl,2026-07-02T18:30:00.000Z,2026-07-02T18:35:00.000Z,2026-07-03T05:25:00.000Z,66.76396480000001,67.3485865164,170.5861260640563,11389.006115909018,4.5556,-104.2840,-1.0831,-1.3377,2.2465,130,0.7010
short,sweep,sl,2026-07-03T20:35:00.000Z,2026-07-03T20:40:00.000Z,2026-07-03T21:50:00.000Z,70.6617951,71.28161407079999,159.14675548760047,11245.595427094626,4.4982,-103.1404,-1.0830,-1.0230,0.4425,14,0.7776
short,sweep,sl,2026-07-05T04:10:00.000Z,2026-07-05T04:15:00.000Z,2026-07-05T04:15:00.000Z,68.8303447,69.13067698319999,336.9411991462202,23191.77888086568,9.2767,-110.4710,-1.1726,-1.3149,0.0000,0,0.7266
short,sweep,sl,2026-07-05T04:20:00.000Z,2026-07-05T04:25:00.000Z,2026-07-05T13:05:00.000Z,69.1512484,69.51656271419999,270.2847921838507,18690.530803047837,7.4762,-106.2151,-1.1408,-1.2040,2.6831,104,0.7480
short,sweep,sl,2026-07-05T21:55:00.000Z,2026-07-05T22:00:00.000Z,2026-07-05T22:20:00.000Z,70.9976943,71.49911330099998,191.7631704111711,13614.742950851132,5.4459,-101.5996,-1.1038,-1.4236,0.3265,4,0.7583
long,sweep,sl,2026-07-06T12:05:00.000Z,2026-07-06T12:10:00.000Z,2026-07-06T13:00:00.000Z,69.6568908,68.8722701186,119.15090304944636,8299.681442436671,3.3199,-96.8081,-1.0635,-1.1086,0.5761,10,0.7828
short,sweep,sl,2026-07-07T12:05:00.000Z,2026-07-07T12:10:00.000Z,2026-07-07T12:10:00.000Z,72.20233280000001,72.496402398,330.69625308814125,23877.040921183005,9.5508,-106.7985,-1.1859,-1.2399,0.0196,0,0.7519
short,sweep,sl,2026-07-07T15:00:00.000Z,2026-07-07T15:05:00.000Z,2026-07-07T15:25:00.000Z,72.1273553,72.5976347586,198.41308802798503,14311.011296364653,5.7244,-99.0340,-1.1129,-1.8922,0.1836,4,0.7347
long,sweep,sl,2026-07-08T08:40:00.000Z,2026-07-08T08:45:00.000Z,2026-07-08T14:50:00.000Z,67.6953025,67.21708482320001,192.11861526479575,13005.527776231465,5.2022,-97.0767,-1.1032,-1.1228,2.8025,73,0.7107
long,sweep,tp,2026-07-08T21:20:00.000Z,2026-07-08T21:25:00.000Z,2026-07-08T23:10:00.000Z,66.4509293,67.60203799999998,212.12218239109635,14095.716145032447,5.6383,238.5374,2.7409,-0.1339,2.9787,21,0.7663
long,sweep,tp,2026-07-09T02:00:00.000Z,2026-07-09T02:05:00.000Z,2026-07-09T15:10:00.000Z,67.3471981,68.64712599999997,194.27656575060647,13083.982359793768,5.2336,247.3119,2.7659,-0.8152,2.8307,157,0.7043
short,sweep,sl,2026-07-09T15:15:00.000Z,2026-07-09T15:20:00.000Z,2026-07-10T08:25:00.000Z,68.14954900000001,68.87909953260001,129.6203875629025,8833.570953617014,3.5334,-98.0981,-1.0676,-1.2096,2.1732,205,0.7673
long,sweep,sl,2026-07-10T19:20:00.000Z,2026-07-10T19:25:00.000Z,2026-07-10T20:20:00.000Z,67.1451375,66.84993100240001,330.39248284632447,22184.24868968285,8.8737,-106.4077,-1.1705,-1.0581,1.5805,11,0.7035
long,sweep,sl,2026-07-10T20:25:00.000Z,2026-07-10T20:30:00.000Z,2026-07-11T04:55:00.000Z,66.9340742,66.5206898044,228.3600869937963,15285.071007161216,6.1140,-100.5145,-1.1188,-1.0754,1.8960,101,0.7424
short,sweep,sl,2026-07-11T10:25:00.000Z,2026-07-11T10:30:00.000Z,2026-07-11T12:15:00.000Z,66.79695489999999,67.1421125928,273.3262011846142,18257.357933517,7.3029,-101.6436,-1.1442,-1.1539,0.2275,21,0.7087
long,sweep,tp,2026-07-11T13:40:00.000Z,2026-07-11T13:45:00.000Z,2026-07-11T14:30:00.000Z,66.5949725,67.57624400000005,248.27610140290358,16533.940145333574,6.6136,237.0127,2.6988,-0.2091,3.3728,9,0.7391
short,sigma,sl,2026-07-11T14:40:00.000Z,2026-07-11T14:45:00.000Z,2026-07-11T21:00:00.000Z,67.65969600000001,67.981038195,299.6819234503858,20276.38783734838,8.1106,-104.4110,-1.1577,-1.3600,2.6572,75,0.5074
short,sweep,sl,2026-07-12T16:10:00.000Z,2026-07-12T16:15:00.000Z,2026-07-12T17:10:00.000Z,67.819648,68.1233648802,314.68679556314186,21341.947705340244,8.5368,-104.1125,-1.1679,-1.0673,0.0164,11,0.7092
short,sweep,tp,2026-07-12T19:10:00.000Z,2026-07-12T19:15:00.000Z,2026-07-12T22:45:00.000Z,68.1825391,66.88296400000002,191.3364257900834,13045.80333268661,5.2183,243.4377,2.7630,-0.4158,3.0415,42,0.7110
long,sweep,sl,2026-07-13T13:20:00.000Z,2026-07-13T13:25:00.000Z,2026-07-13T13:40:00.000Z,64.0682147,63.6413258728,222.02472050652835,14224.72746211975,5.6899,-100.4698,-1.1097,-1.7269,0.1491,3,0.7839
long,sweep,tp,2026-07-14T03:20:00.000Z,2026-07-14T03:25:00.000Z,2026-07-14T05:05:00.000Z,62.7128082,63.489323999999996,315.3568502161934,19776.913662164265,7.9108,236.9688,2.6467,-0.2142,4.2378,20,0.7088
short,sweep,sl,2026-07-14T05:25:00.000Z,2026-07-14T05:30:00.000Z,2026-07-14T12:30:00.000Z,64.030785,64.3096110972,354.1071155818766,22673.75658479329,9.0695,-107.8038,-1.1730,-2.4783,2.3379,84,0.7058
short,sweep,sl,2026-07-14T12:35:00.000Z,2026-07-14T12:40:00.000Z,2026-07-14T12:45:00.000Z,64.5336341,64.93705127279999,236.5633149036045,15266.29040547229,6.1065,-101.5402,-1.1180,-1.3449,0.0225,1,0.7343
long,sweep,tp,2026-07-14T14:30:00.000Z,2026-07-14T14:35:00.000Z,2026-07-14T18:00:00.000Z,64.5883707,65.58515400000005,250.80703857981786,16199.217981962476,6.4797,243.5206,2.7115,-0.4255,3.0373,41,0.7196
short,sweep,sl,2026-07-14T18:05:00.000Z,2026-07-14T18:10:00.000Z,2026-07-14T21:10:00.000Z,65.13145469999999,65.881218438,126.36397598723984,8230.2695777248,3.2921,-98.0352,-1.0628,-1.0227,0.2212,36,0.7588
short,sweep,sl,2026-07-15T03:30:00.000Z,2026-07-15T03:35:00.000Z,2026-07-15T09:05:00.000Z,67.4017734,67.76454126539998,266.51323995648755,17963.465007647,7.1854,-103.8678,-1.1381,-1.1016,2.1953,66,0.7831
long,sweep,sl,2026-07-16T08:20:00.000Z,2026-07-16T08:25:00.000Z,2026-07-16T12:35:00.000Z,65.7877304,65.4132421384,254.2629443179857,16727.382031501857,6.6910,-101.9094,-1.1295,-2.1184,1.3590,50,0.7053
long,sweep,tp,2026-07-17T07:35:00.000Z,2026-07-17T07:40:00.000Z,2026-07-17T08:50:00.000Z,58.6815992,59.617778,265.8764444273553,15602.054948607138,6.2408,242.6671,2.7202,-0.3922,2.9637,14,0.7536
short,sweep,tp,2026-07-17T09:40:00.000Z,2026-07-17T09:45:00.000Z,2026-07-17T13:00:00.000Z,60.8177492,59.61728000000001,215.8702093871214,13128.740254257436,5.2515,253.8940,2.7707,-0.0760,2.8428,39,0.7139
long,sweep,sl,2026-07-18T11:45:00.000Z,2026-07-18T11:50:00.000Z,2026-07-18T13:15:00.000Z,58.7356154,58.427342537200005,323.9115795573504,19025.145960487036,7.6101,-107.4632,-1.1411,-2.7950,1.4734,17,0.7312
short,sweep,sl,2026-07-18T17:20:00.000Z,2026-07-18T17:25:00.000Z,2026-07-18T18:00:00.000Z,59.505143100000005,59.966642597399996,209.91228527039976,12490.860573463162,4.9963,-101.8708,-1.0942,-1.0346,0.3521,7,0.7636
short,sweep,sl,2026-07-19T01:25:00.000Z,2026-07-19T01:30:00.000Z,2026-07-19T01:50:00.000Z,60.5098416,60.76848307739999,383.00431512441304,23175.53044029472,9.2702,-108.3310,-1.1765,-1.7393,0.4402,4,0.7188
short,sweep,sl,2026-07-19T08:05:00.000Z,2026-07-19T08:10:00.000Z,2026-07-19T08:45:00.000Z,60.987698200000004,61.3778818422,244.7636680111271,14927.572714987615,5.9710,-101.4738,-1.1151,-1.0229,0.3166,7,0.7899
short,sweep,sl,2026-07-19T20:00:00.000Z,2026-07-19T20:05:00.000Z,2026-07-19T20:35:00.000Z,61.0526787,61.3277668122,350.5419475942212,21401.524897342224,8.5606,-104.9905,-1.1668,-1.1037,0.5091,6,0.7151
long,sweep,sl,2026-07-19T22:00:00.000Z,2026-07-19T22:05:00.000Z,2026-07-20T00:45:00.000Z,60.97928829999999,60.716067713600005,362.98961705185116,22134.848508111427,8.8539,-104.4003,-1.1739,-1.8910,2.6274,32,0.7337
long,sweep,sl,2026-07-20T00:50:00.000Z,2026-07-20T00:55:00.000Z,2026-07-20T01:40:00.000Z,60.7402166,60.34492309040001,233.01206433661588,14153.203258219182,5.6613,-97.7694,-1.1124,-1.1671,0.6781,9,0.7234
short,sweep,sl,2026-07-20T11:35:00.000Z,2026-07-20T11:40:00.000Z,2026-07-20T11:55:00.000Z,61.0926667,61.437017577599995,266.6588568056546,16290.900661430882,6.5164,-98.3406,-1.1315,-1.0043,0.0082,3,0.7429
short,sweep,sl,2026-07-20T21:15:00.000Z,2026-07-20T21:20:00.000Z,2026-07-21T05:20:00.000Z,62.7271762,63.00261111479999,334.94788015655746,21010.334696396865,8.4041,-100.6605,-1.1715,-1.4182,1.9965,96,0.7025
short,sweep,sl,2026-07-21T05:35:00.000Z,2026-07-21T05:40:00.000Z,2026-07-21T07:00:00.000Z,62.9731024,63.3313657116,250.3049416707683,15762.47872305932,6.3050,-95.9801,-1.1302,-1.0844,0.2980,16,0.7775
long,sweep,sl,2026-07-22T04:00:00.000Z,2026-07-22T04:05:00.000Z,2026-07-22T05:10:00.000Z,60.233064500000005,59.82811417960001,216.95559714530862,13067.90047648939,5.2272,-93.0834,-1.1086,-2.1371,0.9042,13,0.7074
