side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-24T04:20:00.000Z,7.6052808999999995,7.522662524,1244.3862624734227,9463.907074211507,3.7856,-106.5947,-1.0659,-1.0114,1.0542,177,0.7237
short,sweep,tp,2026-06-24T10:00:00.000Z,2026-06-24T10:05:00.000Z,2026-06-24T11:15:00.000Z,7.6157146000000004,7.545238000000003,3727.8179857300574,28389.997860066993,11.3560,251.3679,2.5408,-0.3122,2.7776,14,0.7250
long,sweep,sl,2026-06-24T13:45:00.000Z,2026-06-24T13:50:00.000Z,2026-06-24T15:30:00.000Z,7.492247,7.4368602724,1908.5266114113563,14299.1527787669,5.7197,-111.4267,-1.0984,-1.1334,0.6914,20,0.7088
long,sweep,tp,2026-06-24T17:45:00.000Z,2026-06-24T17:50:00.000Z,2026-06-24T20:00:00.000Z,7.158146799999999,7.315701999999999,1811.701257168943,12968.423556559845,5.1874,280.2556,2.7932,-0.7249,2.8503,26,0.7107
long,sweep,sl,2026-06-25T10:45:00.000Z,2026-06-25T10:50:00.000Z,2026-06-25T11:05:00.000Z,7.4582368,7.4268832664,3541.1752467975457,26410.923540914537,10.5644,-121.5927,-1.1790,-1.3472,0.1635,3,0.8500
long,sigma,tp,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-27T15:10:00.000Z,7.119135099999999,7.438143999999999,933.4786570717129,6645.560672660094,2.6582,295.1298,2.8957,-0.9996,3.1128,589,0.5900
long,sweep,tp,2026-06-28T06:15:00.000Z,2026-06-28T06:20:00.000Z,2026-06-28T08:35:00.000Z,7.2381708,7.339295999999999,2865.119371083493,20738.223370290903,8.2953,281.4405,2.6837,-0.4964,3.1372,27,0.8500
short,sweep,tp,2026-06-28T15:05:00.000Z,2026-06-28T15:10:00.000Z,2026-06-28T22:50:00.000Z,7.2868133,7.155086,2299.7647847538115,16757.956620415713,6.7032,296.2386,2.7510,-0.8582,2.9005,92,0.7728
long,sweep,tp,2026-06-29T08:30:00.000Z,2026-06-29T08:35:00.000Z,2026-06-29T12:10:00.000Z,7.2941876,7.401620000000001,2857.0885453135224,20840.139839327934,8.3361,298.6078,2.6987,-0.9344,2.9130,43,0.7634
long,sweep,tp,2026-06-29T14:15:00.000Z,2026-06-29T14:20:00.000Z,2026-06-29T17:05:00.000Z,7.2281678,7.365164000000001,2340.281914467145,16915.95037707377,6.7664,313.8433,2.7619,-0.4771,3.2299,33,0.7335
long,sweep,sl,2026-06-30T04:10:00.000Z,2026-06-30T04:15:00.000Z,2026-06-30T08:35:00.000Z,7.2991890999999995,7.2472971584,2348.743069750317,17143.919813422053,6.8576,-128.7384,-1.1025,-1.0095,0.4387,52,0.8181
long,sweep,sl,2026-06-30T12:25:00.000Z,2026-06-30T12:30:00.000Z,2026-06-30T12:45:00.000Z,7.190156399999999,7.165485709200001,4818.475576347966,34645.593003522015,13.8582,-132.7334,-1.2232,-1.9163,0.0819,3,0.7112
long,sweep,sl,2026-07-01T05:30:00.000Z,2026-07-01T05:35:00.000Z,2026-07-01T06:20:00.000Z,7.2751819,7.2462994578,4274.314956586335,31096.41880705619,12.4386,-135.8912,-1.1904,-1.7291,0.1055,9,0.8222
long,sweep,tp,2026-07-01T08:30:00.000Z,2026-07-01T08:35:00.000Z,2026-07-01T13:45:00.000Z,7.1891561,7.290002000000001,3091.223762253368,22223.290166868752,8.8893,302.8479,2.6848,-0.1961,3.0925,62,0.7231
long,sweep,sl,2026-07-02T00:05:00.000Z,2026-07-02T00:10:00.000Z,2026-07-02T00:30:00.000Z,7.3532053,7.3161384998,3321.572280654663,24424.202898442953,9.7697,-132.8897,-1.1473,-1.0669,0.1375,4,0.7225
long,sweep,sl,2026-07-02T06:15:00.000Z,2026-07-02T06:20:00.000Z,2026-07-02T06:50:00.000Z,7.4742416,7.4398533742,3560.7684539560373,26614.0437065259,10.6456,-133.0941,-1.1624,-1.0960,0.3968,6,0.7076
short,sweep,sl,2026-07-02T09:40:00.000Z,2026-07-02T09:45:00.000Z,2026-07-02T10:20:00.000Z,7.5817248,7.6345236702,2240.5364730987826,16987.130943397573,6.7949,-125.0926,-1.1054,-1.3121,0.3905,7,0.7035
