side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-24T03:20:00.000Z,2026-06-24T03:25:00.000Z,2026-06-24T04:05:00.000Z,41.842549,41.634046037999994,510.18065496991534,21347.259054430775,8.5389,-114.9131,-1.1491,-1.1354,0.6502,8,0.8500
long,sweep,tp,2026-06-24T11:10:00.000Z,2026-06-24T11:15:00.000Z,2026-06-24T11:45:00.000Z,41.832546,42.22061999999999,676.6621660297436,28306.501186898888,11.3226,251.2724,2.5419,-0.5651,3.6790,6,0.7444
short,sweep,tp,2026-06-25T05:10:00.000Z,2026-06-25T05:15:00.000Z,2026-06-25T11:00:00.000Z,41.827448000000004,41.46872000000001,727.012509460794,30409.077934820874,12.1636,248.6361,2.5089,-0.9724,2.6956,69,0.7154
long,sigma,tp,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-26T07:00:00.000Z,39.931976,41.77628000000001,164.6488455380206,6574.753748451945,2.6299,301.0326,2.8987,-0.1775,2.9299,203,0.5553
short,sweep,tp,2026-06-26T07:40:00.000Z,2026-06-26T07:45:00.000Z,2026-06-26T09:50:00.000Z,41.827448000000004,41.258300000000006,517.6035130126478,21650.03402515385,8.6600,285.9330,2.6758,-0.2545,2.8939,25,0.7115
long,sweep,sl,2026-06-26T10:40:00.000Z,2026-06-26T10:45:00.000Z,2026-06-26T11:25:00.000Z,41.212360000000004,41.015471666,594.4284883228127,24497.800855015554,9.7991,-126.8352,-1.1560,-1.6381,0.9624,8,0.7221
short,sweep,sl,2026-06-27T02:25:00.000Z,2026-06-27T02:30:00.000Z,2026-06-27T04:10:00.000Z,42.237325,42.417361392,648.1861089784269,27377.647345407233,10.9511,-127.6481,-1.1770,-1.0320,0.8805,20,0.8500
short,sweep,sl,2026-06-27T04:25:00.000Z,2026-06-27T04:30:00.000Z,2026-06-27T08:55:00.000Z,42.307304,42.54766047,470.8992133003044,19922.476170456823,7.9690,-121.1527,-1.1304,-1.6815,0.8230,53,0.8500
short,sweep,sl,2026-06-27T09:05:00.000Z,2026-06-27T09:10:00.000Z,2026-06-27T09:30:00.000Z,42.677193,42.858373656,629.5083422105095,26865.64901562796,10.7463,-124.8010,-1.1778,-1.0266,1.0527,4,0.8500
short,sweep,sl,2026-06-27T13:10:00.000Z,2026-06-27T13:15:00.000Z,2026-06-27T13:15:00.000Z,42.737175,42.94858071,527.4662676197506,22542.418185862116,9.0170,-120.5263,-1.1510,-1.3239,0.0000,0,0.8464
short,sweep,sl,2026-06-28T08:00:00.000Z,2026-06-28T08:05:00.000Z,2026-06-28T08:30:00.000Z,42.457259,42.627844517999996,655.9526067540634,27849.94971668242,11.1400,-123.0360,-1.1886,-1.3482,0.1727,5,0.8500
short,sweep,sl,2026-06-29T02:45:00.000Z,2026-06-29T02:50:00.000Z,2026-06-29T03:25:00.000Z,43.027088,43.209178865999995,604.7325009310258,26019.878534019328,10.4080,-120.5242,-1.1784,-1.1997,1.9339,7,0.7047
long,sweep,sl,2026-06-29T08:30:00.000Z,2026-06-29T08:35:00.000Z,2026-06-29T10:30:00.000Z,42.422723,42.192758374,465.1310620902586,19732.12620575084,7.8929,-114.8565,-1.1364,-1.0710,0.9539,23,0.8500
long,sweep,sl,2026-06-29T12:00:00.000Z,2026-06-29T12:05:00.000Z,2026-06-30T12:45:00.000Z,42.432726,41.993218254,234.0698181174093,9932.220457045865,3.9729,-106.8484,-1.0693,-1.0605,2.2892,296,0.8500
short,sigma,sl,2026-07-01T02:25:00.000Z,2026-07-01T02:30:00.000Z,2026-07-01T02:35:00.000Z,42.407274,42.557683475999994,699.3422348467552,29657.1977729187,11.8629,-117.0506,-1.2160,-1.0369,0.1255,1,0.5305
short,sweep,sl,2026-07-01T21:40:00.000Z,2026-07-01T21:45:00.000Z,2026-07-02T13:45:00.000Z,43.307004,43.770467202,216.9198556805533,9394.149057637143,3.7577,-104.2920,-1.0676,-1.0059,2.0585,192,0.8500
short,sweep,sl,2026-07-03T15:10:00.000Z,2026-07-03T15:15:00.000Z,2026-07-03T17:10:00.000Z,43.776863,43.980950328000006,506.2620147127134,22162.56286018244,8.8650,-112.1867,-1.1608,-1.0641,1.8170,23,0.7080
long,sweep,sl,2026-07-04T01:15:00.000Z,2026-07-04T01:20:00.000Z,2026-07-04T01:25:00.000Z,44.363305,44.178182568000004,555.7968926347488,24656.987066007612,9.8628,-112.7533,-1.1804,-1.5902,0.3299,1,0.7404
long,sweep,sl,2026-07-04T23:15:00.000Z,2026-07-04T23:20:00.000Z,2026-07-05T00:20:00.000Z,44.773427999999996,44.517400772,388.9861880420225,17416.245083293954,6.9665,-106.5576,-1.1289,-1.2504,0.6040,12,0.8500
long,sweep,sl,2026-07-05T00:55:00.000Z,2026-07-05T01:00:00.000Z,2026-07-05T02:10:00.000Z,44.393314000000004,44.158228556,420.7151507203403,18676.939790485394,7.4708,-106.3748,-1.1398,-1.1419,0.3457,14,0.8500
long,sweep,sl,2026-07-05T05:30:00.000Z,2026-07-05T05:35:00.000Z,2026-07-05T05:40:00.000Z,44.233266,44.04848149,537.7824097180799,23787.87237918081,9.5151,-108.8890,-1.1802,-1.1265,0.0000,1,0.8500
short,sweep,sl,2026-07-05T14:55:00.000Z,2026-07-05T15:00:00.000Z,2026-07-05T15:25:00.000Z,45.126458,45.30398712,556.1496555215115,25097.064071605957,10.0388,-108.7716,-1.1930,-2.8275,0.4054,5,0.7539
short,sweep,sl,2026-07-05T21:45:00.000Z,2026-07-05T21:50:00.000Z,2026-07-05T22:20:00.000Z,45.646302,45.875298462,418.5532804611236,19105.409443019147,7.6422,-103.4894,-1.1488,-1.0858,1.0514,6,0.7629
short,sweep,tp,2026-07-05T22:30:00.000Z,2026-07-05T22:35:00.000Z,2026-07-06T08:35:00.000Z,45.816251,44.653219999999976,219.33917016194232,10049.29847427126,4.0197,251.0785,2.8194,-0.6742,2.8971,120,0.8500
long,sweep,sl,2026-07-06T12:05:00.000Z,2026-07-06T12:10:00.000Z,2026-07-06T13:00:00.000Z,44.273278,43.878872388,240.17664159530096,10633.407222455122,4.2534,-98.9804,-1.0810,-1.0840,0.4373,10,0.8500
short,sweep,tp,2026-07-06T21:10:00.000Z,2026-07-06T21:15:00.000Z,2026-07-07T02:35:00.000Z,45.346392,44.36639999999999,262.6814305539756,11911.655121021355,4.7647,252.6610,2.7895,-0.3875,3.0057,64,0.8500
short,sweep,sl,2026-07-07T07:00:00.000Z,2026-07-07T07:05:00.000Z,2026-07-07T12:05:00.000Z,44.126758,44.291663514,614.0353582652132,27095.389657612362,10.8382,-112.0960,-1.2040,-1.1426,2.3529,60,0.8030
long,sweep,sl,2026-07-07T13:05:00.000Z,2026-07-07T13:10:00.000Z,2026-07-07T14:00:00.000Z,43.953182,43.759148316,508.45380022646714,22348.16241994555,8.9393,-107.5964,-1.1698,-1.1232,0.5905,10,0.7410
long,sweep,sl,2026-07-08T02:35:00.000Z,2026-07-08T02:40:00.000Z,2026-07-08T04:05:00.000Z,43.603077,43.360068076000005,395.2414382747177,17233.742866683264,6.8935,-102.9407,-1.1324,-1.3612,0.5084,17,0.8500
long,sweep,tp,2026-07-08T19:30:00.000Z,2026-07-08T19:35:00.000Z,2026-07-09T01:05:00.000Z,43.363005,43.72986000000001,621.7853546430808,26962.48144231469,10.7850,217.3201,2.5032,-0.8093,4.5622,66,0.7245
short,sweep,sl,2026-07-10T08:35:00.000Z,2026-07-10T08:40:00.000Z,2026-07-10T13:50:00.000Z,44.516641,44.702606759999995,533.4299507881699,23746.509617884625,9.4986,-108.6983,-1.1809,-1.1785,1.0237,62,0.8500
short,sweep,sl,2026-07-10T22:55:00.000Z,2026-07-10T23:00:00.000Z,2026-07-10T23:35:00.000Z,44.68659,44.89304387399999,471.3257462953303,21061.940381143446,8.4248,-105.7318,-1.1624,-1.2613,0.1378,7,0.8500
short,sweep,sl,2026-07-11T08:35:00.000Z,2026-07-11T08:40:00.000Z,2026-07-11T14:35:00.000Z,45.026488,45.18371104799999,599.0063299204412,26971.151326086787,10.7885,-104.9661,-1.2197,-1.6253,1.1588,71,0.8500
long,sweep,sl,2026-07-11T23:35:00.000Z,2026-07-11T23:40:00.000Z,2026-07-12T00:00:00.000Z,44.803436999999995,44.577262808,417.5537114654184,18707.841405757048,7.4831,-101.9230,-1.1471,-1.4729,0.2658,4,0.7204
long,sigma,tp,2026-07-12T00:10:00.000Z,2026-07-12T00:15:00.000Z,2026-07-12T01:40:00.000Z,44.373307999999994,44.74591999999999,593.8363691975042,26350.484112002563,10.5402,210.7304,2.4999,-0.5869,2.6537,17,0.5154
long,sweep,sl,2026-07-13T00:00:00.000Z,2026-07-13T00:05:00.000Z,2026-07-13T02:05:00.000Z,44.133236,43.759148316,249.17787950762997,10997.026162289796,4.3988,-97.6132,-1.0853,-1.1448,1.1269,24,0.8500
long,sweep,sl,2026-07-13T05:00:00.000Z,2026-07-13T05:05:00.000Z,2026-07-13T13:20:00.000Z,43.593073999999994,43.180481968,222.61899341001265,9704.646253528192,3.8819,-95.7327,-1.0761,-1.0336,1.0182,99,0.8500
long,sweep,sl,2026-07-13T13:20:00.000Z,2026-07-13T13:25:00.000Z,2026-07-13T14:15:00.000Z,43.322993000000004,43.080711908000005,383.72636067054503,16624.1744372455,6.6497,-99.6193,-1.1319,-1.1031,0.4230,10,0.8500
short,sweep,sl,2026-07-14T00:35:00.000Z,2026-07-14T00:40:00.000Z,2026-07-14T12:30:00.000Z,43.676893,43.860674255999996,509.9579719751349,22273.379776454967,8.9094,-102.6301,-1.1795,-2.8900,1.6228,142,0.7738
long,sweep,tp,2026-07-14T17:10:00.000Z,2026-07-14T17:15:00.000Z,2026-07-14T22:20:00.000Z,44.433326,45.13562,341.39700554709884,15169.404442898052,6.0678,233.6933,2.7178,-0.2911,2.9646,61,0.7655
short,sweep,tp,2026-07-14T23:20:00.000Z,2026-07-14T23:25:00.000Z,2026-07-15T01:45:00.000Z,45.38638,44.94724,536.7888128570161,24362.901040077417,9.7452,225.9803,2.5586,-0.6298,2.7129,28,0.8500
short,sweep,tp,2026-07-15T09:35:00.000Z,2026-07-15T09:40:00.000Z,2026-07-16T08:10:00.000Z,45.766266,44.663639999999994,234.75986786740688,10744.082558944596,4.2976,254.5547,2.8102,-0.6576,3.0485,270,0.7128
long,sweep,sl,2026-07-16T08:15:00.000Z,2026-07-16T08:20:00.000Z,2026-07-16T11:45:00.000Z,44.693404,44.44756173,400.5461457288668,17901.77071170312,7.1607,-105.6319,-1.1343,-1.1329,1.0606,41,0.7958
