side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-23T17:05:00.000Z,3.1449432,3.0908764588,1881.8499337588687,5918.311152595405,2.3673,-104.1128,-1.0411,-1.0904,0.2645,42,0.8500
short,sweep,sl,2026-06-23T20:10:00.000Z,2026-06-23T20:15:00.000Z,2026-06-23T20:20:00.000Z,3.1230628,3.1351962768,8840.981294172421,27610.939795325747,11.0444,-118.3162,-1.1956,-1.4238,0.0000,1,0.8500
long,sweep,sl,2026-06-24T03:20:00.000Z,2026-06-24T03:25:00.000Z,2026-06-24T04:20:00.000Z,3.1769528,3.1617132014,6841.863971823148,21736.278902502672,8.6945,-112.9618,-1.1553,-1.1863,1.7527,11,0.7164
long,sweep,sl,2026-06-24T08:00:00.000Z,2026-06-24T08:05:00.000Z,2026-06-24T09:45:00.000Z,3.1919573,3.1726879080000003,5276.219307805069,16841.466735949336,6.7366,-108.4061,-1.1217,-1.0349,0.8758,20,0.8500
long,sweep,sl,2026-06-24T10:50:00.000Z,2026-06-24T10:55:00.000Z,2026-06-24T10:55:00.000Z,3.160948,3.1497407942,9069.623797548536,28668.60920361345,11.4674,-113.1126,-1.2153,-1.1643,0.0000,0,0.7288
short,sweep,tp,2026-06-24T12:05:00.000Z,2026-06-24T12:10:00.000Z,2026-06-24T13:20:00.000Z,3.2030388000000003,3.1156380000000006,3104.727400695073,9944.562327849466,3.9778,267.3778,2.8315,-0.4261,3.1247,14,0.7264
long,sweep,sl,2026-06-24T13:30:00.000Z,2026-06-24T13:35:00.000Z,2026-06-24T15:20:00.000Z,3.1479440999999997,3.087883357,1642.1097670267395,5169.269752664199,2.0677,-100.6940,-1.0370,-1.2335,0.7281,21,0.7693
long,sweep,sl,2026-06-24T15:25:00.000Z,2026-06-24T15:30:00.000Z,2026-06-24T15:30:00.000Z,3.0799237,3.062940842,5982.291923303603,18425.00267490135,7.3700,-108.9664,-1.1339,-1.9873,0.1293,0,0.7219
short,sweep,sl,2026-06-24T22:10:00.000Z,2026-06-24T22:15:00.000Z,2026-06-24T23:20:00.000Z,3.0450862,3.067039836,4516.924122849539,13754.423312936236,5.5018,-104.6647,-1.1016,-3.5616,0.4795,13,0.7125
short,sweep,sl,2026-06-24T23:25:00.000Z,2026-06-24T23:30:00.000Z,2026-06-24T23:45:00.000Z,3.0950712,3.1281801725999996,2920.7054795533613,9039.791413447798,3.6159,-100.3175,-1.0676,-1.3966,0.3131,3,0.7117
