side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-23T15:45:00.000Z,0.0000027355204099999996,0.00000269858058288,2767782239.7502975,7571.324807272451,3.0285,-105.2699,-1.0527,-1.2350,0.5308,26,0.8461
long,sweep,sl,2026-06-24T04:25:00.000Z,2026-06-24T04:30:00.000Z,2026-06-24T10:15:00.000Z,0.00000265459614,0.0000026320339528600005,4544633269.843807,12064.165935842948,4.8257,-107.3625,-1.0850,-1.0516,1.5434,69,0.7182
short,sweep,tp,2026-06-25T13:30:00.000Z,2026-06-25T13:35:00.000Z,2026-06-25T13:45:00.000Z,0.00000247245804,0.0000023696837999999988,2776766129.4189363,6865.437741881529,2.7462,282.6339,2.8877,-0.1743,2.9324,2,0.7290
long,sweep,sl,2026-06-25T16:35:00.000Z,2026-06-25T16:40:00.000Z,2026-06-25T16:40:00.000Z,0.00000233129918,0.00000232194860638,11636535009.505249,27128.24452570088,10.8513,-119.6596,-1.1883,-1.5253,0.0810,0,0.7300
long,sweep,sl,2026-06-28T05:30:00.000Z,2026-06-28T05:35:00.000Z,2026-06-28T06:10:00.000Z,0.00000237491226,0.0000023609586998399997,7512492822.499295,17841.51130731558,7.1366,-111.9626,-1.1252,-1.4732,0.2709,7,0.7455
short,sweep,tp,2026-06-28T22:05:00.000Z,2026-06-28T22:10:00.000Z,2026-06-28T22:50:00.000Z,0.0000023717882500000003,0.0000023258002000000005,6043843014.36217,14334.715846308778,5.7339,272.2107,2.7668,-0.0683,3.4210,8,0.7062
long,sweep,sl,2026-06-29T12:00:00.000Z,2026-06-29T12:05:00.000Z,2026-06-29T13:45:00.000Z,0.0000023667097999999997,0.00000232643825908,2554895425.129583,6046.696040629349,2.4187,-105.3083,-1.0416,-1.1020,0.5658,20,0.7323
short,sweep,tp,2026-06-29T17:30:00.000Z,2026-06-29T17:35:00.000Z,2026-06-29T23:20:00.000Z,0.00000240417853,0.000002350190199999999,5277584483.8669615,12688.25530637408,5.0753,279.8527,2.7970,-0.5497,3.2851,69,0.8086
short,sigma,sl,2026-07-01T15:10:00.000Z,2026-07-01T15:15:00.000Z,2026-07-01T15:20:00.000Z,0.00000233519923,0.00000234568409418,10515024253.455322,24554.676540100194,9.8219,-120.0705,-1.1674,-3.1898,0.3271,1,0.5155
short,sigma,sl,2026-07-01T15:25:00.000Z,2026-07-01T15:30:00.000Z,2026-07-01T16:05:00.000Z,0.0000023554931400000003,0.0000023699397686999997,7400383963.173218,17431.55365862053,6.9726,-113.8832,-1.1203,-1.0270,0.5455,7,0.5314
short,sweep,sl,2026-07-02T12:30:00.000Z,2026-07-02T12:35:00.000Z,2026-07-02T13:25:00.000Z,0.0000024327699500000003,0.00000245633808042,4402340011.528892,10709.880489730142,4.2840,-108.0389,-1.0749,-1.0919,0.1126,10,0.7282
short,sweep,sl,2026-07-03T05:35:00.000Z,2026-07-03T05:40:00.000Z,2026-07-03T08:40:00.000Z,0.0000024742575,0.00000249262136214,5644284957.613909,13965.414388513396,5.5862,-109.2370,-1.0986,-1.1491,0.5709,36,0.7212
short,sweep,sl,2026-07-03T09:15:00.000Z,2026-07-03T09:20:00.000Z,2026-07-03T10:10:00.000Z,0.0000024912524000000003,0.0000025088586318599995,5834829340.14034,14536.03259721504,5.8144,-108.5438,-1.1038,-1.2014,0.6558,10,0.7012
short,sweep,sl,2026-07-03T20:35:00.000Z,2026-07-03T20:40:00.000Z,2026-07-03T20:45:00.000Z,0.0000026779963600000004,0.0000027114235831199997,2981955287.3610945,7985.665405235766,3.1943,-102.8728,-1.0578,-1.2787,0.0888,1,0.7163
