side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-06-23T11:05:00.000Z,2026-06-23T11:10:00.000Z,2026-06-23T11:20:00.000Z,0.052694187,0.05294151769199999,432053.1598207982,22766.68999753803,9.1067,-115.9667,-1.1597,-1.5373,0.0181,2,0.7050
long,sweep,sl,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-23T15:20:00.000Z,0.052915870000000004,0.05227951144,159247.80184319633,8426.735980120338,3.3707,-104.7094,-1.0594,-1.0406,0.5222,21,0.7454
short,sweep,sl,2026-06-24T00:00:00.000Z,2026-06-24T00:05:00.000Z,2026-06-24T00:10:00.000Z,0.052724178000000003,0.05297158671,422392.85773039557,22270.316216906052,8.9081,-113.4118,-1.1597,-1.2345,0.0180,1,0.7375
short,sweep,sl,2026-06-24T01:00:00.000Z,2026-06-24T01:05:00.000Z,2026-06-24T01:20:00.000Z,0.053433965,0.053743358172,329585.2739652013,17611.047993571978,7.0444,-109.0159,-1.1278,-1.2140,0.5250,3,0.7662
long,sweep,sl,2026-06-24T09:45:00.000Z,2026-06-24T09:50:00.000Z,2026-06-24T10:55:00.000Z,0.052755822,0.05242916653,307372.79027089005,16215.704211174407,6.4863,-106.8913,-1.1185,-1.1122,0.3672,13,0.8014
long,sweep,tp,2026-06-24T11:20:00.000Z,2026-06-24T11:25:00.000Z,2026-06-24T11:40:00.000Z,0.052395714,0.05302362000000002,410416.53933068016,21504.06761564007,8.6016,249.1014,2.6360,-0.2854,3.2325,3,0.7020
short,sigma,sl,2026-06-24T11:50:00.000Z,2026-06-24T11:55:00.000Z,2026-06-24T12:10:00.000Z,0.053673893,0.05387365725,528253.6267791258,28353.428640604732,11.3414,-116.8676,-1.2049,-1.3949,0.3480,3,0.6526
short,sweep,tp,2026-06-24T12:20:00.000Z,2026-06-24T12:25:00.000Z,2026-06-24T12:55:00.000Z,0.053913821,0.05330581999999999,427322.58011247,23038.59309344187,9.2154,250.5971,2.6152,-0.1613,2.8711,6,0.7969
short,sweep,sl,2026-06-24T19:20:00.000Z,2026-06-24T19:25:00.000Z,2026-06-24T20:00:00.000Z,0.05322402800000001,0.05372331216,203505.91348376384,10831.404437425426,4.3326,-105.9398,-1.0774,-1.5025,0.9190,7,0.7714
short,sweep,sl,2026-06-25T04:00:00.000Z,2026-06-25T04:05:00.000Z,2026-06-25T04:45:00.000Z,0.056533035,0.056970766103999995,231237.6488995227,13072.56609855443,5.2290,-106.4489,-1.0944,-1.1577,0.7680,8,0.8500
short,sweep,sl,2026-06-25T09:00:00.000Z,2026-06-25T09:05:00.000Z,2026-06-25T09:40:00.000Z,0.058622408,0.059256011472,156218.69510443415,9157.916081639742,3.6632,-102.6439,-1.0669,-1.0516,0.9944,7,0.8500
long,sweep,sl,2026-06-25T16:25:00.000Z,2026-06-25T16:30:00.000Z,2026-06-27T19:35:00.000Z,0.057467235,0.049885030000000004,12577.649921422031,722.8027637820913,0.2891,-95.6554,-1.0050,-1.0000,0.0479,613,0.7021
long,sweep,sl,2026-06-28T01:10:00.000Z,2026-06-28T01:15:00.000Z,2026-06-28T02:20:00.000Z,0.050095023999999995,0.04983514497,384696.79692825046,19271.39527484383,7.7086,-107.6832,-1.1429,-1.0412,0.3061,13,0.7088
long,sweep,sl,2026-06-28T06:05:00.000Z,2026-06-28T06:10:00.000Z,2026-06-28T06:10:00.000Z,0.050155042,0.049964846048,531641.4561788973,26664.499563593752,10.6658,-111.7819,-1.2001,-1.2274,0.0000,0,0.7021
long,sweep,sl,2026-06-28T15:10:00.000Z,2026-06-28T15:15:00.000Z,2026-06-28T16:25:00.000Z,0.049764925,0.049396156706000005,260003.1865922501,12939.039080524331,5.1756,-101.0565,-1.0981,-1.0875,0.3251,14,0.7679
long,sweep,sl,2026-06-29T00:10:00.000Z,2026-06-29T00:15:00.000Z,2026-06-29T00:20:00.000Z,0.049404817000000004,0.049186639580000004,447436.8533924322,22105.535860908945,8.8422,-106.4628,-1.1697,-1.1052,0.0746,1,0.7737
long,sweep,sl,2026-06-29T00:30:00.000Z,2026-06-29T00:35:00.000Z,2026-06-29T02:10:00.000Z,0.049024702999999996,0.048747651316,342773.4386095223,16804.36602412056,6.7217,-101.6877,-1.1305,-1.0087,1.3920,19,0.7415
long,sweep,tp,2026-06-29T02:15:00.000Z,2026-06-29T02:20:00.000Z,2026-06-29T03:05:00.000Z,0.048874658,0.049602259999999995,339344.6112690017,16585.351819915402,6.6341,240.2737,2.7017,-0.0559,2.8821,9,0.8500
long,sweep,sl,2026-06-29T13:30:00.000Z,2026-06-29T13:35:00.000Z,2026-06-29T14:10:00.000Z,0.049774927999999996,0.049266455628,185010.5609278796,9208.887349424818,3.6836,-97.7563,-1.0703,-1.1038,0.0000,7,0.7790
short,sweep,tp,2026-07-01T03:55:00.000Z,2026-07-01T04:00:00.000Z,2026-07-01T05:25:00.000Z,0.047835644999999996,0.047322419999999976,475041.03601903707,22723.89435943887,9.0896,234.7134,2.5975,-0.0755,3.1840,17,0.7186
long,sweep,sl,2026-07-01T11:35:00.000Z,2026-07-01T11:40:00.000Z,2026-07-01T13:30:00.000Z,0.047114130000000004,0.046921859218,520270.85945358797,24512.108907508074,9.8048,-109.8377,-1.1848,-2.1557,2.2777,22,0.8054
short,sweep,sl,2026-07-01T18:40:00.000Z,2026-07-01T18:45:00.000Z,2026-07-01T19:05:00.000Z,0.048395477000000006,0.048721832166,293859.64451621124,14221.477667412479,5.6886,-101.5912,-1.1090,-1.6184,0.7233,4,0.7401
long,sweep,sl,2026-07-01T20:20:00.000Z,2026-07-01T20:25:00.000Z,2026-07-01T20:40:00.000Z,0.047924373,0.047650180656,348577.2033839972,16705.343914271543,6.6821,-102.2593,-1.1288,-1.1327,0.2140,3,0.7445
long,sweep,tp,2026-07-01T20:40:00.000Z,2026-07-01T20:45:00.000Z,2026-07-01T21:15:00.000Z,0.047794334,0.048515780000000015,345039.4914320541,16490.932696693733,6.5964,242.3310,2.7055,-0.4019,3.1806,6,0.7330
short,sigma,sl,2026-07-03T01:40:00.000Z,2026-07-03T01:45:00.000Z,2026-07-03T02:20:00.000Z,0.048845342,0.04906261436999999,454158.76745121967,22183.54031845329,8.8734,-107.5496,-1.1691,-1.7509,0.5201,7,0.5521
short,sweep,sl,2026-07-03T08:00:00.000Z,2026-07-03T08:05:00.000Z,2026-07-03T10:45:00.000Z,0.049505144,0.04971410976,468514.2223817176,23193.864045054954,9.2775,-107.1810,-1.1789,-1.7256,2.0878,32,0.8483
long,sweep,sl,2026-07-03T14:35:00.000Z,2026-07-03T14:40:00.000Z,2026-07-04T09:35:00.000Z,0.049434825999999994,0.048997076465999996,212379.2357729849,10498.930566450483,4.1996,-97.1685,-1.0815,-1.1224,2.5415,227,0.8500
short,sweep,sl,2026-07-04T14:35:00.000Z,2026-07-04T14:40:00.000Z,2026-07-04T14:55:00.000Z,0.049745072,0.049924592886,535979.73286465,26662.350401892778,10.6649,-106.8845,-1.2119,-1.3062,0.0916,3,0.7533
short,sweep,sl,2026-07-04T15:10:00.000Z,2026-07-04T15:15:00.000Z,2026-07-04T17:55:00.000Z,0.050134955,0.050475858216,269536.8022126881,13513.215449777017,5.4053,-97.2912,-1.1080,-1.8573,1.5501,32,0.7431
long,sweep,sl,2026-07-04T19:55:00.000Z,2026-07-04T20:00:00.000Z,2026-07-04T20:20:00.000Z,0.050195054,0.049964846048,403471.63234718994,20252.280373135345,8.1009,-100.9833,-1.1630,-1.3245,0.5806,4,0.7484
long,sweep,sl,2026-07-04T22:25:00.000Z,2026-07-04T22:30:00.000Z,2026-07-04T23:15:00.000Z,0.050065015,0.049765305928000006,301370.94541568623,15088.140902800511,6.0353,-96.3589,-1.1228,-1.3520,0.9305,9,0.8500
long,sweep,sl,2026-07-05T01:25:00.000Z,2026-07-05T01:30:00.000Z,2026-07-05T02:05:00.000Z,0.049684901,0.049326317663999995,246841.22261950417,12264.281708569024,4.9057,-93.4189,-1.1009,-1.0033,0.0000,7,0.7032
short,sweep,sl,2026-07-05T14:00:00.000Z,2026-07-05T14:05:00.000Z,2026-07-05T15:05:00.000Z,0.048725378,0.048952361304000006,395310.14185371704,19261.636089055984,7.7047,-97.4335,-1.1610,-1.2464,1.2971,12,0.7605
short,sweep,sl,2026-07-05T15:05:00.000Z,2026-07-05T15:10:00.000Z,2026-07-05T17:55:00.000Z,0.048835345,0.049102706393999995,328342.46707878413,16034.717657943565,6.4139,-94.2000,-1.1356,-1.2059,1.3274,33,0.7376
short,sweep,tp,2026-07-05T22:30:00.000Z,2026-07-05T22:35:00.000Z,2026-07-06T05:25:00.000Z,0.049855039,0.048608860000000004,188378.30414029313,9391.607699668175,3.7566,230.9964,2.8167,-0.9532,3.2045,82,0.7441
long,sweep,tp,2026-07-06T05:30:00.000Z,2026-07-06T05:35:00.000Z,2026-07-06T10:00:00.000Z,0.048544558999999994,0.04941997999999999,270930.64285501326,13152.208576983117,5.2609,231.9175,2.7505,-0.2396,2.9736,53,0.7130
short,sweep,sl,2026-07-06T20:55:00.000Z,2026-07-06T21:00:00.000Z,2026-07-06T21:05:00.000Z,0.050074973,0.050245329078,519049.3381636335,25991.381594211816,10.3966,-98.8198,-1.2260,-3.8318,0.0320,1,0.8500
long,sweep,tp,2026-07-06T23:20:00.000Z,2026-07-06T23:25:00.000Z,2026-07-07T00:25:00.000Z,0.050645189,0.051412820000000005,310180.1731278329,15709.133492111818,6.2837,231.8203,2.7066,-0.9604,3.0233,12,0.7242
long,sweep,sl,2026-07-07T05:20:00.000Z,2026-07-07T05:25:00.000Z,2026-07-07T05:30:00.000Z,0.04971491,0.049426087724,321062.6068704306,15961.598604928839,6.3846,-99.1147,-1.1267,-1.1129,0.0551,1,0.8500
long,sweep,sl,2026-07-07T08:45:00.000Z,2026-07-07T08:50:00.000Z,2026-07-07T13:35:00.000Z,0.049604877,0.049246501616,253136.0778279838,12556.784004919564,5.0227,-95.7405,-1.1008,-1.1201,1.7029,57,0.8500
long,sweep,sl,2026-07-08T02:35:00.000Z,2026-07-08T02:40:00.000Z,2026-07-08T08:15:00.000Z,0.04684404899999999,0.046373123888,188222.5348001567,8817.105643082743,3.5268,-92.1656,-1.0715,-1.0810,1.1509,67,0.8262
