side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-23T13:10:00.000Z,2026-06-23T13:15:00.000Z,2026-06-23T15:20:00.000Z,68.95067900000001,68.53205421400001,251.2190403935073,17321.723412860756,6.9287,-112.0952,-1.1210,-1.0066,1.7066,25,0.7140
short,sweep,sl,2026-06-23T21:15:00.000Z,2026-06-23T21:20:00.000Z,2026-06-23T22:05:00.000Z,69.039282,69.36922452599998,319.8540714377176,22082.495436836733,8.8330,-114.3665,-1.1566,-1.4256,0.0624,9,0.7135
short,sweep,sl,2026-06-23T22:15:00.000Z,2026-06-23T22:20:00.000Z,2026-06-24T00:15:00.000Z,69.609111,69.98062789199999,278.8225320916352,19408.588585667698,7.7634,-111.3507,-1.1393,-1.0010,1.0245,23,0.7293
short,sweep,sl,2026-06-24T00:15:00.000Z,2026-06-24T00:20:00.000Z,2026-06-24T00:35:00.000Z,69.869033,70.12094997599999,414.8699590208244,28986.56285753463,11.5946,-116.1074,-1.2121,-1.0437,0.5155,3,0.7017
long,sweep,sl,2026-06-24T10:10:00.000Z,2026-06-24T10:15:00.000Z,2026-06-24T10:15:00.000Z,69.250769,68.901203436,290.2523407145061,20100.197798529556,8.0401,-109.5023,-1.1471,-1.0057,0.0000,0,0.7313
long,sigma,tp,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-25T23:25:00.000Z,65.08952099999999,68.09514,91.8043460043509,5975.500907141463,2.3902,273.5387,2.8987,-0.0287,3.2887,112,0.5461
short,sweep,tp,2026-06-25T23:30:00.000Z,2026-06-25T23:35:00.000Z,2026-06-26T02:10:00.000Z,68.24951899999999,66.26719999999997,141.1188013110676,9631.290311336932,3.8525,275.8900,2.8413,-0.1024,3.2838,31,0.8500
long,sweep,sl,2026-06-26T09:50:00.000Z,2026-06-26T09:55:00.000Z,2026-06-26T10:35:00.000Z,69.230763,68.65177828600001,178.8379402213891,12381.087054875155,4.9524,-108.4969,-1.0865,-1.0222,0.0165,8,0.7264
short,sweep,sl,2026-06-27T04:25:00.000Z,2026-06-27T04:30:00.000Z,2026-06-27T14:25:00.000Z,72.27831,72.73695454199999,226.1179334974883,16343.422093890846,6.5374,-110.2451,-1.1161,-1.1943,1.8275,119,0.7161
short,sigma,sl,2026-06-28T08:45:00.000Z,2026-06-28T08:50:00.000Z,2026-06-28T12:30:00.000Z,71.918418,72.32601129599999,253.10220118284687,18202.709901388076,7.2811,-110.4438,-1.1308,-1.1961,2.2504,44,0.5632
short,sweep,tp,2026-06-28T12:30:00.000Z,2026-06-28T12:35:00.000Z,2026-06-28T19:45:00.000Z,71.95840600000001,70.34572000000001,170.50856389679643,12269.524467362622,4.9078,270.0690,2.7967,-0.3560,3.1048,86,0.7530
short,sigma,tp,2026-06-29T03:10:00.000Z,2026-06-29T03:15:00.000Z,2026-06-29T05:05:00.000Z,72.87813000000001,71.26020000000001,174.62468879290265,12726.320771058705,5.0905,277.4400,2.7948,-0.6542,3.3566,22,0.5000
long,sweep,tp,2026-06-29T12:00:00.000Z,2026-06-29T12:05:00.000Z,2026-06-29T17:15:00.000Z,72.951879,75.94242000000003,99.45556250167105,7255.470161498844,2.9022,294.5237,2.8863,-0.6646,3.4387,62,0.7283
long,sweep,sl,2026-06-30T04:10:00.000Z,2026-06-30T04:15:00.000Z,2026-06-30T08:35:00.000Z,74.132233,73.58041925,198.19141770505337,14692.372355911342,5.8769,-115.2417,-1.0977,-1.4578,0.1846,52,0.7955
long,sweep,tp,2026-06-30T13:00:00.000Z,2026-06-30T13:05:00.000Z,2026-06-30T14:00:00.000Z,72.181648,73.46121999999995,228.01680608956107,16458.628835240954,6.5835,285.1805,2.7464,-0.5087,3.0926,11,0.7533
short,sweep,sl,2026-07-01T00:15:00.000Z,2026-07-01T00:20:00.000Z,2026-07-01T01:35:00.000Z,73.47795,73.96978427999998,227.1647439203402,16691.59969554156,6.6766,-118.4040,-1.1098,-1.4948,2.6785,15,0.7370
short,sweep,sl,2026-07-01T13:30:00.000Z,2026-07-01T13:35:00.000Z,2026-07-01T13:40:00.000Z,75.257416,75.613557264,316.3876205549348,23810.51477735288,9.5242,-122.2029,-1.1583,-1.1773,0.4721,1,0.7753
short,sweep,sl,2026-07-02T01:40:00.000Z,2026-07-02T01:45:00.000Z,2026-07-02T03:50:00.000Z,78.24651899999999,78.86101120800001,176.49731919523697,13810.300839859174,5.5241,-113.9803,-1.0930,-1.2245,0.8234,25,0.7389
long,sweep,tp,2026-07-02T06:50:00.000Z,2026-07-02T06:55:00.000Z,2026-07-02T09:30:00.000Z,77.883358,78.92596000000002,272.37401986249495,21213.403298849804,8.4854,275.4923,2.6710,-0.9331,4.2428,31,0.7331
short,sweep,sl,2026-07-02T10:05:00.000Z,2026-07-02T10:10:00.000Z,2026-07-02T10:20:00.000Z,79.496144,80.03370290999999,206.2033594366819,16392.371955062223,6.5569,-117.4034,-1.1087,-1.5263,0.1483,2,0.7024
short,sweep,sl,2026-07-04T00:10:00.000Z,2026-07-04T00:15:00.000Z,2026-07-04T04:05:00.000Z,82.53523200000001,82.89025962000001,317.1807638525594,26178.587930508205,10.4714,-123.0794,-1.1753,-1.4985,2.3480,46,0.7239
short,sweep,sl,2026-07-04T15:10:00.000Z,2026-07-04T15:15:00.000Z,2026-07-04T17:30:00.000Z,81.995394,82.559500422,191.8845134124428,15733.646279751532,6.2935,-114.5367,-1.1067,-1.1395,0.2881,27,0.7377
long,sweep,sl,2026-07-04T23:15:00.000Z,2026-07-04T23:20:00.000Z,2026-07-05T00:30:00.000Z,81.59447099999998,81.202851834,278.68345442993865,22739.029040663445,9.0956,-118.2334,-1.1552,-1.4009,0.5869,14,0.7501
long,sweep,sl,2026-07-05T02:15:00.000Z,2026-07-05T02:20:00.000Z,2026-07-05T02:40:00.000Z,80.634183,80.16524320999999,227.39561499689177,18335.859633056913,7.3343,-113.9692,-1.1266,-1.0209,0.0580,4,0.7107
short,sweep,sl,2026-07-05T08:00:00.000Z,2026-07-05T08:05:00.000Z,2026-07-05T12:25:00.000Z,80.595814,81.005934492,259.2483436282074,20894.33128286709,8.3577,-114.6808,-1.1465,-1.1772,2.5292,52,0.7037
short,sweep,sl,2026-07-05T12:30:00.000Z,2026-07-05T12:35:00.000Z,2026-07-05T14:40:00.000Z,80.915718,81.456969762,191.31914570427168,15480.726041807759,6.1923,-109.7441,-1.1099,-1.2853,0.5528,25,0.7691
