side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-23T18:30:00.000Z,0.7061117699999999,0.69599593856,10093.903585051778,7127.424126650255,2.8510,-104.9592,-1.0496,-1.0610,0.6650,59,0.8500
long,sweep,sl,2026-06-24T03:05:00.000Z,2026-06-24T03:10:00.000Z,2026-06-24T03:15:00.000Z,0.69870955,0.69569662838,35287.130870714216,24655.455331467838,9.8622,-116.1795,-1.1741,-1.1802,0.1392,1,0.7452
long,sweep,sl,2026-06-25T12:30:00.000Z,2026-06-25T12:35:00.000Z,2026-06-25T13:40:00.000Z,0.69090721,0.6834249110000001,13437.651602016045,9284.170377300936,3.7137,-104.2582,-1.0662,-1.3477,1.0983,13,0.8500
long,sigma,tp,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-26T19:05:00.000Z,0.6640991700000001,0.6996198000000003,7991.728792282922,5307.300457820192,2.1229,281.7483,2.9122,-0.4956,3.2134,348,0.5811
short,sweep,sl,2026-06-27T02:15:00.000Z,2026-06-27T02:20:00.000Z,2026-06-27T02:20:00.000Z,0.7062880500000001,0.70882698432,42290.18764008602,29869.05416245046,11.9476,-119.3196,-1.2128,-1.0798,0.0000,0,0.7168
short,sweep,sl,2026-06-27T04:25:00.000Z,2026-06-27T04:30:00.000Z,2026-06-27T05:50:00.000Z,0.70848739,0.7126357266,25001.287947267912,17713.0972443983,7.0852,-110.7990,-1.1263,-1.8331,0.6068,16,0.7312
long,sweep,sl,2026-06-28T05:05:00.000Z,2026-06-28T05:10:00.000Z,2026-06-28T05:25:00.000Z,0.6818044799999999,0.67873571818,33947.50848242781,23145.56336815728,9.2582,-113.4350,-1.1663,-1.0836,0.1031,3,0.7962
short,sweep,sl,2026-06-29T06:20:00.000Z,2026-06-29T06:25:00.000Z,2026-06-29T07:50:00.000Z,0.6937918,0.69689960718,33161.300251899906,23007.038192106087,9.2028,-112.2617,-1.1678,-1.0722,1.5840,17,0.7112
long,sweep,sl,2026-06-29T12:00:00.000Z,2026-06-29T12:05:00.000Z,2026-06-30T12:20:00.000Z,0.69340796,0.68252698046,8898.832515364296,6170.521300860426,2.4682,-99.2962,-1.0452,-1.1716,1.4043,291,0.8028
long,sweep,tp,2026-06-30T13:00:00.000Z,2026-06-30T13:05:00.000Z,2026-06-30T14:20:00.000Z,0.68000394,0.6925613999999999,21089.69960489693,14341.078824746355,5.7364,259.0966,2.7560,-0.2252,2.8705,15,0.7142
