side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-23T13:55:00.000Z,2026-06-23T14:00:00.000Z,2026-06-23T14:05:00.000Z,217.295169,215.972248882,79.48436900141463,17271.569395020753,6.9086,-112.0601,-1.1206,-1.7289,0.2343,1,0.7081
short,sweep,sl,2026-06-23T19:55:00.000Z,2026-06-23T20:00:00.000Z,2026-06-23T21:15:00.000Z,217.984585,219.98493568799998,51.11697525776307,11142.712638018753,4.4571,-106.7090,-1.0792,-1.3107,0.2092,15,0.7489
short,sweep,sl,2026-06-23T21:15:00.000Z,2026-06-23T21:20:00.000Z,2026-06-23T23:45:00.000Z,219.444147,221.02732831199998,64.48200986979879,14150.199652723575,5.6601,-107.7468,-1.1016,-1.1707,0.4049,29,0.7315
short,sweep,tp,2026-06-24T01:35:00.000Z,2026-06-24T01:40:00.000Z,2026-06-24T02:35:00.000Z,222.24330700000002,219.41301999999996,93.70325990136878,20824.922357160693,8.3300,256.8771,2.6555,-0.0743,3.0545,11,0.7260
short,sweep,sl,2026-06-24T23:35:00.000Z,2026-06-24T23:40:00.000Z,2026-06-25T00:05:00.000Z,219.344177,220.736661138,74.87362272086322,16423.093154716244,6.5692,-110.8296,-1.1161,-1.3842,0.3198,5,0.7011
long,sweep,tp,2026-06-25T04:35:00.000Z,2026-06-25T04:40:00.000Z,2026-06-25T07:30:00.000Z,218.115415,221.9032000000001,72.74724111862623,15867.294686694226,6.3469,269.2040,2.7415,-0.1596,2.8556,34,0.7162
long,sweep,sl,2026-06-25T09:20:00.000Z,2026-06-25T09:25:00.000Z,2026-06-25T10:30:00.000Z,220.156027,219.09505176,101.37120192559031,22317.481068152712,8.9270,-116.4793,-1.1545,-1.0812,0.8380,13,0.7438
short,sweep,tp,2026-06-25T23:35:00.000Z,2026-06-25T23:40:00.000Z,2026-06-26T02:10:00.000Z,212.746157,208.10630000000006,61.11413617316432,13001.797609215397,5.2007,278.3601,2.7913,-0.3455,4.1221,30,0.7005
long,sweep,sl,2026-06-26T09:50:00.000Z,2026-06-26T09:55:00.000Z,2026-06-26T10:00:00.000Z,210.893249,209.57698803600002,81.78450658695866,17247.80031198561,6.8991,-114.5489,-1.1175,-1.0956,0.0213,1,0.7006
short,sweep,tp,2026-06-27T06:45:00.000Z,2026-06-27T06:50:00.000Z,2026-06-27T11:20:00.000Z,214.41565599999998,212.0508399999999,115.96482237036794,24864.673461465914,9.9459,264.2896,2.6074,-0.1308,3.2442,54,0.7258
short,sweep,sl,2026-06-27T15:00:00.000Z,2026-06-27T15:05:00.000Z,2026-06-27T15:10:00.000Z,213.725863,214.652696496,120.58986416746177,25773.172788243544,10.3093,-122.0760,-1.1738,-1.9063,0.0000,1,0.7143
long,sweep,sl,2026-06-27T16:45:00.000Z,2026-06-27T16:50:00.000Z,2026-06-27T17:00:00.000Z,214.01418499999997,212.739698938,84.89921697544851,18169.636728138776,7.2679,-115.4707,-1.1234,-2.2006,0.1370,2,0.7944
long,sweep,sl,2026-06-28T13:05:00.000Z,2026-06-28T13:10:00.000Z,2026-06-28T17:10:00.000Z,207.332181,206.494093182,130.94363546564142,27148.829529160386,10.8595,-120.6018,-1.1867,-1.4330,2.6256,48,0.7199
long,sweep,sl,2026-06-29T08:25:00.000Z,2026-06-29T08:30:00.000Z,2026-06-29T09:50:00.000Z,205.551647,204.64834707200004,119.28214514041538,24518.641391305428,9.8075,-117.5550,-1.1706,-1.0353,0.9958,16,0.7415
