side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-24T10:20:00.000Z,2026-06-24T10:25:00.000Z,2026-06-24T11:10:00.000Z,0.3711113,0.36924899205999995,57093.919497572955,21188.198686839645,8.4753,-114.8017,-1.1480,-1.2054,0.4503,9,0.8500
short,sweep,sl,2026-06-24T20:50:00.000Z,2026-06-24T20:55:00.000Z,2026-06-24T21:10:00.000Z,0.36209134000000004,0.36563925888,28750.58390266965,10410.337451100084,4.1641,-106.1689,-1.0740,-1.1368,1.1027,3,0.7850
long,sweep,sl,2026-06-25T02:05:00.000Z,2026-06-25T02:10:00.000Z,2026-06-25T04:25:00.000Z,0.36901067,0.36525818965999995,26844.299649725115,9905.83299942583,3.9623,-104.6950,-1.0706,-1.2382,1.2324,27,0.8059
long,sweep,tp,2026-06-25T04:35:00.000Z,2026-06-25T04:40:00.000Z,2026-06-25T05:00:00.000Z,0.3651095,0.3692858,62897.95427230426,22964.640635383872,9.1859,253.4949,2.6203,-0.2662,3.8947,4,0.8500
long,sweep,sl,2026-06-25T07:05:00.000Z,2026-06-25T07:10:00.000Z,2026-06-25T07:10:00.000Z,0.37661295,0.37483611542,59649.888645994455,22464.920530139476,8.9860,-114.9740,-1.1581,-1.4498,1.7947,0,0.8500
long,sweep,sl,2026-06-25T11:25:00.000Z,2026-06-25T11:30:00.000Z,2026-06-25T11:35:00.000Z,0.37171148,0.36994738248000003,59361.04280340369,22065.181074796532,8.8261,-113.5447,-1.1571,-1.5798,0.5375,1,0.7287
long,sweep,sl,2026-06-25T12:10:00.000Z,2026-06-25T12:15:00.000Z,2026-06-25T12:15:00.000Z,0.36831046,0.36705405074,79003.81533764383,29097.931568762655,11.6392,-110.9003,-1.2246,-1.4922,0.1654,0,0.7398
short,sweep,sl,2026-06-26T06:30:00.000Z,2026-06-26T06:35:00.000Z,2026-06-26T06:35:00.000Z,0.34999497,0.35230866089999996,43425.18093109223,15198.5948972222,6.0794,-106.5519,-1.1113,-1.3157,0.0000,0,0.8007
short,sweep,sl,2026-06-26T14:00:00.000Z,2026-06-26T14:05:00.000Z,2026-06-26T15:25:00.000Z,0.36179143,0.36754363002,16805.93541124436,6080.243404921736,2.4321,-99.1032,-1.0452,-1.2422,0.6011,16,0.8137
long,sweep,sl,2026-06-27T11:10:00.000Z,2026-06-27T11:15:00.000Z,2026-06-27T11:15:00.000Z,0.37381211,0.37234186392,69066.51509261856,25817.899737118587,10.3272,-111.8719,-1.1923,-1.1131,0.0000,0,0.7598
