side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-06-23T11:30:00.000Z,2026-06-23T11:35:00.000Z,2026-06-23T11:45:00.000Z,0.15625311,0.15706050402,131528.7587631041,20551.77761117477,8.2207,-114.4162,-1.1442,-1.1139,0.0699,2,0.7904
long,sweep,sl,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-23T15:45:00.000Z,0.15754725,0.15484313312000003,37196.71046101721,5860.239442179493,2.3441,-102.9283,-1.0412,-1.1842,0.5466,26,0.8500
short,sweep,sl,2026-06-23T17:35:00.000Z,2026-06-23T17:40:00.000Z,2026-06-23T20:15:00.000Z,0.15585323,0.1568600439,101927.080521971,15885.664723819267,6.3543,-108.9759,-1.1140,-1.1948,1.5141,31,0.8119
long,sweep,sl,2026-06-24T03:25:00.000Z,2026-06-24T03:30:00.000Z,2026-06-24T04:10:00.000Z,0.15524656,0.15444405288000002,127931.64859172211,19860.948358993704,7.9444,-110.6104,-1.1434,-1.2518,0.7319,8,0.8500
long,sweep,tp,2026-06-24T11:20:00.000Z,2026-06-24T11:25:00.000Z,2026-06-24T11:45:00.000Z,0.15304589999999998,0.15571439999999995,100589.76650573507,15394.851345660078,6.1579,262.2659,2.7425,-0.2587,3.2125,4,0.8500
long,sweep,sl,2026-06-25T10:45:00.000Z,2026-06-25T10:50:00.000Z,2026-06-25T11:05:00.000Z,0.14984493999999998,0.14905646964000002,132107.12013718087,19795.583490528657,7.9182,-112.0808,-1.1407,-1.0016,0.3429,3,0.7189
long,sigma,sl,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-26T02:10:00.000Z,0.14044212,0.13748314268000003,33290.563080463326,4675.397255014,1.8702,-100.3762,-1.0334,-1.2483,1.9734,145,0.5506
long,sweep,sl,2026-06-26T10:00:00.000Z,2026-06-26T10:05:00.000Z,2026-06-26T10:50:00.000Z,0.14404319999999998,0.14326980616,131611.1444562738,18957.690403143934,7.5831,-109.3703,-1.1377,-1.0175,0.8992,9,0.7131
short,sweep,sl,2026-06-26T15:25:00.000Z,2026-06-26T15:30:00.000Z,2026-06-26T15:35:00.000Z,0.14685593,0.14783933849999997,101201.27004937673,14862.006630282365,5.9448,-105.4670,-1.1098,-1.4313,0.0596,1,0.8500
short,sweep,sl,2026-06-27T09:50:00.000Z,2026-06-27T09:55:00.000Z,2026-06-27T09:55:00.000Z,0.17184843,0.17329777374,67255.20566991677,11557.701503702296,4.6231,-102.0990,-1.0864,-1.1104,0.0000,0,0.7876
short,sweep,tp,2026-06-27T10:00:00.000Z,2026-06-27T10:05:00.000Z,2026-06-27T11:05:00.000Z,0.17174846000000002,0.16535840000000004,42278.49442305926,7261.266308279017,2.9045,267.2576,2.8750,-0.1599,3.7060,12,0.7835
short,sweep,tp,2026-06-27T16:50:00.000Z,2026-06-27T16:55:00.000Z,2026-06-27T17:00:00.000Z,0.18284513000000002,0.17789480000000005,55494.49182267139,10146.89757160029,4.0588,270.6573,2.8302,-0.0318,3.1598,1,0.7326
long,sweep,sl,2026-06-27T23:15:00.000Z,2026-06-27T23:20:00.000Z,2026-06-28T01:05:00.000Z,0.16634989,0.16442105888,52321.941489452765,8703.749211356904,3.4815,-104.4017,-1.0617,-1.0375,0.5587,21,0.8500
long,sweep,tp,2026-06-28T04:35:00.000Z,2026-06-28T04:40:00.000Z,2026-06-28T05:55:00.000Z,0.16534959,0.1680882,99382.5768630236,16432.868337444437,6.5731,265.5970,2.7298,-0.4592,3.9330,15,0.7567
short,sigma,tp,2026-06-28T07:10:00.000Z,2026-06-28T07:15:00.000Z,2026-06-28T07:20:00.000Z,0.17114864,0.1692709999999999,143946.25070281117,24636.205040885176,9.8545,260.4248,2.6055,-0.5060,2.8064,1,0.6308
short,sweep,sl,2026-06-28T07:45:00.000Z,2026-06-28T07:50:00.000Z,2026-06-28T08:45:00.000Z,0.1709487,0.17329777374,44645.32070852017,7632.059536204602,3.0528,-107.9280,-1.0524,-1.3719,0.5871,11,0.7271
long,sweep,sl,2026-06-28T17:20:00.000Z,2026-06-28T17:25:00.000Z,2026-06-28T18:00:00.000Z,0.17275180999999998,0.17110565290000002,63628.57422294551,10991.951364733179,4.3968,-109.1394,-1.0755,-1.7882,0.0302,7,0.7939
