side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,be,2026-06-23T17:55:00.000Z,2026-06-23T18:00:00.000Z,2026-06-23T18:40:00.000Z,0.63098924,0.630799943228,36386.923994992256,22959.757517537928,0.4355,9.1839,-16.0718,-0.1607,-0.5055,1.1683,8,0.7222
short,sweep,sl,2026-06-23T20:10:00.000Z,2026-06-23T20:15:00.000Z,2026-06-23T20:25:00.000Z,0.64340692,0.64678457718,31359.71005169381,20177.054456453356,0.4948,8.0708,-113.9932,-1.1418,-1.0658,0.0000,2,0.7691
long,sweep,tp,2026-06-23T23:40:00.000Z,2026-06-23T23:45:00.000Z,2026-06-24T00:45:00.000Z,0.6445933199999999,0.6515598,38256.74826404106,24660.04437592246,0.4002,9.8640,256.6509,2.6003,-0.3075,2.7934,12,0.8139
long,sweep,sl,2026-06-24T02:25:00.000Z,2026-06-24T02:30:00.000Z,2026-06-24T02:50:00.000Z,0.64649389,0.64361665706,37728.190381217944,24391.04456221417,0.4152,9.7564,-118.3092,-1.1683,-1.0037,0.1886,4,0.8500
long,sweep,tp,2026-06-24T04:25:00.000Z,2026-06-24T04:30:00.000Z,2026-06-24T05:30:00.000Z,0.6369910400000001,0.6475070000000002,26617.473862182087,16955.092357644186,0.5903,6.7820,273.1263,2.7290,-0.1040,2.8747,12,0.7008
short,sweep,sl,2026-06-24T05:30:00.000Z,2026-06-24T05:35:00.000Z,2026-06-24T06:45:00.000Z,0.64660596,0.64929032868,41296.74529477747,26702.72163620507,0.3850,10.6811,-121.5368,-1.1821,-1.2026,0.7254,14,0.7131
short,sweep,be,2026-06-24T06:50:00.000Z,2026-06-24T06:55:00.000Z,2026-06-24T08:30:00.000Z,0.64800554,0.648199941662,33935.67540652884,21990.50566707244,0.4620,8.7962,-15.3934,-0.1515,-0.2320,1.2377,19,0.7258
long,sweep,sl,2026-06-24T10:20:00.000Z,2026-06-24T10:25:00.000Z,2026-06-24T11:00:00.000Z,0.63809137,0.63483689178,33108.91674295784,21126.514043729905,0.4802,8.4506,-116.2029,-1.1455,-1.0089,0.1334,7,0.7389
long,sweep,sl,2026-06-24T13:30:00.000Z,2026-06-24T13:35:00.000Z,2026-06-24T15:40:00.000Z,0.62928873,0.61917299236,10099.033839359314,6355.208178997446,1.5780,2.5421,-104.7013,-1.0441,-1.3181,0.1925,25,0.7381
short,sweep,sl,2026-06-24T20:50:00.000Z,2026-06-24T20:55:00.000Z,2026-06-24T21:35:00.000Z,0.6268119,0.631449378,22309.67974919339,13983.972751983432,0.7096,5.5936,-109.0542,-1.0989,-1.4811,0.6996,8,0.8166
