side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-24T04:10:00.000Z,2026-06-24T04:15:00.000Z,2026-06-24T04:20:00.000Z,6.4069215,6.3792976364000005,3889.6127890469097,24920.44380481961,0.4013,9.9682,-117.4143,-1.1741,-1.6695,0.1975,1,0.7115
short,sweep,be,2026-06-24T10:10:00.000Z,2026-06-24T10:15:00.000Z,2026-06-24T11:35:00.000Z,6.4160746,6.417999422379999,3987.904512794497,25586.692851766147,0.3862,10.2347,-17.9107,-0.1812,-0.1988,1.9803,16,0.7032
long,sweep,sl,2026-06-24T13:15:00.000Z,2026-06-24T13:20:00.000Z,2026-06-24T13:20:00.000Z,6.3639086,6.292497684200001,1418.9162954694436,9029.853615418133,1.0925,3.6119,-104.9381,-1.0638,-1.0487,0.0000,0,0.7774
long,sigma,be,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-25T15:15:00.000Z,6.053815599999999,6.051999455319999,1029.9687783134298,6235.241057666782,1.5653,2.4941,-4.3647,-0.0447,-0.2302,1.8382,14,0.5023
short,sweep,tp,2026-06-25T23:20:00.000Z,2026-06-25T23:25:00.000Z,2026-06-26T01:25:00.000Z,6.238128000000001,6.154464,3210.693879032031,20028.719386218327,0.4871,8.0115,260.6080,2.6714,-0.8515,3.3942,24,0.7411
long,sweep,tp,2026-06-26T03:00:00.000Z,2026-06-26T03:05:00.000Z,2026-06-26T03:55:00.000Z,5.9947979,6.1517120000000025,1831.0114067320542,10976.543335953364,0.9125,4.3906,282.9209,2.8247,-0.1243,2.9104,10,0.8414
short,sweep,be,2026-06-27T00:00:00.000Z,2026-06-27T00:05:00.000Z,2026-06-27T02:20:00.000Z,6.6100164,6.61199940492,1485.798460466959,9821.152190781351,1.0486,3.9285,-6.8748,-0.0668,-0.6922,1.6305,27,0.7984
short,sweep,tp,2026-06-27T02:25:00.000Z,2026-06-27T02:30:00.000Z,2026-06-27T09:25:00.000Z,6.6320098000000005,6.51604,2491.4007606113983,16522.99426010225,0.6229,6.6092,282.3181,2.7431,-0.8954,2.8567,83,0.7634
long,sweep,be,2026-06-28T06:15:00.000Z,2026-06-28T06:20:00.000Z,2026-06-28T07:25:00.000Z,6.3178947999999995,6.31599943156,3066.2005231929616,19371.93234123809,0.5459,7.7488,-13.5604,-0.1282,-0.1419,1.0759,13,0.7692
short,sigma,tp,2026-06-28T20:25:00.000Z,2026-06-28T20:30:00.000Z,2026-06-28T21:10:00.000Z,6.4550629,6.388197999999999,4246.2070707309895,27409.533727993286,0.3853,10.9638,272.9584,2.5846,-0.4398,3.4202,8,0.6945
short,sweep,be,2026-06-28T23:50:00.000Z,2026-06-28T23:55:00.000Z,2026-06-29T00:40:00.000Z,6.4490647,6.4509994194099995,2215.2491581399872,14286.285147465309,0.7583,5.7145,-10.0004,-0.0923,-0.5712,1.8212,9,0.7021
short,sweep,tp,2026-06-29T06:20:00.000Z,2026-06-29T06:25:00.000Z,2026-06-29T07:00:00.000Z,6.619013700000001,6.512136000000001,2827.93991418664,18718.1730347782,0.5782,7.4873,294.7564,2.7232,-0.2609,3.1879,7,0.7072
short,sweep,be,2026-06-29T10:00:00.000Z,2026-06-29T10:05:00.000Z,2026-06-29T10:40:00.000Z,6.5970203000000005,6.59899940609,3347.563960145368,22083.947400627385,0.5035,8.8336,-15.4588,-0.1390,-0.8725,1.1447,7,0.7432
