side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-23T14:55:00.000Z,0.079633883,0.078808370394,124709.58255961431,9931.108306531167,1.0069,3.9724,-106.9218,-1.0692,-1.0275,0.2072,16,0.8500
long,sweep,be,2026-06-23T15:25:00.000Z,2026-06-23T15:30:00.000Z,2026-06-23T17:50:00.000Z,0.07856356199999999,0.07853999293139999,235458.66175868805,18498.471171515714,0.5348,7.3994,-12.9489,-0.1309,-0.5797,1.8003,28,0.8500
long,sweep,be,2026-06-24T04:25:00.000Z,2026-06-24T04:30:00.000Z,2026-06-24T09:40:00.000Z,0.078653589,0.0786299929233,266692.4707429073,20976.319983207155,0.4710,8.3905,-14.6834,-0.1486,-0.0907,2.1497,62,0.7091
short,sweep,be,2026-06-24T20:50:00.000Z,2026-06-24T20:55:00.000Z,2026-06-24T21:35:00.000Z,0.07561730800000001,0.0756399931924,278423.79097506136,21053.65755668884,0.4686,8.4215,-14.7376,-0.1494,-0.5438,1.5728,8,0.7574
short,sweep,be,2026-06-25T00:10:00.000Z,2026-06-25T00:15:00.000Z,2026-06-25T04:50:00.000Z,0.076247119,0.0762699931357,312026.51591497636,23791.122890124596,0.4140,9.5164,-16.6538,-0.1691,-0.6110,1.5430,55,0.7329
long,sweep,sl,2026-06-25T07:05:00.000Z,2026-06-25T07:10:00.000Z,2026-06-25T09:30:00.000Z,0.077193151,0.07680299218800002,267876.8689596509,20678.259595009546,0.4756,8.2713,-112.7858,-1.1469,-1.0165,0.4000,28,0.7603
short,sweep,tp,2026-06-25T13:30:00.000Z,2026-06-25T13:35:00.000Z,2026-06-25T13:50:00.000Z,0.075727275,0.07328147999999998,114967.72807851207,8706.192760326705,1.1166,3.4825,277.7050,2.8567,-0.1806,3.7221,3,0.7464
long,sigma,be,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-25T15:00:00.000Z,0.07285184900000001,0.07282999344530001,77197.30890865265,5623.966691819518,1.7779,2.2496,-3.9368,-0.0394,-0.1790,1.2802,11,0.5373
long,sweep,sl,2026-06-26T01:35:00.000Z,2026-06-26T01:40:00.000Z,2026-06-26T02:10:00.000Z,0.073962182,0.073640281286,333387.9340357337,24658.09905375493,0.4053,9.8632,-117.1811,-1.1724,-4.9439,0.5264,6,0.7489
long,sweep,be,2026-06-26T02:15:00.000Z,2026-06-26T02:20:00.000Z,2026-06-26T02:45:00.000Z,0.072771825,0.0727499934525,211641.88518617064,15401.5662314381,0.6414,6.1606,-10.7811,-0.1091,-0.7110,1.1745,5,0.7319
