side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-06-24T20:10:00.000Z,2026-06-24T20:15:00.000Z,2026-06-24T20:20:00.000Z,0.082835142,0.08329117986,231987.34277057947,19216.704480603625,0.5204,7.6867,-113.4817,-1.1348,-1.1944,0.2207,1,0.7251
short,sweep,sl,2026-06-24T20:30:00.000Z,2026-06-24T20:35:00.000Z,2026-06-24T20:50:00.000Z,0.08347495,0.08408299733400001,169629.53703247037,14159.817122308614,0.6982,5.6639,-108.8067,-1.1006,-1.3298,0.0600,3,0.7010
long,sigma,be,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-25T16:45:00.000Z,0.080184048,0.0801599927856,59931.985133967835,4805.589172717363,2.0347,1.9222,-3.3639,-0.0344,-0.1128,2.2225,32,0.5157
short,sweep,tp,2026-06-26T08:05:00.000Z,2026-06-26T08:10:00.000Z,2026-06-26T11:50:00.000Z,0.08043586200000001,0.07793316,112813.30350747069,9074.23531269103,1.0772,3.6297,278.7084,2.8514,-0.1202,3.3770,44,0.7854
short,sweep,be,2026-06-26T19:25:00.000Z,2026-06-26T19:30:00.000Z,2026-06-26T20:00:00.000Z,0.08063580199999999,0.08065999274059998,220433.71821178403,17774.849655849208,0.5656,7.1099,-12.4424,-0.1238,-0.7767,2.7097,6,0.7006
short,sweep,tp,2026-06-27T02:25:00.000Z,2026-06-27T02:30:00.000Z,2026-06-27T05:00:00.000Z,0.080045979,0.07871784,211496.66178535396,16929.457347840547,0.5931,6.7718,274.1252,2.7302,-0.6193,3.0248,30,0.7131
short,sweep,be,2026-06-27T16:05:00.000Z,2026-06-27T16:10:00.000Z,2026-06-27T16:30:00.000Z,0.079516138,0.0795399928414,249508.6829094214,19839.966862423793,0.5199,7.9360,-13.8880,-0.1346,-0.4689,1.0308,4,0.7193
long,sweep,sl,2026-06-27T17:10:00.000Z,2026-06-27T17:15:00.000Z,2026-06-27T22:15:00.000Z,0.07752325,0.076643360092,120212.0561146496,9319.22927919001,1.1053,3.7277,-109.5011,-1.0630,-1.2992,0.9882,60,0.7250
long,sweep,sl,2026-06-28T11:15:00.000Z,2026-06-28T11:20:00.000Z,2026-06-28T13:00:00.000Z,0.075882758,0.075356326318,202282.36803174025,15349.743981019481,0.6639,6.1399,-112.6277,-1.1051,-1.5537,0.9076,20,0.7003
short,sweep,sl,2026-06-28T20:25:00.000Z,2026-06-28T20:30:00.000Z,2026-06-28T21:10:00.000Z,0.07641706799999999,0.076936594056,203015.0359927414,15513.813810479765,0.6497,6.2055,-111.6771,-1.1080,-1.5368,0.6790,8,0.7915
long,sweep,sl,2026-06-30T03:55:00.000Z,2026-06-30T04:00:00.000Z,2026-06-30T04:20:00.000Z,0.076672995,0.07620437182800001,223599.17305212482,17144.0182774297,0.5814,6.8576,-111.6414,-1.1201,-1.9809,0.6439,4,0.7187
long,sweep,be,2026-07-01T01:10:00.000Z,2026-07-01T01:15:00.000Z,2026-07-01T06:35:00.000Z,0.07159147099999999,0.07156999355869999,88571.09867109865,6340.9352419500965,1.5543,2.5364,-4.4387,-0.0450,-0.3249,1.6074,64,0.7360
short,sweep,sl,2026-07-02T12:30:00.000Z,2026-07-02T12:35:00.000Z,2026-07-02T13:15:00.000Z,0.07755672599999999,0.07836988391399999,124750.39603006135,9675.232283294956,1.0182,3.8701,-105.3119,-1.0691,-1.0552,0.5404,8,0.8500
short,sweep,sl,2026-07-03T11:05:00.000Z,2026-07-03T11:10:00.000Z,2026-07-03T11:35:00.000Z,0.07772667500000001,0.07812933177,256988.67579807504,19974.875282437348,0.4879,7.9900,-111.4682,-1.1438,-1.3272,0.5186,5,0.7147
long,sweep,be,2026-07-04T01:10:00.000Z,2026-07-04T01:15:00.000Z,2026-07-04T05:20:00.000Z,0.078603574,0.0785799929278,141734.63263152938,11140.848684415234,0.8648,4.4563,-7.7986,-0.0809,-0.5937,1.4218,49,0.8500
short,sweep,sl,2026-07-04T14:45:00.000Z,2026-07-04T14:50:00.000Z,2026-07-04T14:55:00.000Z,0.07887633,0.079412276538,187967.63094598905,14826.196887814043,0.6493,5.9305,-106.6711,-1.1081,-2.0184,0.0000,1,0.8500
short,sigma,sl,2026-07-04T15:10:00.000Z,2026-07-04T15:15:00.000Z,2026-07-04T15:20:00.000Z,0.080385877,0.08093577345,181112.98789855442,14558.926368315682,0.6539,5.8236,-105.4170,-1.1074,-2.0245,0.1253,1,0.5602
short,sigma,be,2026-07-04T15:25:00.000Z,2026-07-04T15:30:00.000Z,2026-07-04T16:40:00.000Z,0.08107567,0.081099992701,138954.38066122585,11265.819511543928,0.8357,4.5063,-7.8861,-0.0838,-0.8329,1.1301,14,0.5465
long,sweep,sl,2026-07-04T18:45:00.000Z,2026-07-04T18:50:00.000Z,2026-07-04T19:10:00.000Z,0.079983988,0.07963646189200001,290655.07837765396,23247.752301097335,0.4046,9.2991,-110.3093,-1.1727,-1.0011,0.8529,4,0.7847
long,sweep,sl,2026-07-04T23:15:00.000Z,2026-07-04T23:20:00.000Z,2026-07-05T01:15:00.000Z,0.078663592,0.078159865004,193559.1256921284,15226.056091322307,0.6105,6.0904,-103.5914,-1.1144,-1.3817,0.9087,23,0.8500
short,sweep,be,2026-07-05T15:05:00.000Z,2026-07-05T15:10:00.000Z,2026-07-05T15:35:00.000Z,0.078286507,0.0783099929521,223894.69015427976,17527.933228025853,0.5244,7.0112,-12.2696,-0.1335,-0.2521,1.3311,5,0.7613
short,sweep,be,2026-07-05T18:50:00.000Z,2026-07-05T18:55:00.000Z,2026-07-05T20:00:00.000Z,0.080115958,0.0801399927874,162458.5796187407,13015.524741474686,0.7053,5.2062,-9.1109,-0.0992,-0.6796,1.3555,13,0.7028
long,sweep,sl,2026-07-06T09:05:00.000Z,2026-07-06T09:10:00.000Z,2026-07-06T09:30:00.000Z,0.077373205,0.07693269326600001,219707.27775031741,16999.456241367247,0.5395,6.7998,-103.5834,-1.1295,-1.1815,0.2798,4,0.8012
long,sweep,be,2026-07-07T09:00:00.000Z,2026-07-07T09:05:00.000Z,2026-07-07T10:45:00.000Z,0.076082818,0.0760599931546,169734.97008902792,12913.914837518954,0.7022,5.1656,-9.0397,-0.0997,-0.4358,1.0804,20,0.7527
long,sweep,sl,2026-07-07T13:30:00.000Z,2026-07-07T13:35:00.000Z,2026-07-07T13:35:00.000Z,0.076042806,0.07572547554,307478.7303963768,23381.545444657986,0.3874,9.3526,-106.9250,-1.1804,-1.6388,0.0244,0,0.7254
long,sweep,sl,2026-07-08T08:30:00.000Z,2026-07-08T08:35:00.000Z,2026-07-08T08:35:00.000Z,0.073051909,0.07258271864999999,200076.0579152549,14615.937975903931,0.6125,5.8464,-99.7201,-1.1140,-1.2783,0.0181,0,0.8500
long,sweep,tp,2026-07-08T08:40:00.000Z,2026-07-08T08:45:00.000Z,2026-07-08T17:05:00.000Z,0.07273181299999999,0.0746732,130903.46930258138,9520.846650366588,0.9297,3.8083,250.3260,2.8279,-0.5794,2.9402,100,0.7165
short,sweep,sl,2026-07-09T18:00:00.000Z,2026-07-09T18:05:00.000Z,2026-07-09T18:05:00.000Z,0.076946909,0.077307445278,269813.59840786003,20761.32240365215,0.4384,8.3045,-105.5821,-1.1600,-1.8174,0.0798,0,0.7567
long,sweep,sl,2026-07-10T00:05:00.000Z,2026-07-10T00:10:00.000Z,2026-07-10T00:10:00.000Z,0.076392911,0.076094624762,326613.684617746,24950.970140385536,0.3606,9.9804,-107.4048,-1.1938,-1.1723,0.0000,0,0.7303
long,sweep,be,2026-07-10T13:30:00.000Z,2026-07-10T13:35:00.000Z,2026-07-10T14:00:00.000Z,0.07886365199999999,0.0788399929044,233354.03297292851,18403.15124917356,0.4830,7.3613,-12.8822,-0.1449,-0.1671,1.4342,5,0.7256
short,sweep,sl,2026-07-10T16:50:00.000Z,2026-07-10T16:55:00.000Z,2026-07-10T16:55:00.000Z,0.07977606,0.080304324072,176054.57659902232,14044.940466038199,0.6320,5.6180,-98.6213,-1.1111,-1.1185,0.1112,0,0.7164
