side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-24T13:30:00.000Z,2026-06-24T13:35:00.000Z,2026-06-24T13:40:00.000Z,61.2313639,60.524509198400004,145.20281130067121,8890.966178054432,1.1247,3.5564,-106.1937,-1.0619,-1.4061,0.1969,1,0.7229
short,sweep,sl,2026-06-26T14:05:00.000Z,2026-06-26T14:10:00.000Z,2026-06-26T14:20:00.000Z,63.94581050000001,64.3436893176,261.33887481758813,16711.526165368716,0.5920,6.6846,-110.6658,-1.1185,-1.6514,0.8712,2,0.7122
long,sweep,be,2026-06-27T22:15:00.000Z,2026-06-27T22:20:00.000Z,2026-06-27T23:20:00.000Z,62.1026252,62.08399441244,194.85486400596125,12100.99858775918,0.8085,4.8404,-8.4707,-0.0866,-0.3797,1.1042,12,0.7659
short,sweep,be,2026-06-29T06:00:00.000Z,2026-06-29T06:05:00.000Z,2026-06-29T10:10:00.000Z,62.9341141,62.95299433423,329.00722667975595,20705.778343588325,0.4721,8.2823,-14.4940,-0.1483,-0.9892,2.1781,49,0.7122
long,sweep,sl,2026-06-30T06:25:00.000Z,2026-06-30T06:30:00.000Z,2026-06-30T07:05:00.000Z,65.86575380000001,65.25760084480001,165.82868789482413,10922.431529857527,0.8936,4.3690,-105.2182,-1.0780,-1.0683,0.0327,7,0.7021
long,sweep,tp,2026-07-01T01:10:00.000Z,2026-07-01T01:15:00.000Z,2026-07-01T04:45:00.000Z,63.6320839,65.93778400000001,121.59713963531034,7737.479391274082,1.2478,3.0950,277.2715,2.8718,-0.4447,2.9910,42,0.7993
long,sweep,sl,2026-07-01T07:45:00.000Z,2026-07-01T07:50:00.000Z,2026-07-01T08:05:00.000Z,64.4313236,63.91070503480001,198.07428717038596,12762.188493514466,0.7783,5.1049,-108.2260,-1.0896,-1.0337,0.1609,3,0.7266
short,sweep,be,2026-07-02T18:30:00.000Z,2026-07-02T18:35:00.000Z,2026-07-02T23:30:00.000Z,66.76396480000001,66.78399398944,174.05385013077452,11620.525123435507,0.8454,4.6482,-8.1344,-0.0828,-0.5245,2.2465,59,0.7010
short,sweep,be,2026-07-03T00:00:00.000Z,2026-07-03T00:05:00.000Z,2026-07-03T01:10:00.000Z,66.8239468,66.84399398404,293.79926617224083,19632.82653257286,0.5000,7.8531,-13.7430,-0.1400,-0.6467,2.6906,13,0.7047
short,sweep,sl,2026-07-03T20:35:00.000Z,2026-07-03T20:40:00.000Z,2026-07-03T21:50:00.000Z,70.6617951,71.28161407079999,163.79438237182865,11574.005085689208,0.8469,4.6296,-106.1525,-1.0830,-1.0230,0.4425,14,0.7776
short,sweep,sl,2026-07-05T04:10:00.000Z,2026-07-05T04:15:00.000Z,2026-07-05T04:15:00.000Z,68.8303447,69.13067698319999,346.7810288729284,23869.057752744313,0.4062,9.5476,-113.6972,-1.1726,-1.3149,0.0000,0,0.7266
short,sweep,be,2026-07-05T04:20:00.000Z,2026-07-05T04:25:00.000Z,2026-07-05T12:20:00.000Z,69.1512484,69.17199377452,278.178027975576,19236.357911961208,0.4981,7.6945,-13.4655,-0.1405,-0.3738,2.6831,95,0.7480
short,sweep,sl,2026-07-05T21:55:00.000Z,2026-07-05T22:00:00.000Z,2026-07-05T22:20:00.000Z,70.9976943,71.49911330099998,199.36031513270592,14154.122709343521,0.6760,5.6616,-105.6247,-1.1038,-1.4236,0.3265,4,0.7583
long,sweep,sl,2026-07-06T12:05:00.000Z,2026-07-06T12:10:00.000Z,2026-07-06T13:00:00.000Z,69.6568908,68.8722701186,123.87134364409913,8628.492657466288,1.0967,3.4514,-100.6434,-1.0635,-1.1086,0.5761,10,0.7828
short,sweep,sl,2026-07-07T12:05:00.000Z,2026-07-07T12:10:00.000Z,2026-07-07T12:10:00.000Z,72.20233280000001,72.496402398,343.797555534242,24822.985520509825,0.3772,9.9292,-111.0296,-1.1859,-1.2399,0.0196,0,0.7519
short,sweep,sl,2026-07-07T15:00:00.000Z,2026-07-07T15:05:00.000Z,2026-07-07T15:25:00.000Z,72.1273553,72.5976347586,206.27368472735745,14877.975347370295,0.6218,5.9512,-102.9575,-1.1129,-1.8922,0.1836,4,0.7347
long,sweep,be,2026-07-08T08:40:00.000Z,2026-07-08T08:45:00.000Z,2026-07-08T13:05:00.000Z,67.6953025,67.67499390925,199.72984176224057,13520.772056372009,0.6766,5.4083,-9.4645,-0.1035,-0.1535,2.8025,52,0.7107
long,sweep,sl,2026-07-08T13:05:00.000Z,2026-07-08T13:10:00.000Z,2026-07-08T13:25:00.000Z,67.8923616,67.469503075,226.99522209581752,15411.241700001554,0.5930,6.1645,-102.1514,-1.1177,-1.2478,0.1183,3,0.8145
long,sweep,tp,2026-07-08T21:20:00.000Z,2026-07-08T21:25:00.000Z,2026-07-08T23:10:00.000Z,66.4509293,67.60203799999998,220.26526077874718,14636.831271254592,0.6174,5.8547,247.6945,2.7409,-0.1339,2.9787,21,0.7663
long,sweep,be,2026-07-09T02:00:00.000Z,2026-07-09T02:05:00.000Z,2026-07-09T05:20:00.000Z,67.3471981,67.32699394057,201.73457549743242,13586.258419644986,0.6834,5.4345,-9.5104,-0.1024,-0.8152,1.1533,39,0.7043
short,sweep,be,2026-07-09T15:15:00.000Z,2026-07-09T15:20:00.000Z,2026-07-10T02:10:00.000Z,68.14954900000001,68.1699938647,130.8395447429393,8916.655965596636,1.0402,3.5667,-6.2417,-0.0673,-0.0599,2.1732,130,0.7673
short,sweep,sl,2026-07-10T07:50:00.000Z,2026-07-10T07:55:00.000Z,2026-07-10T08:15:00.000Z,68.1905367,68.51526441480001,304.7177135317657,20778.864427727953,0.4461,8.3115,-107.2618,-1.1572,-1.9313,0.1563,4,0.7406
long,sweep,be,2026-07-10T19:20:00.000Z,2026-07-10T19:25:00.000Z,2026-07-10T20:05:00.000Z,67.1451375,67.12499395875001,332.9736538458612,22357.561771357756,0.4098,8.9430,-15.6503,-0.1708,-0.3530,1.5805,8,0.7035
long,sweep,be,2026-07-10T20:25:00.000Z,2026-07-10T20:30:00.000Z,2026-07-11T01:55:00.000Z,66.9340742,66.91399397774,232.4721369100353,15560.30726136886,0.5878,6.2241,-10.8922,-0.1191,-0.1552,1.8960,65,0.7424
short,sweep,sl,2026-07-11T10:25:00.000Z,2026-07-11T10:30:00.000Z,2026-07-11T12:15:00.000Z,66.79695489999999,67.1421125928,281.06106769994625,18774.023463299152,0.4866,7.5096,-104.5200,-1.1442,-1.1539,0.2275,21,0.7087
long,sweep,tp,2026-07-11T13:40:00.000Z,2026-07-11T13:45:00.000Z,2026-07-11T14:30:00.000Z,66.5949725,67.57624400000005,255.30207437942556,17001.8346224908,0.5312,6.8007,243.7199,2.6988,-0.2091,3.3728,9,0.7391
short,sigma,be,2026-07-11T14:40:00.000Z,2026-07-11T14:45:00.000Z,2026-07-11T18:30:00.000Z,67.65969600000001,67.67999390880001,308.16263135508115,20850.189956044862,0.4448,8.3401,-14.5951,-0.1574,-0.2004,2.6572,45,0.5074
short,sweep,sl,2026-07-12T16:10:00.000Z,2026-07-12T16:15:00.000Z,2026-07-12T17:10:00.000Z,67.819648,68.1233648802,326.8669303359165,22168.000158222378,0.4177,8.8672,-108.1422,-1.1679,-1.0673,0.0164,11,0.7092
short,sweep,tp,2026-07-12T19:10:00.000Z,2026-07-12T19:15:00.000Z,2026-07-12T22:45:00.000Z,68.1825391,66.88296400000002,198.7422130233663,13550.748710286201,0.6754,5.4203,252.8601,2.7630,-0.4158,3.0415,42,0.7110
long,sweep,sl,2026-07-13T13:20:00.000Z,2026-07-13T13:25:00.000Z,2026-07-13T13:40:00.000Z,64.0682147,63.6413258728,230.6183159696546,14775.303781296268,0.6365,5.9101,-104.3585,-1.1097,-1.7269,0.1491,3,0.7839
long,sweep,tp,2026-07-14T03:20:00.000Z,2026-07-14T03:25:00.000Z,2026-07-14T05:05:00.000Z,62.7128082,63.489323999999996,327.5629198425887,20542.39056552024,0.4527,8.2170,246.1408,2.6467,-0.2142,4.2378,20,0.7088
short,sweep,be,2026-07-14T05:25:00.000Z,2026-07-14T05:30:00.000Z,2026-07-14T11:25:00.000Z,64.030785,64.0499942355,367.8130366837372,23551.35747209349,0.4053,9.4205,-16.4860,-0.1727,-0.4285,2.3379,71,0.7058
short,sweep,sl,2026-07-14T12:35:00.000Z,2026-07-14T12:40:00.000Z,2026-07-14T12:45:00.000Z,64.5336341,64.93705127279999,248.20674228460948,16017.683087747986,0.5949,6.4071,-106.5379,-1.1180,-1.3449,0.0225,1,0.7343
long,sweep,be,2026-07-14T14:30:00.000Z,2026-07-14T14:35:00.000Z,2026-07-14T15:50:00.000Z,64.5883707,64.56899418879,263.1515288552394,16996.528495973947,0.5544,6.7986,-11.8976,-0.1263,-0.3306,1.6801,15,0.7196
short,sweep,sl,2026-07-14T18:05:00.000Z,2026-07-14T18:10:00.000Z,2026-07-14T21:10:00.000Z,65.13145469999999,65.881218438,128.92045190810805,8396.776573356467,1.1208,3.3587,-100.0186,-1.0628,-1.0227,0.2212,36,0.7588
short,sweep,be,2026-07-15T03:30:00.000Z,2026-07-15T03:35:00.000Z,2026-07-15T04:00:00.000Z,67.4017734,67.42199393201999,271.90508264914024,18326.884767025622,0.5081,7.3308,-12.8288,-0.1378,-0.0591,1.2229,5,0.7831
short,sweep,be,2026-07-15T06:55:00.000Z,2026-07-15T07:00:00.000Z,2026-07-15T08:40:00.000Z,67.3187983,67.33899393949,237.5973812618687,15994.770185775937,0.5813,6.3979,-11.1963,-0.1204,-0.1768,1.5045,20,0.7089
short,sweep,sl,2026-07-15T08:45:00.000Z,2026-07-15T08:50:00.000Z,2026-07-15T09:00:00.000Z,67.2618154,67.6172030772,277.140531997928,18640.975303102427,0.4982,7.4564,-105.9487,-1.1408,-1.2390,0.2322,2,0.7032
long,sweep,be,2026-07-16T08:20:00.000Z,2026-07-16T08:25:00.000Z,2026-07-16T10:45:00.000Z,65.7877304,65.76799408088,258.7304921642483,17021.29186476088,0.5394,6.8085,-11.9149,-0.1298,-0.2782,1.3590,28,0.7053
long,sweep,tp,2026-07-17T07:35:00.000Z,2026-07-17T07:40:00.000Z,2026-07-17T08:50:00.000Z,58.6815992,59.617778,273.2836145766924,16036.719538516742,0.5718,6.4147,249.4276,2.7202,-0.3922,2.9637,14,0.7536
short,sweep,be,2026-07-17T09:40:00.000Z,2026-07-17T09:45:00.000Z,2026-07-17T10:20:00.000Z,60.8177492,60.83599452476,221.88423358752522,13494.499669760326,0.6980,5.3978,-9.4461,-0.1003,-0.0760,1.0595,7,0.7139
long,sweep,be,2026-07-18T11:45:00.000Z,2026-07-18T11:50:00.000Z,2026-07-18T12:25:00.000Z,58.7356154,58.71799471538,323.634685650675,19008.882426477947,0.4950,7.6036,-13.3062,-0.1414,-0.7932,1.4734,7,0.7312
short,sweep,sl,2026-07-18T17:20:00.000Z,2026-07-18T17:25:00.000Z,2026-07-18T18:00:00.000Z,59.505143100000005,59.966642597399996,211.8537441431643,12606.38736150978,0.7453,5.0426,-102.8130,-1.0942,-1.0346,0.3521,7,0.7636
short,sweep,sl,2026-07-19T01:25:00.000Z,2026-07-19T01:30:00.000Z,2026-07-19T01:50:00.000Z,60.5098416,60.76848307739999,386.5466858100904,23389.87872937354,0.3973,9.3560,-109.3330,-1.1765,-1.7393,0.4402,4,0.7188
short,sweep,sl,2026-07-19T08:05:00.000Z,2026-07-19T08:10:00.000Z,2026-07-19T08:45:00.000Z,60.987698200000004,61.3778818422,247.02746402658408,15065.636423164668,0.6096,6.0263,-102.4123,-1.1151,-1.0229,0.3166,7,0.7899
short,sweep,sl,2026-07-19T20:00:00.000Z,2026-07-19T20:05:00.000Z,2026-07-19T20:35:00.000Z,61.0526787,61.3277668122,353.7840769129331,21599.46557694139,0.4204,8.6398,-105.9616,-1.1668,-1.1037,0.5091,6,0.7151
long,sweep,be,2026-07-19T22:00:00.000Z,2026-07-19T22:05:00.000Z,2026-07-19T22:25:00.000Z,60.97928829999999,60.960994513509995,366.34687368806436,22339.57162842816,0.4018,8.9358,-15.6377,-0.1742,-0.4461,1.5376,4,0.7337
long,sweep,be,2026-07-19T23:05:00.000Z,2026-07-19T23:10:00.000Z,2026-07-20T00:45:00.000Z,60.958282,60.9399945154,340.7883771099425,20773.873994190217,0.4313,8.3095,-14.5417,-0.1623,-1.6822,2.5283,19,0.7060
long,sweep,sl,2026-07-20T00:50:00.000Z,2026-07-20T00:55:00.000Z,2026-07-20T01:40:00.000Z,60.7402166,60.34492309040001,237.1605305155064,14405.181992482767,0.6210,5.7621,-99.5101,-1.1124,-1.1671,0.6781,9,0.7234
short,sweep,sl,2026-07-20T11:35:00.000Z,2026-07-20T11:40:00.000Z,2026-07-20T11:55:00.000Z,61.0926667,61.437017577599995,271.40635883697337,16580.938220687814,0.5335,6.6324,-100.0914,-1.1315,-1.0043,0.0082,3,0.7429
