side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-06-23T11:45:00.000Z,2026-06-23T11:50:00.000Z,2026-06-23T12:00:00.000Z,4.5846242,4.6135896618,3625.579186275111,16621.918076413185,0.6016,6.6488,-111.6653,-1.1167,-1.0288,0.0000,2,0.7419
long,sweep,sl,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-23T17:50:00.000Z,4.578373099999999,4.503620508400001,1347.1643691098152,6167.821108810848,1.6032,2.4671,-103.1712,-1.0434,-1.0269,0.2265,51,0.7736
short,sweep,sl,2026-06-23T20:10:00.000Z,2026-06-23T20:15:00.000Z,2026-06-23T21:00:00.000Z,4.5866236,4.605571257,5570.386363171159,25549.26555443901,0.3830,10.2197,-115.7655,-1.1831,-2.1846,0.4340,9,0.7883
long,sweep,sl,2026-06-24T13:30:00.000Z,2026-06-24T13:35:00.000Z,2026-06-24T15:40:00.000Z,4.3583071,4.2531976578,931.2442780396829,4058.648548814724,2.3824,1.6235,-99.5060,-1.0291,-1.0624,0.1222,25,0.7148
long,sweep,tp,2026-06-24T17:45:00.000Z,2026-06-24T17:50:00.000Z,2026-06-24T20:25:00.000Z,4.171251,4.344719999999999,1608.6285318075152,6709.993371930629,1.4262,2.6840,276.3632,2.8878,-0.2564,2.9542,31,0.7128
long,sweep,tp,2026-06-25T04:00:00.000Z,2026-06-25T04:05:00.000Z,2026-06-25T04:55:00.000Z,4.160247699999999,4.22587,4183.184926314631,17403.085468375113,0.5658,6.9612,267.5490,2.7173,-0.2654,3.0484,10,0.8500
short,sweep,sl,2026-06-25T13:00:00.000Z,2026-06-25T13:05:00.000Z,2026-06-25T13:30:00.000Z,4.2997097,4.330940892599999,3378.893090746199,14528.259397544412,0.6961,5.8113,-111.3382,-1.1009,-1.1790,1.0928,5,0.7919
short,sweep,tp,2026-06-25T13:30:00.000Z,2026-06-25T13:35:00.000Z,2026-06-25T13:50:00.000Z,4.288713,4.128989999999999,1820.0531326970538,7805.685530888581,1.2814,3.1223,287.5821,2.8751,-0.4965,3.6886,3,0.8500
short,sweep,sl,2026-06-25T20:50:00.000Z,2026-06-25T20:55:00.000Z,2026-06-25T21:30:00.000Z,4.2067376,4.252761445800001,2299.5343014866444,9673.537408553604,1.0637,3.8694,-109.7028,-1.0661,-1.5031,0.0835,7,0.7809
short,sweep,sl,2026-06-26T06:45:00.000Z,2026-06-26T06:50:00.000Z,2026-06-26T08:25:00.000Z,4.475656900000001,4.5133596018,2800.714528447143,12535.037304174704,0.8122,5.0140,-110.6085,-1.0865,-1.1924,0.8709,19,0.7010
