side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,be,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-23T15:45:00.000Z,7.6052808999999995,7.60299931573,1244.3862624734227,9463.907074211507,1.0566,3.7856,-6.6247,-0.0662,-0.6506,1.0542,26,0.7237
short,sweep,tp,2026-06-24T10:00:00.000Z,2026-06-24T10:05:00.000Z,2026-06-24T11:15:00.000Z,7.6157146000000004,7.545238000000003,3765.486508756201,28676.87058083763,0.3485,11.4707,253.9079,2.5408,-0.3122,2.7776,14,0.7250
long,sweep,sl,2026-06-24T13:45:00.000Z,2026-06-24T13:50:00.000Z,2026-06-24T15:30:00.000Z,7.492247,7.4368602724,1927.811721060796,14443.641583682585,0.7095,5.7775,-112.5526,-1.0984,-1.1334,0.6914,20,0.7088
long,sweep,tp,2026-06-24T17:45:00.000Z,2026-06-24T17:50:00.000Z,2026-06-24T20:00:00.000Z,7.158146799999999,7.315701999999999,1830.007974606167,13099.465727401614,0.7737,5.2398,283.0875,2.7932,-0.7249,2.8503,26,0.7107
long,sweep,sl,2026-06-25T10:45:00.000Z,2026-06-25T10:50:00.000Z,2026-06-25T11:05:00.000Z,7.4582368,7.4268832664,3576.9577989055674,26677.798287844504,0.3905,10.6711,-122.8214,-1.1790,-1.3472,0.1635,3,0.8500
long,sigma,be,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-25T15:15:00.000Z,7.119135099999999,7.116999359469999,942.9111890308701,6712.712142012402,1.5337,2.6851,-4.6989,-0.0456,-0.1936,1.6565,14,0.5900
short,sweep,be,2026-06-25T22:00:00.000Z,2026-06-25T22:05:00.000Z,2026-06-25T23:20:00.000Z,7.2728175,7.27499934525,4157.948063845501,30239.997442826676,0.3403,12.0960,-21.1680,-0.2057,-0.3710,1.9321,15,0.7256
long,sweep,be,2026-06-26T02:15:00.000Z,2026-06-26T02:20:00.000Z,2026-06-26T02:50:00.000Z,7.057116499999999,7.05499936505,2620.9797648315553,18496.559544558888,0.5552,7.3986,-12.9476,-0.1261,-0.8197,1.4518,6,0.7526
long,sweep,tp,2026-06-26T03:00:00.000Z,2026-06-26T03:05:00.000Z,2026-06-26T06:35:00.000Z,7.060117399999999,7.244060000000001,1599.095407035053,11289.80130746826,0.9084,4.5159,289.6258,2.8239,-0.2825,3.1165,42,0.7595
long,sweep,tp,2026-06-28T06:15:00.000Z,2026-06-28T06:20:00.000Z,2026-06-28T08:35:00.000Z,7.2381708,7.339295999999999,2881.147896393756,20854.24057415871,0.5057,8.3417,283.0150,2.6837,-0.4964,3.1372,27,0.8500
