side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-24T03:20:00.000Z,2026-06-24T03:25:00.000Z,2026-06-24T04:05:00.000Z,41.842549,41.634046037999994,510.18065496991534,21347.259054430775,0.4684,8.5389,-114.9131,-1.1491,-1.1354,0.6502,8,0.8500
long,sweep,tp,2026-06-24T11:10:00.000Z,2026-06-24T11:15:00.000Z,2026-06-24T11:45:00.000Z,41.832546,42.22061999999999,676.6621660297436,28306.501186898888,0.3492,11.3226,251.2724,2.5419,-0.5651,3.6790,6,0.7444
short,sweep,be,2026-06-25T05:10:00.000Z,2026-06-25T05:15:00.000Z,2026-06-25T09:30:00.000Z,41.827448000000004,41.839996234400004,727.012509460794,30409.077934820874,0.3259,12.1636,-21.2864,-0.2148,-0.9724,2.3288,51,0.7154
long,sigma,be,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-25T15:15:00.000Z,39.931976,39.9199964072,160.36936146109628,6403.865492999821,1.5795,2.5615,-4.4827,-0.0443,-0.1775,1.3762,14,0.5553
long,sweep,be,2026-06-26T02:15:00.000Z,2026-06-26T02:20:00.000Z,2026-06-26T02:50:00.000Z,40.202056999999996,40.1899963829,346.2092218180474,13918.322869454785,0.7264,5.5673,-9.7428,-0.0964,-0.5207,1.0202,6,0.8241
short,sweep,sl,2026-06-26T06:30:00.000Z,2026-06-26T06:35:00.000Z,2026-06-26T06:40:00.000Z,41.447562000000005,41.655612936000004,516.5141505435192,21408.25227852985,0.4718,8.5633,-116.0246,-1.1487,-1.2397,0.0000,1,0.7432
short,sweep,sl,2026-06-26T06:45:00.000Z,2026-06-26T06:50:00.000Z,2026-06-26T07:05:00.000Z,41.587520000000005,41.826004038,441.92364662343476,18378.50849242503,0.5433,7.3514,-112.7431,-1.1291,-1.1617,0.0000,3,0.7154
short,sweep,tp,2026-06-26T07:40:00.000Z,2026-06-26T07:45:00.000Z,2026-06-26T09:50:00.000Z,41.827448000000004,41.258300000000006,478.177965467919,20000.96398535518,0.4936,8.0004,264.1536,2.6758,-0.2545,2.8939,25,0.7115
long,sweep,sl,2026-06-26T10:40:00.000Z,2026-06-26T10:45:00.000Z,2026-06-26T11:25:00.000Z,41.212360000000004,41.015471666,549.1512287232634,22631.818132585475,0.4479,9.0527,-117.1742,-1.1560,-1.6381,0.9624,8,0.7221
short,sweep,sl,2026-06-27T02:25:00.000Z,2026-06-27T02:30:00.000Z,2026-06-27T04:10:00.000Z,42.237325,42.417361392,598.814163821754,25292.308451942667,0.3961,10.1169,-117.9253,-1.1770,-1.0320,0.8805,20,0.8500
short,sweep,sl,2026-06-27T04:25:00.000Z,2026-06-27T04:30:00.000Z,2026-06-27T08:55:00.000Z,42.307304,42.54766047,435.03110410860177,18404.993170978265,0.5380,7.3620,-111.9245,-1.1304,-1.6815,0.8230,53,0.8500
short,sweep,be,2026-06-27T09:05:00.000Z,2026-06-27T09:10:00.000Z,2026-06-27T09:25:00.000Z,42.677193,42.6899961579,581.5590712885069,24819.308726280367,0.3944,9.9277,-17.3735,-0.1775,-0.6702,1.0527,3,0.8500
short,sweep,sl,2026-06-27T13:10:00.000Z,2026-06-27T13:15:00.000Z,2026-06-27T13:15:00.000Z,42.737175,42.94858071,492.221929891417,21036.17475660722,0.4645,8.4145,-112.4730,-1.1510,-1.3239,0.0000,0,0.8464
short,sweep,sl,2026-06-28T08:00:00.000Z,2026-06-28T08:05:00.000Z,2026-06-28T08:30:00.000Z,42.457259,42.627844517999996,612.1230452722527,25989.06667299276,0.3717,10.3956,-114.8150,-1.1886,-1.3482,0.1727,5,0.8500
short,sweep,be,2026-06-29T02:45:00.000Z,2026-06-29T02:50:00.000Z,2026-06-29T03:05:00.000Z,43.027088,43.0399961264,564.3253738662145,24281.27752197451,0.3931,9.7125,-16.9969,-0.1781,-0.3128,1.9339,3,0.7047
long,sweep,sl,2026-06-29T08:30:00.000Z,2026-06-29T08:35:00.000Z,2026-06-29T10:30:00.000Z,42.422723,42.192758374,438.4454434135053,18600.049596543307,0.5122,7.4400,-108.2670,-1.1364,-1.0710,0.9539,23,0.8500
long,sweep,be,2026-06-29T12:00:00.000Z,2026-06-29T12:05:00.000Z,2026-06-30T02:15:00.000Z,42.432726,42.4199961822,220.64070443502513,9362.386555738407,1.0061,3.7450,-6.5537,-0.0696,-0.6857,2.2892,170,0.8500
long,sweep,be,2026-06-30T04:10:00.000Z,2026-06-30T04:15:00.000Z,2026-06-30T07:45:00.000Z,42.452732,42.4399961804,530.4381120621447,22518.547013960193,0.4180,9.0074,-15.7630,-0.1675,-0.5226,2.0697,42,0.8500
long,sweep,sl,2026-06-30T12:25:00.000Z,2026-06-30T12:30:00.000Z,2026-06-30T12:55:00.000Z,42.172647999999995,41.963287236000006,477.56583404087814,20140.21581583237,0.4666,8.0561,-108.0396,-1.1497,-1.2840,0.0000,5,0.7600
short,sigma,sl,2026-07-01T02:25:00.000Z,2026-07-01T02:30:00.000Z,2026-07-01T02:35:00.000Z,42.407274,42.557683475999994,657.1227216151923,27866.783307161182,0.3246,11.1467,-109.9842,-1.2160,-1.0369,0.1255,1,0.5305
short,sweep,be,2026-07-01T21:40:00.000Z,2026-07-01T21:45:00.000Z,2026-07-02T03:50:00.000Z,43.307004,43.3199961012,203.824334974442,8827.0212900355,1.0399,3.5308,-6.1789,-0.0673,-0.6284,2.0585,73,0.8500
short,sweep,sl,2026-07-02T09:40:00.000Z,2026-07-02T09:45:00.000Z,2026-07-02T11:10:00.000Z,43.147051999999995,43.429684998,340.22598204066026,14679.748138859433,0.6249,5.8719,-102.0310,-1.1123,-1.0866,0.2487,17,0.7165
long,sweep,tp,2026-07-02T11:50:00.000Z,2026-07-02T11:55:00.000Z,2026-07-02T13:30:00.000Z,42.952881999999995,43.556919999999984,415.09475787541334,17829.5161538412,0.5087,7.1318,243.6012,2.6856,-0.4250,3.0071,19,0.7642
short,sweep,be,2026-07-03T15:10:00.000Z,2026-07-03T15:15:00.000Z,2026-07-03T16:50:00.000Z,43.776863,43.789996058899995,487.9246331236476,21359.809818579182,0.4361,8.5439,-14.9519,-0.1605,-0.2260,1.8170,19,0.7080
long,sweep,sl,2026-07-04T01:15:00.000Z,2026-07-04T01:20:00.000Z,2026-07-04T01:25:00.000Z,44.363305,44.178182568000004,541.0864924253334,24004.385094845253,0.3874,9.6018,-109.7690,-1.1804,-1.5902,0.3299,1,0.7404
long,sweep,sl,2026-07-04T23:15:00.000Z,2026-07-04T23:20:00.000Z,2026-07-05T00:20:00.000Z,44.773427999999996,44.517400772,378.6908039226415,16955.285443692504,0.5420,6.7821,-103.7373,-1.1289,-1.2504,0.6040,12,0.8500
