side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-23T15:05:00.000Z,1.9995997,1.9784402898000002,4862.465172593223,9722.983900377856,1.0285,3.8892,-106.7761,-1.0678,-1.0503,0.3598,18,0.8500
short,sweep,be,2026-06-23T19:05:00.000Z,2026-06-23T19:10:00.000Z,2026-06-23T19:25:00.000Z,1.9854042,1.98599982126,13062.430895019195,25934.20516118087,0.3815,10.3737,-18.1539,-0.1835,-0.3427,1.1096,3,0.8500
long,sweep,sl,2026-06-24T07:50:00.000Z,2026-06-24T07:55:00.000Z,2026-06-24T09:40:00.000Z,1.9545861999999998,1.94551617,11636.621771413636,22744.780329024645,0.4342,9.0979,-114.6424,-1.1609,-1.2475,0.8736,21,0.7227
long,sweep,tp,2026-06-24T18:05:00.000Z,2026-06-24T18:10:00.000Z,2026-06-24T20:45:00.000Z,1.8795636999999998,1.9531479999999999,3860.9744367852495,7256.947398009499,1.3450,2.9028,281.2043,2.8811,-0.0223,2.9445,31,0.7097
short,sweep,be,2026-06-24T22:00:00.000Z,2026-06-24T22:05:00.000Z,2026-06-25T05:20:00.000Z,1.9654102,1.96599982306,5722.444904346676,11246.951583940981,0.8928,4.4988,-7.8729,-0.0784,-0.3755,2.1889,87,0.7206
short,sweep,tp,2026-06-25T13:30:00.000Z,2026-06-25T13:35:00.000Z,2026-06-25T13:55:00.000Z,1.9184243,1.817306,2910.55471363408,5583.678889115161,1.7970,2.2335,292.0769,2.9109,-0.2488,3.3192,4,0.8500
long,sweep,sl,2026-06-25T20:30:00.000Z,2026-06-25T20:35:00.000Z,2026-06-25T20:40:00.000Z,1.820546,1.8098288884000002,10149.239115672122,18477.15667508042,0.5588,7.3909,-116.1614,-1.1250,-1.1349,0.2412,1,0.7476
long,sweep,tp,2026-06-26T13:30:00.000Z,2026-06-26T13:35:00.000Z,2026-06-26T13:55:00.000Z,1.7625286,1.805506,6792.592767658606,11972.139021151448,0.8528,4.7889,287.1391,2.8124,-0.2348,2.9587,4,0.7812
long,sweep,tp,2026-06-27T19:35:00.000Z,2026-06-27T19:40:00.000Z,2026-06-27T20:35:00.000Z,1.8445532,1.8879980000000003,6897.086316075264,12722.04263499284,0.8251,5.0888,294.5537,2.8061,-0.2992,3.0519,11,0.7803
short,sweep,tp,2026-06-28T03:10:00.000Z,2026-06-28T03:15:00.000Z,2026-06-28T17:10:00.000Z,1.89943,1.8314859999999995,4610.119328730283,8756.598956570162,1.2324,3.5026,309.7273,2.8701,-0.4088,2.9661,167,0.7002
long,sweep,be,2026-06-29T12:00:00.000Z,2026-06-29T12:05:00.000Z,2026-06-29T12:35:00.000Z,1.8485544,1.84799983368,4403.72837339159,8140.531461037867,1.3637,3.2562,-5.6984,-0.0513,-0.1013,1.0491,6,0.8159
long,sweep,tp,2026-06-29T21:05:00.000Z,2026-06-29T21:10:00.000Z,2026-06-29T21:30:00.000Z,1.8635589,1.880166,17665.296789883498,32920.32105392882,0.3370,13.1681,280.2012,2.5254,-0.2482,2.7768,4,0.7903
short,sweep,sl,2026-06-30T03:10:00.000Z,2026-06-30T03:15:00.000Z,2026-06-30T03:15:00.000Z,1.8414474,1.849244607,15706.510759472687,28922.713401103007,0.3933,11.5691,-134.0360,-1.1783,-1.0428,0.0000,0,0.7368
long,sweep,be,2026-06-30T08:35:00.000Z,2026-06-30T08:40:00.000Z,2026-06-30T11:20:00.000Z,1.8415522999999998,1.8409998343099998,10997.096036758678,20251.727499813824,0.5551,8.1007,-14.1762,-0.1261,-0.9345,1.9025,32,0.7971
long,sweep,sl,2026-06-30T20:25:00.000Z,2026-06-30T20:30:00.000Z,2026-06-30T20:40:00.000Z,1.7965388,1.7868817746,12309.6496715264,22114.763249304433,0.5077,8.8459,-127.7205,-1.1376,-1.1555,0.0000,2,0.7328
long,sweep,sl,2026-07-01T07:45:00.000Z,2026-07-01T07:50:00.000Z,2026-07-01T08:20:00.000Z,1.7965388,1.7828909722,8464.755633856283,15207.261928741405,0.7299,6.0829,-121.6084,-1.0956,-1.2613,0.1877,6,0.7080
long,sweep,be,2026-07-01T08:30:00.000Z,2026-07-01T08:35:00.000Z,2026-07-01T10:25:00.000Z,1.7795336999999998,1.7789998398899998,12088.107221700584,21511.19417022956,0.5103,8.6045,-15.0578,-0.1372,-0.4992,2.0334,22,0.7203
short,sweep,be,2026-07-02T12:30:00.000Z,2026-07-02T12:35:00.000Z,2026-07-02T17:40:00.000Z,1.939418,1.9399998254,6268.869224389593,12157.957813427216,0.9017,4.8632,-8.5106,-0.0776,-0.7195,2.3112,61,0.8500
long,sweep,tp,2026-07-03T05:20:00.000Z,2026-07-03T05:25:00.000Z,2026-07-03T08:40:00.000Z,1.9405819999999998,1.9725979999999994,9568.909791355167,18569.25410072759,0.5899,7.4277,298.9305,2.7288,-0.0508,2.8318,39,0.7109
long,sweep,be,2026-07-04T04:20:00.000Z,2026-07-04T04:25:00.000Z,2026-07-04T05:20:00.000Z,1.9975991,1.9969998202700001,8947.546289194579,17873.61041450343,0.6296,7.1494,-12.5115,-0.1112,-0.6042,1.4630,11,0.7216
long,sweep,sl,2026-07-04T07:45:00.000Z,2026-07-04T07:50:00.000Z,2026-07-04T09:30:00.000Z,1.9785933999999998,1.9634747808000002,7736.662846430563,15307.710045972724,0.7343,6.1231,-123.0907,-1.0950,-1.0044,0.2345,20,0.7594
short,sweep,sl,2026-07-04T14:30:00.000Z,2026-07-04T14:35:00.000Z,2026-07-04T14:40:00.000Z,2.0013994,2.019635709,6305.977205892068,12620.77899628606,0.8809,5.0483,-120.0461,-1.0798,-1.2819,0.1361,1,0.7869
long,sweep,sl,2026-07-05T09:50:00.000Z,2026-07-05T09:55:00.000Z,2026-07-05T10:00:00.000Z,1.9295787,1.9195759544,11666.61728085974,22511.656206198873,0.4885,9.0047,-125.7029,-1.1430,-1.0161,0.4690,1,0.7107
long,sweep,be,2026-07-06T05:30:00.000Z,2026-07-06T05:35:00.000Z,2026-07-06T08:35:00.000Z,1.9745922,1.9739998223400002,10326.61541858316,20390.854257934043,0.5332,8.1563,-14.2736,-0.1313,-0.5312,2.3183,36,0.7834
long,sweep,tp,2026-07-06T13:30:00.000Z,2026-07-06T13:35:00.000Z,2026-07-06T15:25:00.000Z,1.9755925,2.055712,3948.7911723354405,7801.202224132104,1.3918,3.1205,313.2547,2.8851,-0.6034,3.5789,22,0.7141
long,sweep,sl,2026-07-08T06:20:00.000Z,2026-07-08T06:25:00.000Z,2026-07-08T06:30:00.000Z,1.9115733,1.8976265412,8350.749658342487,15963.07008187162,0.6998,6.3852,-122.8511,-1.0997,-1.3884,0.0319,1,0.7199
short,sweep,sl,2026-07-08T16:45:00.000Z,2026-07-08T16:50:00.000Z,2026-07-08T17:30:00.000Z,1.8764369,1.8833228273999998,17478.282610839648,32796.89443960786,0.3369,13.1188,-133.4729,-1.2081,-1.1965,0.7019,8,0.8198
short,sweep,be,2026-07-09T01:10:00.000Z,2026-07-09T01:15:00.000Z,2026-07-09T04:30:00.000Z,1.9064279000000002,1.90699982837,6268.4709358589425,11950.3878824606,0.9133,4.7802,-8.3653,-0.0766,-0.5497,1.9198,39,0.8500
short,sweep,sl,2026-07-09T12:25:00.000Z,2026-07-09T12:30:00.000Z,2026-07-09T12:40:00.000Z,1.9004297,1.9153964466,7577.912499537379,14401.289978122071,0.7573,5.7605,-119.1772,-1.0927,-1.8461,0.0000,2,0.7634
