side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-23T17:05:00.000Z,3.1449432,3.0908764588,1881.8499337588687,5918.311152595405,1.6897,2.3673,-104.1128,-1.0411,-1.0904,0.2645,42,0.8500
short,sweep,sl,2026-06-23T20:10:00.000Z,2026-06-23T20:15:00.000Z,2026-06-23T20:20:00.000Z,3.1230628,3.1351962768,8840.981294172421,27610.939795325747,0.3584,11.0444,-118.3162,-1.1956,-1.4238,0.0000,1,0.8500
long,sweep,be,2026-06-24T03:20:00.000Z,2026-06-24T03:25:00.000Z,2026-06-24T04:15:00.000Z,3.1769528,3.17599971416,6841.863971823148,21736.278902502672,0.4498,8.6945,-15.2154,-0.1556,-0.4165,1.7527,10,0.7164
long,sweep,sl,2026-06-24T08:00:00.000Z,2026-06-24T08:05:00.000Z,2026-06-24T09:45:00.000Z,3.1919573,3.1726879080000003,5329.582181665101,17011.798750715847,0.5739,6.8047,-109.5025,-1.1217,-1.0349,0.8758,20,0.8500
long,sweep,sl,2026-06-24T10:50:00.000Z,2026-06-24T10:55:00.000Z,2026-06-24T10:55:00.000Z,3.160948,3.1497407942,9161.352583338503,28958.559125598673,0.3246,11.5834,-114.2566,-1.2153,-1.1643,0.0000,0,0.7288
short,sweep,tp,2026-06-24T12:05:00.000Z,2026-06-24T12:10:00.000Z,2026-06-24T13:20:00.000Z,3.2030388000000003,3.1156380000000006,3136.12813803895,10045.140107910514,0.9496,4.0181,270.0821,2.8315,-0.4261,3.1247,14,0.7264
long,sweep,sl,2026-06-24T13:30:00.000Z,2026-06-24T13:35:00.000Z,2026-06-24T15:20:00.000Z,3.1479440999999997,3.087883357,1658.717813669636,5221.55095510623,1.8785,2.0886,-101.7124,-1.0370,-1.2335,0.7281,21,0.7693
long,sweep,sl,2026-06-24T15:25:00.000Z,2026-06-24T15:30:00.000Z,2026-06-24T15:30:00.000Z,3.0799237,3.062940842,6042.795907439537,18611.350329586036,0.5216,7.4445,-110.0685,-1.1339,-1.9873,0.1293,0,0.7219
short,sweep,sl,2026-06-24T22:10:00.000Z,2026-06-24T22:15:00.000Z,2026-06-24T23:20:00.000Z,3.0450862,3.067039836,4562.607601518896,13893.53344340029,0.6907,5.5574,-105.7232,-1.1016,-3.5616,0.4795,13,0.7125
short,sweep,sl,2026-06-24T23:25:00.000Z,2026-06-24T23:30:00.000Z,2026-06-24T23:45:00.000Z,3.0950712,3.1281801725999996,2950.245047375562,9131.218479074738,1.0394,3.6525,-101.3321,-1.0676,-1.3966,0.3131,3,0.7117
long,sweep,tp,2026-06-25T09:00:00.000Z,2026-06-25T09:05:00.000Z,2026-06-25T10:05:00.000Z,3.230969,3.282314000000001,5101.23445818564,16481.9303961296,0.5697,6.5928,255.3301,2.7192,-0.6502,3.4243,12,0.7869
long,sigma,tp,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-25T14:30:00.000Z,2.9938979,3.139699999999999,1936.8632770216414,5798.77089766221,1.6633,2.3195,280.0792,2.9038,-0.0180,3.2954,5,0.5939
short,sweep,be,2026-06-25T17:40:00.000Z,2026-06-25T17:45:00.000Z,2026-06-25T21:30:00.000Z,3.0570825999999998,3.0579997247799997,1477.996885209552,4518.358560628319,2.1966,1.8073,-3.1629,-0.0319,-0.1924,1.0734,45,0.8500
long,sweep,sl,2026-06-26T02:15:00.000Z,2026-06-26T02:20:00.000Z,2026-06-26T03:00:00.000Z,2.9608879999999997,2.9292489616,3225.646538404002,9550.778127801948,1.0389,3.8203,-105.8767,-1.0671,-1.0367,0.9464,8,0.7779
short,sweep,sl,2026-06-26T07:30:00.000Z,2026-06-26T07:35:00.000Z,2026-06-26T08:00:00.000Z,3.1110664000000003,3.1402077798,3480.9756472383465,10829.546375341473,0.9064,4.3318,-105.7723,-1.0775,-2.1963,0.2506,5,0.8500
long,sweep,sl,2026-06-26T20:00:00.000Z,2026-06-26T20:05:00.000Z,2026-06-26T20:35:00.000Z,3.2289684000000003,3.1936396206,2825.2332920842464,9122.589022768003,1.0644,3.6490,-103.4611,-1.0655,-1.0174,0.1464,6,0.7979
long,sweep,be,2026-06-27T09:35:00.000Z,2026-06-27T09:40:00.000Z,2026-06-27T10:30:00.000Z,3.1289384,3.12799971848,8588.087995143092,26871.598310582234,0.3575,10.7486,-18.8101,-0.1958,-0.3521,1.6146,10,0.8500
short,sweep,sl,2026-06-27T12:30:00.000Z,2026-06-27T12:35:00.000Z,2026-06-27T13:05:00.000Z,3.1410574,3.1592514912,5559.454406125968,17462.565402324577,0.5491,6.9850,-108.1342,-1.1278,-1.0404,0.2353,6,0.7105
long,sweep,sl,2026-06-28T12:50:00.000Z,2026-06-28T12:55:00.000Z,2026-06-28T13:00:00.000Z,3.2139639,3.1926419200000002,4655.313760832153,14962.010370487775,0.6336,5.9848,-105.2453,-1.1102,-2.1098,0.0018,1,0.7205
long,sweep,sl,2026-06-29T04:35:00.000Z,2026-06-29T04:40:00.000Z,2026-06-29T04:40:00.000Z,3.2359704999999996,3.2235706386,8200.121651756677,26535.351761495876,0.3533,10.6141,-112.2945,-1.1978,-1.2220,0.0000,0,0.8500
short,sweep,be,2026-06-29T12:35:00.000Z,2026-06-29T12:40:00.000Z,2026-06-29T12:55:00.000Z,3.5259419000000003,3.52699968257,2195.939451476216,7742.754921823008,1.1963,3.0971,-5.4199,-0.0585,-0.4518,1.0181,3,0.8014
short,sweep,sl,2026-06-29T15:20:00.000Z,2026-06-29T15:25:00.000Z,2026-06-29T15:25:00.000Z,3.7398777,3.8097445806,1346.9871118768492,5037.567061895634,1.8376,2.0150,-96.1248,-1.0384,-1.1222,0.0000,0,0.8500
short,sweep,sl,2026-06-29T15:45:00.000Z,2026-06-29T15:50:00.000Z,2026-06-29T15:55:00.000Z,3.9068276,4.006195498199999,933.2062521123149,3645.8759422449502,2.5127,1.4584,-94.1891,-1.0282,-1.6724,0.0288,1,0.7006
short,sweep,be,2026-06-29T17:15:00.000Z,2026-06-29T17:20:00.000Z,2026-06-29T17:25:00.000Z,4.2407274,4.250274699999999,1594.839936341825,6763.281416659033,1.3406,2.7053,-17.9317,-0.1978,-1.3065,1.1737,1,0.7222
short,sweep,be,2026-06-30T01:35:00.000Z,2026-06-30T01:40:00.000Z,2026-06-30T02:30:00.000Z,3.8728378,3.87399965134,1847.0692098845323,7153.39945525695,1.2650,2.8614,-5.0074,-0.0553,-0.7994,1.2214,10,0.8341
long,sweep,sl,2026-06-30T23:50:00.000Z,2026-06-30T23:55:00.000Z,2026-06-30T23:55:00.000Z,3.6650992000000002,3.6406094894,3865.34355435255,14166.867568782689,0.6384,5.6667,-100.3279,-1.1094,-1.1155,0.0812,0,0.7705
long,sweep,tp,2026-07-01T10:15:00.000Z,2026-07-01T10:20:00.000Z,2026-07-01T10:35:00.000Z,3.5180550999999998,3.562054,5564.261859222393,19575.37981157282,0.4569,7.8302,236.9912,2.6499,-0.2523,3.5429,3,0.7322
long,sweep,sl,2026-07-01T18:45:00.000Z,2026-07-01T18:50:00.000Z,2026-07-01T18:50:00.000Z,3.4760425,3.4580302796000004,5408.397878075834,18799.82088110142,0.4883,7.5199,-104.9372,-1.1430,-1.4753,0.1742,0,0.7311
long,sweep,tp,2026-07-01T19:55:00.000Z,2026-07-01T20:00:00.000Z,2026-07-01T21:10:00.000Z,3.4470338000000003,3.5055980000000013,4342.408920274993,14968.430321609407,0.6063,5.9874,248.3223,2.7362,-0.7193,3.2998,14,0.7015
short,sweep,tp,2026-07-02T13:40:00.000Z,2026-07-02T13:45:00.000Z,2026-07-02T14:25:00.000Z,3.5649302,3.496508,3847.4651633490244,13715.94475427087,0.6798,5.4864,257.7657,2.7646,-0.7044,3.2158,8,0.7374
long,sweep,sl,2026-07-02T21:10:00.000Z,2026-07-02T21:15:00.000Z,2026-07-02T21:20:00.000Z,3.4950482000000003,3.4680072856,3685.2161831657145,12880.008187584202,0.7439,5.1520,-104.8036,-1.0938,-1.0018,0.1135,1,0.7734
long,sweep,sl,2026-07-02T21:40:00.000Z,2026-07-02T21:45:00.000Z,2026-07-02T22:05:00.000Z,3.4350302,3.4191199562,6367.041669639708,21870.98041987082,0.4333,8.7484,-110.0496,-1.1612,-1.3457,0.9386,4,0.7295
short,sweep,be,2026-07-02T23:45:00.000Z,2026-07-02T23:50:00.000Z,2026-07-03T00:10:00.000Z,3.4599617,3.46099968851,6703.822981547981,23194.97075973582,0.4038,9.2780,-16.2365,-0.1733,-0.5037,1.7149,4,0.8500
short,sweep,be,2026-07-03T08:45:00.000Z,2026-07-03T08:50:00.000Z,2026-07-03T09:35:00.000Z,3.5029488,3.5039996846399997,3583.2437018979344,12551.919225670927,0.7449,5.0208,-8.7863,-0.0940,-0.9217,1.2626,9,0.8500
long,sweep,be,2026-07-04T01:10:00.000Z,2026-07-04T01:15:00.000Z,2026-07-04T01:25:00.000Z,3.5050512,3.50399968464,5481.867334177579,19214.225677899925,0.4862,7.6857,-13.4500,-0.1440,-0.5311,1.1119,2,0.7027
long,sweep,sl,2026-07-04T04:20:00.000Z,2026-07-04T04:25:00.000Z,2026-07-04T05:10:00.000Z,3.4990494,3.4779842916000003,4659.169590310426,16302.664559473944,0.5722,6.5211,-104.6670,-1.1220,-1.3510,0.4471,9,0.7174
long,sweep,sl,2026-07-04T05:15:00.000Z,2026-07-04T05:20:00.000Z,2026-07-04T06:20:00.000Z,3.4840449,3.4600256808,4013.6125326886895,13983.606275090111,0.6596,5.5934,-101.9973,-1.1058,-1.3944,0.2156,12,0.7123
long,sweep,be,2026-07-04T06:25:00.000Z,2026-07-04T06:30:00.000Z,2026-07-04T09:00:00.000Z,3.4590374,3.45799968878,4358.709416138591,15076.93888615555,0.6050,6.0308,-10.5539,-0.1157,-0.3841,1.2884,30,0.7517
short,sweep,sl,2026-07-04T11:45:00.000Z,2026-07-04T11:50:00.000Z,2026-07-04T12:05:00.000Z,3.4719581,3.4940198916000003,4335.745238299184,15053.525799649284,0.6052,6.0214,-101.6757,-1.1160,-1.0013,0.0932,3,0.7064
short,sweep,be,2026-07-04T15:10:00.000Z,2026-07-04T15:15:00.000Z,2026-07-04T20:35:00.000Z,3.4799557,3.48099968671,2810.6731290690263,9781.017976340594,0.9211,3.9124,-6.8467,-0.0760,-0.7189,1.2465,64,0.7316
short,sweep,be,2026-07-05T07:35:00.000Z,2026-07-05T07:40:00.000Z,2026-07-05T09:10:00.000Z,3.3180043,3.31899970129,5752.550691405134,19086.987930050207,0.4717,7.6348,-13.3609,-0.1484,-0.9582,1.0866,18,0.7454
short,sweep,tp,2026-07-05T14:00:00.000Z,2026-07-05T14:05:00.000Z,2026-07-05T19:35:00.000Z,3.2850142,3.2181880000000005,3810.633563649245,12517.985367584373,0.7181,5.0072,249.6430,2.7771,-0.6353,3.6039,66,0.8207
short,sweep,sl,2026-07-05T21:55:00.000Z,2026-07-05T22:00:00.000Z,2026-07-05T22:30:00.000Z,3.2670196,3.2935597715999996,3615.649148604961,11812.396635215719,0.7821,4.7250,-100.6849,-1.0898,-1.4081,0.1573,6,0.7174
long,sweep,tp,2026-07-06T09:05:00.000Z,2026-07-06T09:10:00.000Z,2026-07-06T10:45:00.000Z,3.2579771,3.31247,4694.159080180363,15293.462786984688,0.5975,6.1174,249.6810,2.7323,-0.7180,2.8778,19,0.8008
short,sweep,be,2026-07-06T11:35:00.000Z,2026-07-06T11:40:00.000Z,2026-07-06T12:50:00.000Z,3.3180043,3.31899970129,2630.408039071079,8727.70518439241,1.0756,3.4911,-6.1094,-0.0651,-0.4762,2.8301,14,0.7685
short,sweep,sl,2026-07-06T15:05:00.000Z,2026-07-06T15:10:00.000Z,2026-07-06T16:05:00.000Z,3.368989,3.4048151382,2695.514433436114,9081.1584755875,1.0331,3.6325,-100.2023,-1.0681,-1.2070,0.4019,11,0.7657
short,sweep,sl,2026-07-06T19:55:00.000Z,2026-07-06T20:00:00.000Z,2026-07-06T21:05:00.000Z,3.4629608000000003,3.503040597,2378.1004093273255,8235.268495964483,1.1270,3.2941,-98.6079,-1.0624,-1.5127,0.7420,13,0.8500
short,sweep,sl,2026-07-07T05:00:00.000Z,2026-07-07T05:05:00.000Z,2026-07-07T05:55:00.000Z,3.5319401,3.5882361479999996,1662.974355354127,5873.5258109468905,1.5634,2.3494,-95.9683,-1.0451,-1.0695,0.8501,10,0.7297
long,sweep,sl,2026-07-07T13:35:00.000Z,2026-07-07T13:40:00.000Z,2026-07-07T14:15:00.000Z,3.4850452,3.4560348784,3248.451898983955,11321.001697984917,0.8027,4.5284,-98.7670,-1.0869,-1.2171,0.9636,7,0.7186
long,sweep,sl,2026-07-08T08:25:00.000Z,2026-07-08T08:30:00.000Z,2026-07-08T08:40:00.000Z,3.3590074,3.332320004,3499.0666362087986,11753.390724118462,0.7647,4.7014,-98.0823,-1.0912,-1.3239,0.5837,2,0.8201
short,sweep,tp,2026-07-08T19:25:00.000Z,2026-07-08T19:30:00.000Z,2026-07-08T20:10:00.000Z,3.528941,3.490783999999999,6291.210882354009,22201.312022385242,0.4004,8.8805,231.1732,2.6003,-0.6411,2.7557,8,0.7577
short,sweep,sl,2026-07-09T05:35:00.000Z,2026-07-09T05:40:00.000Z,2026-07-09T05:50:00.000Z,3.4859539,3.5040428975999998,5353.462713966678,18661.924226256728,0.4888,7.4648,-104.3035,-1.1435,-1.4113,0.6429,2,0.7675
long,sweep,sl,2026-07-09T12:45:00.000Z,2026-07-09T12:50:00.000Z,2026-07-09T13:20:00.000Z,3.4890464,3.4670095850000004,4294.536093239061,14983.83569578581,0.6018,5.9935,-100.6314,-1.1160,-1.0976,0.1407,6,0.8151
