side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-23T15:45:00.000Z,0.0000027355204099999996,0.00000269858058288,2767782239.7502975,7571.324807272451,1.3208,3.0285,-105.2699,-1.0527,-1.2350,0.5308,26,0.8461
long,sweep,be,2026-06-24T04:25:00.000Z,2026-06-24T04:30:00.000Z,2026-06-24T07:35:00.000Z,0.00000265459614,0.0000026537997611580002,4544633269.843807,12064.165935842948,0.8202,4.8257,-8.4449,-0.0853,-0.0871,1.5434,37,0.7182
short,sweep,tp,2026-06-25T13:30:00.000Z,2026-06-25T13:35:00.000Z,2026-06-25T13:45:00.000Z,0.00000247245804,0.0000023696837999999988,2804829966.408751,6934.824401280246,1.4256,2.7739,285.4903,2.8877,-0.1743,2.9324,2,0.7290
long,sweep,sl,2026-06-25T16:35:00.000Z,2026-06-25T16:40:00.000Z,2026-06-25T16:40:00.000Z,0.00000233129918,0.00000232194860638,11754141536.81526,27402.420526381356,0.3712,10.9610,-120.8689,-1.1883,-1.5253,0.0810,0,0.7300
long,sweep,sl,2026-06-28T05:30:00.000Z,2026-06-28T05:35:00.000Z,2026-06-28T06:10:00.000Z,0.00000237491226,0.0000023609586998399997,7588419048.955351,18021.8294333816,0.5577,7.2087,-113.0942,-1.1252,-1.4732,0.2709,7,0.7455
short,sweep,tp,2026-06-28T22:05:00.000Z,2026-06-28T22:10:00.000Z,2026-06-28T22:50:00.000Z,0.0000023717882500000003,0.0000023258002000000005,6104926093.469944,14479.591975610416,0.6863,5.7918,274.9618,2.7668,-0.0683,3.4210,8,0.7062
long,sweep,sl,2026-06-29T12:00:00.000Z,2026-06-29T12:05:00.000Z,2026-06-29T13:45:00.000Z,0.0000023667097999999997,0.00000232643825908,2580716889.88213,6107.807954309557,1.6721,2.4431,-106.3726,-1.0416,-1.1020,0.5658,20,0.7323
short,sweep,tp,2026-06-29T17:30:00.000Z,2026-06-29T17:35:00.000Z,2026-06-29T23:20:00.000Z,0.00000240417853,0.000002350190199999999,5330923246.928801,12816.491215344111,0.7885,5.1266,282.6810,2.7970,-0.5497,3.2851,69,0.8086
short,sigma,sl,2026-07-01T15:10:00.000Z,2026-07-01T15:15:00.000Z,2026-07-01T15:20:00.000Z,0.00000233519923,0.00000234568409418,10621296050.516842,24802.842358768972,0.4189,9.9211,-121.2840,-1.1674,-3.1898,0.3271,1,0.5155
short,sigma,sl,2026-07-01T15:25:00.000Z,2026-07-01T15:30:00.000Z,2026-07-01T16:05:00.000Z,0.0000023554931400000003,0.0000023699397686999997,7475177143.270091,17607.728481257498,0.5831,7.0431,-115.0342,-1.1203,-1.0270,0.5455,7,0.5314
