side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,be,2026-06-23T13:10:00.000Z,2026-06-23T13:15:00.000Z,2026-06-23T15:05:00.000Z,68.95067900000001,68.92999379630001,251.2190403935073,17321.723412860756,0.5773,6.9287,-12.1252,-0.1213,-0.9815,1.7066,22,0.7140
short,sweep,sl,2026-06-23T21:15:00.000Z,2026-06-23T21:20:00.000Z,2026-06-23T22:05:00.000Z,69.039282,69.36922452599998,323.0879022834888,22305.756796538226,0.4478,8.9223,-115.5227,-1.1566,-1.4256,0.0624,9,0.7135
short,sweep,be,2026-06-23T22:15:00.000Z,2026-06-23T22:20:00.000Z,2026-06-23T23:45:00.000Z,69.609111,69.6299937333,281.6415204531747,19604.815859433806,0.5036,7.8419,-13.7234,-0.1390,-0.4590,1.0245,17,0.7293
short,sweep,sl,2026-06-24T00:15:00.000Z,2026-06-24T00:20:00.000Z,2026-06-24T00:35:00.000Z,69.869033,70.12094997599999,423.30464261003846,29575.886043573984,0.3305,11.8304,-118.4680,-1.2121,-1.0437,0.5155,3,0.7017
long,sweep,sl,2026-06-24T10:10:00.000Z,2026-06-24T10:15:00.000Z,2026-06-24T10:15:00.000Z,69.250769,68.901203436,296.1534347844017,20508.85310081117,0.4749,8.2035,-111.7286,-1.1471,-1.0057,0.0000,0,0.7313
long,sigma,tp,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-25T23:25:00.000Z,65.08952099999999,68.09514,93.67081185425009,6096.98827527426,1.5792,2.4388,279.1000,2.8987,-0.0287,3.2887,112,0.5461
short,sweep,tp,2026-06-25T23:30:00.000Z,2026-06-25T23:35:00.000Z,2026-06-26T02:10:00.000Z,68.24951899999999,66.26719999999997,143.98787488862274,9827.10320298068,1.0082,3.9308,281.4991,2.8413,-0.1024,3.2838,31,0.8500
long,sweep,sl,2026-06-26T09:50:00.000Z,2026-06-26T09:55:00.000Z,2026-06-26T10:35:00.000Z,69.230763,68.65177828600001,182.47387819837454,12632.805815242533,0.8066,5.0531,-110.7027,-1.0865,-1.0222,0.0165,8,0.7264
short,sweep,be,2026-06-27T04:25:00.000Z,2026-06-27T04:30:00.000Z,2026-06-27T06:40:00.000Z,72.27831,72.299993493,230.71511673871336,16675.698729326916,0.6044,6.6703,-11.6730,-0.1158,-0.2557,1.8275,26,0.7161
short,sigma,be,2026-06-28T08:45:00.000Z,2026-06-28T08:50:00.000Z,2026-06-28T11:20:00.000Z,71.918418,71.9399935254,260.8604115911994,18760.668120467926,0.5366,7.5043,-13.1325,-0.1305,-0.2632,2.2504,30,0.5632
short,sweep,be,2026-06-28T12:30:00.000Z,2026-06-28T12:35:00.000Z,2026-06-28T13:40:00.000Z,71.95840600000001,71.97999352180001,177.51305698736525,12773.556624997967,0.7871,5.1094,-8.9415,-0.0889,-0.1970,1.2155,13,0.7530
short,sigma,tp,2026-06-29T03:10:00.000Z,2026-06-29T03:15:00.000Z,2026-06-29T05:05:00.000Z,72.87813000000001,71.26020000000001,176.69501465450614,12877.202248343006,0.7800,5.1509,280.7293,2.7948,-0.6542,3.3566,22,0.5000
long,sweep,be,2026-06-29T12:00:00.000Z,2026-06-29T12:05:00.000Z,2026-06-29T13:40:00.000Z,72.951879,72.92999343630001,100.63469372618951,7341.489999915037,1.4064,2.9366,-5.1390,-0.0498,-0.0895,1.5089,19,0.7283
long,sweep,tp,2026-06-29T14:15:00.000Z,2026-06-29T14:20:00.000Z,2026-06-29T17:05:00.000Z,72.741816,74.50362000000003,167.4384891073513,12179.779765964953,0.8473,4.8719,290.1219,2.8112,-0.3437,3.4366,33,0.7104
long,sweep,sl,2026-06-30T04:10:00.000Z,2026-06-30T04:15:00.000Z,2026-06-30T08:35:00.000Z,74.132233,73.58041925,200.2951227728361,14848.324710159492,0.7146,5.9393,-116.4649,-1.0977,-1.4578,0.1846,52,0.7955
