side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-23T18:30:00.000Z,0.7061117699999999,0.69599593856,10093.903585051778,7127.424126650255,1.4030,2.8510,-104.9592,-1.0496,-1.0610,0.6650,59,0.8500
long,sweep,sl,2026-06-24T03:05:00.000Z,2026-06-24T03:10:00.000Z,2026-06-24T03:15:00.000Z,0.69870955,0.69569662838,35287.130870714216,24655.455331467838,0.4013,9.8622,-116.1795,-1.1741,-1.1802,0.1392,1,0.7452
long,sweep,be,2026-06-25T12:30:00.000Z,2026-06-25T12:35:00.000Z,2026-06-25T13:30:00.000Z,0.69090721,0.690699937837,13437.651602016045,9284.170377300936,1.0533,3.7137,-6.4989,-0.0665,-0.2758,1.0983,11,0.8500
long,sigma,be,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-25T15:15:00.000Z,0.6640991700000001,0.6638999402490001,8072.4830739444105,5360.929309245532,1.8229,2.1444,-3.7527,-0.0384,-0.1651,1.4952,14,0.5811
short,sweep,sl,2026-06-26T06:45:00.000Z,2026-06-26T06:50:00.000Z,2026-06-26T07:15:00.000Z,0.69159246,0.6960977667,22735.991499415806,15724.040291620066,0.6213,6.2896,-108.7222,-1.1130,-1.5844,0.0000,5,0.7249
short,sweep,sl,2026-06-27T02:15:00.000Z,2026-06-27T02:20:00.000Z,2026-06-27T02:20:00.000Z,0.7062880500000001,0.70882698432,41030.93968844548,28979.66238221977,0.3294,11.5919,-115.7667,-1.2128,-1.0798,0.0000,0,0.7168
short,sweep,sl,2026-06-27T04:25:00.000Z,2026-06-27T04:30:00.000Z,2026-06-27T05:50:00.000Z,0.70848739,0.7126357266,24256.840537766933,17185.665642248692,0.5554,6.8743,-107.4998,-1.1263,-1.8331,0.6068,16,0.7312
long,sweep,sl,2026-06-28T05:05:00.000Z,2026-06-28T05:10:00.000Z,2026-06-28T05:25:00.000Z,0.6818044799999999,0.67873571818,32936.67516847778,22456.3726861729,0.4202,8.9825,-110.0574,-1.1663,-1.0836,0.1031,3,0.7962
short,sweep,be,2026-06-29T06:20:00.000Z,2026-06-29T06:25:00.000Z,2026-06-29T07:15:00.000Z,0.6937918,0.6939999375399999,32173.877359116144,22321.972285960434,0.4178,8.9288,-15.6254,-0.1675,-0.4168,1.5840,10,0.7112
long,sweep,be,2026-06-29T12:00:00.000Z,2026-06-29T12:05:00.000Z,2026-06-30T00:30:00.000Z,0.69340796,0.693199937612,8721.242645539845,6047.379071508788,1.5397,2.4190,-4.2332,-0.0455,-0.9936,1.4043,149,0.8028
long,sweep,be,2026-06-30T13:00:00.000Z,2026-06-30T13:05:00.000Z,2026-06-30T13:35:00.000Z,0.68000394,0.679799938818,20877.630868804994,14196.871248653018,0.6555,5.6787,-9.9378,-0.1068,-0.2252,1.4797,6,0.7142
long,sweep,sl,2026-07-01T00:25:00.000Z,2026-07-01T00:30:00.000Z,2026-07-01T01:10:00.000Z,0.69030703,0.68631824274,24576.222597992208,16965.139230238885,0.5480,6.7861,-104.8154,-1.1274,-3.4120,0.6062,8,0.7201
short,sweep,sl,2026-07-02T09:40:00.000Z,2026-07-02T09:45:00.000Z,2026-07-02T10:50:00.000Z,0.73657896,0.74150198388,19554.681561971644,14403.567008048249,0.6382,5.7614,-102.0296,-1.1100,-1.6638,0.4848,13,0.7676
short,sweep,sl,2026-07-02T13:35:00.000Z,2026-07-02T13:40:00.000Z,2026-07-02T13:50:00.000Z,0.74967503,0.75282798066,31053.619170216178,23280.12288304039,0.3905,9.3120,-107.2226,-1.1796,-1.2042,0.3331,2,0.7288
short,sweep,sl,2026-07-03T10:55:00.000Z,2026-07-03T11:00:00.000Z,2026-07-03T11:20:00.000Z,0.74697584,0.7516252199400001,20304.658415619786,15167.089275920658,0.5922,6.0668,-100.4709,-1.1185,-1.0905,0.4014,4,0.7312
short,sweep,be,2026-07-03T13:00:00.000Z,2026-07-03T13:05:00.000Z,2026-07-03T13:40:00.000Z,0.75647299,0.756699931897,21958.484051214273,16611.000086089374,0.5347,6.6444,-11.6277,-0.1309,-0.4269,1.1552,7,0.7097
short,sweep,sl,2026-07-04T11:35:00.000Z,2026-07-04T11:40:00.000Z,2026-07-04T12:15:00.000Z,0.75647299,0.76004454498,26530.01114705409,20069.236857145337,0.4420,8.0277,-102.7811,-1.1587,-1.0549,0.0517,7,0.8500
short,sweep,sl,2026-07-04T13:20:00.000Z,2026-07-04T13:25:00.000Z,2026-07-04T15:05:00.000Z,0.76057176,0.76706064918,14008.698047825861,10654.62012954348,0.8229,4.2618,-95.1627,-1.0854,-1.7141,0.5547,20,0.8074
long,sweep,sl,2026-07-05T00:10:00.000Z,2026-07-05T00:15:00.000Z,2026-07-05T00:20:00.000Z,0.7592277,0.7562570548,31609.34953429851,23998.69374542153,0.3614,9.5995,-103.4996,-1.1934,-1.6867,0.0000,1,0.7089
short,sweep,sl,2026-07-05T14:00:00.000Z,2026-07-05T14:05:00.000Z,2026-07-05T14:55:00.000Z,0.7507747,0.75493281192,21795.044361873664,16363.167892272393,0.5237,6.5453,-97.1715,-1.1340,-1.2781,0.1716,10,0.7079
