side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-23T13:55:00.000Z,2026-06-23T14:00:00.000Z,2026-06-23T14:05:00.000Z,217.295169,215.972248882,79.48436900141463,17271.569395020753,0.5790,6.9086,-112.0601,-1.1206,-1.7289,0.2343,1,0.7081
short,sweep,sl,2026-06-23T19:55:00.000Z,2026-06-23T20:00:00.000Z,2026-06-23T21:15:00.000Z,217.984585,219.98493568799998,51.11697525776307,11142.712638018753,0.8874,4.4571,-106.7090,-1.0792,-1.3107,0.2092,15,0.7489
short,sweep,sl,2026-06-23T21:15:00.000Z,2026-06-23T21:20:00.000Z,2026-06-23T23:45:00.000Z,219.444147,221.02732831199998,64.48200986979879,14150.199652723575,0.6912,5.6601,-107.7468,-1.1016,-1.1707,0.4049,29,0.7315
short,sweep,tp,2026-06-24T01:35:00.000Z,2026-06-24T01:40:00.000Z,2026-06-24T02:35:00.000Z,222.24330700000002,219.41301999999996,93.70325990136878,20824.922357160693,0.4645,8.3300,256.8771,2.6555,-0.0743,3.0545,11,0.7260
short,sweep,sl,2026-06-24T23:35:00.000Z,2026-06-24T23:40:00.000Z,2026-06-25T00:05:00.000Z,219.344177,220.736661138,74.87362272086322,16423.093154716244,0.6047,6.5692,-110.8296,-1.1161,-1.3842,0.3198,5,0.7011
long,sweep,tp,2026-06-25T04:35:00.000Z,2026-06-25T04:40:00.000Z,2026-06-25T07:30:00.000Z,218.115415,221.9032000000001,72.74724111862623,15867.294686694226,0.6189,6.3469,269.2040,2.7415,-0.1596,2.8556,34,0.7162
long,sweep,sl,2026-06-25T09:20:00.000Z,2026-06-25T09:25:00.000Z,2026-06-25T10:30:00.000Z,220.156027,219.09505176,101.37120192559031,22317.481068152712,0.4521,8.9270,-116.4793,-1.1545,-1.0812,0.8380,13,0.7438
short,sweep,tp,2026-06-25T23:35:00.000Z,2026-06-25T23:40:00.000Z,2026-06-26T02:10:00.000Z,212.746157,208.10630000000006,61.11413617316432,13001.797609215397,0.7670,5.2007,278.3601,2.7913,-0.3455,4.1221,30,0.7005
long,sweep,sl,2026-06-26T09:50:00.000Z,2026-06-26T09:55:00.000Z,2026-06-26T10:00:00.000Z,210.893249,209.57698803600002,81.78450658695866,17247.80031198561,0.5943,6.8991,-114.5489,-1.1175,-1.0956,0.0213,1,0.7006
short,sweep,be,2026-06-27T06:45:00.000Z,2026-06-27T06:50:00.000Z,2026-06-27T07:20:00.000Z,214.41565599999998,214.47998069679997,115.96482237036794,24864.673461465914,0.4076,9.9459,-17.4053,-0.1717,-0.1308,1.3565,6,0.7258
short,sweep,sl,2026-06-27T15:00:00.000Z,2026-06-27T15:05:00.000Z,2026-06-27T15:10:00.000Z,213.725863,214.652696496,117.3236738598053,25075.103446017427,0.4035,10.0300,-118.7696,-1.1738,-1.9063,0.0000,1,0.7143
long,sweep,sl,2026-06-27T16:45:00.000Z,2026-06-27T16:50:00.000Z,2026-06-27T17:00:00.000Z,214.01418499999997,212.739698938,82.5997119421917,17677.510032542923,0.5657,7.0710,-112.3432,-1.1234,-2.2006,0.1370,2,0.7944
long,sweep,be,2026-06-28T13:05:00.000Z,2026-06-28T13:10:00.000Z,2026-06-28T14:00:00.000Z,207.332181,207.2699813457,127.39701207436488,26413.500366261404,0.3743,10.5654,-18.4895,-0.1870,-0.2992,1.2212,10,0.7199
long,sweep,sl,2026-06-29T08:25:00.000Z,2026-06-29T08:30:00.000Z,2026-06-29T09:50:00.000Z,205.551647,204.64834707200004,117.22547314022502,24095.889074327515,0.4096,9.6384,-115.5281,-1.1706,-1.0353,0.9958,16,0.7415
long,sweep,sl,2026-06-29T12:00:00.000Z,2026-06-29T12:05:00.000Z,2026-06-29T13:40:00.000Z,206.471923,203.76039353800002,36.80046270098781,7598.2623011627265,1.2837,3.0393,-102.8248,-1.0542,-1.0157,0.8558,19,0.7304
long,sweep,be,2026-06-30T13:00:00.000Z,2026-06-30T13:05:00.000Z,2026-06-30T13:35:00.000Z,201.620468,201.5599818596,66.48287436920887,13404.308244305097,0.7200,5.3617,-9.3830,-0.0972,-0.3930,1.1639,6,0.7207
long,sweep,sl,2026-06-30T20:30:00.000Z,2026-06-30T20:35:00.000Z,2026-06-30T21:05:00.000Z,201.51043499999997,200.43805054,95.2478842755193,19193.44259318955,0.5023,7.6774,-109.8197,-1.1391,-1.3144,0.4244,6,0.7146
long,sweep,sl,2026-07-01T06:10:00.000Z,2026-07-01T06:15:00.000Z,2026-07-01T06:20:00.000Z,200.96027,199.859384192,91.56895875705246,18401.722675436125,0.5180,7.3607,-108.1677,-1.1348,-1.4701,0.0000,1,0.7270
