side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-24T10:20:00.000Z,2026-06-24T10:25:00.000Z,2026-06-24T11:10:00.000Z,0.3711113,0.36924899205999995,57093.919497572955,21188.198686839645,0.4720,8.4753,-114.8017,-1.1480,-1.2054,0.4503,9,0.8500
short,sweep,be,2026-06-24T20:50:00.000Z,2026-06-24T20:55:00.000Z,2026-06-24T21:10:00.000Z,0.36209134000000004,0.362199967402,28750.58390266965,10410.337451100084,0.9496,4.1641,-7.2872,-0.0737,-1.1368,1.1027,3,0.7850
long,sweep,be,2026-06-25T02:05:00.000Z,2026-06-25T02:10:00.000Z,2026-06-25T03:15:00.000Z,0.36901067,0.368899966799,27115.73848285387,10005.99682510269,0.9872,4.0024,-7.0042,-0.0709,-0.3323,1.2324,13,0.8059
long,sweep,tp,2026-06-25T04:35:00.000Z,2026-06-25T04:40:00.000Z,2026-06-25T05:00:00.000Z,0.3651095,0.3692858,64175.97572931511,23431.258410542374,0.4213,9.3725,258.6456,2.6203,-0.2662,3.8947,4,0.8500
long,sweep,sl,2026-06-25T07:05:00.000Z,2026-06-25T07:10:00.000Z,2026-06-25T07:10:00.000Z,0.37661295,0.37483611542,60861.912764741624,22921.384508971998,0.4419,9.1686,-117.3101,-1.1581,-1.4498,1.7947,0,0.8500
long,sweep,sl,2026-06-25T11:25:00.000Z,2026-06-25T11:30:00.000Z,2026-06-25T11:35:00.000Z,0.37171148,0.36994738248000003,60567.19787300814,22513.522760828706,0.4447,9.0054,-115.8519,-1.1571,-1.5798,0.5375,1,0.7287
long,sweep,sl,2026-06-25T12:10:00.000Z,2026-06-25T12:15:00.000Z,2026-06-25T12:15:00.000Z,0.36831046,0.36705405074,80609.09125409268,29689.171479976852,0.3112,11.8757,-113.1537,-1.2246,-1.4922,0.1654,0,0.7398
short,sweep,sl,2026-06-26T06:30:00.000Z,2026-06-26T06:35:00.000Z,2026-06-26T06:35:00.000Z,0.34999497,0.35230866089999996,44307.53574925126,15507.414645333123,0.6309,6.2030,-108.7169,-1.1113,-1.3157,0.0000,0,0.8007
short,sweep,sl,2026-06-26T14:00:00.000Z,2026-06-26T14:05:00.000Z,2026-06-26T15:25:00.000Z,0.36179143,0.36754363002,17147.414658211957,6203.787669997466,1.5595,2.4815,-101.1169,-1.0452,-1.2422,0.6011,16,0.8137
long,sweep,sl,2026-06-27T11:10:00.000Z,2026-06-27T11:15:00.000Z,2026-06-27T11:15:00.000Z,0.37381211,0.37234186392,70469.87533335372,26342.492789797903,0.3634,10.5370,-114.1451,-1.1923,-1.1131,0.0000,0,0.7598
long,sweep,be,2026-06-28T02:25:00.000Z,2026-06-28T02:30:00.000Z,2026-06-28T03:20:00.000Z,0.37131136,0.371199966592,48470.239084774905,17997.550394092923,0.5256,7.1990,-12.5983,-0.1332,-0.4157,1.2752,10,0.8500
short,sweep,sl,2026-06-28T07:15:00.000Z,2026-06-28T07:20:00.000Z,2026-06-28T10:35:00.000Z,0.37328798,0.37776709614000004,21637.767231705642,8077.118421633591,1.1696,3.2308,-100.1489,-1.0602,-1.5374,0.5470,39,0.7046
