side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-06-23T11:30:00.000Z,2026-06-23T11:35:00.000Z,2026-06-23T11:45:00.000Z,0.15625311,0.15706050402,131528.7587631041,20551.77761117477,0.4866,8.2207,-114.4162,-1.1442,-1.1139,0.0699,2,0.7904
long,sweep,sl,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-23T15:45:00.000Z,0.15754725,0.15484313312000003,37196.71046101721,5860.239442179493,1.6869,2.3441,-102.9283,-1.0412,-1.1842,0.5466,26,0.8500
short,sweep,be,2026-06-23T17:35:00.000Z,2026-06-23T17:40:00.000Z,2026-06-23T19:00:00.000Z,0.15585323,0.155899985969,101927.080521971,15885.664723819267,0.6158,6.3543,-11.1200,-0.1137,-0.1529,1.5141,16,0.8119
short,sweep,sl,2026-06-23T19:30:00.000Z,2026-06-23T19:35:00.000Z,2026-06-23T20:15:00.000Z,0.15605317,0.15675981384,148136.61358564947,23117.188143105664,0.4227,9.2469,-113.9267,-1.1659,-1.4354,0.8386,8,0.7898
long,sweep,sl,2026-06-24T03:25:00.000Z,2026-06-24T03:30:00.000Z,2026-06-24T04:10:00.000Z,0.15524656,0.15444405288000002,127719.11686976893,19827.953540269595,0.4871,7.9312,-110.4267,-1.1434,-1.2518,0.7319,8,0.8500
long,sweep,tp,2026-06-24T11:20:00.000Z,2026-06-24T11:25:00.000Z,2026-06-24T11:45:00.000Z,0.15304589999999998,0.15571439999999995,100422.65761187128,15369.27601460069,0.6212,6.1477,261.8302,2.7425,-0.2587,3.2125,4,0.8500
long,sweep,sl,2026-06-25T10:45:00.000Z,2026-06-25T10:50:00.000Z,2026-06-25T11:05:00.000Z,0.14984493999999998,0.14905646964000002,131887.65174109512,19762.697261885292,0.4963,7.9051,-111.8946,-1.1407,-1.0016,0.3429,3,0.7189
long,sigma,be,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-25T15:15:00.000Z,0.14044212,0.140399987364,33235.257760988694,4667.630058699706,2.0775,1.8671,-3.2673,-0.0337,-0.2886,1.9734,14,0.5506
long,sweep,sl,2026-06-26T10:00:00.000Z,2026-06-26T10:05:00.000Z,2026-06-26T10:50:00.000Z,0.14404319999999998,0.14326980616,132719.74652790968,19117.376993068996,0.5071,7.6470,-110.2916,-1.1377,-1.0175,0.8992,9,0.7131
short,sweep,sl,2026-06-26T15:25:00.000Z,2026-06-26T15:30:00.000Z,2026-06-26T15:35:00.000Z,0.14685593,0.14783933849999997,102053.72018262667,14987.193987379409,0.6394,5.9949,-106.3554,-1.1098,-1.4313,0.0596,1,0.8500
