side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-06-23T13:30:00.000Z,2026-06-23T13:35:00.000Z,2026-06-23T15:20:00.000Z,1.10263069,1.0931805474199998,10962.400064020183,12087.478746646619,0.8273,4.8350,-108.4312,-1.0843,-1.0777,0.5557,21,0.8500
short,sweep,tp,2026-06-23T22:15:00.000Z,2026-06-23T22:20:00.000Z,2026-06-24T10:15:00.000Z,1.10806748,1.0900262000000003,15318.85541058172,16974.325511287654,0.5827,6.7897,269.5820,2.7254,-0.8103,3.7892,143,0.7911
short,sweep,be,2026-06-25T00:05:00.000Z,2026-06-25T00:10:00.000Z,2026-06-25T04:45:00.000Z,1.0736778,1.07399990334,20423.602658012762,21928.368769929293,0.4634,8.7713,-15.3499,-0.1511,-0.7482,1.0809,55,0.7362
long,sweep,sl,2026-06-25T10:10:00.000Z,2026-06-25T10:15:00.000Z,2026-06-25T10:35:00.000Z,1.0805240600000001,1.07592032704,23700.380148557317,25608.83098166256,0.3962,10.2435,-119.3538,-1.1764,-1.1970,0.0645,4,0.7318
long,sigma,be,2026-06-25T14:00:00.000Z,2026-06-25T14:05:00.000Z,2026-06-25T15:15:00.000Z,1.02420717,1.0238999078489999,8543.202069012757,8750.008813841701,1.1459,3.5000,-6.1250,-0.0611,-0.1284,2.0784,14,0.6076
long,sweep,tp,2026-06-26T03:00:00.000Z,2026-06-26T03:05:00.000Z,2026-06-26T06:35:00.000Z,1.01480435,1.0394492,11623.492360245857,11795.57060936926,0.8495,4.7182,281.7410,2.8117,-0.2557,3.2939,42,0.7111
short,sweep,sl,2026-06-26T07:05:00.000Z,2026-06-26T07:10:00.000Z,2026-06-26T07:30:00.000Z,1.04578617,1.05071171898,22345.124367812616,23368.222030788427,0.4409,9.3473,-119.4093,-1.1591,-2.1069,0.0000,4,0.7405
long,sweep,sl,2026-06-27T05:05:00.000Z,2026-06-27T05:10:00.000Z,2026-06-27T05:25:00.000Z,1.05791728,1.0535718336000002,25271.64625084284,26735.31126281386,0.3809,10.6941,-120.5107,-1.1835,-1.3445,0.2191,3,0.7583
short,sweep,sl,2026-06-27T13:10:00.000Z,2026-06-27T13:15:00.000Z,2026-06-27T14:05:00.000Z,1.06098161,1.0649443875,27617.52975067644,29301.69117909559,0.3434,11.7207,-121.1628,-1.2041,-1.7342,0.3243,10,0.7007
long,sweep,sl,2026-06-27T18:05:00.000Z,2026-06-27T18:10:00.000Z,2026-06-27T19:25:00.000Z,1.05991788,1.0540706839,17973.59619058493,19050.535970300854,0.5218,7.6202,-112.7154,-1.1338,-1.2869,0.0000,15,0.7066
long,sweep,tp,2026-06-28T06:15:00.000Z,2026-06-28T06:20:00.000Z,2026-06-28T08:35:00.000Z,1.04371302,1.0559478000000009,21861.86780448807,22817.51606906301,0.4307,9.1270,258.3481,2.6286,-0.2921,3.1112,27,0.7219
short,sweep,be,2026-06-28T12:30:00.000Z,2026-06-28T12:35:00.000Z,2026-06-28T14:10:00.000Z,1.05258413,1.052899905239,20473.490512803073,21550.071199482078,0.4681,8.6200,-15.0850,-0.1496,-0.0641,1.4379,19,0.7442
short,sweep,sl,2026-06-29T17:30:00.000Z,2026-06-29T17:35:00.000Z,2026-06-29T19:25:00.000Z,1.06408068,1.0709581911000001,15361.556636392432,16345.93563151097,0.6161,6.5384,-112.1877,-1.1139,-1.1316,0.2868,22,0.7116
short,sweep,be,2026-06-30T03:20:00.000Z,2026-06-30T03:25:00.000Z,2026-06-30T05:55:00.000Z,1.04828542,1.048599905626,16275.6128273701,17061.487628497052,0.5837,6.8246,-11.9430,-0.1199,-0.3619,1.0272,30,0.7337
long,sweep,be,2026-07-01T12:05:00.000Z,2026-07-01T12:10:00.000Z,2026-07-01T13:30:00.000Z,1.03771122,1.037399906634,23783.831869488633,24680.74918556193,0.4030,9.8723,-17.2765,-0.1737,-0.9112,1.3363,16,0.8002
