side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,be,2026-04-25T05:05:00.000Z,2026-04-25T05:10:00.000Z,2026-04-25T06:55:00.000Z,0.9822945999999999,0.9819999116199999,16258.047733628408,15970.192495285422,0.6262,6.3881,-11.1791,-0.1118,-0.3893,1.2202,21,0.7255
long,sweep,sl,2026-04-25T07:00:00.000Z,2026-04-25T07:05:00.000Z,2026-04-25T07:40:00.000Z,0.98399511,0.977746588,16773.528726175362,16505.070244001083,0.6052,6.6020,-111.4118,-1.1154,-1.2922,0.8404,7,0.8500
long,sweep,sl,2026-04-25T12:30:00.000Z,2026-04-25T12:35:00.000Z,2026-04-25T14:10:00.000Z,0.96759019,0.96168360834,17581.749120045486,17011.927971597146,0.5806,6.8048,-110.6528,-1.1203,-1.1375,0.3043,19,0.8500
short,sweep,sl,2026-04-25T18:20:00.000Z,2026-04-25T18:25:00.000Z,2026-04-25T22:25:00.000Z,0.96161143,0.9668191587599999,19860.132266862573,19097.73018912686,0.5114,7.6391,-111.0653,-1.1372,-1.0551,0.7344,48,0.8500
short,sweep,sl,2026-04-26T07:55:00.000Z,2026-04-26T08:00:00.000Z,2026-04-26T09:45:00.000Z,0.9792061500000001,0.98335711866,25040.367712404735,24519.68206224815,0.3938,9.8079,-113.7497,-1.1781,-1.4247,0.6759,21,0.8500
long,sweep,sl,2026-04-26T21:35:00.000Z,2026-04-26T21:40:00.000Z,2026-04-26T21:50:00.000Z,0.9822945999999999,0.97804589818,24125.05394748113,23697.910217319397,0.4026,9.4792,-111.9793,-1.1735,-1.1111,0.1783,2,0.8178
long,sweep,be,2026-04-26T21:50:00.000Z,2026-04-26T21:55:00.000Z,2026-04-26T22:30:00.000Z,0.9815943899999999,0.981299911683,16689.637007970676,16382.4540581604,0.5756,6.5530,-11.4677,-0.1216,-0.2468,1.3461,7,0.8500
long,sweep,sl,2026-04-27T19:05:00.000Z,2026-04-27T19:10:00.000Z,2026-04-27T19:25:00.000Z,0.95078515,0.9470174095200001,27037.057871326608,25706.43312374795,0.3664,10.2826,-112.1512,-1.1908,-1.5172,0.2052,3,0.8500
long,sweep,tp,2026-04-27T19:30:00.000Z,2026-04-27T19:35:00.000Z,2026-04-27T23:35:00.000Z,0.94808434,0.9666603999999998,14162.448378994215,13427.1955241828,0.6931,5.3709,257.7116,2.7692,-0.1802,2.8786,48,0.7798
short,sweep,sl,2026-04-28T04:15:00.000Z,2026-04-28T04:20:00.000Z,2026-04-28T04:45:00.000Z,0.9762070500000001,0.9842591891999999,12329.658843669056,12036.299887284582,0.7946,4.8145,-104.0946,-1.0884,-1.2238,0.0138,5,0.7043
short,sweep,sl,2026-04-28T04:55:00.000Z,2026-04-28T05:00:00.000Z,2026-04-28T05:00:00.000Z,0.98400471,0.99007253268,16392.54961970703,16130.346034700427,0.5865,6.4521,-105.9192,-1.1197,-1.2988,0.0000,0,0.8500
short,sweep,sl,2026-04-28T05:05:00.000Z,2026-04-28T05:10:00.000Z,2026-04-29T04:30:00.000Z,0.97480747,0.99658748658,4354.538539037621,4244.83669625676,2.2036,1.6979,-96.5399,-1.0321,-1.0657,0.9593,280,0.8500
short,sweep,tp,2026-04-29T18:00:00.000Z,2026-04-29T18:05:00.000Z,2026-04-29T18:05:00.000Z,0.97900621,0.9610995999999995,14554.468985503785,14248.915520060606,0.6497,5.6996,254.9216,2.7537,-0.1562,3.2711,0,0.7824
short,sweep,sl,2026-04-30T01:05:00.000Z,2026-04-30T01:10:00.000Z,2026-04-30T01:20:00.000Z,0.99780057,1.0045056613199999,14854.270994269638,14821.600065016712,0.6418,5.9286,-105.5279,-1.1094,-1.0149,0.1719,2,0.8500
short,sweep,sl,2026-04-30T07:40:00.000Z,2026-04-30T07:45:00.000Z,2026-04-30T11:15:00.000Z,1.0050983800000002,1.0133259065999998,11871.966018800713,11932.493812911649,0.7883,4.7730,-102.4499,-1.0891,-1.0477,0.6182,42,0.7321
short,sweep,be,2026-04-30T16:10:00.000Z,2026-04-30T16:15:00.000Z,2026-05-01T00:15:00.000Z,0.9994000900000001,0.9996999100270001,14297.571380485144,14288.994124438279,0.6512,5.7156,-10.0023,-0.1075,-0.3995,2.1359,96,0.7050
short,sweep,sl,2026-05-01T00:30:00.000Z,2026-05-01T00:35:00.000Z,2026-05-01T01:05:00.000Z,1.00009988,1.00691118276,14278.668937711547,14280.095091165047,0.6509,5.7120,-102.9684,-1.1078,-1.8743,0.1229,6,0.7157
short,sigma,sl,2026-05-01T01:30:00.000Z,2026-05-01T01:35:00.000Z,2026-05-01T01:35:00.000Z,1.01649496,1.02054247092,24566.675274176163,24971.901600156685,0.3681,9.9888,-109.4226,-1.1905,-1.0170,0.0000,0,0.5001
short,sweep,sl,2026-05-01T04:10:00.000Z,2026-05-01T04:15:00.000Z,2026-05-01T04:50:00.000Z,1.03858833,1.04630159634,12273.921654795531,12747.551794004929,0.7125,5.0990,-99.7710,-1.0986,-1.1638,0.7147,7,0.8500
