side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-04-24T10:25:00.000Z,2026-04-24T10:30:00.000Z,2026-04-24T11:00:00.000Z,9.3721875,9.4176164376,2347.169899893232,21998.1163961556,0.4546,8.7992,-115.4287,-1.1543,-1.5682,0.2626,6,0.8500
short,sweep,be,2026-04-24T21:10:00.000Z,2026-04-24T21:15:00.000Z,2026-04-25T01:15:00.000Z,9.4311698,9.433999150939998,1653.651796012786,15595.870878271546,0.6338,6.2383,-10.9171,-0.1104,-0.3318,1.0568,48,0.8500
short,sweep,be,2026-04-25T01:50:00.000Z,2026-04-25T01:55:00.000Z,2026-04-25T03:00:00.000Z,9.4351686,9.43799915058,3139.420595698068,29620.96262672371,0.3150,11.8484,-20.7347,-0.2222,-0.1289,1.1159,13,0.7339
long,sweep,sl,2026-04-26T00:30:00.000Z,2026-04-26T00:35:00.000Z,2026-04-26T03:35:00.000Z,9.3448026,9.308546598,2944.457255284765,27515.371814773935,0.3581,11.0061,-117.7604,-1.1952,-1.0699,0.5139,36,0.8500
short,sigma,sl,2026-04-26T05:20:00.000Z,2026-04-26T05:25:00.000Z,2026-04-26T09:30:00.000Z,9.409176400000002,9.4496900568,2583.668387723617,24310.19161919511,0.4005,9.7241,-114.3979,-1.1751,-1.2692,0.4293,49,0.5331
short,sweep,be,2026-04-26T18:35:00.000Z,2026-04-26T18:40:00.000Z,2026-04-26T22:15:00.000Z,9.486153300000002,9.488999145990002,1267.011604646507,12019.066314555761,0.8005,4.8076,-8.4133,-0.0874,-0.4984,1.7009,43,0.8500
long,sweep,be,2026-04-27T08:30:00.000Z,2026-04-27T08:35:00.000Z,2026-04-27T13:30:00.000Z,9.221765699999999,9.21899917029,3127.063137418575,28837.043582380997,0.3165,11.5348,-20.1859,-0.2212,-0.1975,1.6868,59,0.7518
long,sweep,be,2026-04-27T19:30:00.000Z,2026-04-27T19:35:00.000Z,2026-04-28T06:40:00.000Z,9.157746499999998,9.154999176049998,2084.9579799129665,19093.516643195035,0.5024,7.6374,-13.3655,-0.1393,-0.1684,2.5921,133,0.7157
long,sweep,be,2026-04-28T09:50:00.000Z,2026-04-28T09:55:00.000Z,2026-04-28T11:05:00.000Z,9.154745599999998,9.151999176319999,2280.2532086184906,20875.138028486006,0.4589,8.3501,-14.6126,-0.1526,-0.1844,1.5296,14,0.7318
long,sweep,be,2026-04-28T18:45:00.000Z,2026-04-28T18:50:00.000Z,2026-04-29T01:30:00.000Z,9.1397411,9.13699917767,2813.8973588638655,25718.29334198952,0.3719,10.2873,-18.0028,-0.1882,-0.1101,1.6846,80,0.7289
short,sweep,sl,2026-04-29T01:50:00.000Z,2026-04-29T01:55:00.000Z,2026-04-29T03:15:00.000Z,9.172247500000001,9.203124109200001,3122.3037974094455,28638.543200029297,0.3065,11.4554,-107.8616,-1.2287,-2.6231,0.6134,16,0.8500
short,sweep,be,2026-04-29T05:00:00.000Z,2026-04-29T05:05:00.000Z,2026-04-29T09:30:00.000Z,9.3202031,9.32299916093,1868.94084961659,17418.90830031318,0.5418,6.9676,-12.1932,-0.1292,-0.5702,1.4099,53,0.7839
short,sweep,tp,2026-04-29T18:00:00.000Z,2026-04-29T18:05:00.000Z,2026-04-29T18:05:00.000Z,9.1482547,8.97886,1567.747064784713,14342.149453827957,0.6572,5.7369,259.8312,2.7565,-0.0789,3.3306,0,0.8500
long,sweep,tp,2026-04-29T18:10:00.000Z,2026-04-29T18:15:00.000Z,2026-04-30T00:55:00.000Z,8.975691900000001,9.206478,1202.9570373002084,10797.37173574348,0.8971,4.3189,273.3068,2.8217,-0.7289,3.0963,80,0.8500
short,sweep,sl,2026-04-30T06:35:00.000Z,2026-04-30T06:40:00.000Z,2026-04-30T07:35:00.000Z,9.1032682,9.140981472,2847.798585653432,25924.274304783863,0.3842,10.3697,-117.7695,-1.1825,-1.0503,0.4652,11,0.8500
long,sweep,sl,2026-04-30T11:45:00.000Z,2026-04-30T11:50:00.000Z,2026-04-30T13:25:00.000Z,9.141741699999999,9.090050166600001,2009.9573245877586,18374.510689404346,0.5356,7.3498,-111.2476,-1.1304,-1.0567,0.6180,19,0.7426
short,sweep,sl,2026-04-30T14:30:00.000Z,2026-04-30T14:35:00.000Z,2026-05-01T03:20:00.000Z,9.115264600000001,9.1790688948,1593.7795308443972,14527.722137710543,0.6698,5.8111,-107.5011,-1.1048,-1.4043,0.9380,153,0.7444
long,sweep,sl,2026-05-03T09:15:00.000Z,2026-05-03T09:20:00.000Z,2026-05-03T09:30:00.000Z,9.0087018,8.964339891,2309.1745729849713,20802.665132163944,0.4626,8.3211,-110.7605,-1.1510,-1.0967,0.2231,2,0.7450
long,sweep,be,2026-05-03T09:30:00.000Z,2026-05-03T09:35:00.000Z,2026-05-04T00:15:00.000Z,9.0207054,9.017999188380001,1257.6767901595106,11345.131812446565,0.8384,4.5381,-7.9416,-0.0835,-0.1680,2.2913,176,0.7440
