side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,tp,2026-04-24T09:55:00.000Z,2026-04-24T10:00:00.000Z,2026-04-24T21:10:00.000Z,0.097169142,0.09945936000000001,124647.55902685189,12111.896363033553,0.8256,4.8448,280.6253,2.8063,-0.1984,2.9178,134,0.8500
short,sweep,be,2026-04-24T21:10:00.000Z,2026-04-24T21:15:00.000Z,2026-04-25T01:30:00.000Z,0.09887033,0.09889999109900001,122579.56246997435,12119.48179266198,0.8483,4.8478,-8.4836,-0.0825,-0.2023,1.2643,51,0.7894
short,sweep,be,2026-04-25T01:35:00.000Z,2026-04-25T01:40:00.000Z,2026-04-25T15:20:00.000Z,0.09855042600000001,0.09857999112780001,147234.11919520222,14509.985168421957,0.7079,5.8040,-10.1570,-0.0989,-0.7161,1.2619,164,0.8500
short,sweep,tp,2026-04-25T15:30:00.000Z,2026-04-25T15:35:00.000Z,2026-04-25T18:20:00.000Z,0.098520435,0.09738756000000001,246064.20645066147,24242.352657448973,0.4233,9.6969,269.0630,2.6219,-0.2387,2.9024,33,0.7374
long,sweep,tp,2026-04-26T02:55:00.000Z,2026-04-26T03:00:00.000Z,2026-04-26T18:15:00.000Z,0.09790936399999998,0.09957505999999999,177175.8281639712,17347.172651707704,0.6071,6.9389,288.1822,2.7365,-0.8233,2.9453,183,0.7003
long,sweep,be,2026-04-26T21:15:00.000Z,2026-04-26T21:20:00.000Z,2026-04-27T05:10:00.000Z,0.09923976300000001,0.09920999107110001,152981.87338293335,15181.884857818315,0.7126,6.0728,-10.6273,-0.0982,-0.8763,2.2061,94,0.8500
long,sweep,sl,2026-04-27T05:20:00.000Z,2026-04-27T05:25:00.000Z,2026-04-27T06:30:00.000Z,0.098669592,0.09794426790199999,155311.18880220052,15324.491632148094,0.7053,6.1298,-118.7807,-1.0989,-1.6375,0.0000,13,0.8500
long,sweep,be,2026-04-27T11:05:00.000Z,2026-04-27T11:10:00.000Z,2026-04-27T13:50:00.000Z,0.097939373,0.0979099911881,257702.19062491617,25239.190970530766,0.4235,10.0957,-17.6674,-0.1653,-0.2155,1.3033,32,0.7715
long,sweep,be,2026-04-27T13:50:00.000Z,2026-04-27T13:55:00.000Z,2026-04-27T15:00:00.000Z,0.098209454,0.09817999116380001,192237.72946407524,18879.56244886654,0.5653,7.5518,-13.2157,-0.1238,-0.2692,1.8023,13,0.7564
long,sweep,tp,2026-04-27T19:30:00.000Z,2026-04-27T19:35:00.000Z,2026-04-28T01:10:00.000Z,0.09771930699999999,0.0992941,188985.93018483676,18467.574130412628,0.5772,7.3870,290.2267,2.7228,-0.1052,3.0331,67,0.7303
long,sweep,sl,2026-04-28T06:45:00.000Z,2026-04-28T06:50:00.000Z,2026-04-28T07:15:00.000Z,0.09941981700000001,0.098832221436,196243.7594724315,19510.518654141157,0.5612,7.8042,-123.1162,-1.1244,-1.2184,0.3229,5,0.7883
long,sweep,be,2026-04-28T21:35:00.000Z,2026-04-28T21:40:00.000Z,2026-04-28T22:35:00.000Z,0.099389808,0.0993599910576,213124.63133281772,21182.41618823954,0.5111,8.4730,-14.8277,-0.1370,-0.0981,1.4572,11,0.8500
long,sweep,sl,2026-04-29T12:15:00.000Z,2026-04-29T12:20:00.000Z,2026-04-29T12:20:00.000Z,0.10774231299999999,0.106694102164,106389.45142856792,11462.645575715062,0.9432,4.5851,-116.1036,-1.0739,-1.1438,0.0000,0,0.8500
long,sweep,sl,2026-04-29T13:35:00.000Z,2026-04-29T13:40:00.000Z,2026-04-29T13:45:00.000Z,0.105951776,0.105177597252,144019.49254394235,15259.12101364945,0.7009,6.1036,-117.6005,-1.0996,-1.0123,0.1188,1,0.7027
long,sweep,tp,2026-04-29T18:10:00.000Z,2026-04-29T18:15:00.000Z,2026-04-30T00:25:00.000Z,0.101890558,0.10534540000000002,88710.91961198304,9038.805099958097,1.1702,3.6155,302.8667,2.8633,-0.8224,3.1613,74,0.7743
short,sweep,sl,2026-04-30T07:35:00.000Z,2026-04-30T07:40:00.000Z,2026-04-30T08:00:00.000Z,0.106508038,0.107075773098,203135.49774961927,21635.563313465365,0.5029,8.6542,-123.9814,-1.1395,-1.2545,0.0710,4,0.7550
short,sweep,sl,2026-04-30T08:00:00.000Z,2026-04-30T08:05:00.000Z,2026-04-30T09:25:00.000Z,0.106847936,0.107426578308,196850.8480688495,21033.106816006155,0.5114,8.4132,-122.3195,-1.1372,-1.1384,0.9113,16,0.7496
long,sweep,be,2026-04-30T13:30:00.000Z,2026-04-30T13:35:00.000Z,2026-04-30T14:15:00.000Z,0.10650194099999999,0.10646999041769999,133967.4709867391,14267.795690948897,0.7453,5.7071,-9.9875,-0.0939,-0.8465,1.2070,8,0.7083
short,sweep,be,2026-05-01T03:20:00.000Z,2026-05-01T03:25:00.000Z,2026-05-01T05:15:00.000Z,0.10934718600000001,0.10937999015580001,157999.32559032086,17276.781643199378,0.6149,6.9107,-12.0937,-0.1138,-0.6288,1.7209,22,0.7753
long,sweep,tp,2026-05-02T12:20:00.000Z,2026-05-02T12:25:00.000Z,2026-05-02T16:50:00.000Z,0.10753225,0.10931266,166732.16498182918,17929.0848478673,0.5919,7.1716,289.6800,2.7297,-0.1921,2.8089,53,0.8500
short,sweep,be,2026-05-02T21:00:00.000Z,2026-05-02T21:05:00.000Z,2026-05-02T21:45:00.000Z,0.108577417,0.1086099902251,231830.8211821281,25171.591744944355,0.4331,10.0686,-17.6201,-0.1616,-0.8774,1.5469,8,0.7140
short,sweep,be,2026-05-02T22:40:00.000Z,2026-05-02T22:45:00.000Z,2026-05-03T11:45:00.000Z,0.108677387,0.10870999021609999,157531.58458869864,17120.12098306924,0.6357,6.8480,-11.9841,-0.1101,-0.3367,2.2975,156,0.7644
long,sweep,sl,2026-05-03T15:50:00.000Z,2026-05-03T15:55:00.000Z,2026-05-03T17:00:00.000Z,0.108382505,0.107941227914,265895.7380584937,28818.446159603387,0.3773,11.5274,-128.8611,-1.1852,-1.1556,0.4341,13,0.7882
long,sweep,sl,2026-05-04T09:30:00.000Z,2026-05-04T09:35:00.000Z,2026-05-04T10:00:00.000Z,0.111843543,0.111183754864,171500.99550417048,19181.2789652135,0.5601,7.6725,-120.8268,-1.1247,-2.8153,0.4094,5,0.7368
long,sigma,sl,2026-05-04T10:10:00.000Z,2026-05-04T10:15:00.000Z,2026-05-04T10:20:00.000Z,0.109842943,0.10882918144800001,108269.87560876911,11892.681775111116,0.8932,4.7571,-114.5169,-1.0781,-1.2363,0.0000,1,0.5596
long,sigma,tp,2026-05-04T10:20:00.000Z,2026-05-04T10:25:00.000Z,2026-05-04T13:15:00.000Z,0.10914273299999999,0.11120177999999997,143944.84696561718,15710.533999094216,0.6688,6.2842,290.1050,2.7608,-0.3188,2.9278,34,0.5736
short,sweep,sl,2026-05-05T00:45:00.000Z,2026-05-05T00:50:00.000Z,2026-05-05T00:50:00.000Z,0.11039687100000001,0.110824377342,273873.3722105373,30234.763342261675,0.3571,12.0939,-129.1765,-1.1963,-1.1747,0.0000,0,0.7043
short,sweep,be,2026-05-05T05:15:00.000Z,2026-05-05T05:20:00.000Z,2026-05-05T10:30:00.000Z,0.111446556,0.1114799899668,155235.856234949,17300.50154509619,0.6167,6.9202,-12.1104,-0.1135,-0.7034,1.1008,62,0.7199
short,sweep,sl,2026-05-05T13:30:00.000Z,2026-05-05T13:35:00.000Z,2026-05-05T13:50:00.000Z,0.11220632800000001,0.112828978542,180986.31140099096,20307.809420569734,0.5248,8.1231,-120.8143,-1.1337,-1.0592,0.5882,3,0.7258
long,sweep,tp,2026-05-05T16:40:00.000Z,2026-05-05T16:45:00.000Z,2026-05-05T17:25:00.000Z,0.11204360299999999,0.11399941999999998,151216.11340490688,16942.798177542365,0.6218,6.7771,288.9739,2.7428,-0.0913,3.0663,8,0.7561
short,sweep,sl,2026-05-05T20:50:00.000Z,2026-05-05T20:55:00.000Z,2026-05-05T21:00:00.000Z,0.113875827,0.114472751526,192409.9797936918,21910.845572059945,0.4940,8.7643,-123.6186,-1.1420,-1.0739,0.0000,1,0.7132
short,sweep,sl,2026-05-06T02:15:00.000Z,2026-05-06T02:20:00.000Z,2026-05-06T03:05:00.000Z,0.11504547600000001,0.11584590334799999,139760.42599809883,16078.804734914056,0.6655,6.4315,-118.2996,-1.1055,-1.0115,0.8169,9,0.7223
short,sweep,be,2026-05-06T05:25:00.000Z,2026-05-06T05:30:00.000Z,2026-05-06T05:55:00.000Z,0.11575526300000001,0.11578998957890001,193515.77435075302,22400.469354620072,0.4724,8.9602,-15.6803,-0.1482,-0.1549,1.5639,5,0.7033
long,sigma,sl,2026-05-06T13:50:00.000Z,2026-05-06T13:55:00.000Z,2026-05-06T14:00:00.000Z,0.11298388499999999,0.11227124851800001,155642.24325112754,17585.06531262742,0.6009,7.0340,-117.9504,-1.1162,-1.1840,0.0679,1,0.5623
long,sweep,sl,2026-05-07T01:05:00.000Z,2026-05-07T01:10:00.000Z,2026-05-07T04:05:00.000Z,0.110863249,0.11002642216800002,129997.32421019784,14411.92572324889,0.7250,5.7648,-114.5500,-1.0962,-1.0491,0.8046,35,0.7510
short,sweep,sl,2026-05-07T07:05:00.000Z,2026-05-07T07:10:00.000Z,2026-05-07T07:35:00.000Z,0.111216625,0.111716424876,221635.48608350143,24649.550742441497,0.4193,9.8598,-120.6332,-1.1673,-1.0795,0.0571,5,0.7737
short,sweep,tp,2026-05-07T23:50:00.000Z,2026-05-07T23:55:00.000Z,2026-05-08T01:10:00.000Z,0.107687684,0.10653259999999999,238582.97025974793,25692.447509113135,0.3976,10.2770,265.3064,2.5974,-0.7062,3.2414,15,0.7522
long,sweep,sl,2026-05-08T01:15:00.000Z,2026-05-08T01:20:00.000Z,2026-05-08T02:15:00.000Z,0.106491938,0.105875987672,179387.53397402973,19103.32614593527,0.5486,7.6413,-118.1351,-1.1273,-1.2701,0.5273,11,0.8500
long,sweep,sl,2026-05-08T05:25:00.000Z,2026-05-08T05:30:00.000Z,2026-05-08T05:55:00.000Z,0.10624186299999999,0.105885964678,292576.47547104256,31083.86982401736,0.3051,12.4335,-116.5610,-1.2291,-1.2398,0.5496,5,0.7011
short,sweep,sl,2026-05-08T17:35:00.000Z,2026-05-08T17:40:00.000Z,2026-05-08T18:20:00.000Z,0.10820752800000001,0.108629339028,263203.66559617344,28480.618014700576,0.3597,11.3922,-122.4145,-1.1949,-1.4708,0.8672,8,0.7014
short,sweep,sl,2026-05-09T00:15:00.000Z,2026-05-09T00:20:00.000Z,2026-05-09T01:10:00.000Z,0.10937717699999999,0.10990226079,205686.67712681802,22497.428090641824,0.4499,8.9990,-117.0017,-1.1559,-1.2046,0.0000,10,0.8500
short,sweep,tp,2026-05-09T04:50:00.000Z,2026-05-09T04:55:00.000Z,2026-05-09T15:05:00.000Z,0.110616805,0.10818249999999999,116926.1565108336,12933.99785415836,0.7736,5.1736,279.4603,2.7931,-0.7750,2.9763,122,0.8229
long,sweep,be,2026-05-10T04:05:00.000Z,2026-05-10T04:10:00.000Z,2026-05-10T10:00:00.000Z,0.108442523,0.1084099902431,278642.35939121014,30216.680467055572,0.3404,12.0867,-21.1517,-0.2057,-1.4157,1.7542,70,0.7003
long,sweep,tp,2026-05-10T10:05:00.000Z,2026-05-10T10:10:00.000Z,2026-05-10T17:15:00.000Z,0.108292478,0.11028679999999995,144950.4348604322,15697.041778213787,0.6539,6.2788,282.7990,2.7554,-0.6673,3.0753,85,0.7274
short,sweep,sl,2026-05-10T17:30:00.000Z,2026-05-10T17:35:00.000Z,2026-05-10T18:20:00.000Z,0.110426862,0.11135559666,117792.61492252808,13007.468832669148,0.8108,5.2030,-114.6011,-1.0866,-1.1651,0.1864,9,0.7183
long,sweep,sl,2026-05-11T03:15:00.000Z,2026-05-11T03:20:00.000Z,2026-05-11T03:25:00.000Z,0.109162739,0.108639618334,212669.01698501408,23215.53239452166,0.4493,9.2862,-120.5378,-1.1555,-1.3511,0.0000,1,0.7073
short,sweep,be,2026-05-11T06:10:00.000Z,2026-05-11T06:15:00.000Z,2026-05-11T09:05:00.000Z,0.10978705400000001,0.1098199901162,197108.94858001373,21640.010781637193,0.4765,8.6560,-15.1480,-0.1469,-0.4644,2.3456,34,0.7385
short,sweep,be,2026-05-11T12:30:00.000Z,2026-05-11T12:35:00.000Z,2026-05-11T14:00:00.000Z,0.110106958,0.1101399900874,176309.0913065718,19412.857711510867,0.5304,7.7651,-13.5890,-0.1320,-0.3648,1.8613,17,0.7256
long,sweep,sl,2026-05-12T01:20:00.000Z,2026-05-12T01:25:00.000Z,2026-05-12T01:35:00.000Z,0.110883255,0.11017607725800001,152533.98271127752,16913.464501140177,0.6080,6.7654,-114.6340,-1.1148,-1.1471,0.1287,2,0.7314
long,sweep,be,2026-05-12T01:40:00.000Z,2026-05-12T01:45:00.000Z,2026-05-12T03:20:00.000Z,0.110353096,0.1103199900712,112671.8188577243,12433.684042901059,0.8178,4.9735,-8.7036,-0.0856,-0.1253,1.2377,19,0.7069
short,sweep,tp,2026-05-12T12:40:00.000Z,2026-05-12T12:45:00.000Z,2026-05-12T16:50:00.000Z,0.10919723099999999,0.10746239999999996,163339.44253553773,17836.214837964337,0.5696,7.1345,276.2318,2.7190,-0.3582,2.8574,49,0.7412
long,sweep,tp,2026-05-12T16:50:00.000Z,2026-05-12T16:55:00.000Z,2026-05-12T19:10:00.000Z,0.107872352,0.10974452,156408.33247306698,16872.134696267713,0.6185,6.7489,286.0738,2.7414,-0.1234,2.8292,27,0.7319
short,sweep,sl,2026-05-12T19:25:00.000Z,2026-05-12T19:30:00.000Z,2026-05-12T19:30:00.000Z,0.109557123,0.110042582874,236962.0237292866,25960.87758003837,0.4130,10.3844,-125.4199,-1.1698,-1.4872,0.0000,0,0.7282
long,sweep,tp,2026-05-13T07:20:00.000Z,2026-05-13T07:25:00.000Z,2026-05-13T09:35:00.000Z,0.11197358199999999,0.11431822,128232.00558418676,14358.596992305393,0.7380,5.7434,294.9142,2.7832,-0.0769,3.1300,26,0.8500
long,sweep,be,2026-05-13T21:10:00.000Z,2026-05-13T21:15:00.000Z,2026-05-13T23:50:00.000Z,0.11275381599999999,0.1127199898552,162932.68055798282,18371.281484021572,0.5928,7.3485,-12.8599,-0.1181,-0.6490,1.8494,31,0.7029
short,sweep,be,2026-05-14T13:15:00.000Z,2026-05-14T13:20:00.000Z,2026-05-14T16:15:00.000Z,0.11594520600000001,0.1159799895618,114734.5891855498,13302.925578443945,0.8177,5.3212,-9.3120,-0.0856,-0.0367,2.8216,35,0.7721
