side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,tp,2026-04-24T22:40:00.000Z,2026-04-24T22:45:00.000Z,2026-04-25T01:00:00.000Z,0.107592268,0.10877422000000005,228828.76286016783,24620.205579759626,0.4062,9.8481,260.6165,2.6062,-0.1883,2.9238,27,0.7061
short,sweep,sl,2026-04-26T04:50:00.000Z,2026-04-26T04:55:00.000Z,2026-04-26T05:10:00.000Z,0.106558023,0.10712588812799999,191523.38799986397,20408.35358352743,0.5028,8.1633,-116.9228,-1.1395,-1.2543,0.4070,3,0.7751
short,sweep,tp,2026-04-26T11:35:00.000Z,2026-04-26T11:40:00.000Z,2026-04-26T12:45:00.000Z,0.11085673300000001,0.10893208000000001,147887.30450357666,16394.303429442698,0.6187,6.5577,278.0740,2.7413,-0.6462,3.6400,13,0.7121
long,sweep,sl,2026-04-27T11:05:00.000Z,2026-04-27T11:10:00.000Z,2026-04-27T12:30:00.000Z,0.105771722,0.105047896174,150537.88317693898,15922.651129859667,0.6545,6.3691,-115.3323,-1.1066,-1.0136,0.8786,16,0.7160
long,sweep,tp,2026-04-27T19:30:00.000Z,2026-04-27T19:35:00.000Z,2026-04-27T23:15:00.000Z,0.10459136799999999,0.10686400000000001,128932.30016499897,13485.205653643867,0.7643,5.3941,287.6216,2.7907,-0.2394,3.2008,44,0.7759
long,sweep,tp,2026-04-29T18:10:00.000Z,2026-04-29T18:15:00.000Z,2026-04-30T00:35:00.000Z,0.10088025499999999,0.10435927999999997,88282.7054724873,8905.981840154413,1.1895,3.5624,303.5753,2.8655,-0.4335,3.0581,76,0.7800
short,sweep,sl,2026-05-02T15:45:00.000Z,2026-05-02T15:50:00.000Z,2026-05-02T16:20:00.000Z,0.10250923800000002,0.102876133584,318926.35161604383,32692.897282280726,0.3278,13.0772,-130.0898,-1.2138,-1.1331,0.2953,6,0.7557
long,sigma,sl,2026-05-03T01:20:00.000Z,2026-05-03T01:25:00.000Z,2026-05-03T01:45:00.000Z,0.101190348,0.100628082516,202371.55022449972,20478.047592516603,0.5258,8.1912,-121.9778,-1.1328,-1.0344,0.2813,4,0.5036
short,sweep,sl,2026-05-04T14:15:00.000Z,2026-05-04T14:20:00.000Z,2026-05-04T14:50:00.000Z,0.102799151,0.10383834216,105605.62871262271,10856.168972478838,0.9806,4.3425,-114.0869,-1.0717,-1.1913,0.2472,6,0.7693
short,sweep,sl,2026-05-05T00:45:00.000Z,2026-05-05T00:50:00.000Z,2026-05-05T01:20:00.000Z,0.100459853,0.10128247563,132931.7490431607,13354.303967908814,0.7886,5.3417,-114.6944,-1.0891,-1.1614,0.3154,6,0.8008
long,sweep,be,2026-05-06T16:30:00.000Z,2026-05-06T16:35:00.000Z,2026-05-06T17:50:00.000Z,0.116755016,0.1167199894952,75145.45750318868,8773.609093112114,1.1873,3.5094,-6.1415,-0.0590,-0.4076,1.7566,15,0.7109
short,sweep,sl,2026-05-08T07:55:00.000Z,2026-05-08T08:00:00.000Z,2026-05-08T08:10:00.000Z,0.12148354400000001,0.12245106430199999,111846.65625399223,13587.528186284742,0.7662,5.4350,-113.6489,-1.0917,-1.1672,0.1650,2,0.8500
short,sweep,be,2026-05-09T17:35:00.000Z,2026-05-09T17:40:00.000Z,2026-05-09T18:10:00.000Z,0.129901018,0.1299399883054,168946.63178810762,21946.33945694634,0.4692,8.7785,-15.3624,-0.1492,-0.4741,1.5111,6,0.7080
long,sweep,be,2026-05-09T23:40:00.000Z,2026-05-09T23:45:00.000Z,2026-05-10T00:00:00.000Z,0.129428817,0.1293899883549,172222.48463439845,22290.55244703087,0.4613,8.9162,-15.6034,-0.1518,-1.0030,1.0238,3,0.8500
short,sweep,sl,2026-05-10T04:40:00.000Z,2026-05-10T04:45:00.000Z,2026-05-10T05:35:00.000Z,0.127921612,0.128915903172,107427.02473362983,13742.238176289799,0.7470,5.4969,-112.3106,-1.0940,-1.1912,0.3889,10,0.8500
short,sweep,sl,2026-05-10T07:50:00.000Z,2026-05-10T07:55:00.000Z,2026-05-10T08:05:00.000Z,0.12986103,0.130629837198,139162.54322900038,18071.791201137512,0.5619,7.2287,-114.2179,-1.1249,-1.3417,0.9060,2,0.7166
short,sweep,sl,2026-05-10T08:25:00.000Z,2026-05-10T08:30:00.000Z,2026-05-10T09:00:00.000Z,0.13046085000000002,0.13138156264800002,113915.63422871432,14861.530469767167,0.6755,5.9446,-110.8282,-1.1039,-1.2018,0.3414,6,0.7089
short,sweep,sl,2026-05-10T17:35:00.000Z,2026-05-10T17:40:00.000Z,2026-05-10T17:50:00.000Z,0.13558931100000002,0.136643640798,97978.78700017056,13284.876221968885,0.7474,5.3140,-108.6159,-1.0940,-1.8460,0.8776,2,0.7064
long,sweep,tp,2026-05-11T03:35:00.000Z,2026-05-11T03:40:00.000Z,2026-05-11T06:30:00.000Z,0.126557956,0.12994378,83276.13157884986,10539.256996206292,0.9318,4.2157,277.7426,2.8283,-0.1424,2.9189,34,0.7427
short,sweep,be,2026-05-11T10:25:00.000Z,2026-05-11T10:30:00.000Z,2026-05-11T11:30:00.000Z,0.130430859,0.1304699882577,112038.27995616467,14613.249095565041,0.6910,5.8453,-10.2293,-0.1013,-0.3874,2.4641,12,0.7142
long,sweep,sl,2026-05-12T01:20:00.000Z,2026-05-12T01:25:00.000Z,2026-05-12T01:30:00.000Z,0.126878052,0.12596967775600001,115872.87467722603,14701.724618686567,0.6861,5.8807,-111.1366,-1.1017,-1.8127,0.1860,1,0.8500
short,sweep,be,2026-05-12T05:40:00.000Z,2026-05-12T05:45:00.000Z,2026-05-12T06:05:00.000Z,0.128151543,0.1281899884629,123799.02886700274,15865.036571207944,0.6288,6.3460,-11.1055,-0.1113,-0.1470,1.1063,4,0.8500
long,sweep,sl,2026-05-12T09:15:00.000Z,2026-05-12T09:20:00.000Z,2026-05-12T10:30:00.000Z,0.124497338,0.123255932124,82739.7620673861,10300.880124142945,0.9674,4.1204,-106.8340,-1.0721,-1.0024,0.4340,14,0.7355
short,sweep,sl,2026-05-13T09:20:00.000Z,2026-05-13T09:25:00.000Z,2026-05-13T09:30:00.000Z,0.12426271,0.12490670077199999,162539.22965243002,20197.565157923313,0.4881,8.0790,-112.7528,-1.1437,-1.7597,0.4166,1,0.8500
long,sweep,sl,2026-05-14T02:50:00.000Z,2026-05-14T02:55:00.000Z,2026-05-14T03:05:00.000Z,0.11670500099999999,0.116002648762,145994.61465380422,17038.301649166835,0.5720,6.8153,-109.3550,-1.1221,-1.4306,0.1124,2,0.7353
short,sweep,be,2026-05-14T11:10:00.000Z,2026-05-14T11:15:00.000Z,2026-05-14T12:25:00.000Z,0.116315095,0.1163499895285,175793.49540856585,20447.4371188294,0.4713,8.1790,-14.3132,-0.1485,-0.4650,1.6694,14,0.8500
short,sweep,sl,2026-05-14T15:00:00.000Z,2026-05-14T15:05:00.000Z,2026-05-14T15:30:00.000Z,0.121403568,0.12257134037399998,85074.87926813013,10328.393890320227,0.9316,4.1314,-103.4795,-1.0754,-1.2170,0.4806,5,0.7260
long,sweep,sl,2026-05-15T12:05:00.000Z,2026-05-15T12:10:00.000Z,2026-05-15T12:10:00.000Z,0.117975382,0.117150004452,120454.65051331912,14210.68340798532,0.6698,5.6843,-105.1048,-1.1042,-1.1078,0.0438,0,0.7120
long,sweep,sl,2026-05-15T13:45:00.000Z,2026-05-15T13:50:00.000Z,2026-05-15T13:50:00.000Z,0.11309391799999999,0.11227124851800001,119312.4098054044,13493.5078909148,0.6976,5.3974,-103.5521,-1.1000,-2.8061,0.1345,0,0.7348
long,sweep,be,2026-05-17T06:25:00.000Z,2026-05-17T06:30:00.000Z,2026-05-17T08:15:00.000Z,0.107082115,0.1070499903655,187808.2076357905,20110.900087999595,0.4629,8.0444,-14.0776,-0.1512,-0.2867,1.4280,21,0.8291
short,sweep,sl,2026-05-17T09:55:00.000Z,2026-05-17T10:00:00.000Z,2026-05-17T10:00:00.000Z,0.107827642,0.10828855682399999,216970.87874455823,23395.458237693634,0.3973,9.3582,-109.3633,-1.1765,-1.3826,0.0000,0,0.7236
long,sweep,tp,2026-05-18T10:05:00.000Z,2026-05-18T10:10:00.000Z,2026-05-18T11:40:00.000Z,0.10293087000000001,0.10459523999999999,154148.73155585464,15866.663048440572,0.5790,6.3467,250.2139,2.7237,-0.7398,4.0928,18,0.8500
long,sweep,sl,2026-05-18T14:35:00.000Z,2026-05-18T14:40:00.000Z,2026-05-18T15:00:00.000Z,0.10291086399999999,0.10209470239800002,120132.64414825746,12362.954203901718,0.7633,4.9452,-102.9928,-1.0914,-1.3632,0.0371,4,0.7012
short,sweep,be,2026-05-19T03:50:00.000Z,2026-05-19T03:55:00.000Z,2026-05-19T04:05:00.000Z,0.105718275,0.10583174000000001,215258.46526698698,22756.75362717328,0.4102,9.1027,-33.5270,-0.3592,-1.1110,1.0569,2,0.7360
short,sweep,sl,2026-05-19T06:20:00.000Z,2026-05-19T06:25:00.000Z,2026-05-19T07:45:00.000Z,0.106438059,0.10694547402,195652.96660706302,20824.922003247604,0.4466,8.3300,-107.6072,-1.1570,-1.1822,0.9005,16,0.7264
long,sweep,be,2026-05-20T00:15:00.000Z,2026-05-20T00:20:00.000Z,2026-05-20T01:25:00.000Z,0.10246072899999999,0.1024299907813,182013.63545382657,18649.249776539313,0.4929,7.4597,-13.0545,-0.1420,-0.7538,1.1272,13,0.7171
short,sweep,be,2026-05-20T12:55:00.000Z,2026-05-20T13:00:00.000Z,2026-05-20T14:10:00.000Z,0.106058173,0.1060899904519,136019.77845098486,14426.009194376225,0.6363,5.7704,-10.0982,-0.1100,-0.1657,2.4422,14,0.7997
short,sweep,be,2026-05-20T19:40:00.000Z,2026-05-20T19:45:00.000Z,2026-05-20T20:10:00.000Z,0.106378077,0.1064099904231,177949.35551827075,18929.910243422983,0.4844,7.5720,-13.2509,-0.1445,-0.2560,1.0830,5,0.7122
short,sweep,sl,2026-05-20T23:50:00.000Z,2026-05-20T23:55:00.000Z,2026-05-21T00:05:00.000Z,0.105638299,0.10608349550400001,221494.86403055457,23398.34067342407,0.3913,9.3593,-107.9681,-1.1792,-1.0201,0.0000,2,0.8500
short,sweep,sl,2026-05-21T01:15:00.000Z,2026-05-21T01:20:00.000Z,2026-05-21T03:25:00.000Z,0.10706787000000001,0.107817475542,126147.87685797445,13506.384480205617,0.6699,5.4026,-99.9637,-1.1048,-1.0625,0.7499,25,0.8173
